feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MUSRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,1482,-0.4117145251590864,1.0200512738229935e-61,-0.39488979311418015,1.7207803400162747e-56,-0.3118426567772491,8.4688658852056e-51,0.313353176787321,-8.848991492698231e-07,12.852010916486481,0.16950885022697182,0.16894770755820632,1.0200512738206999e-61,0.4117145251590864,0.39488979311418015,0.3118426567772491
MUSRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,1482,-0.39387132363578825,3.487873728324339e-56,-0.39883068159568624,1.0920934560160817e-57,-0.30682647154822723,1.3305711613122037e-50,0.3787950279004515,-0.07928432170164422,12.836968152151,0.15513461958260788,0.15456376459583943,3.4878737283370723e-56,0.39387132363578825,0.39883068159568624,0.30682647154822723
MUSRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,1482,-0.3938709930893412,3.488672187695703e-56,-0.39351874423249383,4.451760677991286e-56,-0.3023303443674026,3.186804520675936e-49,0.3812020671550922,-7.92717243027878e-08,12.836968469245727,0.15513435919718388,0.15456350403447938,3.488672187718903e-56,0.3938709930893412,0.39351874423249383,0.3023303443674026
MUSRI FP Equity_DX_BROKER_SI_CON_RATIO,10,1482,-0.10937471467507773,2.4464558318681155e-05,-0.09436837804924725,0.0002748362903626081,-0.07707860525984486,0.0002816145897619924,0.10099291421759005,-0.5816827937703679,12.63632106537531,0.011962828210254517,0.011295235526612823,2.4464558318677784e-05,0.10937471467507773,0.09436837804924725,0.07707860525984486
MUSRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,1482,-0.10803343053716845,3.0778333518740466e-05,-0.09264562773273563,0.00035530962591243884,-0.07567148992785967,0.00036336766610554856,0.10061261971771285,-0.005736024610026418,12.635383198707581,0.01167122211362892,0.01100343239884094,3.077833351878041e-05,0.10803343053716845,0.09264562773273563,0.07567148992785967
MUSRI FP Equity_DX_SUPPLY_SI_QTY,10,1482,-0.03169853272430426,0.2226289146440017,-0.09467041070177837,0.00026262072470829986,-0.07745110131346093,0.000261805948505853,0.1019954031993191,-0.00048032405770059177,12.544054689814976,0.001004796976873945,0.00032980021807460513,0.22262891464403078,0.03169853272430426,0.09467041070177837,0.07745110131346093
MUSRI FP Equity_DX_SI_QTY,10,1482,-0.03169853272430426,0.2226289146440017,-0.09467041070177837,0.00026262072470829986,-0.07745110131346093,0.000261805948505853,0.1019954031993191,-0.00048032405770059177,12.544054689814976,0.001004796976873945,0.00032980021807460513,0.22262891464403078,0.03169853272430426,0.09467041070177837,0.07745110131346093
MUSRI FP Equity_DX_SHORT_INTEREST_VALUE,10,1482,-0.031370519220536304,0.2274548005769852,-0.06898665581279607,0.007891270754436458,-0.03441349442713779,0.09109473618688196,0.24690548370903143,-4.4433055850965555e-05,12.544218512920821,0.0009841094761660063,0.0003090987393256084,0.22745480057695097,0.031370519220536304,0.06898665581279607,0.03441349442713779
MUSRI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,1482,-0.031370519220536304,0.2274548005769852,-0.06898665581279607,0.007891270754436458,-0.03441349442713779,0.09109473618688196,0.24690548370903143,-4.4433055850965555e-05,12.544218512920821,0.0009841094761660063,0.0003090987393256084,0.22745480057695097,0.031370519220536304,0.06898665581279607,0.03441349442713779
MUSRI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,1482,-0.02589762014126179,0.31910432952514467,-0.032343321540496635,0.21335686598294762,-0.02641751575417761,0.21324472497289682,0.0,-24.547112592843046,12.542269007427414,0.0006706867289807406,-4.5357799860479275e-06,0.3191043295251296,0.02589762014126179,0.032343321540496635,0.02641751575417761
MUSRI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,1482,-0.02589762014126179,0.31910432952514467,-0.032343321540496635,0.21335686598294762,-0.02641751575417761,0.21324472497289682,0.0,-49.09422518568602,12.542269007427418,0.0006706867289807406,-4.5357799860479275e-06,0.3191043295251303,0.02589762014126179,0.032343321540496635,0.02641751575417761
MUSRI FP Equity_DX_SI_MV,10,1482,-0.02589762014126179,0.31910432952514467,-0.032343321540496635,0.21335686598294762,-0.02641751575417761,0.21324472497289682,0.0,-39.27538014855199,12.542269007427416,0.0006706867289807406,-4.5357799860479275e-06,0.31910432952510975,0.02589762014126179,0.032343321540496635,0.02641751575417761
MUSRI FP Equity_DX_SUPPLY_SI_MV,10,1482,-0.02589762014126179,0.31910432952514467,-0.032343321540496635,0.21335686598294762,-0.02641751575417761,0.21324472497289682,0.0,-39.27538014855199,12.542269007427416,0.0006706867289807406,-4.5357799860479275e-06,0.31910432952510975,0.02589762014126179,0.032343321540496635,0.02641751575417761
MUSRI FP Equity_DX_UTILIZATION_QUANTITY,10,1482,-0.02589762014126179,0.31910432952514467,-0.032343321540496635,0.21335686598294762,-0.02641751575417761,0.21324472497289682,0.0,-10.335626354881299,12.542269007427416,0.0006706867289807406,-4.5357799860479275e-06,0.31910432952513135,0.02589762014126179,0.032343321540496635,0.02641751575417761
MUSRI FP Equity_DX_DEMAND_SUPPLY_RATIO,10,1482,-0.025897620141261787,0.31910432952514467,-0.032343321540496635,0.21335686598294762,-0.02641751575417761,0.21324472497289682,0.0,-1033.5626354881686,12.542269007427416,0.0006706867289807406,-4.5357799860479275e-06,0.3191043295251198,0.025897620141261787,0.032343321540496635,0.02641751575417761
MUSRI FP Equity_DX_SUPPLY_SI_QTY_ADD,10,1482,-0.025897620141261783,0.31910432952514467,-0.032343321540496635,0.21335686598294762,-0.02641751575417761,0.21324472497289682,0.0,-0.0003927538014854866,12.542269007427416,0.0006706867289807406,-4.5357799860479275e-06,0.31910432952513723,0.025897620141261783,0.032343321540496635,0.02641751575417761
MUSRI FP Equity_DX_SUPPLY_SI_MV_DEC,10,1482,-0.025272100513552557,0.33093704596912116,-0.031189287532478915,0.23015289247140036,-0.025474918947925262,0.23003017052580643,0.00044984255510471804,-38.32674004051702,12.542237002025661,0.0006386790643672091,-3.656507140004095e-05,0.33093704596908213,0.025272100513552557,0.031189287532478915,0.025474918947925262
MUSRI FP Equity_DX_SUPPLY_SI_QTY_DEC,10,1482,-0.025208734018701287,0.3321513452691976,-0.006255232612326428,0.8098610332656937,-0.005104975731812477,0.8098902991679513,0.0007223522341688327,-0.000383762909798545,12.542238673784736,0.0006354802708256058,-3.976602628874559e-05,0.33215134526923973,0.025208734018701287,0.006255232612326428,0.005104975731812477
MUSRI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,1482,-0.022339357062151236,0.3901340409285006,-0.02674756396306788,0.3034751525743942,-0.02172214621137411,0.3059259754626855,0.10569643931204187,-0.0013041290938062716,12.55801568974654,0.000499046873950193,-0.0001762916078915655,0.3901340409286448,0.022339357062151236,0.02674756396306788,0.02172214621137411
