feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
NRG FP Equity_DX_SHORT_INTEREST_VALUE,10,4990,0.4986620651667383,4.848257562657e-312,0.07429058777456415,1.4896981894513923e-07,0.053964567491022464,1.1626996380286042e-08,1.0542449165492949,2.4152925138109955e-07,6.986578190276927,0.2486638552363567,0.24851322649843288,0.0,0.4986620651667383,0.07429058777456415,0.053964567491022464
NRG FP Equity_DX_SI_MV,10,4990,0.48812197912249755,3.853469955708459e-297,0.06471541261826924,4.758942033310528e-06,0.0465845884209263,1.1259549189024743e-06,0.9615730740799169,0.1852375864776715,7.005769802463013,0.2382630665024641,0.23811035260240432,3.853469955679488e-297,0.48812197912249755,0.06471541261826924,0.0465845884209263
NRG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,4990,0.48577037327112066,6.911324358202544e-294,0.08951744481486264,2.378922839899774e-10,0.0647279967736373,8.738147045772976e-12,1.0673566136671422,3.5376530984186096e-07,7.0044329476009,0.2359728555479641,0.2358196825037675,6.911324358207851e-294,0.48577037327112066,0.08951744481486264,0.0647279967736373
NRG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,4990,0.4747102243166467,6.392804756542211e-279,-0.0587295636601903,3.3074203562542516e-05,-0.04662616490653323,8.938062706636592e-07,0.9924118929149808,5.648044038588999e-07,6.996105856350376,0.2253497970707612,0.2251944943035339,6.392804756531316e-279,0.4747102243166467,0.0587295636601903,0.04662616490653323
NRG FP Equity_DX_SUPPLY_SI_MV,10,4990,0.4746911996569379,6.775840937778301e-279,-0.06531503822557307,3.881569872154038e-06,-0.054643649602923845,1.8269054699179125e-08,0.8027514340843029,0.4710121307425675,7.005350513885809,0.2253317350317423,0.22517642864341658,6.775840937788664e-279,0.4746911996569379,0.06531503822557307,0.054643649602923845
NRG FP Equity_DX_BROKER_SI_QTY,10,4990,0.3788689518550261,4.3983433622541036e-170,-0.003931100570246465,0.7813008690123403,-0.004883793495728466,0.6078201366058089,1.1743115833121416,2.677550465579983e-06,7.049892905456466,0.1435416826797261,0.143369978927256,4.398343362241027e-170,0.3788689518550261,0.003931100570246465,0.004883793495728466
NRG FP Equity_DX_SI_QTY,10,4990,0.3759898086883891,2.4641116256171505e-167,-0.0307376511723039,0.02991041963287936,-0.024166915507648205,0.010852343142761244,1.1406851099432642,1.722431652797023e-06,7.0533085726098275,0.1413683362375311,0.14119619677005657,2.4641116256126086e-167,0.3759898086883891,0.0307376511723039,0.024166915507648205
NRG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,4990,0.37529780153235154,1.1170916009110347e-166,-0.026143442009567787,0.06480166838233384,-0.02177408757039394,0.028140045653318808,0.8428796266789256,1.487968394373776,7.050599071341117,0.14084843983501683,0.1406761961381111,1.1170916009084609e-166,0.37529780153235154,0.026143442009567787,0.02177408757039394
NRG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,4990,0.36978037665798136,1.6778822071401285e-161,-0.03399686752860406,0.016322255436296784,-0.023803574107172466,0.013106936689272326,1.0503830500767775,0.38989454834112813,7.038637468377883,0.13673752696131858,0.13656445910385284,1.6778822071440538e-161,0.36978037665798136,0.03399686752860406,0.023803574107172466
NRG FP Equity_DX_SUPPLY_SI_QTY,10,4990,0.32424739002084274,1.6708725555063684e-122,-0.13337923034422475,3.0256535078112093e-21,-0.10449510112475681,5.346712861498621e-28,1.0682510695106324,3.411447711635235e-06,7.103955521128433,0.10513636993532849,0.10495696664141008,1.6708725555065248e-122,0.32424739002084274,0.13337923034422475,0.10449510112475681
NRG FP Equity_DX_DEMAND_SUPPLY_RATIO,10,4990,0.3078609868949578,5.1348739526563696e-110,-0.014797430938909483,0.29598375384567577,-0.011474885364975235,0.22569205935383785,1.1299278995270288,1.3315133563002293,7.079530609394716,0.09477838725193721,0.09459690737768933,5.1348739526523573e-110,0.3078609868949578,0.014797430938909483,0.011474885364975235
NRG FP Equity_DX_DSS,10,4990,0.30124639999717845,3.3889288695059255e-105,0.18756485478881438,9.67986683066758e-41,0.15341418878903879,4.6190328184943655e-40,0.10387098400762684,2.311962035675473,7.1715966124359145,0.0907493935112601,0.09056710589969452,3.38892886947326e-105,0.30124639999717845,0.18756485478881438,0.15341418878903879
NRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4990,0.28159274159036135,1.3166822565458473e-91,-0.06845130405679918,1.299297705193521e-06,-0.0388629452976392,0.00016321547554988517,0.709330357798962,0.2385636273594982,7.026630789672835,0.0792944721163763,0.07910988800894159,1.3166822565517218e-91,0.28159274159036135,0.06845130405679918,0.0388629452976392
NRG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4990,0.24946102116156357,1.1534143624906613e-71,-0.06415229827068501,5.753513558222719e-06,-0.034689453903201634,0.00075104446485159,0.7109359337628187,2.412088190977905e-07,7.04250762579901,0.062230801078970166,0.06204279602706131,1.1534143624918549e-71,0.24946102116156357,0.06415229827068501,0.034689453903201634
NRG FP Equity_DX_UTILIZATION_QUANTITY,10,4990,0.24170467591761724,2.9300472556779567e-67,-0.1375910363421925,1.6155765371449726e-22,-0.10634741815305422,4.9570167606077403e-29,1.0399837275362724,0.02360163144074366,7.159092448377655,0.058421150360440155,0.05823238154535593,2.930047255670814e-67,0.24170467591761724,0.1375910363421925,0.10634741815305422
NRG FP Equity_DX_BROKER_SI_CON_RATIO,10,4990,-0.22504554360451212,2.5441038587510014e-58,-0.16584190906798407,4.197416058049394e-32,-0.11699538089295014,1.148367850154342e-34,1.0230256545363972,-1.9300691531589207,8.33474150489159,0.050645496696250514,0.0504551690091406,2.5441038587525992e-58,0.22504554360451212,0.16584190906798407,0.11699538089295014
NRG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4990,-0.20653185882059313,3.313953588881595e-49,-0.17042930875119827,7.795217129181486e-34,-0.11868588449252666,1.2468148196399584e-35,1.029000311892359,-0.01910883480778813,8.510261484730098,0.04265540870788931,0.042463479158712736,3.3139535888727175e-49,0.20653185882059313,0.17042930875119827,0.11868588449252666
NRG FP Equity_DX_BROKER_SI_QTY_INC,10,4990,0.18322119811394103,6.345785877269597e-39,0.1666013191952472,2.1867935036619253e-32,0.13284766913131793,5.723934896933458e-32,0.05041536003424141,2.5296817450206907e-05,7.358078813320075,0.033570007438307625,0.03337625643739295,6.345785877300073e-39,0.18322119811394103,0.1666013191952472,0.13284766913131793
NRG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,4990,0.18268511283664055,1.0557585581600612e-38,-0.04932404372856331,0.0004912261862423525,-0.033132546259479034,0.0004664250751030185,0.7149146133499036,0.0813541068258703,7.1063856331325,0.03337385045213637,0.03318006012544261,1.0557585581611596e-38,0.18268511283664055,0.04932404372856331,0.033132546259479034
NRG FP Equity_DX_BROKER_SI_MV_INC_y,10,4990,0.18234172319646993,1.461561451465412e-38,0.1531141973946401,1.4761583338391883e-27,0.1228372160313579,3.3277861665248186e-27,0.05643615151385206,1.7272939338380124,7.366977930685317,0.03324850401825785,0.03305468856196625,1.4615614514635316e-38,0.18234172319646993,0.1531141973946401,0.1228372160313579
NRG FP Equity_DX_BROKER_SI_MV_INC_x,10,4990,0.18234172319646993,1.461561451465412e-38,0.1531141973946401,1.4761583338391883e-27,0.1228372160313579,3.3277861665248186e-27,0.05643615151385206,1.7272939338380124,7.366977930685317,0.03324850401825785,0.03305468856196625,1.4615614514635316e-38,0.18234172319646993,0.1531141973946401,0.1228372160313579
NRG FP Equity_DX_SUPPLY_SI_QTY_INC_y,10,4990,0.17288366810535477,8.81718023728593e-35,0.20426194172016432,3.798158890238242e-48,0.1628990825108713,5.772188462599951e-47,0.05234887512476183,6.313438574058433e-05,7.367084751192626,0.029888762697562132,0.029694273676450833,8.817180237267317e-35,0.17288366810535477,0.20426194172016432,0.1628990825108713
NRG FP Equity_DX_SUPPLY_SI_QTY_INC_x,10,4990,0.17288366810535477,8.81718023728593e-35,0.20426194172016432,3.798158890238242e-48,0.1628990825108713,5.772188462599951e-47,0.05234887512476183,6.313438574058433e-05,7.367084751192626,0.029888762697562132,0.029694273676450833,8.817180237267317e-35,0.17288366810535477,0.20426194172016432,0.1628990825108713
NRG FP Equity_DX_BROKER_SI_MV_DEC,10,4990,0.16813396837476324,5.810196575893769e-33,0.10172494078191946,5.90175116153864e-13,0.08085468626869378,7.069632753924367e-13,0.03954938526675855,1.7013539522786463,7.357748048870547,0.02826903132144465,0.02807421757471673,5.810196575903246e-33,0.16813396837476324,0.10172494078191946,0.08085468626869378
NRG FP Equity_DX_SUPPLY_SI_MV_DEC,10,4990,0.12882933735922725,6.46194258331836e-20,0.11751594458299963,8.214417093039153e-17,0.09418650795526082,8.857050720357039e-17,0.03063220127408628,3.1537427718857614,7.370233007228618,0.016596998164417842,0.016399844395004082,6.461942583311523e-20,0.12882933735922725,0.11751594458299963,0.09418650795526082
NRG FP Equity_DX_BROKER_SI_QTY_DEC,10,4990,0.12709738909968793,2.0146406044530097e-19,0.11042435334795593,5.184791672504401e-15,0.08692957692532982,5.04369565738852e-15,0.04392765219923267,1.5874651870493908e-05,7.3621005681392635,0.016153746315957118,0.015956503682900913,2.0146406044592363e-19,0.12709738909968793,0.11042435334795593,0.08692957692532982
NRG FP Equity_DX_SUPPLY_SI_MV_RMV,10,4990,0.08906663281324079,2.9266837429200715e-10,0.06325517556413647,7.760015919658643e-06,0.05171708852732332,7.876741144995135e-06,0.00031463123155250905,20.051875315789808,7.397734423738849,0.007932865080688134,0.007733974315868641,2.9266837429204794e-10,0.08906663281324079,0.06325517556413647,0.05171708852732332
NRG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,10,4990,0.0872592930152007,6.648854907693649e-10,0.059281862101499334,2.785822495653222e-05,0.048474373719367005,2.8071534162353204e-05,0.0,0.00015919017987859336,7.398068889902692,0.0076141842175132535,0.0074152295631862986,6.648854907695421e-10,0.0872592930152007,0.059281862101499334,0.048474373719367005
NRG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,10,4990,0.0872592930152007,6.648854907693649e-10,0.059281862101499334,2.785822495653222e-05,0.048474373719367005,2.8071534162353204e-05,0.0,0.00015919017987859336,7.398068889902692,0.0076141842175132535,0.0074152295631862986,6.648854907695421e-10,0.0872592930152007,0.059281862101499334,0.048474373719367005
NRG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,10,4990,0.0868065286939546,8.145424936301559e-10,0.06654515768972774,2.5413603250657407e-06,0.054399812627625416,2.5942736082324456e-06,9.881724889315713e-05,0.0002680718907306285,7.397432379676263,0.007535373423894431,0.007336402969488565,8.14542493630459e-10,0.0868065286939546,0.06654515768972774,0.054399812627625416
NRG FP Equity_DX_SUPPLY_SI_MV_NEW,10,4990,0.0866576066737247,8.705953011506512e-10,0.05928597080582338,2.7822525743398576e-05,0.048484794525644956,2.79763125480279e-05,0.0,10.696037635354902,7.398730047319918,0.007509540794418679,0.007310565161057436,8.705953011506116e-10,0.0866576066737247,0.05928597080582338,0.048484794525644956
NRG FP Equity_DX_BROKER_SI_MV_NEW_y,10,4990,0.08160257239184851,7.806464014598923e-09,0.028325161573514893,0.04541528182504555,0.02315011007837116,0.045411610617345444,0.0,4.638350870472751,7.3970704289389975,0.006658979820966415,0.006459833666158987,7.806464014607448e-09,0.08160257239184851,0.028325161573514893,0.02315011007837116
NRG FP Equity_DX_BROKER_SI_MV_NEW_x,10,4990,0.08160257239184851,7.806464014598923e-09,0.028325161573514893,0.04541528182504555,0.02315011007837116,0.045411610617345444,0.0,4.638350870472751,7.3970704289389975,0.006658979820966415,0.006459833666158987,7.806464014607448e-09,0.08160257239184851,0.028325161573514893,0.02315011007837116
NRG FP Equity_DX_BROKER_SI_MV_RMV,10,4990,0.07827383383418852,3.088075841780676e-08,0.019933238396291693,0.15916965484685286,0.01626866297989357,0.15978579738322918,0.0,6.548447819654455,7.3968640690239384,0.006126793063101266,0.005927540214878069,3.088075841780044e-08,0.07827383383418852,0.019933238396291693,0.01626866297989357
NRG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,4990,0.07231940556419351,3.153152818090727e-07,0.07144138944834687,4.3765154346348853e-07,0.0508562827767049,9.895478670787075e-08,1.009340084027674,0.01282426176499619,7.134972684204435,0.005230096421158015,0.005030663802156554,3.153152818091568e-07,0.07231940556419351,0.07144138944834687,0.0508562827767049
NRG FP Equity_DX_BROKER_SI_QTY_NEW,10,4990,0.06246902890436728,1.0053681100122233e-05,0.02827171139588691,0.0458240333591553,0.02311325798626644,0.04575727803398705,0.0,3.1152750879913785e-05,7.399281026609582,0.0039023795722548105,0.003702680771046296,1.005368110011913e-05,0.06246902890436728,0.02827171139588691,0.02311325798626644
NRG FP Equity_DX_SUPPLY_SI_QTY_DEC,10,4990,0.0509254738965136,0.00031968171614249545,0.12214757783695064,4.768634423017379e-18,0.09594718796597049,6.615392082233868e-18,0.054112438388210116,8.967859651961636e-06,7.392799652022608,0.002593403891584467,0.0023934426654198537,0.0003196817161425,0.0509254738965136,0.12214757783695064,0.09594718796597049
