feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4990,0.6970968529825211,0.0,0.6843943748437454,0.0,0.5594746534347279,0.0,1.550804689848722,1.2494570966019293e-07,51.68056989198897,0.48594402243813495,0.48584096390213616,0.0,0.6970968529825211,0.6843943748437454,0.5594746534347279
SK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4990,0.689141823258816,0.0,0.6816522367233785,0.0,0.5553432493626655,0.0,1.5326902849256085,0.1263326985164479,50.22284483373362,0.47491645256448545,0.474811183208544,0.0,0.689141823258816,0.6816522367233785,0.5553432493626655
SK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4990,0.22305203784576777,2.679475272754654e-57,0.3373615287438479,4.494821009263644e-133,0.2389668457716488,2.955745445988506e-141,1.2091967812512179,6.4716504417013606e-06,71.54398295237576,0.0497522115871496,0.04956170481320943,2.6794752727541587e-57,0.22305203784576777,0.3373615287438479,0.2389668457716488
SK FP Equity_DX_SI_QTY,10,4990,-0.20584467914204604,6.955731247301597e-49,-0.2369069691127438,1.2994152253600451e-64,-0.15064677933376242,2.776517514260747e-57,0.6566546580715205,-1.7846283932970033e-05,102.3981166493182,0.0423720319310914,0.04218004557021138,6.955731247300303e-49,0.20584467914204604,0.2369069691127438,0.15064677933376242
SK FP Equity_DX_BROKER_SI_QTY,10,4990,-0.2050517665261122,1.6309633991765467e-48,-0.2289601690211578,2.3361533432676086e-60,-0.14603346139216541,6.182273702198359e-54,0.6645189095664303,-2.3020618817633877e-05,102.14539618123729,0.042046226955479216,0.04185417527684143,1.630963399177178e-48,0.2050517665261122,0.2289601690211578,0.14603346139216541
SK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,4990,-0.18471320555841264,1.526085162316245e-39,-0.18828271501888327,4.800598386917405e-41,-0.12414919620523386,2.297115050876211e-39,0.6381638578771334,-3.8071770016729745,101.54789920630256,0.034118968307664366,0.033925327363058755,1.526085162316291e-39,0.18471320555841264,0.18828271501888327,0.12414919620523386
SK FP Equity_DX_DSS,10,4990,-0.1691390848611163,2.4194134030767873e-33,-0.18382848605018332,3.55807094699618e-39,-0.14996478076296746,1.0801236534757457e-38,0.12497772102697735,-13.612326478975731,99.54471891115888,0.028608030027655884,0.02841328424377998,2.4194134030771596e-33,0.1691390848611163,0.18382848605018332,0.14996478076296746
SK FP Equity_DX_SUPPLY_SI_QTY,10,4990,-0.16817870641904584,5.588636863459446e-33,-0.19061572671763316,4.8183756179791926e-42,-0.123527910380283,4.30595902210011e-39,0.7153067757785223,-1.9656459445417952e-05,100.57525065298759,0.028284077292783816,0.028089266562489557,5.588636863459479e-33,0.16817870641904584,0.19061572671763316,0.123527910380283
SK FP Equity_DX_SHORT_INTEREST_VALUE,10,4990,0.15135778384409995,5.848422655479415e-27,0.17924759771122376,2.660249036541256e-37,0.11745923263143357,1.6329225736261006e-35,0.598094796846036,1.5309200442016785e-07,88.17793748822479,0.022909178730197155,0.02271329043403225,5.848422655481532e-27,0.15135778384409995,0.17924759771122376,0.11745923263143357
SK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,4990,0.1491484867726446,3.228678113902642e-26,0.18935214786688265,1.679820442798582e-41,0.12089197393761449,1.6173437885742196e-37,0.7003590503051536,1.9303673481522982e-07,88.70325017664447,0.02224527110656982,0.02204924970943789,3.2286781139036605e-26,0.1491484867726446,0.18935214786688265,0.12089197393761449
