feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
TE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,1174,0.8520746441958811,0.0,0.8580836169286827,0.0,0.6939241340590202,1.5658962123288844e-277,1.5102812213851018,1.920438309449657e-08,6.3769908719011426,0.7260311992815374,0.7257974375061803,0.0,0.8520746441958811,0.8580836169286827,0.6939241340590202
TE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,1174,0.8501246841337284,0.0,0.8553858468246729,0.0,0.6893941008072064,6.068775925230563e-274,1.5288241805042437,0.019255773788150236,6.401884938030115,0.7227119785734719,0.7224753846985346,0.0,0.8501246841337284,0.8553858468246729,0.6893941008072064
TE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,1174,0.5892180086016199,1.1646910537834704e-110,0.6965148255775976,3.779316155610598e-171,0.4820386460388575,5.4577768883794324e-135,0.7702085938137109,2.1394955831635483e-07,12.112003831583884,0.3471778616604585,0.34662084618405953,1.1646910537834155e-110,0.5892180086016199,0.6965148255775976,0.4820386460388575
TE FP Equity_DX_SUPPLY_SI_MV,10,1174,0.5876442921354049,6.142535209405084e-110,0.6946308526147615,7.426586779952428e-170,0.47959206129605225,1.2714941981000071e-133,0.7499173738883695,0.21422785222942214,12.11039887869475,0.3453258140793213,0.34476721835754587,6.14253520940051e-110,0.5876442921354049,0.6946308526147615,0.47959206129605225
TE FP Equity_DX_SHORT_INTEREST_VALUE,10,1174,0.543717302049738,2.773142747782814e-91,0.6521338623487997,3.9316756733928103e-143,0.43795580554130653,8.924430025482319e-112,0.6986897012474458,1.6516856561626316e-07,12.468692945130742,0.2956285045482463,0.2950275049787482,2.773142747782164e-91,0.543717302049738,0.6521338623487997,0.43795580554130653
TE FP Equity_DX_SI_MV,10,1174,0.5417065126804959,1.705821046461586e-90,0.6499122180335175,7.477752439324649e-142,0.43549158441203883,1.5673044826063515e-110,0.6995749394718178,0.1652863223263329,12.462335812138807,0.29344594588046435,0.2928430840595432,1.7058210464615291e-90,0.5417065126804959,0.6499122180335175,0.43549158441203883
TE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,1174,0.5391942369242201,1.622483312198496e-89,0.6191092671547034,3.629862154297652e-125,0.38598189631127705,2.972539388025935e-87,1.4918852294751126,4.6126180992509115e-07,3.9323705338645203,0.29073042513229175,0.29012524631414516,1.6224833121978008e-89,0.5391942369242201,0.6191092671547034,0.38598189631127705
TE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,1174,0.5275246177136367,4.441043070327771e-85,0.5325624966406011,5.664317876945043e-87,0.35537080004163835,3.0128579490350044e-74,0.6385205236413123,2.737492115769572e-07,12.382595144339591,0.2782822222939184,0.277666422142292,4.441043070327442e-85,0.5275246177136367,0.5325624966406011,0.35537080004163835
TE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,1174,0.42076494648586416,1.4210324981927582e-51,0.5584238816132414,3.21095391768767e-97,0.36648165540712785,9.299597138755713e-79,0.558245389125823,0.988405922239926,13.908628353093388,0.1770431401912521,0.17634095857025478,1.421032498193077e-51,0.42076494648586416,0.5584238816132414,0.36648165540712785
TE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,1174,-0.3221629980699622,9.302277654250092e-30,-0.44049815375638945,6.6382724095194e-57,-0.3040468263888738,7.857005495898536e-55,0.31559889811013697,-0.1744144035292308,25.7790935326045,0.10378899732542624,0.10302431216956054,9.302277654251283e-30,0.3221629980699622,0.44049815375638945,0.3040468263888738
TE FP Equity_DX_BROKER_SI_CON_RATIO,10,1174,-0.28128171225457793,8.653373918908458e-23,-0.4252732975051995,9.241383743677023e-53,-0.2897983235613604,5.679482036528278e-50,0.41846261551373587,-18.647450136930285,23.72278048329074,0.079119401648867,0.07833366734993252,8.653373918907116e-23,0.28128171225457793,0.4252732975051995,0.2897983235613604
TE FP Equity_DX_SUPPLY_SI_QTY,10,1174,0.2039086229710248,1.7453391700300354e-12,0.2815721378179478,7.790518053888302e-23,0.18640915806808742,1.1529778162394544e-21,0.45720504706336174,1.924486332583612e-06,15.76172598672437,0.0415787265219395,0.040760960930234624,1.7453391700297205e-12,0.2039086229710248,0.2815721378179478,0.18640915806808742
TE FP Equity_DX_BROKER_SI_MV_DEC,10,1174,0.17073289060102265,3.933148583739554e-09,0.18485755279269261,1.7452199802068806e-10,0.12491513466309243,2.2813823286441066e-10,0.06969725429303697,0.46975246535034704,17.988598425793995,0.02914971993298099,0.028321349386848604,3.93314858373915e-09,0.17073289060102265,0.18485755279269261,0.12491513466309243
TE FP Equity_DX_BROKER_SI_MV_INC_y,10,1174,0.15953441151007478,3.892804347098884e-08,0.1541402932963883,1.1111618816189838e-07,0.10374358818863252,1.7661688996540288e-07,0.06669268151212426,0.5059328056345757,18.08175135057022,0.025451228455865782,0.02461970220028198,3.892804347098852e-08,0.15953441151007478,0.1541402932963883,0.10374358818863252
TE FP Equity_DX_BROKER_SI_MV_INC_x,10,1174,0.15953441151007478,3.892804347098884e-08,0.1541402932963883,1.1111618816189838e-07,0.10374358818863252,1.7661688996540288e-07,0.06669268151212426,0.5059328056345757,18.08175135057022,0.025451228455865782,0.02461970220028198,3.892804347098852e-08,0.15953441151007478,0.1541402932963883,0.10374358818863252
TE FP Equity_DX_DEMAND_SUPPLY_RATIO,10,1174,-0.15680779618836618,6.64439684729527e-08,-0.16075908232472552,3.0526567277797555e-08,-0.10385736464282262,1.0101246371571317e-07,0.5215770972375373,-15.160181480328665,19.87276773133678,0.024588684945452077,0.023756422731241678,6.64439684729515e-08,0.15680779618836618,0.16075908232472552,0.10385736464282262
TE FP Equity_DX_SUPPLY_SI_MV_DEC,10,1174,0.15010464183338645,2.3793271699861152e-07,0.15536475603840477,8.784891958499708e-08,0.10329492477865396,1.37313639311963e-07,0.02895956309177583,0.35745815896017474,18.062800828166388,0.022531403499929215,0.02169738592612358,2.379327169986189e-07,0.15010464183338645,0.15536475603840477,0.10329492477865396
TE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,1174,0.12077744771867108,3.338306610213663e-05,0.16356974845323818,1.735062980491184e-08,0.10573979424362963,6.362213257040962e-08,0.49449961807080545,1.6413233278080097,17.029582959263823,0.0145871918774364,0.01374639596606897,3.338306610213845e-05,0.12077744771867108,0.16356974845323818,0.10573979424362963
TE FP Equity_DX_SI_QTY,10,1174,0.11846582827142971,4.71974950288096e-05,0.16362284803344568,1.7164808122124076e-08,0.10523540750908911,6.727801162560618e-08,0.49821664228721785,8.906009665524117e-07,17.069700665377926,0.014034152468035743,0.013192884680039096,4.7197495028811476e-05,0.11846582827142971,0.16362284803344568,0.10523540750908911
TE FP Equity_DX_UTILIZATION_QUANTITY,10,1174,-0.11725535687386582,5.644023425672352e-05,-0.08462303121690977,0.003712457256257394,-0.052781175582006665,0.006813476085525897,0.5041832627251956,-0.17596215169462165,19.762663759412813,0.013748818715617395,0.012907307468787654,5.6440234256726486e-05,0.11725535687386582,0.08462303121690977,0.052781175582006665
TE FP Equity_DX_SUPPLY_SI_QTY_ADD,10,1174,-0.10725434016826652,0.00023173990263647095,-0.12724651794912528,1.225072606338422e-05,-0.08816806485807652,1.4190906021293588e-05,0.0287782826743741,-6.3855410695295674e-06,19.200486320084018,0.011503493484930183,0.010660066431589565,0.00023173990263645634,0.10725434016826652,0.12724651794912528,0.08816806485807652
TE FP Equity_DX_ACTIVE_UTILIZATION_MV,10,1174,-0.09322650073911472,0.0013845770639908388,-0.08397723665328768,0.003984431875675096,-0.05215592428040445,0.0075018813489365335,0.5086022457734658,-0.13431773244901435,19.55605985283065,0.008691180440059898,0.007845353802210076,0.0013845770639908871,0.09322650073911472,0.08397723665328768,0.05215592428040445
TE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,1174,-0.09181060370015234,0.0016379023266197051,-0.0801826367439045,0.005980424811331426,-0.04973819647732482,0.010777562399033793,0.500695593009433,-0.13329413628619075,19.54740822625574,0.008429186951786516,0.0075831367700046615,0.0016379023266196392,0.09181060370015234,0.0801826367439045,0.04973819647732482
TE FP Equity_DX_BROKER_SI_QTY_ADD,10,1174,-0.08482052345984167,0.003632715043427151,-0.05742983567887152,0.0491503247853697,-0.04279975465320516,0.054197341070586894,0.005927228474238877,-8.450915108070787e-06,19.015687054261186,0.007194521200001636,0.00634741754914836,0.003632715043427189,0.08482052345984167,0.05742983567887152,0.04279975465320516
TE FP Equity_DX_SUPPLY_SI_QTY_DEC,10,1174,-0.07592448699749482,0.009256343785682129,-0.02627540447714472,0.36839257703259354,-0.017974500808812608,0.3582086684812391,0.0,-3.1178373604439258e-06,19.22688786820141,0.00576452772583258,0.004916203944028585,0.009256343785681754,0.07592448699749482,0.02627540447714472,0.017974500808812608
TE FP Equity_DX_DSS,10,1174,0.07250372159644812,0.012959909309652544,0.10377273091143,0.0003687878103085432,0.08480104190744574,0.0003792441824675573,0.10118564384303452,1.0851429998837994,18.286959649122817,0.005256789645335158,0.004408032639913073,0.012959909309653591,0.07250372159644812,0.10377273091143,0.08480104190744574
TE FP Equity_DX_SUPPLY_SI_MV_NEW,10,1174,-0.06001748388828768,0.03977450858429274,-0.09028361118808247,0.0019583358919713005,-0.07364399701795704,0.002007347244004103,0.0,-5.8600185355877095,18.872198552037606,0.00360209837228076,0.0027519295142365285,0.03977450858429034,0.06001748388828768,0.09028361118808247,0.07364399701795704
