feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ABCA FP Equity_DX_DEMAND_SUPPLY_RATIO,2,4998,-0.412015733105278,4.092249682765266e-204,-0.5177757921125773,0.0,-0.3738475665364969,0.0,0.9694675785772717,-0.7207262377463051,6.1856918217539745,0.1697569643262795,0.16959078277390283,4.092249682771566e-204,0.412015733105278,0.5177757921125773,0.3738475665364969
ABCA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,4998,-0.4093979500170554,2.6353461521027135e-201,-0.42521283832621437,1.1582360427381588e-218,-0.3167813468237338,7.01396419616186e-243,0.9903366496505939,-0.6246236387025931,6.279919558476721,0.16760668147816737,0.16744006952490031,2.6353461521096226e-201,0.4093979500170554,0.42521283832621437,0.3167813468237338
ABCA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,4998,0.40057845381483886,5.021840502714093e-192,0.4298568684085374,6.1306221002921165e-224,0.32171011940772476,1.427483358326977e-237,0.9454077921222583,0.09612606082280283,5.328406413007477,0.16046309766068678,0.16029505584676773,5.021840502723539e-192,0.40057845381483886,0.4298568684085374,0.32171011940772476
ABCA FP Equity_DX_SI_QTY,2,4998,-0.3986675994665255,4.727999491787057e-190,-0.3810239143148937,1.972730947783633e-172,-0.28524777558661973,5.610577913810976e-200,1.0398389612504344,-1.0811078842426276e-06,6.251565854820209,0.15893585486440198,0.15876750735736922,4.727999491773957e-190,0.3986675994665255,0.3810239143148937,0.28524777558661973
ABCA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,2,4998,-0.39477874328664936,4.484123239210074e-186,-0.39983733671443455,2.93726150484917e-191,-0.2952553014013534,2.6198562416541416e-212,0.9648491983171534,-0.3156370030062095,6.236209245482032,0.15585025615098613,0.15568129103011963,4.484123239211704e-186,0.39477874328664936,0.39983733671443455,0.2952553014013534
ABCA FP Equity_DX_DSS,2,4998,-0.3917810089039123,4.797673606647827e-183,-0.5093845097469084,0.0,-0.41671316767417144,6.24401150346673e-284,0.22643798442481877,-1.2996007257086095,6.130328881048388,0.1534923589377678,0.15332292185989305,4.7976736066084876e-183,0.3917810089039123,0.5093845097469084,0.41671316767417144
ABCA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,4998,0.38992900463483565,3.4425573916443526e-181,0.4120477364986381,3.779783261824672e-204,0.3087628987973857,3.3064866760332494e-219,0.9826601936067756,9.266173280409328e-08,5.382508215832664,0.15204462865551382,0.15187490179976026,3.4425573916252417e-181,0.38992900463483565,0.4120477364986381,0.3087628987973857
ABCA FP Equity_DX_BROKER_SI_QTY,2,4998,-0.3898697961865618,3.94471625305412e-181,-0.33149995560246526,1.7339209265462888e-128,-0.24122625740591846,1.6730160651294924e-143,1.0508203628631545,-1.073679951557836e-06,6.21346227239682,0.15199845797855138,0.15182872188126917,3.9447162530546174e-181,0.3898697961865618,0.33149995560246526,0.24122625740591846
ABCA FP Equity_DX_SI_MV,2,4998,-0.3454207630449882,4.729951726754539e-140,-0.2950174074757051,6.250920119547761e-101,-0.21964647357640174,5.550169352081166e-119,0.9882178108624178,-0.19694999846475075,6.235976445568129,0.11931550354258169,0.1191392256209528,4.729951726757974e-140,0.3454207630449882,0.2950174074757051,0.21964647357640174
ABCA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,4998,0.3345881415908508,5.309199595913614e-131,0.36051423470657973,2.824661286732133e-153,0.2616834166532215,5.025273259196306e-158,0.9520243869406051,5.462634718125334e-07,5.388697327425239,0.11194922449321931,0.11177147213623229,5.309199595934695e-131,0.3345881415908508,0.36051423470657973,0.2616834166532215
