feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALBOA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,1088,0.5212660411658894,7.841149342826473e-77,0.5739066482114673,2.5406169622459648e-96,0.42287959586281176,1.123870504561801e-90,0.9288926937683408,7.4456513458645146e-06,23.162761122325094,0.2717182856727589,0.271047676359382,7.841149342834803e-77,0.5212660411658894,0.5739066482114673,0.42287959586281176
ALBOA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,1088,0.5200280670044103,2.053303169165671e-76,0.594782073091601,4.4731011114195034e-105,0.4456343426058124,7.77875359618652e-94,0.7343747273468444,7.424648419249913,23.1647542250353,0.2704291904723436,0.26975739414681166,2.0533031691652923e-76,0.5200280670044103,0.594782073091601,0.4456343426058124
ALBOA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,1088,0.5157185225486463,5.681092469470578e-75,0.5504280336704854,3.3691034510554195e-87,0.39429744595728083,3.936491978278658e-77,0.8180586800928884,0.00024115259932855056,23.11497982003364,0.26596559449975865,0.26528968804902175,5.681092469470371e-75,0.5157185225486463,0.5504280336704854,0.39429744595728083
ALBOA FP Equity_DX_BROKER_SI_MV_ADD,2,1088,-0.10044019158351958,0.0009079818300963221,-0.023604494520974934,0.4366845882485775,-0.019302571940936777,0.4370527210043872,0.0027355968618216764,-244.59441366574413,24.948776546629723,0.010088232085333937,0.009176711120403303,0.0009079818300962167,0.10044019158351958,0.023604494520974934,0.019302571940936777
ALBOA FP Equity_DX_BROKER_SI_QTY_ADD,2,1088,-0.0865235427414297,0.0042895778705626195,-0.015347650436347528,0.6130758841608116,-0.01261889373069949,0.6108751759446285,0.007908501084897379,-0.005586831833210017,24.945941515036473,0.007486323448528065,0.006572406619290927,0.004289577870562433,0.0865235427414297,0.015347650436347528,0.01261889373069949
ALBOA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,1088,0.06378113467695266,0.03541907092680819,0.06366151144155148,0.035765693091437456,0.050238307885645234,0.03775586255884584,0.23708024633932534,4.6767718428635655e-05,24.804551927749216,0.0040680331406794945,0.003150968714473845,0.03541907092680707,0.06378113467695266,0.06366151144155148,0.050238307885645234
ALBOA FP Equity_DX_SHORT_INTEREST_VALUE,2,1088,0.059131787395319435,0.051185992976031686,0.06336461640979073,0.036638485997474886,0.049548834441268536,0.04036961753303972,0.23170351995223326,2.157902892962453e-05,24.81180270756865,0.0034965682805651044,0.002578977643622693,0.051185992976034766,0.059131787395319435,0.06336461640979073,0.049548834441268536
ALBOA FP Equity_DX_SUPPLY_SI_MV,2,1088,0.058130415618215095,0.05525829891187382,0.07362823434708618,0.015135446522199487,0.06020415629821089,0.014268911247874109,0.1239093444540662,42.83024110897418,24.819571033112865,0.0033791452199465333,0.002461446458638883,0.055258298911875926,0.058130415618215095,0.07362823434708618,0.06020415629821089
ALBOA FP Equity_DX_SI_MV,2,1088,0.05708581301873479,0.05979022925031839,0.07632812149721768,0.01178720051989355,0.06207826613384276,0.011254830763379709,0.15706306996021713,20.552304336320432,24.814464706331982,0.0032587900480099963,0.002340980462418818,0.05979022925031926,0.05708581301873479,0.07632812149721768,0.06207826613384276
ALBOA FP Equity_DX_SUPPLY_SI_QTY,2,1088,0.04864038160243777,0.10882423390030539,0.061887015024749116,0.04125643161644962,0.04792574371454072,0.048130334077707095,0.23233237724302547,0.0009679480837411283,24.82659734744464,0.0023658867224309876,0.0014472549422490655,0.10882423390030557,0.04864038160243777,0.061887015024749116,0.04792574371454072
