feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALCOG FP Equity_DX_ACTIVE_UTILIZATION_MV,2,3504,0.4908235136307797,6.827074590868859e-212,0.34959702652767893,2.8529104465635224e-101,0.28649214886209473,4.148671073580686e-95,0.18992370719039298,0.03096587365419108,6.091668520578443,0.24090772153286433,0.24069096188738548,6.827074590887535e-212,0.4908235136307797,0.34959702652767893,0.28649214886209473
ALCOG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,3504,0.4908235136307797,6.827074590868859e-212,0.34959702652767893,2.8529104465635224e-101,0.28649214886209473,4.148671073580686e-95,0.18992370719039298,0.03096587365419108,6.091668520578443,0.24090772153286433,0.24069096188738548,6.827074590887535e-212,0.4908235136307797,0.34959702652767893,0.28649214886209473
ALCOG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,3504,0.48250118990255864,8.193327134438258e-204,0.34042800419191876,8.477483462179869e-96,0.2680473503011355,6.4600409084241865e-90,0.3157898079525965,0.0318374798762779,6.108634222552627,0.23280739825738517,0.23258832555557407,8.19332713444264e-204,0.48250118990255864,0.34042800419191876,0.2680473503011355
ALCOG FP Equity_DX_BROKER_SI_CON_RATIO,2,3504,0.4741823516108277,5.873630452455182e-196,0.34147173203627446,2.063130420163975e-96,0.26865340099407303,2.4761269942120354e-90,0.31878524875588576,3.200176783544592,6.125022131814518,0.22484890257917467,0.22462755732005968,5.87363045248114e-196,0.4741823516108277,0.34147173203627446,0.26865340099407303
ALCOG FP Equity_DX_UTILIZATION_QUANTITY,2,3504,0.4141480795530408,2.6612575665431915e-145,0.36706561946975763,3.239271183091453e-112,0.28191326378753606,1.8331719604423e-99,0.372702090032093,0.028426843482034517,6.231116194227395,0.17151863179747207,0.17128205802014418,2.6612575665442274e-145,0.4141480795530408,0.36706561946975763,0.28191326378753606
ALCOG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,3504,0.40808846524837894,9.796423516484037e-141,0.37600732086754735,4.345338515988519e-118,0.2980404245870638,3.330095693992968e-115,0.6202348837415368,0.00045010646966106024,6.447680162964878,0.1665361954687774,0.16629819895120712,9.796423516402448e-141,0.40808846524837894,0.37600732086754735,0.2980404245870638
ALCOG FP Equity_DX_SI_MV,2,3504,0.3727939098796585,5.886425576324433e-116,0.26973565636834,1.790237788856387e-59,0.21904058746855812,2.06792257055074e-57,0.1440835120601036,226.20913380354858,6.514975310851035,0.13897529924336305,0.13872943268118243,5.886425576336585e-116,0.3727939098796585,0.26973565636834,0.21904058746855812
ALCOG FP Equity_DX_DEMAND_SUPPLY_RATIO,2,3504,0.3478872501944694,3.089174410846425e-100,0.3305120526233872,4.386097781390606e-90,0.25487251538076633,3.2757391238626e-83,0.42799175094876474,1.5684441000368494,6.34966191213932,0.12102553884786948,0.12077454671161825,3.0891744108324114e-100,0.3478872501944694,0.3305120526233872,0.25487251538076633
ALCOG FP Equity_DX_SHORT_INTEREST_VALUE,2,3504,0.3298206466202833,1.0780775454422236e-89,0.36685155581533874,4.454112778123363e-112,0.29075518495007124,9.78461301676342e-110,0.5931255960673543,0.00020017319899181884,6.533047256005241,0.10878165893702196,0.10852717054722683,1.0780775454388947e-89,0.3298206466202833,0.36685155581533874,0.29075518495007124
ALCOG FP Equity_DX_SUPPLY_SI_MV,2,3504,0.2703988718740887,9.078370558988025e-60,0.1730097634869935,5.9988857334693855e-25,0.14104320805883117,1.665604586439853e-24,0.0954620194098621,244.33787512052356,6.6102881930404465,0.07311554991077995,0.07285087702383275,9.078370559025014e-60,0.2703988718740887,0.1730097634869935,0.14104320805883117
ALCOG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,3504,0.26225675841151935,3.319461399692712e-56,0.24159753984250407,1.0222825987453897e-47,0.19567294282101358,2.8256824473271835e-47,0.21821793672192524,0.1395673407853837,6.64504060659335,0.0687786073325184,0.06851269602678822,3.3194613997035846e-56,0.26225675841151935,0.24159753984250407,0.19567294282101358
ALCOG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,3504,0.2340071539496379,8.573039167020609e-45,0.1779087040485435,2.614055023537536e-26,0.1411196255469652,8.944466060629478e-26,0.30786489480323165,0.0002987476374368987,6.630409909781957,0.054759348099609695,0.05448943357879299,8.57303916701965e-45,0.2340071539496379,0.1779087040485435,0.1411196255469652
ALCOG FP Equity_DX_SUPPLY_SI_QTY,2,3504,0.20203747714229298,1.3465879194758032e-33,0.3491461517131624,5.354647507349292e-101,0.2772435682246892,9.44077210021694e-97,0.3810196826727381,0.0018917186281932606,6.631723113048162,0.040819142170022804,0.04054524700787843,1.3465879194798352e-33,0.20203747714229298,0.3491461517131624,0.2772435682246892
