feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALDNX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,4797,0.5213229487286386,0.0,0.1410141963313569,9.876354587066449e-23,0.11061953503404551,2.5132730604102834e-27,1.0828438503587665,1.7891682769063992,15.171222097412524,0.2717776168711227,0.27162574567547537,0.0,0.5213229487286386,0.1410141963313569,0.11061953503404551
ALDNX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,4797,0.482286316255551,5.218550727339854e-278,-0.01230643616797988,0.39412609354785955,0.01625085568928277,0.09841228179831142,1.5813079435251183,3.935786115918538e-06,15.306375961220235,0.232600090847349,0.23244004915618055,5.2185507273794575e-278,0.482286316255551,0.01230643616797988,0.01625085568928277
ALDNX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,4797,0.4656748709763597,7.625789384805933e-257,-0.21417039322411896,6.904661909003927e-51,-0.16871260247848124,1.087574502573508e-60,1.0356554976999717,6.631337677488928e-05,15.255197372136111,0.21685308545884885,0.2166897597206755,7.625789384830811e-257,0.4656748709763597,0.21417039322411896,0.16871260247848124
ALDNX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,4797,0.17236296193559209,2.6286539135344306e-33,0.13983966921581362,2.231174672506374e-22,0.11572481697571929,8.659287060431739e-24,0.2730016473954311,0.19897205624901407,16.245371206833664,0.02970899064721033,0.029506635900734213,2.628653913533737e-33,0.17236296193559209,0.13983966921581362,0.11572481697571929
ALDNX FP Equity_DX_SUPPLY_SI_MV,2,4797,0.16794073822831243,1.1079571617130434e-31,0.14817669444579534,5.897843346070863e-25,0.12676442141612299,3.813247718260047e-28,0.3090035636181787,182.499761842797,16.134493977582487,0.028204091556670696,0.0280014229626262,1.1079571617157214e-31,0.16794073822831243,0.14817669444579534,0.12676442141612299
ALDNX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,4797,0.12248924709245133,1.687379710650066e-17,0.15550832639290144,2.382603699196187e-27,0.12750507131010339,1.0309481744237945e-29,0.5590055478964224,0.00019759052874415947,16.32396351547397,0.015003615653275792,0.01479819409241101,1.6873797106517124e-17,0.12248924709245133,0.15550832639290144,0.12750507131010339
ALDNX FP Equity_DX_SUPPLY_SI_QTY,2,4797,0.11081396471011892,1.3959135726729017e-14,0.14879545958413679,3.7434493791469344e-25,0.11922689289808111,5.276466248526117e-26,0.4726825491345492,0.0027955998677890647,16.318556040835357,0.012279734774774842,0.012073745146990666,1.3959135726747207e-14,0.11081396471011892,0.14879545958413679,0.11922689289808111
ALDNX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,4797,0.0778901183930304,6.608579724925028e-08,0.1609954824429154,3.217170098981689e-29,0.12186945622223117,6.1453566126051984e-27,0.41425291423590105,0.021842486793818422,16.24473977434842,0.006066870543281144,0.00585958521909824,6.608579724932069e-08,0.0778901183930304,0.1609954824429154,0.12186945622223117
ALDNX FP Equity_DX_BROKER_SI_CON_RATIO,2,4797,0.07672438530419709,1.0352880192462452e-07,0.16098649626007688,3.240340932103756e-29,0.12184486348774216,6.289312830031627e-27,0.39313416236290166,2.180942602855596,16.25448445116064,0.005886631300306311,0.0056793083871259364,1.0352880192461932e-07,0.07672438530419709,0.16098649626007688,0.12184486348774216
ALDNX FP Equity_DX_ACTIVE_UTILIZATION_MV,2,4797,0.06628068747798484,4.338261368330373e-06,0.14042911562084143,1.4834906385846604e-22,0.11356557175015888,2.462512388568522e-22,0.2289068171860673,0.01961913049150364,16.37858122321636,0.0043931295325541075,0.0041854951487235725,4.338261368330338e-06,0.06628068747798484,0.14042911562084143,0.11356557175015888
ALDNX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,4797,0.06608981211615715,4.622679569349702e-06,0.1406451365417746,1.2768388242062737e-22,0.1138182837880063,2.0404564098754891e-22,0.22734054142400528,0.019557664375107434,16.379437548513376,0.0043678632655483884,0.004160223612423297,4.622679569350227e-06,0.06608981211615715,0.1406451365417746,0.1138182837880063
ALDNX FP Equity_DX_UTILIZATION_QUANTITY,2,4797,0.06275144456995474,1.3654613833436901e-05,0.13981926793827762,2.262844444268099e-22,0.10966378732553066,2.714850098986921e-22,0.4950825769327627,0.049774211303147985,16.46306796711178,0.0039377437956156225,0.003730014440828433,1.3654613833432495e-05,0.06275144456995474,0.13981926793827762,0.10966378732553066
ALDNX FP Equity_DX_SUPPLY_SI_QTY_INC_x,2,4797,0.03032996479367953,0.03567604078260646,0.009513843700075596,0.5100398803392256,0.007773911332637031,0.5100496524643603,0.005846958750600706,0.011915926464603642,16.701989040262646,0.0009199067643860248,0.0007115480379552563,0.035676040782605355,0.03032996479367953,0.009513843700075596,0.007773911332637031
ALDNX FP Equity_DX_SUPPLY_SI_QTY_INC_y,2,4797,0.03032996479367953,0.03567604078260646,0.009513843700075596,0.5100398803392256,0.007773911332637031,0.5100496524643603,0.005846958750600706,0.011915926464603642,16.701989040262646,0.0009199067643860248,0.0007115480379552563,0.035676040782605355,0.03032996479367953,0.009513843700075596,0.007773911332637031
ALDNX FP Equity_DX_SUPPLY_SI_MV_DEC,2,4797,0.02927207602841242,0.042631630168551045,0.024518474744873033,0.08951313860170464,0.0200509952484269,0.08914386528835569,0.007284652877131537,146.73800234192183,16.695342972437313,0.0008568544350122664,0.0006484825589819776,0.042631630168549636,0.02927207602841242,0.024518474744873033,0.0200509952484269
ALDNX FP Equity_DX_SUPPLY_SI_QTY_ADD,2,4797,0.01980922323666324,0.17013463540540888,0.04546594403223683,0.0016338416363745466,0.03712492781100617,0.0016432540012636606,0.00614098899025306,0.002283250166069505,16.702179834914613,0.0003924053252402082,0.0001839365880816901,0.1701346354054027,0.01980922323666324,0.04546594403223683,0.03712492781100617
ALDNX FP Equity_DX_SUPPLY_SI_QTY_DEC,2,4797,0.015779887950728228,0.2745236907146022,0.031585983152608015,0.02869635922554988,0.025808354668939246,0.028487726796384834,0.007563484868438497,0.001800333916185355,16.70270197937436,0.00024900486373691244,4.050622032991669e-05,0.2745236907146258,0.015779887950728228,0.031585983152608015,0.025808354668939246
ALDNX FP Equity_DX_SI_MV,2,4797,0.011106158958781014,0.4418695528804987,0.2005066911821724,1.0774933655887843e-44,0.16071544695637174,4.5308879885831244e-46,0.48052825716276426,0.2248589359065355,16.68406020905081,0.00012334676681813317,-8.517808265695592e-05,0.44186955288055674,0.011106158958781014,0.2005066911821724,0.16071544695637174
ALDNX FP Equity_DX_SHORT_INTEREST_VALUE,2,4797,0.0094632028622279,0.5122946598206172,0.20840969542740875,3.191896515527317e-48,0.1622962346936369,1.207265662804648e-48,0.5994021720631719,2.824267309999202e-07,16.687828184403433,8.955220841111444e-05,-0.00011897968893848088,0.5122946598206255,0.0094632028622279,0.20840969542740875,0.1622962346936369
ALDNX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,4797,0.008177875463302616,0.5712139174901897,0.18961650992451598,4.520332261083475e-40,0.14463869903613769,3.5621291186183524e-38,0.5102259701690828,0.08254590088385982,16.690890273676924,6.687764709301103e-05,-0.0001416589790494971,0.5712139174902132,0.008177875463302616,0.18961650992451598,0.14463869903613769
ALDNX FP Equity_DX_SI_QTY,2,4797,0.008145037993741125,0.5727604280166748,0.20508371411065157,1.0159588353198558e-46,0.15633069170948324,6.271711467159911e-45,0.5056442123735105,2.8992223811423743e-06,16.691100037548534,6.63416439184994e-05,-0.00014219509400770214,0.572760428016688,0.008145037993741125,0.20508371411065157,0.15633069170948324
ALDNX FP Equity_DX_DEMAND_SUPPLY_RATIO,2,4797,0.00759316407210429,0.5990438945796523,0.18434521936875944,6.225389625695917e-38,0.13768956678569974,2.9099380872413726e-35,0.5024525394439587,0.008841511909501935,16.69285179392913,5.765614062624991e-05,-0.0001508824086666749,0.5990438945796324,0.00759316407210429,0.18434521936875944,0.13768956678569974
ALDNX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,4797,0.007337072525236836,0.6114233126024462,0.166967753702954,2.4893842870960162e-31,0.13227709409881955,1.2663043623543197e-32,0.5213587423293771,2.191690147884355e-07,16.693522438663233,5.3832633241213124e-05,-0.0001547067134464175,0.6114233126024089,0.007337072525236836,0.166967753702954,0.13227709409881955
ALDNX FP Equity_DX_BROKER_SI_QTY,2,4797,0.006692686406331499,0.6430616408613615,0.1642387067663034,2.3486625605517406e-30,0.12666663072095455,8.719153312679471e-30,0.4527347390724832,2.3866892378621506e-06,16.695033292080648,4.4792051333675253e-05,-0.00016374918077244338,0.6430616408613263,0.006692686406331499,0.1642387067663034,0.12666663072095455
