feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALDRV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,2675,0.4837110871981613,6.20733452467496e-157,0.14055181899475638,2.829445832395951e-13,0.1146182246911188,3.3959284125616314e-13,0.0404035469791022,0.0009082933172498907,1.0307759308547608,0.2339764158784271,0.23368983765765572,6.207334524668887e-157,0.4837110871981613,0.14055181899475638,0.1146182246911188
ALDRV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,2675,0.4744177358781237,3.2310196277823675e-150,0.16788146296298254,2.3117144597374057e-18,0.13702524991386766,3.9265763889777125e-18,0.03590548600113519,760.9464650079445,1.037429714259926,0.2250721881157245,0.22478227872108003,3.231019627780187e-150,0.4744177358781237,0.16788146296298254,0.13702524991386766
ALDRV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,2675,0.34865547063087143,2.604012476321423e-77,0.14043738766248226,2.958570304133857e-13,0.11452760442483045,4.0854386853638253e-13,0.035596417430832306,0.008198350836237102,1.0967583128949048,0.12156063720083476,0.1212320029461399,2.604012476314245e-77,0.34865547063087143,0.14043738766248226,0.11452760442483045
ALDRV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,2675,-0.31811879450374325,5.6930437909073384e-64,-0.6414126706364706,5.44167401534e-310,-0.5241921639298328,3.124485987682203e-241,0.4446510445355385,-0.020488891183628163,2.1940929913294958,0.10119956741651448,0.10086331585176189,5.6930437909109055e-64,0.31811879450374325,0.6414126706364706,0.5241921639298328
ALDRV FP Equity_DX_ACTIVE_UTILIZATION_MV,2,2675,-0.31811879450374325,5.6930437909073384e-64,-0.6414126706364706,5.44167401534e-310,-0.5241921639298328,3.124485987682203e-241,0.4446510445355385,-0.020488891183628163,2.1940929913294958,0.10119956741651448,0.10086331585176189,5.6930437909109055e-64,0.31811879450374325,0.6414126706364706,0.5241921639298328
ALDRV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,2675,-0.3068905659448738,1.9284547753107702e-59,-0.5427158986656951,8.63662921099626e-205,-0.39051828437274194,2.5550998359002576e-174,0.8899280240502945,-0.028445513082645358,2.1461283198972327,0.09418181946596493,0.09384294248110359,1.9284547753117193e-59,0.3068905659448738,0.5427158986656951,0.39051828437274194
ALDRV FP Equity_DX_UTILIZATION_QUANTITY,2,2675,-0.2847717739990414,4.398272218893283e-51,-0.6040262625515408,8.980869609982131e-266,-0.42256266352812666,5.255974056668213e-200,1.1476431851454634,-0.025193731458600918,1.998822251563103,0.08109496326656096,0.08075119033848999,4.398272218891451e-51,0.2847717739990414,0.6040262625515408,0.42256266352812666
ALDRV FP Equity_DX_BROKER_SI_CON_RATIO,2,2675,-0.2807840120808397,1.1808284100107865e-49,-0.544495188109162,2.1933689218935446e-206,-0.388605670796204,1.238863216329693e-172,0.9274041885919706,-2.9212560458429406,1.9986858587966405,0.07883966144021304,0.0784950447778262,1.1808284100089413e-49,0.2807840120808397,0.544495188109162,0.388605670796204
ALDRV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,2675,-0.27605118640464726,5.466755992460832e-48,-0.6601070361079235,0.0,-0.4825642208560578,9.23050268409649e-259,0.695218022863437,-0.06437206386012369,1.9334154324309627,0.07620425751541282,0.07585865491814947,5.466755992466724e-48,0.27605118640464726,0.6601070361079235,0.4825642208560578
ALDRV FP Equity_DX_DSS,2,2675,-0.27009517654656884,6.128237731361074e-46,-0.7610124314899965,0.0,-0.605415292701701,0.0,0.8531530294945369,-0.4171831556534101,1.864180086966599,0.07295140439372216,0.07260458486674626,6.128237731359928e-46,0.27009517654656884,0.7610124314899965,0.605415292701701
ALDRV FP Equity_DX_DEMAND_SUPPLY_RATIO,2,2675,-0.2696313239008766,8.806480110733423e-46,-0.5469570627061394,1.3122653185843909e-208,-0.373571577583089,7.848188451542405e-157,0.9627821246744603,-1.1883013481191769,1.9242927210517233,0.0727010508285395,0.07235413764141951,8.806480110729807e-46,0.2696313239008766,0.5469570627061394,0.373571577583089
ALDRV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,2,2675,-0.2582042286200806,5.328808666146593e-42,-0.6670732460961318,0.0,-0.4767006590742308,1.604103044220868e-258,1.2285820940671281,-1.6547979303962268,1.8402121479471716,0.06666942367729034,0.06632025398917851,5.328808666148501e-42,0.2582042286200806,0.6670732460961318,0.4767006590742308
ALDRV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,2675,-0.25687110255380535,1.431290735871353e-41,-0.6677073057358455,0.0,-0.47846650627315745,2.1806781707626017e-260,1.2236678118907078,-1.6709307996163758,1.8337220102781429,0.06598276332720732,0.06563333675157201,1.4312907358724273e-41,0.25687110255380535,0.6677073057358455,0.47846650627315745
ALDRV FP Equity_DX_SI_MV,2,2675,-0.21838949199218924,3.025678623901693e-30,-0.5219484347484601,7.342660589790299e-187,-0.36987598274562206,1.583356017887366e-152,0.915899251227505,-5.988861383690139,1.6869034203638331,0.04769397021260635,0.04733770158941608,3.0256786239029958e-30,0.21838949199218924,0.5219484347484601,0.36987598274562206
ALDRV FP Equity_DX_SHORT_INTEREST_VALUE,2,2675,-0.21687868261066798,7.664218125761523e-30,-0.5591614395594793,6.593181146410551e-220,-0.3798696449299177,8.740657699898544e-166,0.8378749134040389,-6.237578779758483e-06,1.683810694169502,0.04703636297093816,0.046679848329326035,7.66421812576225e-30,0.21687868261066798,0.5591614395594793,0.3798696449299177
ALDRV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,2675,-0.21442022805641167,3.4261955497694724e-29,-0.570313632039231,1.1881073591351983e-230,-0.3943513070064589,1.3820563044616855e-174,0.7594787339187294,-1.1518420653169799e-05,1.6706827071144699,0.04597603419976337,0.04561912287697978,3.426195549770748e-29,0.21442022805641167,0.570313632039231,0.3943513070064589
ALDRV FP Equity_DX_SUPPLY_SI_MV,2,2675,-0.21388111085087821,4.746300391623165e-29,-0.5220040204496771,6.599510607478751e-187,-0.37578656471982785,6.70655084599771e-154,0.822038468794978,-11.411088644116253,1.6678936311979098,0.045745129578805166,0.0453881318719509,4.74630039162222e-29,0.21388111085087821,0.5220040204496771,0.37578656471982785
ALDRV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,2,2675,-0.20223271896714126,4.3760059908749745e-26,-0.7129230973088744,0.0,-0.5462901434888083,0.0,0.8619186004425261,-1.0103454522627033,1.5773097124644202,0.04089807262084244,0.04053926157431065,4.37600599087384e-26,0.20223271896714126,0.7129230973088744,0.5462901434888083
ALDRV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,2675,-0.19236331442659751,1.0339191180739131e-23,-0.5469189459092608,1.4209627363598847e-208,-0.3695423743568204,1.0505779316330436e-156,0.874999117433171,-6.847431019388012e-06,1.5881521593681103,0.03700364473718576,0.03664337674045437,1.0339191180734982e-23,0.19236331442659751,0.5469189459092608,0.3695423743568204
