feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALFPC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,4657,0.2390446013987631,1.62685460229542e-61,0.21112157883288274,4.4861198827433166e-48,0.17190371941124435,3.5537419825566424e-48,0.11542066765991987,0.6031416809093341,55.46020965669484,0.05714232145789344,0.0569397741585288,1.626854602298188e-61,0.2390446013987631,0.21112157883288274,0.17190371941124435
ALFPC FP Equity_DX_BROKER_SI_CON_RATIO,2,4657,0.2300474387448501,5.527177178262669e-57,0.21108298428174166,4.6686239815668336e-48,0.1718894747298047,3.621686751672174e-48,0.11573185939855923,64.44184843470264,55.67844778923846,0.05292182407306578,0.05271837011475711,5.527177178272646e-57,0.2300474387448501,0.21108298428174166,0.1718894747298047
ALFPC FP Equity_DX_ACTIVE_UTILIZATION_MV,2,4657,0.21679561414944112,1.1705852182334388e-50,0.20825742775746237,8.467453883462229e-47,0.16843078578791448,1.144831104915574e-45,0.11446669568488121,0.4637700904366832,55.90974022638552,0.04700033831443329,0.04679561228614426,1.1705852182311157e-50,0.21679561414944112,0.20825742775746237,0.16843078578791448
ALFPC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,4657,0.2167950270690344,1.171316329981606e-50,0.20825782831272027,8.464001356894607e-47,0.168432105747933,1.1441158449781754e-45,0.1140817434356669,0.46376899506211555,55.90975250415023,0.047000083761863154,0.046795357678890426,1.1713163299836267e-50,0.2167950270690344,0.20825782831272027,0.168432105747933
ALFPC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,4657,0.19036965402976136,2.9708958250043615e-39,0.1796343072081776,4.5217729710068143e-35,0.1441054193223381,3.3530295773650245e-34,0.09227868720048571,1.529479691299204,56.33912920221055,0.036240605175411056,0.03603356771143151,2.970895824999394e-39,0.19036965402976136,0.1796343072081776,0.1441054193223381
ALFPC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,4657,0.17400850094479334,5.5580360938752275e-33,0.15310314075443102,7.995439331359145e-26,0.12531775519539795,5.693357420952914e-26,0.06866412925558874,2.9715902799692476e-05,56.92494162620324,0.03027895840105388,0.03007064023959327,5.5580360938755e-33,0.17400850094479334,0.15310314075443102,0.12531775519539795
ALFPC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,4657,0.1739029390421148,6.073839499117263e-33,0.15309850608627854,8.02276698582462e-26,0.12527146841453257,6.008266722277149e-26,0.06541938238847123,29.66773636959878,56.92597667285481,0.030242232207485564,0.030033906156402335,6.0738394991257576e-33,0.1739029390421148,0.15309850608627854,0.12527146841453257
ALFPC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,4657,0.17338079152473762,9.413370728530037e-33,0.20741145786153206,1.999855299617621e-46,0.16592019707695402,4.613319545888103e-45,0.12062996283480487,0.00020644950116840215,56.66261109237579,0.0300608988697445,0.029852533864131114,9.413370728523871e-33,0.17338079152473762,0.20741145786153206,0.16592019707695402
ALFPC FP Equity_DX_SUPPLY_SI_MV,2,4657,0.1730028809796697,1.2914863731907575e-32,0.19921845355395468,6.7790018729190145e-43,0.1597732223086507,9.583117842189883e-42,0.11433863454461535,206.38162324384678,56.66931988918542,0.029929996827265826,0.029721603700912924,1.2914863731896986e-32,0.1730028809796697,0.19921845355395468,0.1597732223086507
ALFPC FP Equity_DX_SUPPLY_SI_QTY,2,4657,0.1719308775994576,3.154870493224978e-32,0.20724363525600203,2.37054155905464e-46,0.16550726683500477,7.778072532901215e-45,0.12069405898857566,0.02049886472304281,56.675480244605076,0.02956022667211944,0.02935175411071711,3.154870493222263e-32,0.1719308775994576,0.20724363525600203,0.16550726683500477
