feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALLAN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,4993,0.5303519259895405,0.0,0.3028366562478809,2.08945105100877e-106,0.23888476337641099,2.3027149444777196e-126,1.1781088563753963,20.810447336941937,32.75873795925714,0.28127316540081504,0.28112916082566,0.0,0.5303519259895405,0.3028366562478809,0.23888476337641099
ALLAN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,4993,0.5218585031220516,0.0,0.2920115417220485,9.819912071612076e-99,0.22940307158683082,2.6666910495737758e-118,1.3190024238118956,2.2243391681609208e-05,32.70998275225153,0.27233629728078823,0.27219050210893503,0.0,0.5218585031220516,0.2920115417220485,0.22940307158683082
ALLAN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,4993,0.26530676580623214,3.351608891023792e-81,0.13843042178790724,8.653362666971159e-23,0.09158332303807863,4.669849874854919e-20,1.2361465235312274,0.0006022049509943468,34.73202903992486,0.07038767998256279,0.07020142225464909,3.3516088910296066e-81,0.26530676580623214,0.13843042178790724,0.09158332303807863
ALLAN FP Equity_DX_DEMAND_SUPPLY_RATIO,2,4993,-0.1071431315090593,3.1788366456998873e-14,-0.0031908049302173404,0.8216602473831777,-0.003708352289731959,0.7285816649570256,0.6684292528584375,-3.8544247485235585,39.2182395778896,0.011479650629567906,0.011281590050651769,3.178836645694027e-14,0.1071431315090593,0.0031908049302173404,0.003708352289731959
ALLAN FP Equity_DX_UTILIZATION_QUANTITY,2,4993,-0.10312767597392947,2.7772057862380807e-13,0.011445679147147407,0.4187516005394729,0.009698654611021013,0.3642879663483036,0.717097877847491,-0.06511794178393486,39.30030867567975,0.010635317551784929,0.010437087801745237,2.7772057862309994e-13,0.10312767597392947,0.011445679147147407,0.009698654611021013
ALLAN FP Equity_DX_SUPPLY_SI_MV,2,4993,0.10081158461074217,9.34156666981063e-13,0.07634634265525371,6.617632199480826e-08,0.059805779751070966,7.288137745067303e-08,0.39919683137428175,34.283012244252376,38.04327875648834,0.010162975591728851,0.009964651202947428,9.341566669806979e-13,0.10081158461074217,0.07634634265525371,0.059805779751070966
ALLAN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,4993,0.0906173131582464,1.410800013347178e-10,0.05878104626775792,3.2373909376748535e-05,0.05060676432434891,2.049550124348556e-06,0.7945113657832854,3.183316018622582e-05,38.08298492392775,0.008211497444019944,0.00801278205581002,1.4108000133471343e-10,0.0906173131582464,0.05878104626775792,0.05060676432434891
ALLAN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,2,4993,-0.05490162692366765,0.00010387013263375698,-0.004512152446492802,0.7499117477629679,-0.0052435032808995485,0.6222845660409294,0.4488827132697586,-0.2943440855487033,38.719531245391785,0.0030141886388654893,0.0028144319144893792,0.00010387013263371584,0.05490162692366765,0.004512152446492802,0.0052435032808995485
ALLAN FP Equity_DX_SI_MV,2,4993,0.05367331785988225,0.00014799818052812187,0.0021091335484172812,0.8815562520556525,0.0012579760468517762,0.9093546051264159,0.3946875188226424,12.06748419202166,38.28668974257673,0.0028808250500875765,0.0026810416048962393,0.0001479981805281191,0.05367331785988225,0.0021091335484172812,0.0012579760468517762
ALLAN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,2,4993,-0.04610049945719322,0.0011202985575112635,-0.011658209270340928,0.41016439929724924,-0.01457934698207458,0.17501751542005484,0.5767609179365936,-2.7672593376745627,38.688979862990735,0.0021252560502031947,0.0019253212187165802,0.0011202985575115058,0.04610049945719322,0.011658209270340928,0.01457934698207458
ALLAN FP Equity_DX_SHORT_INTEREST_VALUE,2,4993,0.045033180645505405,0.0014580045412006667,0.02622131217388817,0.06392780270106553,0.023630303768328215,0.02629238317415342,0.7360663337397177,1.0403556907846294e-05,38.32497748773532,0.0020279873590509645,0.0018280330387462351,0.0014580045412009499,0.045033180645505405,0.02622131217388817,0.023630303768328215
ALLAN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,4993,0.04124228374586117,0.003559870768745245,-0.12439775461231634,1.1225717124498914e-18,-0.09710539006142851,3.9280107398875635e-19,0.5968747445352554,1.6611445426171164e-05,38.36123124832615,0.0017009259685745182,0.0015009061180372152,0.003559870768745065,0.04124228374586117,0.12439775461231634,0.09710539006142851
ALLAN FP Equity_DX_BROKER_SI_QTY,2,4993,-0.03963697368626857,0.005091387535166307,-0.1354545481764021,7.025032060912534e-22,-0.10810435147278592,3.760724218641358e-23,0.4909916311482734,-0.0005752373819370301,38.66363416615195,0.0015710896830063437,0.001371043818386597,0.005091387535165915,0.03963697368626857,0.1354545481764021,0.10810435147278592
ALLAN FP Equity_DX_SI_QTY,2,4993,-0.036184860799669,0.01055605455049522,0.0039272376926621985,0.7814462844052279,0.004791825574833351,0.6536889950077367,0.6337554220573138,-0.0002905961658141385,38.662198400202875,0.0013093441510910742,0.0011092458429666774,0.010556054550495615,0.036184860799669,0.0039272376926621985,0.004791825574833351
ALLAN FP Equity_DX_BROKER_SI_CON_RATIO,2,4993,0.032081733266101024,0.023393372400904177,0.03276853309250829,0.020585326922280867,0.025538830503408026,0.022969229201324107,0.2507659532142401,1.1617713787315616,38.157864599885315,0.0010292376093581357,0.0008290831789051767,0.023393372400910033,0.032081733266101024,0.03276853309250829,0.025538830503408026
ALLAN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,4993,0.02945598844969326,0.03740418098768638,0.032853399733328736,0.020259613572368627,0.025681860328116833,0.02219954370784627,0.2575604183068514,0.010570199211913371,38.18496342507166,0.0008676552555487715,0.0006674684503504835,0.037404180987693374,0.02945598844969326,0.032853399733328736,0.025681860328116833
ALLAN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,4993,0.02539979471945238,0.07271439580605367,-0.02198758709110151,0.12031154441498966,-0.018223035322490783,0.10931636684485686,0.1555403444138943,0.04635167531479482,38.41693134482311,0.0006451495717905154,0.00044491818520897564,0.07271439580603362,0.02539979471945238,0.02198758709110151,0.018223035322490783
ALLAN FP Equity_DX_SUPPLY_SI_QTY,2,4993,-0.01834201457514464,0.19502627841614026,0.044331013370323295,0.001728898007320711,0.036903413941242136,0.0005658883877412489,0.6374651864174554,-0.00022732287476381297,38.59758710526953,0.0003364294986742955,0.00013613625673858376,0.19502627841614462,0.01834201457514464,0.044331013370323295,0.036903413941242136
ALLAN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,4993,-0.01452403925004774,0.3048526204346702,-0.10810657982849166,1.86686910028514e-14,-0.08808220228464853,4.920435439268073e-15,0.2509777229332839,-7.505598646741983,38.56897174408715,0.00021094771613716645,1.0629332589995322e-05,0.30485262043460926,0.01452403925004774,0.10810657982849166,0.08808220228464853
ALLAN FP Equity_DX_ACTIVE_UTILIZATION_MV,2,4993,-0.014420729682438465,0.3083058214254715,0.04183875621764097,0.0031071898546853913,0.033545751328360685,0.003547255788725885,0.16787517163057109,-0.005012399770479457,38.671150460912834,0.00020795744457346999,7.638461893555437e-06,0.30830582142555585,0.014420729682438465,0.04183875621764097,0.033545751328360685
ALLAN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,4993,-0.014419736131216571,0.3083391567168254,0.04183886075483557,0.0031071153409167494,0.033550249384542284,0.0035431007908495516,0.1679537503943085,-0.005012056945993532,38.671139881617634,0.00020792879009368104,7.6098016725811846e-06,0.30833915671667084,0.014419736131216571,0.04183886075483557,0.033550249384542284
ALLAN FP Equity_DX_BROKER_SI_QTY_INC,2,4993,-0.013861492721350128,0.3274460929741918,0.019460927691746413,0.16915696687480763,0.015855678979514825,0.17010020973175832,0.0,-0.0013004487993305209,38.520415121192904,0.00019214098046382855,-8.181171213150762e-06,0.3274460929741896,0.013861492721350128,0.019460927691746413,0.015855678979514825
ALLAN FP Equity_DX_SUPPLY_SI_QTY_INC_x,2,4993,-0.01372693957756395,0.3321639680067778,0.007931210383752359,0.5752768433520706,0.0064363739937388885,0.5775705162519834,0.0,-0.0012892387911232971,38.52136668910623,0.00018842887016612409,-1.1894025271574904e-05,0.33216396800679715,0.01372693957756395,0.007931210383752359,0.0064363739937388885
ALLAN FP Equity_DX_SUPPLY_SI_QTY_INC_y,2,4993,-0.01372693957756395,0.3321639680067778,0.007931210383752359,0.5752768433520706,0.0064363739937388885,0.5775705162519834,0.0,-0.0012892387911232971,38.52136668910623,0.00018842887016612409,-1.1894025271574904e-05,0.33216396800679715,0.01372693957756395,0.007931210383752359,0.0064363739937388885
ALLAN FP Equity_DX_BROKER_SI_MV_INC_x,2,4993,-0.013229872571023534,0.34997126837280823,-0.01651983317218952,0.24317079808319417,-0.013506755657050817,0.2430614652579106,0.0,-40.645018060199725,38.52003266855331,0.00017502952824555162,-2.5296051892942373e-05,0.3499712683728251,0.013229872571023534,0.01651983317218952,0.013506755657050817
ALLAN FP Equity_DX_BROKER_SI_MV_INC_y,2,4993,-0.013229872571023534,0.34997126837280823,-0.01651983317218952,0.24317079808319417,-0.013506755657050817,0.2430614652579106,0.0,-40.645018060199725,38.52003266855331,0.00017502952824555162,-2.5296051892942373e-05,0.3499712683728251,0.013229872571023534,0.01651983317218952,0.013506755657050817
ALLAN FP Equity_DX_BROKER_SI_QTY_ADD,2,4993,-0.009630123319931067,0.4963011586939278,0.0002526317349121506,0.985761083273561,0.0001980464134704482,0.986320378633955,0.0,-0.0005636196560893225,38.52094203124071,9.273927515696112e-05,-0.00010760279271027073,0.4963011586939041,0.009630123319931067,0.0002526317349121506,0.0001980464134704482
ALLAN FP Equity_DX_BROKER_SI_QTY_DEC,2,4993,-0.008746559861943075,0.5366418075020084,0.013961675208278143,0.3239617494058471,0.011292502124871142,0.32753154605514534,0.0,-0.0004350433557026684,38.521021822887526,7.650230941858016e-05,-0.00012384301169765521,0.5366418075020479,0.008746559861943075,0.013961675208278143,0.011292502124871142
