feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALMDT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,3667,0.4206052911238272,3.5795036509795e-157,0.25261718035257646,1.7202513326764396e-54,0.19978713276830892,1.375225234009346e-54,0.4339725868534552,1.0230523752451207e-06,7.093997852965058,0.1769088109213598,0.17668422942365758,3.5795036509470305e-157,0.4206052911238272,0.25261718035257646,0.19978713276830892
ALMDT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,3667,0.42036850919574453,5.579291752919522e-157,0.25251807867453024,1.8980831137618137e-54,0.19947961421183322,2.0848690861184414e-54,0.406433923836089,1.0235656138663423,7.093825167488878,0.17670968352345284,0.17648504769358198,5.5792917528888904e-157,0.42036850919574453,0.25251807867453024,0.19947961421183322
ALMDT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,3667,0.30396696338573564,3.027759258170317e-79,0.233463491563162,1.3963837069721074e-46,0.178721681227293,5.231930602618859e-44,0.4345339131829071,8.60159458248194e-06,7.212232576677299,0.09239591482994514,0.09214827387901192,3.027759258195996e-79,0.30396696338573564,0.233463491563162,0.178721681227293
ALMDT FP Equity_DX_ACTIVE_UTILIZATION_MV,2,3667,-0.3036523127858867,4.4585780895862176e-79,-0.2034072895083391,1.5154259372483233e-35,-0.14776769513352458,6.364951571331864e-32,0.5360264866815068,-0.03076485527223371,8.397672106891045,0.09220472706021798,0.091957033943454,4.45857808959697e-79,0.3036523127858867,0.2034072895083391,0.14776769513352458
ALMDT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,3667,-0.3035472050899215,5.073348419251648e-79,-0.20341010374661236,1.5120923315836765e-35,-0.14775379009212858,6.459240709051517e-32,0.5372952257196109,-0.030755827872672684,8.397417827833436,0.09214090571790279,0.0918931951874028,5.073348419206524e-79,0.3035472050899215,0.20341010374661236,0.14775379009212858
ALMDT FP Equity_DX_SHORT_INTEREST_VALUE,2,3667,0.27701756477236217,1.3592946015184474e-65,-0.005345096809433876,0.7462648482647944,-0.015544988724094417,0.20649147477448537,0.6436086017990896,1.225262452376654e-06,7.231795757438832,0.07673873119241015,0.07648681815862901,1.3592946015157241e-65,0.27701756477236217,0.005345096809433876,0.015544988724094417
ALMDT FP Equity_DX_SI_MV,2,3667,0.26725066683818816,5.222044338069941e-61,-0.008632856500785036,0.6012521601123286,-0.016939579006740944,0.16886824690162616,0.6245868548460525,1.1528872663602463,7.24344595581047,0.07142291892545627,0.0711695554654086,5.222044338110859e-61,0.26725066683818816,0.008632856500785036,0.016939579006740944
ALMDT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,3667,0.2498572843034188,2.6202381472322605e-53,-0.007334719581564411,0.6570324198061286,-0.01619719972881194,0.18808230213900756,0.5992983903125606,1.989706157508108e-06,7.2631008200039116,0.06242866251947932,0.062172844964914376,2.620238147238124e-53,0.2498572843034188,0.007334719581564411,0.01619719972881194
ALMDT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,3667,0.2483114560423876,1.1869139039053006e-52,-0.006663802787051282,0.6866550604189345,-0.014609927684222155,0.23534071300496484,0.6184387630693062,1.9706858420022422e-06,7.264845068579386,0.06165857920189066,0.06140255152909435,1.186913903898741e-52,0.2483114560423876,0.006663802787051282,0.014609927684222155
ALMDT FP Equity_DX_SUPPLY_SI_MV,2,3667,0.24713977758001035,3.703875699459183e-52,-0.007155208242005031,0.6649080587898839,-0.015447263653711293,0.2100010257931363,0.5881343296384549,1.9608703733380282,7.266672598799501,0.06107806966229723,0.060821883596720694,3.7038756994384164e-52,0.24713977758001035,0.007155208242005031,0.015447263653711293
ALMDT FP Equity_DX_UTILIZATION_QUANTITY,2,3667,-0.1950007343127324,9.425215605256705e-33,-0.14584026718330745,6.933839312251007e-19,-0.10851533019319101,1.2127154982561573e-18,0.626497129474763,-0.0427340102521955,8.11779750717999,0.03802528638250524,0.0377628103351334,9.425215605233577e-33,0.1950007343127324,0.14584026718330745,0.10851533019319101
ALMDT FP Equity_DX_SUPPLY_SI_QTY_DEC,2,3667,-0.1507607171064164,4.358235195470051e-20,-0.14332890439726648,2.7455047626492546e-18,-0.11028174155713537,7.860660416038553e-18,0.12176180942502057,-9.528436603503498e-05,7.8871563597347825,0.022728793822440974,0.022462144107249227,4.3582351954711053e-20,0.1507607171064164,0.14332890439726648,0.11028174155713537
ALMDT FP Equity_DX_BROKER_SI_QTY,2,3667,-0.1347664234598927,2.495278409663193e-16,-0.12180101978345338,1.353587080343306e-13,-0.10355390918603734,3.9364096498092024e-17,0.5760661561607381,-8.973343532522614e-06,8.041134910466592,0.01816198889217091,0.01789409311833512,2.495278409669398e-16,0.1347664234598927,0.12180101978345338,0.10355390918603734
ALMDT FP Equity_DX_SUPPLY_SI_QTY,2,3667,-0.13202485116039187,9.96413632031844e-16,-0.11844054073616347,6.239216823021958e-13,-0.09949423112964467,6.435690784457752e-16,0.5696129117223578,-8.697676025820294e-06,8.032780295185335,0.01743056132392351,0.01716246597912785,9.964136320345873e-16,0.13202485116039187,0.11844054073616347,0.09949423112964467
ALMDT FP Equity_DX_SUPPLY_SI_QTY_INC_x,2,3667,-0.12788289050586968,7.644295676394162e-15,-0.0863641723265387,1.6245487608248635e-07,-0.06743680223891024,1.9277304417968843e-07,0.09682916298907496,-7.372924572379001e-05,7.85057617877564,0.016354033684136238,0.016085644607378824,7.644295676402472e-15,0.12788289050586968,0.0863641723265387,0.06743680223891024
ALMDT FP Equity_DX_SUPPLY_SI_QTY_INC_y,2,3667,-0.12788289050586968,7.644295676394162e-15,-0.0863641723265387,1.6245487608248635e-07,-0.06743680223891024,1.9277304417968843e-07,0.09682916298907496,-7.372924572379001e-05,7.85057617877564,0.016354033684136238,0.016085644607378824,7.644295676402472e-15,0.12788289050586968,0.0863641723265387,0.06743680223891024
ALMDT FP Equity_DX_BROKER_SI_QTY_DEC,2,3667,-0.0888247318209128,7.137813448318763e-08,-0.14823923641978556,1.8204965543418496e-19,-0.1149636518015998,2.6513209365600737e-19,0.12131889602403545,-4.7417749995454355e-05,7.811668162038307,0.00788983298305701,0.007619134438168307,7.137813448317745e-08,0.0888247318209128,0.14823923641978556,0.1149636518015998
ALMDT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,2,3667,0.08816012361388902,8.932682107229906e-08,-0.06998783280901115,2.2161218607116516e-05,-0.05730986437156168,3.21566946413955e-06,0.5887694978191171,0.09714367252042486,7.586878564688527,0.007772207395616015,0.007501476756433312,8.932682107249643e-08,0.08816012361388902,0.06998783280901115,0.05730986437156168
ALMDT FP Equity_DX_SI_QTY,2,3667,-0.08320544986734157,4.520952555577742e-07,-0.10159669422614298,6.998265262230672e-10,-0.08957399566655336,3.3651525603855923e-13,0.5902195409739677,-3.2583586942146817e-06,7.920205953554992,0.00692314688762663,0.006652184581183884,4.5209525555759244e-07,0.08320544986734157,0.10159669422614298,0.08957399566655336
ALMDT FP Equity_DX_DEMAND_SUPPLY_RATIO,2,3667,-0.07754658654157595,2.5841929517351184e-06,-0.13286349157229582,6.543632905348004e-16,-0.0982928419643201,1.3956530166763866e-15,0.5978520809890013,-0.3129887154508886,7.804204745687866,0.006013473084249932,0.005742262572130952,2.584192951737223e-06,0.07754658654157595,0.13286349157229582,0.0982928419643201
ALMDT FP Equity_DX_BROKER_SI_QTY_ADD,2,3667,-0.06593108628442064,6.455964062730109e-05,-0.02845783951553146,0.08487993501890688,-0.022864158747449438,0.08737878164170824,0.01339714864152497,-9.765961704697743e-05,7.762660689621627,0.004346908138643579,0.004075242902119247,6.455964062731203e-05,0.06593108628442064,0.02845783951553146,0.022864158747449438
ALMDT FP Equity_DX_BROKER_SI_MV_INC_x,2,3667,0.059715914183152786,0.0002967294021947254,-0.015836719107216266,0.33769089284467757,-0.013156038364816394,0.31551844090554504,0.06563365731207793,2.469389573323459,7.71421468919409,0.003565990406729891,0.003294112095790336,0.000296729402194663,0.059715914183152786,0.015836719107216266,0.013156038364816394
