feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALSGD FP Equity_DX_ACTIVE_UTILIZATION_MV,2,3144,-0.580488457537689,1.0497943662500515e-282,-0.5586396404439221,1.5125224049748494e-257,-0.45642057108113104,2.1902226606011535e-215,0.3707157459935131,-0.033068476214831825,3.9403592527785327,0.3369668493344853,0.33675582668946125,1.049794366242179e-282,0.580488457537689,0.5586396404439221,0.45642057108113104
ALSGD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,3144,-0.5804884473604365,1.049823775013222e-282,-0.5585407884147334,1.9467000412728822e-257,-0.4563333656635432,3.0880209090289015e-215,0.37052751237540704,-0.03306847840484403,3.940359230769217,0.3369668375189303,0.3367558148701457,1.0498237750222743e-282,0.5804884473604365,0.5585407884147334,0.4563333656635432
ALSGD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,3144,-0.5238570488251747,3.6685921138280095e-221,-0.5543436322415491,8.105736507323198e-253,-0.409145552617378,2.1157564221878994e-209,0.7555822382507635,-0.04604238291128696,3.697262247831809,0.2744262076038215,0.2741952802351404,3.668592113811837e-221,0.5238570488251747,0.5543436322415491,0.409145552617378
ALSGD FP Equity_DX_UTILIZATION_QUANTITY,2,3144,-0.5061107626244282,3.580203704836091e-204,-0.5327081839140584,5.085404050903133e-230,-0.39937551146004113,1.2657052265676689e-197,0.8552750284360338,-0.03917533123952938,3.6313986731047603,0.25614810404428046,0.2559113593288267,3.580203704822978e-204,0.5061107626244282,0.5327081839140584,0.39937551146004113
ALSGD FP Equity_DX_BROKER_SI_CON_RATIO,2,3144,-0.4936704870809362,7.557045752010997e-193,-0.5599721220051452,4.99766600484172e-259,-0.4185507203805076,4.929934559939934e-219,0.8496316672277806,-4.774061868631182,3.5697447667746554,0.24371054981472884,0.2434698466160703,7.557045751975702e-193,0.4936704870809362,0.5599721220051452,0.4185507203805076
ALSGD FP Equity_DX_DSS,2,3144,-0.484661213476858,6.192115439564095e-185,-0.4502679137928938,8.162611325036277e-157,-0.3678733528747125,1.3474551884647188e-140,0.2703427842037305,-2.921587872792265,3.5635926296633196,0.23489649184886008,0.23465298341214746,6.192115439643328e-185,0.484661213476858,0.4502679137928938,0.3678733528747125
ALSGD FP Equity_DX_SI_QTY,2,3144,-0.4760682498706262,1.324217441578499e-177,-0.5424783103174248,4.1447933253087826e-240,-0.41223539612932114,5.610946122249445e-213,0.9514007079859028,-2.2549042243572437e-05,3.5297025737904404,0.22664097853488097,0.2263948426273491,1.3242174415780685e-177,0.4760682498706262,0.5424783103174248,0.41223539612932114
ALSGD FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,3144,-0.46779764427713594,9.593400130140976e-171,-0.41661429435156305,2.922427380517517e-132,-0.3095735159694315,2.159874777583529e-118,0.5528054054739222,-0.09717845698205847,3.5329836563423287,0.2188346359912382,0.2185860155698478,9.593400130087007e-171,0.46779764427713594,0.41661429435156305,0.3095735159694315
ALSGD FP Equity_DX_BROKER_SI_QTY,2,3144,-0.4650824085016574,1.5604473964284622e-168,-0.550748010293074,6.517990811592354e-249,-0.42273438488435877,8.106004010627922e-224,0.984410510967753,-2.499466485120042e-05,3.484929921401946,0.21630164669770213,0.216052220105308,1.5604473964334988e-168,0.4650824085016574,0.550748010293074,0.42273438488435877
ALSGD FP Equity_DX_SUPPLY_SI_QTY,2,3144,-0.462894167900509,9.137928600453836e-167,-0.584504562311543,1.5364603279738247e-287,-0.47240082468713346,2.2571854631795808e-278,1.0434904500815265,-2.8225798116993337e-05,3.4081357465270457,0.2142710106763046,0.2140209377961888,9.137928600499068e-167,0.462894167900509,0.584504562311543,0.47240082468713346
