feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALWEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,3319,0.20210151052299233,6.244475991427211e-32,0.3711649374205249,6.421212097757153e-109,0.2986491931271265,1.7580870960484647e-103,0.2396232940229508,9.65088834499254e-05,9.334828795910106,0.04084502055567518,0.04055585716120913,6.244475991435234e-32,0.20210151052299233,0.3711649374205249,0.2986491931271265
ALWEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,3319,0.20182804551243272,7.568699418759614e-32,0.32248095833747636,3.464120231328745e-81,0.2612617060302927,1.3478282590377297e-77,0.13261853630601195,95.81449965516184,9.337982818167111,0.0407345599553689,0.04044536325954606,7.56869941877219e-32,0.20182804551243272,0.32248095833747636,0.2612617060302927
ALWEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,3319,0.19489724078856505,9.028440692607832e-30,0.37025895576542556,2.3419624910830643e-108,0.2969451728955013,1.50431683272153e-101,0.18505959568230468,0.0016163631694418468,9.346153359474282,0.03798493446699536,0.03769490882167348,9.028440692597781e-30,0.19489724078856505,0.37025895576542556,0.2969451728955013
ALWEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,3319,0.1627155308402757,3.963747319821498e-21,0.17709282881557573,8.676223744791533e-25,0.14495796387760007,1.9641148275236204e-24,0.02545324105708291,0.08131982394366175,9.456750000000008,0.026476343976632788,0.02618284875323118,3.9637473198230405e-21,0.1627155308402757,0.17709282881557573,0.14495796387760007
ALWEC FP Equity_DX_BROKER_SI_CON_RATIO,2,3319,0.1627155308402757,3.963747319821498e-21,0.17709282881557573,8.676223744791533e-25,0.14495796387760007,1.9641148275236204e-24,0.02545324105708291,8.131982394366192,9.456750000000008,0.026476343976632788,0.02618284875323118,3.963747319822672e-21,0.1627155308402757,0.17709282881557573,0.14495796387760007
ALWEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,3319,0.1627155308402757,3.963747319821498e-21,0.17709282881557573,8.676223744791533e-25,0.14495796387760007,1.9641148275236204e-24,0.02545324105708291,0.08131982394366175,9.456750000000008,0.026476343976632788,0.02618284875323118,3.9637473198230405e-21,0.1627155308402757,0.17709282881557573,0.14495796387760007
ALWEC FP Equity_DX_ACTIVE_UTILIZATION_MV,2,3319,0.1627155308402757,3.963747319821498e-21,0.17709282881557573,8.676223744791533e-25,0.14495796387760007,1.9641148275236204e-24,0.02545324105708291,0.08131982394366175,9.456750000000008,0.026476343976632788,0.02618284875323118,3.9637473198230405e-21,0.1627155308402757,0.17709282881557573,0.14495796387760007
ALWEC FP Equity_DX_DEMAND_SUPPLY_RATIO,2,3319,0.11673733351267572,1.5211421458597266e-11,0.17684373013815022,1.0103858006389054e-24,0.14418045562764248,2.037437504133801e-24,0.03584363296396331,7.656032667148261,9.53514009429962,0.01362760503564997,0.013330236209914692,1.5211421458589027e-11,0.11673733351267572,0.17684373013815022,0.14418045562764248
ALWEC FP Equity_DX_UTILIZATION_QUANTITY,2,3319,0.10067069338311813,6.161982553033967e-09,0.17675896599164329,1.0640866014230136e-24,0.1440569794945618,2.244016959241974e-24,0.03458149639883712,0.10017661570638314,9.552904405483053,0.010134588506237385,0.009836166615524888,6.1619825530316155e-09,0.10067069338311813,0.17675896599164329,0.1440569794945618
ALWEC FP Equity_DX_SHORT_INTEREST_VALUE,2,3319,0.10036397721231477,6.852393888881274e-09,0.1767910581567735,1.0434305882724195e-24,0.14416025262270377,2.0440753727857576e-24,0.04335857638910401,0.00011540365359230066,9.553365651595252,0.01007292792187342,0.009774487441898239,6.852393888882223e-09,0.10036397721231477,0.1767910581567735,0.14416025262270377
ALWEC FP Equity_DX_SI_MV,2,3319,0.0943942566830976,5.08692503757741e-08,0.1360693352532527,3.4694129451797806e-15,0.11098184125572481,4.875010944252012e-15,0.029656278789480295,106.50918360986387,9.561714147405489,0.008910275694754666,0.008611484701596672,5.0869250375768774e-08,0.0943942566830976,0.1360693352532527,0.11098184125572481
ALWEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,3319,0.08658244717905482,5.865766042544977e-07,0.17590757091437542,1.7874952294764575e-24,0.14354150108834887,3.615458657268986e-24,0.043188124420300955,41.51687954179288,9.569415875337507,0.007496520159513853,0.0071973029512412134,5.86576604254567e-07,0.08658244717905482,0.17590757091437542,0.14354150108834887
ALWEC FP Equity_DX_SI_QTY,2,3319,0.08493411100039666,9.577238447058146e-07,0.17681667519990044,1.0272276797330354e-24,0.14421736118016384,2.133370891092988e-24,0.04790439540827429,0.0014529636619926938,9.571408720200793,0.007213803211427949,0.006914500770430543,9.577238447054879e-07,0.08493411100039666,0.17681667519990044,0.14421736118016384
ALWEC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,2,3319,0.08436600139730234,1.1316875583807105e-06,0.17680893414381882,1.0320974863139225e-24,0.14425367004460496,2.031844189010614e-24,0.046744259603765714,7.072073840497827,9.571984828248219,0.007117622191769701,0.006818290754384115,1.1316875583803776e-06,0.08436600139730234,0.17680893414381882,0.14425367004460496
ALWEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,3319,0.07246190500378934,2.9342930678579296e-05,0.17679728896602692,1.0394664277149575e-24,0.14415352563913328,2.0559598183708174e-24,0.04313831919331235,9.503866110414428e-05,9.58502288827241,0.005250727676777922,0.0049508334131894705,2.934293067857887e-05,0.07246190500378934,0.17679728896602692,0.14415352563913328
ALWEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,3319,0.07163170128002977,3.619608129423395e-05,0.17374704647355896,6.588572529797587e-24,0.14166613421350072,1.256847135429144e-23,0.04183894436114399,9.399260696700308e-05,9.585859344924609,0.005131100628271268,0.0048311702998505845,3.6196081294232715e-05,0.07163170128002977,0.17374704647355896,0.14166613421350072
ALWEC FP Equity_DX_SUPPLY_SI_MV,2,3319,0.07010252235664771,5.297195142035431e-05,0.1360276110032627,3.5376650436587292e-15,0.11094350378796274,5.032898490726885e-15,0.02648691498677902,89.44109766044343,9.587053155103968,0.004914363640764918,0.004614367971075728,5.2971951420345575e-05,0.07010252235664771,0.1360276110032627,0.11094350378796274
ALWEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,2,3319,0.06400175125984023,0.0002246212590460967,0.17674000952263658,1.0764775773087868e-24,0.1438804552428451,2.498715792230528e-24,0.03721942453823912,1.123425613496548,9.592819444659591,0.004096224164326201,0.0037959818442070414,0.00022462125904607362,0.06400175125984023,0.17674000952263658,0.1438804552428451
ALWEC FP Equity_DX_SUPPLY_SI_QTY,2,3319,0.06110426851610668,0.00042793442776129555,0.1768230149592695,1.0232563669199581e-24,0.14421306559576497,2.1443821297320073e-24,0.04706176319647226,0.0011226289829927478,9.59586005901845,0.003733731630888193,0.003433380027521027,0.00042793442776137546,0.06110426851610668,0.1768230149592695,0.14421306559576497
ALWEC FP Equity_DX_BROKER_SI_QTY,2,3319,0.06050424356927312,0.0004874168805332244,0.1737730220742115,6.486691556574073e-24,0.1417236678881173,1.3115696000531156e-23,0.04625930230315611,0.0011118461145615177,9.596395782610875,0.0036607634898903063,0.003360389888289572,0.0004874168805331514,0.06050424356927312,0.1737730220742115,0.1417236678881173
ALWEC FP Equity_DX_SUPPLY_SI_MV_DEC,2,3319,0.02363040139781456,0.17350020148641876,0.05294574810908416,0.0022790128255416476,0.04332920175553775,0.0022893462467828856,0.0,93.89188398011117,9.626182976367328,0.0005583958702216618,0.0002570869753981686,0.17350020148642115,0.02363040139781456,0.05294574810908416,0.04332920175553775
ALWEC FP Equity_DX_BROKER_SI_MV_DEC,2,3319,0.023561714129046674,0.17475407882487773,0.05251639539516738,0.002474368707168396,0.04298084293591053,0.0024833966578030634,0.0,93.61896533766,9.62619613303584,0.0005551543726988184,0.00025384450063759,0.17475407882488006,0.023561714129046674,0.05251639539516738,0.04298084293591053
