feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CN1 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,4292,-0.306698908066865,3.7321090055641676e-94,-0.2993788193160104,1.3592403056451608e-89,-0.23790556353058318,5.691880116937744e-102,0.7881180379508756,-66.36786604059836,386.66017005194107,0.09406422020940719,0.09385304636796421,3.7321090055730407e-94,0.306698908066865,0.2993788193160104,0.23790556353058318
CN1 FP Equity_DX_SI_QTY,2,4292,-0.30509803355326737,3.8087836240865037e-93,-0.2867140513195186,5.207960634173368e-82,-0.2233916187984366,3.3670630975352564e-91,0.8044293348688734,-0.007756937050985615,385.7918412938367,0.09308481007807057,0.09287340793589771,3.8087836240899126e-93,0.30509803355326737,0.2867140513195186,0.2233916187984366
CN1 FP Equity_DX_BROKER_SI_QTY,2,4292,-0.29757560757519325,1.724826805598307e-88,-0.27453230872608325,4.458656964604009e-75,-0.2144277060004981,2.123555766993995e-82,0.7711212433053665,-0.014232909038579891,386.45721466218254,0.08855124222374544,0.08833878330584888,1.7248268055934626e-88,0.29757560757519325,0.27453230872608325,0.2144277060004981
CN1 FP Equity_DX_SUPPLY_SI_QTY,2,4292,-0.2953190945507156,4.040441564259442e-87,-0.2286843258762079,4.8651223418711965e-52,-0.17595806831142985,1.0714762088613936e-53,0.7054862964727273,-0.014673592725077072,383.1202700485326,0.08721336760625487,0.08700059682947314,4.040441564247691e-87,0.2953190945507156,0.2286843258762079,0.17595806831142985
CN1 FP Equity_DX_SHORT_INTEREST_VALUE,2,4292,-0.2760961819731917,6.008707534970318e-76,-0.25248884801692995,2.0741107799221498e-63,-0.1916276095798315,9.120713386651157e-68,0.7856422260251046,-2.9098021289193883e-05,385.26491721756895,0.07622910170017383,0.07601377048844893,6.008707534973575e-76,0.2760961819731917,0.25248884801692995,0.1916276095798315
CN1 FP Equity_DX_SI_MV,2,4292,-0.2760750575184949,6.174143371095711e-76,-0.27247324546764734,6.116785213624356e-74,-0.20901272901516577,1.58356638740841e-79,0.7616636804935486,-29.210973215143497,385.2855082419869,0.07621743738384024,0.0760021034531605,6.174143371107478e-76,0.2760750575184949,0.27247324546764734,0.20901272901516577
CN1 FP Equity_DX_SUPPLY_SI_MV,2,4292,-0.2706177544166806,6.352407287292952e-73,-0.24386117190881396,3.828336455139644e-59,-0.1853364544984109,6.203466642645979e-59,0.675733712072573,-56.03684751032411,382.4348210329704,0.07323396900552703,0.07301793962767289,6.352407287289276e-73,0.2706177544166806,0.24386117190881396,0.1853364544984109
CN1 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,4292,-0.27054315798596534,6.976442114009186e-73,-0.21220956261539095,6.791124645076662e-45,-0.15850212968755195,5.237198776741462e-44,0.7130880753950892,-5.596722828609497e-05,382.42380032929344,0.07319360033301903,0.07297756154521795,6.97644211399004e-73,0.27054315798596534,0.21220956261539095,0.15850212968755195
CN1 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,4292,-0.25159809063342303,5.82129491220322e-63,-0.23991517888177966,3.012278605618973e-57,-0.18169313205387497,6.723625808457031e-60,0.7232753449626683,-4.8097058355666094e-05,384.4248159311708,0.06330159921038447,0.06308325459481579,5.821294912206608e-63,0.25159809063342303,0.23991517888177966,0.18169313205387497
CN1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,4292,-0.22910088872335144,3.1538653599755073e-52,-0.20068680323697657,3.058471001054784e-40,-0.15656436854902914,9.014277144605994e-48,1.1580690230525637,-0.0024599659757662054,379.80549006475337,0.05248721721382965,0.05226635176329675,3.1538653599703185e-52,0.22910088872335144,0.20068680323697657,0.15656436854902914
CN1 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,2,4292,-0.19233342549790694,4.841933747165367e-37,-0.21653573280579017,1.0283466441346023e-46,-0.1696242960972733,2.209830652685352e-53,0.6080815073389525,-9.919250568146253,378.24734407729375,0.03699214656375893,0.036767669208645604,4.84193374715926e-37,0.19233342549790694,0.21653573280579017,0.1696242960972733
CN1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,4292,-0.18991029082779512,3.854864771579839e-36,-0.21852069760302542,1.458096941323755e-47,-0.1507266840626624,1.3236246214980782e-43,1.1195509424594352,-6.696441977789831,376.1529113491135,0.036065918562298016,0.03584122530322165,3.854864771573405e-36,0.18991029082779512,0.21852069760302542,0.1507266840626624
CN1 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,4292,-0.1864604286944986,7.044435207635356e-35,-0.18574213785276597,1.2808208666770053e-34,-0.12977862625162734,1.5100220315568913e-33,1.2576328772939172,-6.580772797902165e-06,376.06113293761837,0.03476749146893632,0.03454249554620181,7.044435207623676e-35,0.1864604286944986,0.18574213785276597,0.12977862625162734
CN1 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,4292,-0.14901542717633565,9.752048311661613e-23,-0.15255976852603617,9.123970617615238e-24,-0.11639183153308878,1.0083961759864493e-22,0.32942161939194836,-1.8233701083892364,374.2322878284825,0.02220559753654605,0.02197767343340773,9.752048311651181e-23,0.14901542717633565,0.15255976852603617,0.11639183153308878
CN1 FP Equity_DX_DEMAND_SUPPLY_RATIO,2,4292,0.13781220908877675,1.1987906298186326e-19,-0.10517503664334497,4.931732981336813e-12,-0.09647466003163531,2.0621153489728082e-18,0.8006172641238161,30.842044869044084,356.0307755093104,0.01899220497392884,0.018763531828235203,1.1987906298189056e-19,0.13781220908877675,0.10517503664334497,0.09647466003163531
CN1 FP Equity_DX_BROKER_SI_QTY_DEC,2,4292,-0.11196713289130165,1.8901064221210578e-13,-0.11236084265725409,1.554854712257282e-13,-0.09130856038966798,6.739511403440513e-14,0.04292959115146244,-0.02590322406764594,367.75294638347526,0.012536638847898574,0.012306460908236172,1.890106422119619e-13,0.11196713289130165,0.11236084265725409,0.09130856038966798
CN1 FP Equity_DX_SUPPLY_SI_QTY_DEC,2,4292,-0.11081547783586175,3.33299083383506e-13,-0.0989600442264725,8.179092253003253e-11,-0.07965181044934475,8.083182970254821e-11,0.049726283892466805,-0.024422842547455033,367.13472676112866,0.012280070127990372,0.012049832382099557,3.3329908338343156e-13,0.11081547783586175,0.0989600442264725,0.07965181044934475
CN1 FP Equity_DX_BROKER_SI_QTY_INC,2,4292,-0.10030581505102218,4.516153301842117e-11,-0.09698060552241317,1.9315598003137707e-10,-0.07924527873864202,1.221337847136724e-10,0.039016747386202644,-0.029782121295533173,366.5971685699174,0.01006125653304979,0.009830501581192697,4.5161533018459306e-11,0.10030581505102218,0.09698060552241317,0.07924527873864202
CN1 FP Equity_DX_SUPPLY_SI_QTY_INC_y,2,4292,-0.09540372231951735,3.784010365492458e-10,-0.09593766626566755,3.017074196638721e-10,-0.07781862135045167,2.816967895255884e-10,0.036905321741817376,-0.027877657734783918,366.2757527328365,0.009101870232419373,0.008870891647391965,3.7840103654912727e-10,0.09540372231951735,0.09593766626566755,0.07781862135045167
CN1 FP Equity_DX_SUPPLY_SI_QTY_INC_x,2,4292,-0.09540372231951735,3.784010365492458e-10,-0.09593766626566755,3.017074196638721e-10,-0.07781862135045167,2.816967895255884e-10,0.036905321741817376,-0.027877657734783918,366.2757527328365,0.009101870232419373,0.008870891647391965,3.7840103654912727e-10,0.09540372231951735,0.09593766626566755,0.07781862135045167
CN1 FP Equity_DX_ACTIVE_UTILIZATION_MV,2,4292,0.09537580982125111,3.828951215646652e-10,-0.05826865809644775,0.00013371767961405993,-0.057818851627558836,7.722879925238918e-07,0.4417917268345364,0.39393996491277616,355.0696344001532,0.009096545099059439,0.008865565272742293,3.828951215647355e-10,0.09537580982125111,0.05826865809644775,0.057818851627558836
CN1 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,4292,0.0953540670916732,3.8643188495259376e-10,-0.058264355431870314,0.00013387090773423795,-0.05780675756729975,7.772575598942046e-07,0.44205748988768745,0.3938457593433403,355.0711925608584,0.009092398110923217,0.0088614173179421,3.864318849527374e-10,0.0953540670916732,0.058264355431870314,0.05780675756729975
CN1 FP Equity_DX_SUPPLY_SI_MV_DEC,2,4292,-0.09182976885412145,1.6696710417699165e-09,-0.11202435569675627,1.8372998882024194e-13,-0.09002959950039141,2.1115446595820419e-13,0.03033209035139106,-78.49063303226956,366.6609149150897,0.008432706447801475,0.008201571880539937,1.6696710417712439e-09,0.09182976885412145,0.11202435569675627,0.09002959950039141
CN1 FP Equity_DX_BROKER_SI_MV_INC_x,2,4292,-0.08490056968151688,2.5392050915145572e-08,-0.09352975470651045,8.297771918335024e-10,-0.07603742756757262,6.526864506600871e-10,0.029060289615033374,-96.22402871281679,366.3177050550791,0.0072081067322460335,0.006976686710505331,2.5392050915169048e-08,0.08490056968151688,0.09352975470651045,0.07603742756757262
