feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
DSP5 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,2491,-0.3420886104971828,2.5203851185726583e-69,-0.3405638170195904,1.0969024067268139e-68,-0.2780671494162387,4.74141542221615e-66,0.20346149348713527,-0.20006337554013756,31.263461760807527,0.11702461743189352,0.1166698663742125,2.5203851185755374e-69,0.3420886104971828,0.3405638170195904,0.2780671494162387
DSP5 FP Equity_DX_ACTIVE_UTILIZATION_MV,2,2491,-0.3420879806988248,2.5219208695172034e-69,-0.34056265531564106,1.0981286796626152e-68,-0.2780502269266036,4.787722190790227e-66,0.20307772572974203,-0.200062853182379,31.263446868200354,0.11702418653859992,0.11666943530779983,2.5219208695213323e-69,0.3420879806988248,0.34056265531564106,0.2780502269266036
DSP5 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,2491,-0.32296496632902943,1.4312789321006406e-61,-0.28901117559339307,3.969550211743233e-49,-0.2344481155048162,8.605336049991189e-51,0.37864549455279994,-0.18250275067600455,32.03568389066057,0.10430636947591165,0.10394650863600641,1.4312789321029233e-61,0.32296496632902943,0.28901117559339307,0.2344481155048162
DSP5 FP Equity_DX_BROKER_SI_CON_RATIO,2,2491,-0.3181105248512651,1.0886236974237636e-59,-0.28500594451294586,9.096997378024574e-48,-0.23150569922179423,2.2494974377686848e-49,0.37053984416983243,-18.19470631103441,31.914389355275276,0.10119430602114754,0.10083319485442244,1.088623697423378e-59,0.3181105248512651,0.28500594451294586,0.23150569922179423
DSP5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,2491,-0.2827649681070513,5.131666370713776e-47,-0.4277118708105409,2.3642224520114612e-111,-0.3250940374549915,3.1757517257652505e-109,1.0676085558858932,-0.00034813960795605065,30.159935342473847,0.07995602718858186,0.07958638316575684,5.131666370711838e-47,0.2827649681070513,0.4277118708105409,0.3250940374549915
DSP5 FP Equity_DX_UTILIZATION_QUANTITY,2,2491,-0.23593509525044307,7.453934321812315e-33,-0.3289852711315495,5.945269931797832e-64,-0.25033137141193185,5.445224829144609e-59,0.500171711990631,-0.2871285844366555,29.2194786506974,0.05566536917083598,0.05528596594430757,7.453934321809863e-33,0.23593509525044307,0.3289852711315495,0.25033137141193185
DSP5 FP Equity_DX_SI_QTY,2,2491,-0.17015204055690286,1.2262819221342542e-17,-0.22795237023804696,1.0055275271998985e-30,-0.17145903093733247,1.0611900408510459e-29,0.6195270465101888,-0.00012110707193946955,28.22291907888198,0.028951716905678104,0.028561580994430846,1.2262819221346585e-17,0.17015204055690286,0.22795237023804696,0.17145903093733247
DSP5 FP Equity_DX_BROKER_SI_QTY,2,2491,-0.16786089181319494,3.351184166719983e-17,-0.22307556663364939,1.8372805108852336e-29,-0.1679312653880846,1.837053887746548e-28,0.621477978716912,-0.00018751694777251722,28.308381760407997,0.028177279000321298,0.02778683194487741,3.351184166719167e-17,0.16786089181319494,0.22307556663364939,0.1679312653880846
DSP5 FP Equity_DX_SUPPLY_SI_QTY,2,2491,-0.16405972654012999,1.7222884458294374e-16,-0.326465083653423,5.993931492343675e-63,-0.24772046797277197,1.0949798600302279e-57,0.5135268564922262,-0.0002724998758283503,28.000882190766443,0.02691559387242204,0.0265246399125475,1.7222884458286404e-16,0.16405972654012999,0.326465083653423,0.24772046797277197
DSP5 FP Equity_DX_SUPPLY_SI_MV,2,2491,-0.1452095731240443,3.2795913791470396e-13,-0.26398566303205234,5.471139723746169e-41,-0.19848611225318283,7.605140440466786e-37,0.3191109507095149,-24.66322340957498,27.946411137255243,0.021085820126867105,0.020692523951747255,3.279591379146904e-13,0.1452095731240443,0.26398566303205234,0.19848611225318283
DSP5 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,2491,-0.14509356445454244,3.4256938200088544e-13,-0.3164858068886821,4.557481291465069e-59,-0.23213278785866398,5.129076856758626e-51,0.45596846955243375,-2.4618769892571994e-05,27.94631390659205,0.0210521424461243,0.02065883274039748,3.4256938200088453e-13,0.14509356445454244,0.3164858068886821,0.23213278785866398
DSP5 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,2491,0.1439057580325782,5.3417369898186e-13,0.09483203239534647,2.1227597167902536e-06,0.0800547355086837,5.093018266131929e-07,0.25430281921235376,0.2653534526533327,26.027919773463754,0.020708867194930813,0.02031541957226901,5.341736989820402e-13,0.1439057580325782,0.09483203239534647,0.0800547355086837
DSP5 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,2491,0.1421906424050943,1.0079756754379023e-12,-0.16407041375639167,1.7144728226201578e-16,-0.11627046213220925,2.0760462482235465e-14,0.5876550170857489,1.5820625982994134,26.40376397962095,0.02021817878757337,0.019824534022120366,1.0079756754373492e-12,0.1421906424050943,0.16407041375639167,0.11627046213220925
DSP5 FP Equity_DX_DSS,2,2491,0.11310704018747078,1.509304957718607e-08,0.093404431430257,3.016705507455269e-06,0.07632670324288972,3.063885693271577e-06,0.01593843862191291,13.24117497174503,26.92750477756091,0.012793202539970294,0.012396574658306903,1.509304957718933e-08,0.11310704018747078,0.093404431430257,0.07632670324288972
