feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EIFF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,4997,0.6607473571642714,0.0,0.3706387693702647,1.588890479680549e-162,0.29022179539539517,1.604425702063205e-188,1.3789291988989665,0.7742130481049158,35.8213989766449,0.43658706999956964,0.4364742746181882,0.0,0.6607473571642714,0.3706387693702647,0.29022179539539517
EIFF FP Equity_DX_SI_MV,2,4997,0.6193217232442488,0.0,0.4643019764622376,1.0614246729819231e-265,0.34883167525800834,1.8466024629026085e-278,1.2144416665382152,2.5801288316512703,38.741465827393725,0.3835593968822266,0.38343598535007095,0.0,0.6193217232442488,0.4643019764622376,0.34883167525800834
EIFF FP Equity_DX_SUPPLY_SI_MV,2,4997,0.5096888843230792,0.0,0.3443576305022573,4.0421458071655835e-139,0.2677698697978932,1.7241115641308666e-158,1.1197285359630542,5.736243624560033,39.95512364843541,0.25978275880250545,0.2596345671626261,0.0,0.5096888843230792,0.3443576305022573,0.2677698697978932
EIFF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,4997,0.5013273945954537,2.47652994e-316,0.3053979572998194,2.348056012310764e-108,0.24148084506593334,2.5189581400837613e-134,1.3199344257706205,9.2310987567877e-06,39.93032677660709,0.25132915657186594,0.25117927251912764,0.0,0.5013273945954537,0.3053979572998194,0.24148084506593334
EIFF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,4997,0.4874733664527918,1.183312123740305e-296,0.3525249092600769,3.7134110608268038e-146,0.27382367200041086,2.879140571205463e-168,1.3655831477368179,6.370857012842988e-07,40.12382146991615,0.23763028300081757,0.23747765643084773,1.1833121237474316e-296,0.4874733664527918,0.3525249092600769,0.27382367200041086
EIFF FP Equity_DX_DSS,2,4997,0.47286559150624796,7.304751659581965e-277,0.3329273781102653,1.2769390844388568e-129,0.27076284119202665,1.0359335079959511e-123,0.2748349680426616,23.495152611999814,39.615508060269164,0.22360186763055379,0.22344643256901842,7.304751659708827e-277,0.47286559150624796,0.3329273781102653,0.27076284119202665
EIFF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,4997,0.4274618210976135,3.6544944571183783e-221,0.19382271109622293,1.7006344563178254e-43,0.12832282115780408,2.5485636572674585e-38,1.297278685742477,2.9728810889614337e-05,39.46752789335764,0.18272360849608815,0.1825599895988902,3.6544944571431646e-221,0.4274618210976135,0.19382271109622293,0.12832282115780408
EIFF FP Equity_DX_SUPPLY_SI_QTY,2,4997,0.3735981904555009,2.6589738035249846e-165,0.2504468241281225,2.466993091907735e-72,0.1942788508191683,3.8052555148982346e-87,1.28796334850206,0.00032887939700889274,40.49571768933407,0.13957560791162438,0.13940335077607113,2.6589738035225583e-165,0.3735981904555009,0.2504468241281225,0.1942788508191683
EIFF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,2,4997,0.2600803089353563,4.67112477731447e-78,0.40663993086249217,2.4682873046837564e-198,0.3009393919018375,8.452674975621694e-205,1.0608252523345265,0.8714071395487833,44.42188065579621,0.06764176709591108,0.06745510879102534,4.671124777308051e-78,0.2600803089353563,0.40663993086249217,0.3009393919018375
EIFF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,4997,0.25803249520881244,8.061865355118454e-77,0.42439135746697126,1.0756913720906666e-217,0.3181321088778565,7.153945067713617e-222,0.932706867736588,0.9616924776503998,44.48293255621194,0.06658076858368622,0.06639389786668604,8.061865355107339e-77,0.25803249520881244,0.42439135746697126,0.3181321088778565
EIFF FP Equity_DX_SI_QTY,2,4997,0.2576187527022245,1.4289366987800848e-76,0.4010574972645132,1.7462947865655792e-192,0.29430089755414635,1.9211170946986213e-204,1.1788255388042157,1.8491455411807603e-05,44.45656170824758,0.06636742174385013,0.06618050831476985,1.4289366987801575e-76,0.2576187527022245,0.4010574972645132,0.29430089755414635
EIFF FP Equity_DX_SHORT_INTEREST_VALUE,2,4997,0.2560908021808544,1.1724230151775652e-75,0.45581704223316777,5.966773952577366e-255,0.3439190489912203,4.417803040467441e-280,1.2129076417699762,2.9431301302217e-07,44.67175990495973,0.0655824989616337,0.06539542839085533,1.17242301517836e-75,0.2560908021808544,0.45581704223316777,0.3439190489912203
