feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EMSR FP Equity_DX_BROKER_SI_CON_RATIO,2,2314,0.1352058640324244,6.557550270138726e-11,0.06417974416299975,0.002009515173908296,0.05074242281411076,0.0024316989913892957,0.0885343821064708,13.133496029024716,129.18724919300197,0.018280625668754102,0.017856006562209314,6.557550270128006e-11,0.1352058640324244,0.06417974416299975,0.05074242281411076
EMSR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,2314,0.13290274971655672,1.3789822713885193e-10,0.08976589653078708,1.528762313467656e-05,0.07136526069265375,2.0556571525970265e-05,0.08990806006980456,0.16940671211066127,129.42550888132195,0.017663140882221207,0.017238254697481636,1.3789822713892315e-10,0.13290274971655672,0.08976589653078708,0.07136526069265375
EMSR FP Equity_DX_ACTIVE_UTILIZATION_MV,2,2314,0.13290274971655672,1.3789822713885193e-10,0.08976589653078708,1.528762313467656e-05,0.07136526069265375,2.0556571525970265e-05,0.08990806006980456,0.16940671211066127,129.42550888132195,0.017663140882221207,0.017238254697481636,1.3789822713892315e-10,0.13290274971655672,0.08976589653078708,0.07136526069265375
EMSR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,2314,0.1255817777303849,1.3465690081056526e-09,0.06278676991905906,0.0025140293202497587,0.04954399248052689,0.003070002143112245,0.09658011852178539,0.11830289797016844,129.23108789551077,0.015770782897923996,0.015345078219246577,1.346569008106495e-09,0.1255817777303849,0.06278676991905906,0.04954399248052689
EMSR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,2314,-0.12293346823781273,2.9759595189076663e-09,0.13572166544697603,5.54228092415071e-11,0.10582646819924355,5.432657914780597e-11,0.39839463917252815,-0.00017925410274683196,130.70570519856767,0.015112637612977098,0.01468664826938404,2.9759595189088248e-09,0.12293346823781273,0.13572166544697603,0.10582646819924355
EMSR FP Equity_DX_UTILIZATION_QUANTITY,2,2314,0.11735812191773794,1.4968337460664245e-08,0.08848678025621268,2.0202913254243924e-05,0.07004878996396825,2.7919311045768313e-05,0.11443157564386541,0.16997095005997606,129.49275277409345,0.013772928780058424,0.013346359977627564,1.4968337460653988e-08,0.11735812191773794,0.08848678025621268,0.07004878996396825
EMSR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,2314,-0.10656527659346829,2.7754738018947674e-07,0.13841658551471292,2.2777232629642233e-11,0.11054565517591464,6.43180277392172e-12,0.4010597887740641,-1.2408000314478491,130.62321552528653,0.01135615817544211,0.010928544057005829,2.7754738018969723e-07,0.10656527659346829,0.13841658551471292,0.11054565517591464
EMSR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,2314,-0.1065437858296925,2.790903092174217e-07,0.14134321404239544,8.502044055417195e-12,0.11903078819666295,7.265925408790249e-14,0.40840733590347766,-1.2398335467904866e-06,130.62300531002214,0.011351578298923415,0.010923962199571702,2.790903092171499e-07,0.1065437858296925,0.14134321404239544,0.11903078819666295
EMSR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,2314,-0.07148133941026001,0.0005793830017833465,-0.12604994889812096,1.1684102306609718e-09,-0.10209947234321767,1.276469366451149e-09,0.06113715411111054,-0.18846791577953348,130.28346994058086,0.005109581883884662,0.004679265959093848,0.0005793830017836149,0.07148133941026001,0.12604994889812096,0.10209947234321767
EMSR FP Equity_DX_DEMAND_SUPPLY_RATIO,2,2314,0.06041706563687987,0.003644567343331026,0.08423778319479835,4.966411139745549e-05,0.0670503626914956,5.999675604868222e-05,0.1035525740923624,5.1804997410595455,129.7363977726838,0.00365022182017094,0.0032192746842799602,0.0036445673433298086,0.06041706563687987,0.08423778319479835,0.0670503626914956
