feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ENGI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,4998,-0.7169557954708403,0.0,-0.6684480317008439,0.0,-0.48174875391803995,0.0,1.3412371784021015,-3.440062355379058e-08,29.71618073526015,0.5140256126592246,0.5139283399635999,0.0,0.7169557954708403,0.6684480317008439,0.48174875391803995
ENGI FP Equity_DX_DEMAND_SUPPLY_RATIO,2,4998,0.6396294542491509,0.0,0.48904396424796026,6.730335656767606e-299,0.3359478740966508,1.5816955372538738e-277,0.7231547646533132,14.13543012764037,15.071208147589147,0.4091258387430664,0.4090075692952567,0.0,0.6396294542491509,0.48904396424796026,0.3359478740966508
ENGI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,4998,0.6180001978003431,0.0,0.4062980351085779,5.184093629223306e-198,0.2658795575451935,1.3779306755031279e-174,0.7272858753435898,0.23126467379113977,15.078090415488708,0.38192424448126316,0.3818005303588614,0.0,0.6180001978003431,0.4062980351085779,0.2658795575451935
ENGI FP Equity_DX_ACTIVE_UTILIZATION_MV,2,4998,0.6173655444861514,0.0,0.4051352224031708,8.734353307190076e-197,0.26465795832397243,5.269729091128679e-173,0.7329256518244209,0.23118961884096745,15.078045770732274,0.38114021551868216,0.3810163444649429,0.0,0.6173655444861514,0.4051352224031708,0.26465795832397243
ENGI FP Equity_DX_UTILIZATION_QUANTITY,2,4998,0.6053096267250427,0.0,0.3968096745896967,3.81401180348473e-188,0.26242371594537134,3.950057679376964e-170,0.7350806690549074,0.2730276384657789,14.891409330231571,0.3663997442060104,0.3662729226976449,0.0,0.6053096267250427,0.3968096745896967,0.26242371594537134
ENGI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,4998,-0.5795356429206566,0.0,-0.5336313642031129,0.0,-0.3450903125555975,8.149528112949045e-293,1.195116088093629,-1.8339036722419306e-09,26.988704240788596,0.33586156141545875,0.3357286273805139,0.0,0.5795356429206566,0.5336313642031129,0.3450903125555975
ENGI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,2,4998,0.5132106863712852,0.0,0.4115553741196865,1.281588237685255e-203,0.2852461379180151,1.9073639942790256e-200,0.6037362752380204,0.7822836862679465,15.074150569269733,0.2633852086056857,0.263237767694678,0.0,0.5132106863712852,0.4115553741196865,0.2852461379180151
ENGI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,4998,-0.48784222219865236,3.175099279652196e-297,-0.22666476786662157,2.989966884734685e-59,-0.13398350164389297,9.284131192011257e-46,0.974463154772617,-0.0016111814308521625,27.010322171764713,0.23799003375971917,0.23783750974726114,3.1750992796508156e-297,0.48784222219865236,0.22666476786662157,0.13398350164389297
ENGI FP Equity_DX_BROKER_SI_CON_RATIO,2,4998,-0.3912084820062535,1.8031100352820597e-182,-0.44669361204879426,8.936861308848861e-244,-0.2968333215894854,4.133910969783562e-217,0.45380814331737795,-38.09932982767236,26.05220768573897,0.15304407639363715,0.15287454958747093,1.8031100352821797e-182,0.3912084820062535,0.44669361204879426,0.2968333215894854
ENGI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,4998,-0.3536509777477179,3.58073821144947e-147,-0.3634393022394357,6.363989584025081e-156,-0.24397668725157176,2.2921253217106414e-147,0.34678709791362916,-0.23614917208883054,26.391266288197727,0.1250690140619165,0.12489388776369026,3.580738211450154e-147,0.3536509777477179,0.3634393022394357,0.24397668725157176
ENGI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,4998,-0.3100470675959716,8.204722497015964e-112,-0.303754135372876,3.541087813714171e-107,-0.2005570657900863,3.4431060872266887e-100,0.2955037499784279,-0.49970525747657457,27.61360910016147,0.09612918412486138,0.09594826522656763,8.204722497011181e-112,0.3100470675959716,0.303754135372876,0.2005570657900863
ENGI FP Equity_DX_SI_MV,2,4998,0.2653233840893822,2.7256729726757327e-81,0.40215612553329816,1.1518300604320956e-193,0.2702998795726758,1.8351842285737176e-180,0.5691265064507798,0.0019702912690420906,16.964770666094065,0.07039649814464188,0.07021042858862592,2.7256729726729307e-81,0.2653233840893822,0.40215612553329816,0.2702998795726758
ENGI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,2,4998,0.25555312234266664,2.369006859562154e-75,0.3428438571677043,7.255951374427177e-138,0.23645168001416952,1.689636971923942e-138,0.5698856320793313,0.1919516697758738,16.82052255879586,0.06530739833908616,0.06512031014820119,2.3690068595619973e-75,0.25555312234266664,0.3428438571677043,0.23645168001416952
ENGI FP Equity_DX_SUPPLY_SI_MV,2,4998,0.1643410231923211,1.3513619030817278e-31,0.257725632767442,1.1908980716917657e-76,0.16571894347411506,4.800306357115988e-69,0.5318386972702758,0.0021567902130700937,17.716252590369667,0.02700797190389881,0.026813217694912295,1.3513619030811535e-31,0.1643410231923211,0.257725632767442,0.16571894347411506
ENGI FP Equity_DX_SUPPLY_SI_QTY,2,4998,-0.1399382135976683,2.799067503780974e-23,-0.08916706154800358,2.704991644673208e-10,-0.06266035897211614,3.126292492249532e-11,0.5038439031972759,-3.0215856864823734e-08,20.026690985349823,0.019582703624906883,0.01938646317327053,2.7990675037804494e-23,0.1399382135976683,0.08916706154800358,0.06266035897211614
ENGI FP Equity_DX_SUPPLY_SI_QTY_DEC,2,4998,-0.13744929947683146,1.6532165763217388e-22,-0.21686539368551475,2.843844786168929e-54,-0.14325454195568155,5.868849916590025e-52,0.058613003536073904,-2.486008675255391e-07,19.53610172126117,0.01889230992667157,0.018695931285744094,1.6532165763214374e-22,0.13744929947683146,0.21686539368551475,0.14325454195568155
ENGI FP Equity_DX_DSS,2,4998,0.13395007086180138,1.900708666930424e-21,0.14553534642479807,4.579282276328194e-25,0.11582224294017622,1.9337831696697077e-25,0.15576967649853302,1.6209835124160976,17.633849630141235,0.01794262148388126,0.01774605275319341,1.900708666932453e-21,0.13395007086180138,0.14553534642479807,0.11582224294017622
ENGI FP Equity_DX_SUPPLY_SI_QTY_ADD,2,4998,-0.11592972857910544,2.0095129176846057e-16,-0.18166347314588088,2.422965755469794e-38,-0.12094088328092671,1.7789204293426383e-36,0.0423803768828348,-3.1657962566492304e-07,19.37710793959226,0.013439701968425255,0.013242231932790394,2.009512917684706e-16,0.11592972857910544,0.18166347314588088,0.12094088328092671
ENGI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,4998,0.11257236677194182,1.4413543380706143e-15,0.24344695782649234,2.423908488390296e-68,0.16494301212628043,3.0190419016016496e-68,0.5341728873660347,0.3777977369410697,18.083337108717686,0.012672537760636482,0.012474914169315454,1.4413543380705425e-15,0.11257236677194182,0.24344695782649234,0.16494301212628043
ENGI FP Equity_DX_SUPPLY_SI_QTY_INC_y,2,4998,-0.10704690752777285,3.254754059578028e-14,-0.11219173116894907,1.7955582725621723e-15,-0.07264870774448386,1.986691645950011e-14,0.0479178913748739,-3.641552404742391e-07,19.36499544377209,0.01145904041125978,0.011261173926153889,3.2547540595770537e-14,0.10704690752777285,0.11219173116894907,0.07264870774448386
ENGI FP Equity_DX_SUPPLY_SI_QTY_INC_x,2,4998,-0.10704690752777285,3.254754059578028e-14,-0.11219173116894907,1.7955582725621723e-15,-0.07264870774448386,1.986691645950011e-14,0.0479178913748739,-3.641552404742391e-07,19.36499544377209,0.01145904041125978,0.011261173926153889,3.2547540595770537e-14,0.10704690752777285,0.11219173116894907,0.07264870774448386
ENGI FP Equity_DX_SUPPLY_SI_MV_RMV,2,4998,0.08720755450607338,6.595543561102642e-10,0.13255723291463684,4.935629895597719e-21,0.10683303445984466,5.204140092530091e-21,0.008156353778883352,0.12486308632029196,18.94780477038588,0.007605157562929676,0.00740651968413919,6.595543561099945e-10,0.08720755450607338,0.13255723291463684,0.10683303445984466
ENGI FP Equity_DX_SUPPLY_SI_MV_NEW,2,4998,0.08372625175352545,3.064861841705992e-09,0.13321157495058056,3.156430027669232e-21,0.10767648026980751,3.4939559545982136e-21,0.0058955432224576665,0.10051305672390322,18.957935046369816,0.0070100852326945295,0.0068113282441502054,3.0648618417034246e-09,0.08372625175352545,0.13321157495058056,0.10767648026980751
ENGI FP Equity_DX_BROKER_SI_QTY_DEC,2,4998,-0.08170346577449937,7.278048067734562e-09,-0.16441683335697677,1.2670244839893858e-31,-0.1074578215914975,1.060598411288557e-29,0.060775785103289515,-1.2851701258360427e-07,19.27823580221039,0.00667545631956501,0.006476632351654521,7.278048067733579e-09,0.08170346577449937,0.16441683335697677,0.1074578215914975
ENGI FP Equity_DX_BROKER_SI_QTY_INC,2,4998,-0.07522541304269412,1.0129188508408377e-07,-0.112282747932591,1.703766508453307e-15,-0.07406576539636518,1.0106983901255452e-14,0.053447296357159946,-1.3426451680177535e-07,19.25429335197145,0.005658862767443762,0.00545983531803762,1.0129188508408029e-07,0.07522541304269412,0.112282747932591,0.07406576539636518
ENGI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,4998,0.06073719276602204,1.732797715855557e-05,0.19383068542872725,1.6548206211144565e-43,0.13303035857375653,3.9043384709605925e-45,0.4630980882344051,9.294770737792337e-10,18.55150088927194,0.0036890065850968545,0.0034895848490249515,1.7327977158554926e-05,0.06073719276602204,0.19383068542872725,0.13303035857375653
ENGI FP Equity_DX_SI_QTY,2,4998,-0.055717531130708285,8.110451850603665e-05,0.04788281051948269,0.0007085626367845293,0.029963669308808217,0.0014961143983509308,0.4689887549046272,-7.825436415667662e-09,19.44505136938142,0.0031044432753014606,0.002904904532962549,8.110451850603806e-05,0.055717531130708285,0.04788281051948269,0.029963669308808217
ENGI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,4998,-0.054364303007465975,0.00012042952976321457,0.049912679113188585,0.0004156052265623692,0.031973579860213944,0.0007029218372113514,0.49806043082432616,-8.705115592256361e-10,19.426802452214826,0.0029554774414877194,0.0027559088821285105,0.00012042952976319964,0.054364303007465975,0.049912679113188585,0.031973579860213944
ENGI FP Equity_DX_BROKER_SI_MV_RMV,2,4998,0.052221971885106466,0.0002211804966202623,0.052414896263265134,0.0002095858215818089,0.04269544268155756,0.00021406874512512424,0.00027794927831070737,0.037035684711775124,18.998141754549792,0.0027271343475687715,0.002527520083026591,0.00022118049662029309,0.052221971885106466,0.052414896263265134,0.04269544268155756
ENGI FP Equity_DX_BROKER_SI_QTY_ADD,2,4998,-0.05202828561792876,0.00023342452505108833,-0.10002175075781643,1.3685208730189135e-12,-0.0767416197996933,1.0989233419021078e-12,0.02311171850947158,-2.7693620151918416e-07,19.090867846752158,0.002706942504340115,0.0025073241981959926,0.00023342452505108614,0.05202828561792876,0.10002175075781643,0.0767416197996933
ENGI FP Equity_DX_BROKER_SI_MV_NEW_x,2,4998,0.04971093018944133,0.0004386210245142782,0.06891167618930431,1.0804186477833113e-06,0.056109023318690936,1.1330865710869315e-06,0.0009567863408102006,0.02209597516985221,19.002060680786464,0.0024711765802993835,0.00227151108321777,0.000438621024514319,0.04971093018944133,0.06891167618930431,0.056109023318690936
ENGI FP Equity_DX_BROKER_SI_MV_NEW_y,2,4998,0.04971093018944133,0.0004386210245142782,0.06891167618930431,1.0804186477833113e-06,0.056109023318690936,1.1330865710869315e-06,0.0009567863408102006,0.02209597516985221,19.002060680786464,0.0024711765802993835,0.00227151108321777,0.000438621024514319,0.04971093018944133,0.06891167618930431,0.056109023318690936
ENGI FP Equity_DX_SHORT_INTEREST_VALUE,2,4998,0.04600463991292105,0.0011408201710343142,0.20205584183195027,3.343342002979132e-47,0.13425000265339607,6.202241651688523e-46,0.43448877260125673,4.70116550947634e-10,18.657817887970154,0.0021164268935174313,0.0019166903896929988,0.001140820171034326,0.04600463991292105,0.20205584183195027,0.13425000265339607
ENGI FP Equity_DX_BROKER_SI_QTY,2,4998,-0.04599135509736782,0.0011446019256098284,0.05378238481119738,0.00014236070792733507,0.03686129190031227,9.368414333929453e-05,0.44270171191879815,-9.685721067433486e-09,19.364804243804002,0.0021152047436922006,0.001915467995242115,0.0011446019256098937,0.04599135509736782,0.05378238481119738,0.03686129190031227
ENGI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,2,4998,0.04396474932297956,0.0018779724977916416,0.13597016443698476,4.677741321881522e-22,0.1098782078587117,5.251827642025482e-22,0.007519662173715469,1.2987059649994406e-06,18.985195350849477,0.0019328991830319664,0.001733125944277547,0.0018779724977912903,0.04396474932297956,0.13597016443698476,0.1098782078587117
ENGI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,2,4998,0.04396474932297956,0.0018779724977916416,0.13597016443698476,4.677741321881522e-22,0.1098782078587117,5.251827642025482e-22,0.007519662173715469,1.2987059649994406e-06,18.985195350849477,0.0019328991830319664,0.001733125944277547,0.0018779724977912903,0.04396474932297956,0.13597016443698476,0.1098782078587117
ENGI FP Equity_DX_BROKER_SI_QTY_NEW,2,4998,0.039578713947369365,0.00513446245526725,0.06884126781406598,1.1080947725230364e-06,0.05605118356660622,1.1622549729169301e-06,0.0005746474973191695,4.880390871786805e-07,19.005537298182805,0.0015664745977276295,0.0013666280153812327,0.005134462455266525,0.039578713947369365,0.06884126781406598,0.05605118356660622
ENGI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,2,4998,0.036813272775637534,0.009246532778131101,0.13300572277781328,3.633942542449029e-21,0.10725939870626981,3.544894774037269e-21,0.009333516446762724,1.2143340105317326e-06,18.98850152605594,0.0013552170524535612,0.0011553281847698216,0.009246532778131086,0.036813272775637534,0.13300572277781328,0.10725939870626981
ENGI FP Equity_DX_SUPPLY_SI_MV_DEC,2,4998,-0.02979969517908299,0.03514566979387013,-0.04473006103642128,0.0015612421337009013,-0.029061514009535598,0.002108652779442546,0.039066089958882166,-0.003261942014464632,19.133732529061806,0.0008880218327660394,0.0006880394512273069,0.035145669793870515,0.02979969517908299,0.04473006103642128,0.029061514009535598
ENGI FP Equity_DX_BROKER_SI_MV_INC_x,2,4998,0.02830492306028783,0.045396665587116525,0.01875599117990333,0.18491638222608472,0.011134757891848507,0.2461817784252548,0.031645865206811674,0.002647307405125911,18.93625713634632,0.0008011686694484599,0.0006011689033694756,0.04539666558711417,0.02830492306028783,0.01875599117990333,0.011134757891848507
ENGI FP Equity_DX_BROKER_SI_MV_INC_y,2,4998,0.02830492306028783,0.045396665587116525,0.01875599117990333,0.18491638222608472,0.011134757891848507,0.2461817784252548,0.031645865206811674,0.002647307405125911,18.93625713634632,0.0008011686694484599,0.0006011689033694756,0.04539666558711417,0.02830492306028783,0.01875599117990333,0.011134757891848507
