feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MEMS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,4953,0.4945282751671967,7.025751098913444e-304,0.2793213875847012,1.8836536449104206e-89,0.22921313175809602,1.4986603533345523e-93,0.41863047366534634,3.456190454456461e-05,3.379733049378044,0.24455821493984242,0.24440563126279535,7.02575109895157e-304,0.4945282751671967,0.2793213875847012,0.22921313175809602
MEMS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,4953,0.49312003129206633,6.690780930778507e-302,0.17167319088160354,4.527448896809535e-34,0.13688185636478215,2.3954014237125355e-33,0.2153061010433941,34.409582220720225,3.3861858439123202,0.24316736526148897,0.24301450066146102,6.690780930823373e-302,0.49312003129206633,0.17167319088160354,0.13688185636478215
MEMS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,4953,0.23136458695999051,3.481273930901462e-61,0.2616397920548056,2.5081128490281533e-78,0.21380561197128106,2.4180557093941612e-80,0.2697689945020181,0.00018093439952370454,3.5567002381045145,0.053529572099167644,0.05333840457181949,3.481273930901339e-61,0.23136458695999051,0.2616397920548056,0.21380561197128106
MEMS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,4953,0.19024239397188175,1.384589683095441e-41,0.060868982556868456,1.8134384862206953e-05,0.03254013996777468,0.0020023571302655173,0.8358204030158416,2.48675370558112e-05,3.41993521131827,0.036192168464152186,0.03599749913845318,1.3845896830953038e-41,0.19024239397188175,0.060868982556868456,0.03254013996777468
MEMS FP Equity_DX_SHORT_INTEREST_VALUE,2,4953,0.15934451372563777,1.5812111777948022e-29,0.05425762963311055,0.00013325185753460255,0.029140425010931763,0.005641876464431917,0.8363821883377933,1.5414007757257264e-05,3.4600093883284377,0.025390674054460605,0.02519382304942208,1.5812111777952874e-29,0.15934451372563777,0.05425762963311055,0.029140425010931763
MEMS FP Equity_DX_SI_MV,2,4953,0.15875920160299634,2.546425010474443e-29,0.13069217165480734,2.580265318989266e-20,0.09184790849734571,1.4998279792917096e-17,0.5528818349063291,15.26772744795643,3.461156652794564,0.025204484093621415,0.025007595482046674,2.546425010473212e-29,0.15875920160299634,0.13069217165480734,0.09184790849734571
MEMS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,2,4953,-0.1363445770503108,5.513834337837248e-22,-0.06471279457277777,5.165374712199007e-06,-0.04664253310528809,1.0856488900278779e-05,0.6592943404063973,-0.17849462050737122,4.040896830971085,0.01858984369102812,0.018391619058366282,5.513834337831644e-22,0.1363445770503108,0.06471279457277777,0.04664253310528809
MEMS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,4953,0.121513164423903,9.367970516042756e-18,0.02193673945211893,0.12267311716868955,0.019711550229540374,0.06775509908012418,0.5563286765294162,0.045984683303515045,3.513611330740688,0.014765449128310126,0.014566452046736345,9.367970516046338e-18,0.121513164423903,0.02193673945211893,0.019711550229540374
MEMS FP Equity_DX_SUPPLY_SI_MV,2,4953,0.11004740237405294,8.067818448187757e-15,0.09688073791386748,8.339784775693308e-12,0.07269817517876294,3.861512481062716e-11,0.41889843812935146,16.276391374341237,3.61908690879168,0.012110430769276537,0.011910897428692668,8.067818448194782e-15,0.11004740237405294,0.09688073791386748,0.07269817517876294
MEMS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,4953,0.10939265646517,1.1630986641432526e-14,0.045013368127383234,0.0015310274917873295,0.033473397906154334,0.0019700356302467382,0.6020500927392964,1.6210270941136282e-05,3.6186578224230717,0.011966753288506271,0.011767190928031357,1.1630986641440317e-14,0.10939265646517,0.045013368127383234,0.033473397906154334
MEMS FP Equity_DX_SI_QTY,2,4953,-0.10644216311991744,5.886014697623387e-14,-0.06984669253497384,8.636381354208966e-07,-0.05328840881524002,4.460504490716889e-07,0.8530833454487272,-2.939481168534784e-05,4.090382383997282,0.011329934089647553,0.011130243104814141,5.886014697636269e-14,0.10644216311991744,0.06984669253497384,0.05328840881524002
MEMS FP Equity_DX_SUPPLY_SI_QTY,2,4953,-0.09913493028491671,2.7033416458125207e-12,-0.04213399392287011,0.0030184181777023135,-0.028057458482509474,0.009639792510092692,0.6609563314110742,-4.772087465816799e-05,4.062218966278388,0.009827734402594768,0.00962774000437272,2.703341645812208e-12,0.09913493028491671,0.04213399392287011,0.028057458482509474
MEMS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,4953,-0.09275965346649054,6.124999599455393e-11,-0.0456744867096991,0.0013029679713016612,-0.030546182675403176,0.004072310397310728,0.7921695507534228,-1.9218323865545308,4.061279566412131,0.00860435331122511,0.0084041118152266,6.124999599449615e-11,0.09275965346649054,0.0456744867096991,0.030546182675403176
MEMS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,2,4953,-0.08718214270075043,7.955065231359414e-10,-0.04453193001269247,0.0017196409247158893,-0.029167674058338464,0.006100191958167537,0.7884563862741811,-1.6348940666377714,4.048737794313666,0.00760072600589401,0.007400281797856456,7.95506523135766e-10,0.08718214270075043,0.04453193001269247,0.029167674058338464
MEMS FP Equity_DX_BROKER_SI_QTY,2,4953,-0.08572415365570157,1.5159499511229857e-09,-0.0712332605284506,5.212183579098311e-07,-0.053196006575344186,4.7333192111993775e-07,0.8527943640131985,-4.0336581482425945e-05,4.054678648514782,0.0073486305199866875,0.0071481353938546155,1.5159499511235302e-09,0.08572415365570157,0.0712332605284506,0.053196006575344186
MEMS FP Equity_DX_BROKER_SI_CON_RATIO,2,4953,0.08209693804085348,7.204270913230522e-09,-0.07356022268587567,2.1869188567567383e-07,-0.04855039088286977,4.702825677515888e-06,0.662623212265117,1.0803169453274806,3.542638398799205,0.00673990723568374,0.006539289159989026,7.204270913231124e-09,0.08209693804085348,0.07356022268587567,0.04855039088286977
MEMS FP Equity_DX_BROKER_SI_MV_DEC,2,4953,0.07729887636926956,5.1260013164617423e-08,0.1818686256875353,4.273718787847621e-38,0.14834796552712376,9.373266767794407e-38,0.03311162477527807,60.39813144524572,3.785562300051789,0.00597511628795111,0.005774343740241106,5.126001316460928e-08,0.07729887636926956,0.1818686256875353,0.14834796552712376
MEMS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,4953,0.07589018492031248,8.926127669355321e-08,-0.07299071846105828,2.7114727344804845e-07,-0.04897531506815528,3.882167500802269e-06,0.6514619607777301,0.009219236448909564,3.5568018759391955,0.005759320167238902,0.005558504033158385,8.926127669360208e-08,0.07589018492031248,0.07299071846105828,0.04897531506815528
MEMS FP Equity_DX_UTILIZATION_QUANTITY,2,4953,-0.07072455461035512,6.279899678461523e-07,-0.042173898132944906,0.002990941760317907,-0.02927959618812135,0.007154821108755215,0.5866266756908818,-0.011138297120497898,4.021746612719066,0.00500196262483299,0.004800993520131858,6.27989967846147e-07,0.07072455461035512,0.042173898132944906,0.02927959618812135
MEMS FP Equity_DX_BROKER_SI_MV_ADD,2,4953,0.06970425369446222,9.091412886110566e-07,0.12200359948624787,6.912115115253011e-18,0.09962229097694564,8.030181690366245e-18,0.008053947352099744,69.93755832529122,3.8049176988395463,0.004858682983102658,0.004657684938865758,9.091412886111692e-07,0.06970425369446222,0.12200359948624787,0.09962229097694564
MEMS FP Equity_DX_DEMAND_SUPPLY_RATIO,2,4953,0.06398396522028515,6.590062413287615e-06,0.002430075387473817,0.8642396128202918,0.007682174401513804,0.47406155765017166,0.6426377752436876,0.12466206151460457,3.7685802922236062,0.004093947805310472,0.0038927953003226046,6.590062413286926e-06,0.06398396522028515,0.002430075387473817,0.007682174401513804
