feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MLAZR FP Equity_DX_BROKER_SI_CON_RATIO,2,708,-0.06769168058591675,0.07185418007642726,-0.13504482078339497,0.00031398594306326417,-0.11097318631078736,0.00032970194817686526,0.03730382462425896,-1.821925820256773,2.665925820256775,0.004582163620545754,0.003172223342387759,0.07185418007642695,0.06769168058591675,0.13504482078339497,0.11097318631078736
MLAZR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,708,-0.06769168058591675,0.07185418007642726,-0.13504482078339497,0.00031398594306326417,-0.11097318631078736,0.00032970194817686526,0.03730382462425896,-0.018219258202567708,2.665925820256774,0.004582163620545754,0.003172223342387759,0.07185418007642749,0.06769168058591675,0.13504482078339497,0.11097318631078736
MLAZR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,708,-0.06653789047912986,0.07684535444393073,-0.24714969402608666,2.5874080804373976e-11,-0.18038344822926702,3.9671034570261523e-10,0.5615773242508333,-3.141121666908617e-05,2.696471952042682,0.004427290869412848,0.00301713122475189,0.07684535444392997,0.06653789047912986,0.24714969402608666,0.18038344822926702
MLAZR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,2,708,-0.06564577383905097,0.08089489197450617,-0.1350436307924852,0.0003140246764719551,-0.11076512900871756,0.0003286149831641292,0.009535628964288945,-0.6018366443145122,2.6648454603880567,0.004309367622927662,0.0028990409481725044,0.08089489197450635,0.06564577383905097,0.1350436307924852,0.11076512900871756
MLAZR FP Equity_DX_SI_MV,2,708,-0.06547207556068099,0.08170311403572059,-0.1350467659323352,0.0003139226393756213,-0.11094630955990847,0.0003262459699745255,0.02828207918045722,-99.36842923794673,2.664754536029032,0.004286592678223733,0.0028762337443400954,0.08170311403572257,0.06547207556068099,0.1350467659323352,0.11094630955990847
MLAZR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,708,-0.06547207556068099,0.08170311403572059,-0.1350467659323352,0.0003139226393756213,-0.11094630955990847,0.0003262459699745255,0.02828207918045722,-19.873685847589343,2.6647545360290317,0.004286592678223733,0.0028762337443400954,0.08170311403572214,0.06547207556068099,0.1350467659323352,0.11094630955990847
MLAZR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,2,708,-0.06547207556068099,0.08170311403572059,-0.1350467659323352,0.0003139226393756213,-0.11094630955990847,0.0003262459699745255,0.02828207918045722,-19.873685847589343,2.6647545360290317,0.004286592678223733,0.0028762337443400954,0.08170311403572214,0.06547207556068099,0.1350467659323352,0.11094630955990847
MLAZR FP Equity_DX_SI_QTY,2,708,-0.06547207556068096,0.08170311403572059,-0.1350467659323352,0.0003139226393756213,-0.11094630955990847,0.0003262459699745255,0.02828207918045722,-9.03349356708607e-05,2.664754536029032,0.004286592678223733,0.0028762337443400954,0.08170311403572307,0.06547207556068096,0.1350467659323352,0.11094630955990847
MLAZR FP Equity_DX_SHORT_INTEREST_VALUE,2,708,-0.06536262251164583,0.08221575049841477,-0.1350405016022393,0.00031412655082556574,-0.11061571554883708,0.00033571011733079956,0.01113559121653962,-0.00010484354871108771,2.664700132405625,0.0042722724216001096,0.0028618932040669343,0.0822157504984151,0.06536262251164583,0.1350405016022393,0.11061571554883708
MLAZR FP Equity_DX_BROKER_SI_QTY,2,708,-0.06277610408949333,0.09510579398408459,-0.12547674627150013,0.0008197084185945498,-0.10311061365317263,0.0008488305232653694,0.033099611852162036,-0.00016579098679098733,2.6633675213675203,0.00394083924465527,0.0025299905750300056,0.09510579398408413,0.06277610408949333,0.12547674627150013,0.10311061365317263
MLAZR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,708,-0.06275908547267023,0.09519567004473747,-0.12546965972160015,0.000820271716675138,-0.102673444241332,0.0008769379728724557,0.012042208236270113,-0.00019352471866808868,2.6633610593922104,0.003938702809366146,0.002527851113628632,0.0951956700447395,0.06275908547267023,0.12546965972160015,0.102673444241332
MLAZR FP Equity_DX_UTILIZATION_QUANTITY,2,708,-0.06254466023975415,0.09633388476182152,-0.1247603826359357,0.0008784988654712998,-0.10252194127955176,0.0009088784773474051,0.03145884971258761,-0.018169772079772134,2.6633105413105405,0.003911834524506497,0.002500944771708258,0.09633388476182093,0.06254466023975415,0.1247603826359357,0.10252194127955176
MLAZR FP Equity_DX_ACTIVE_UTILIZATION_MV,2,708,-0.06254466023975415,0.09633388476182152,-0.1247603826359357,0.0008784988654712998,-0.10252194127955176,0.0009088784773474051,0.03145884971258761,-0.018169772079772134,2.6633105413105405,0.003911834524506497,0.002500944771708258,0.09633388476182093,0.06254466023975415,0.1247603826359357,0.10252194127955176
MLAZR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,708,-0.06254466023975415,0.09633388476182152,-0.1247603826359357,0.0008784988654712998,-0.10252194127955176,0.0009088784773474051,0.03145884971258761,-0.018169772079772134,2.6633105413105405,0.003911834524506497,0.002500944771708258,0.09633388476182093,0.06254466023975415,0.1247603826359357,0.10252194127955176
MLAZR FP Equity_DX_SUPPLY_SI_QTY,2,708,-0.06254466023975414,0.09633388476182152,-0.1247603826359357,0.0008784988654712998,-0.10252194127955176,0.0009088784773474051,0.03145884971258761,-0.00016517974617974668,2.6633105413105405,0.003911834524506497,0.002500944771708258,0.09633388476182093,0.06254466023975414,0.1247603826359357,0.10252194127955176
MLAZR FP Equity_DX_SUPPLY_SI_MV,2,708,-0.06254466023975414,0.09633388476182152,-0.1247603826359357,0.0008784988654712998,-0.10252194127955176,0.0009088784773474051,0.03145884971258761,-181.69772079772122,2.6633105413105405,0.003911834524506497,0.002500944771708258,0.09633388476182071,0.06254466023975414,0.1247603826359357,0.10252194127955176
MLAZR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,708,-0.06253601195042792,0.09638001869742528,-0.12475303774957007,0.0008791213555185079,-0.10217848337725809,0.0009287885396927973,0.012927118737758203,-0.00019173578756456435,2.6633076215416267,0.003910752790664218,0.0024998615056650575,0.09638001869742552,0.06253601195042792,0.12475303774957007,0.10217848337725809
