feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
PDJE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,2879,-0.19032207274955903,6.912362255783246e-25,-0.16044254408364658,4.668990466907089e-18,-0.13063564295700936,4.933117852569004e-18,0.1510238622768978,-7.3677949314546005,23.23688331490391,0.036222491375688226,0.03588749745541553,6.912362255793896e-25,0.19032207274955903,0.16044254408364658,0.13063564295700936
PDJE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,2879,-0.1345581018016872,4.1754746254152985e-13,-0.15753019104228835,1.8642761969967604e-17,-0.12881846505484143,2.4118330297768938e-17,0.1003060142412493,-0.059783300570861383,23.198680038740733,0.018105882760473202,0.017764591791672446,4.175474625417556e-13,0.1345581018016872,0.15753019104228835,0.12881846505484143
PDJE FP Equity_DX_BROKER_SI_CON_RATIO,2,2879,-0.13446934172824446,4.3268830355425916e-13,-0.15753019104228835,1.8642761969967604e-17,-0.12881846505484143,2.4118330297768938e-17,0.09999330831918818,-5.977249198796717,23.198420872574278,0.0180820038648275,0.01774070459609778,4.326883035537509e-13,0.13446934172824446,0.15753019104228835,0.12881846505484143
PDJE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,2879,0.11972690098291866,1.1597669352009693e-10,0.11477167578770474,6.575917425427806e-10,0.09387524640949378,6.509650131664796e-10,0.034386765190719926,0.0010173974503937648,22.881850740136887,0.014334530818973512,0.01399192898748891,1.1597669352010035e-10,0.11972690098291866,0.11477167578770474,0.09387524640949378
PDJE FP Equity_DX_SUPPLY_SI_MV,2,2879,0.11964889946741719,1.192547717505511e-10,0.11476617213115776,6.588339296525133e-10,0.09373879335274525,7.420130094112698e-10,0.03217507352807958,1129.3324884301792,22.881892507002807,0.014315859143764098,0.0139732508222985,1.1925477175043347e-10,0.11964889946741719,0.11476617213115776,0.09373879335274525
PDJE FP Equity_DX_UTILIZATION_QUANTITY,2,2879,0.11964889946741719,1.192547717505511e-10,0.11476617213115776,6.588339296525133e-10,0.09373879335274525,7.420130094112698e-10,0.03217507352807958,0.11293324884301877,22.88189250700281,0.014315859143764098,0.0139732508222985,1.1925477175043216e-10,0.11964889946741719,0.11476617213115776,0.09373879335274525
PDJE FP Equity_DX_DEMAND_SUPPLY_RATIO,2,2879,0.11964889946741719,1.192547717505511e-10,0.11476617213115776,6.588339296525133e-10,0.09373879335274525,7.420130094112698e-10,0.03217507352807958,11.293324884301795,22.881892507002803,0.014315859143764098,0.0139732508222985,1.192547717504482e-10,0.11964889946741719,0.11476617213115776,0.09373879335274525
PDJE FP Equity_DX_ACTIVE_UTILIZATION_MV,2,2879,0.11964889946741719,1.192547717505511e-10,0.11476617213115776,6.588339296525133e-10,0.09373879335274525,7.420130094112698e-10,0.03217507352807958,0.11293324884301877,22.88189250700281,0.014315859143764098,0.0139732508222985,1.1925477175043216e-10,0.11964889946741719,0.11476617213115776,0.09373879335274525
PDJE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,2879,0.11964889946741719,1.192547717505511e-10,0.11476617213115776,6.588339296525133e-10,0.09373879335274525,7.420130094112698e-10,0.03217507352807958,0.11293324884301877,22.88189250700281,0.014315859143764098,0.0139732508222985,1.1925477175043216e-10,0.11964889946741719,0.11476617213115776,0.09373879335274525
PDJE FP Equity_DX_SUPPLY_SI_QTY,2,2879,0.11964889946741719,1.192547717505511e-10,0.11476617213115776,6.588339296525133e-10,0.09373879335274525,7.420130094112698e-10,0.03217507352807958,0.03453616172569353,22.881892507002803,0.014315859143764098,0.0139732508222985,1.1925477175041657e-10,0.11964889946741719,0.11476617213115776,0.09373879335274525
PDJE FP Equity_DX_SI_QTY,2,2879,-0.10089073632536437,5.798026457545222e-08,-0.15971678968006697,6.608767775990493e-18,-0.12914427560852398,1.3017357904994982e-17,0.1447882957689044,-0.0002650920253984832,23.09075777758196,0.010178940676273895,0.009834894426943297,5.79802645754868e-08,0.10089073632536437,0.15971678968006697,0.12914427560852398
PDJE FP Equity_DX_BROKER_SI_QTY,2,2879,-0.10089073632536437,5.798026457545222e-08,-0.15971678968006697,6.608767775990493e-18,-0.12914427560852398,1.3017357904994982e-17,0.1447882957689044,-0.0002650920253984832,23.09075777758196,0.010178940676273895,0.009834894426943297,5.79802645754868e-08,0.10089073632536437,0.15971678968006697,0.12914427560852398
PDJE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,2,2879,-0.08951789596924092,1.5034612999857411e-06,-0.1603544035859135,4.8706451056468714e-18,-0.12880138688772086,1.3566981123185735e-17,0.11640288988976155,-1.2385891329216274,23.065225024674604,0.008013453698759943,0.007668654760177529,1.503461299986648e-06,0.08951789596924092,0.1603544035859135,0.12880138688772086
PDJE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,2879,-0.041956897684773876,0.024368686471486392,-0.04410556656173975,0.01794911977395991,-0.03605147222805998,0.017857206188477043,0.010030965194474661,-0.13766894238076732,22.990723514760592,0.001760381263330335,0.0014134088550101787,0.02436868647148407,0.041956897684773876,0.04410556656173975,0.03605147222805998
PDJE FP Equity_DX_SI_MV,2,2879,-0.028509888221871227,0.12616975883985998,-0.15968027381050195,6.72503020131022e-18,-0.12855040621048427,1.687901941363819e-17,0.14200099704970226,-3.0977387397342278,22.99596799856195,0.0008128137264233892,0.00046551195851451954,0.12616975883984685,0.028509888221871227,0.15968027381050195,0.12855040621048427
PDJE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,2879,0.026893428585532075,0.1491228938518352,0.02467154795522812,0.18569877895883605,0.02015124398175868,0.18565108030857191,0.0007617705976656897,1212.709867963868,22.967901320361367,0.0007232565010847347,0.0003759236044913461,0.14912289385183433,0.026893428585532075,0.02467154795522812,0.02015124398175868
PDJE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,2879,0.026893428585532075,0.1491228938518352,0.02467154795522812,0.18569877895883605,0.02015124398175868,0.18565108030857191,0.0007617705976656897,0.0010588411846874377,22.96790132036136,0.0007232565010848457,0.0003759236044914571,0.14912289385184047,0.026893428585532075,0.02467154795522812,0.02015124398175868
PDJE FP Equity_DX_SUPPLY_SI_MV_DEC,2,2879,0.026893428585532075,0.1491228938518352,0.02467154795522812,0.18569877895883605,0.02015124398175868,0.18565108030857191,0.0007617705976656897,1212.709867963868,22.967901320361367,0.0007232565010847347,0.0003759236044913461,0.14912289385183433,0.026893428585532075,0.02467154795522812,0.02015124398175868
PDJE FP Equity_DX_SUPPLY_SI_QTY_DEC,2,2879,0.02689342858553207,0.1491228938518352,0.02467154795522812,0.18569877895883605,0.02015124398175868,0.18565108030857191,0.0007617705976656897,0.03708592868391023,22.96790132036136,0.0007232565010848457,0.0003759236044914571,0.14912289385183594,0.02689342858553207,0.02467154795522812,0.02015124398175868
PDJE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,2879,0.02689342858553207,0.1491228938518352,0.02467154795522812,0.18569877895883605,0.02015124398175868,0.18565108030857191,0.0007617705976656897,0.03708592868391023,22.96790132036136,0.0007232565010848457,0.0003759236044914571,0.14912289385183594,0.02689342858553207,0.02467154795522812,0.02015124398175868
PDJE FP Equity_DX_SUPPLY_SI_QTY_ADD,2,2879,0.021136676870801886,0.25689930134216843,0.023191255077914433,0.21350538839755942,0.01894216934285316,0.21344762595241096,0.0008787351701476931,0.02914739147343664,22.968802988186237,0.00044675910914027117,9.933010639739948e-05,0.2568993013421706,0.021136676870801886,0.023191255077914433,0.01894216934285316
