feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
RUI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,4998,-0.5633111363464721,0.0,-0.5304972395774576,0.0,-0.3290582559178116,3.173630258668381e-265,1.553793815527007,-1.379946042905469e-06,61.20393125715968,0.3173194363319537,0.3171827909028768,0.0,0.5633111363464721,0.5304972395774576,0.3290582559178116
RUI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,4998,-0.20147245436148298,6.189488044853369e-47,-0.29079778343837437,5.439536911602537e-98,-0.13983699798087293,1.810276999928587e-49,1.6466145605404532,-1.2587970938929908e-08,53.407468054706975,0.04059114986644008,0.04039911446809463,6.189488044856842e-47,0.20147245436148298,0.29079778343837437,0.13983699798087293
RUI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,4998,-0.19510163371487965,4.556176799309537e-44,-0.28025750338341837,7.265693261576539e-91,-0.13723960276772823,1.0464455017242728e-47,1.6019474234865814,-0.012349289345642904,53.42954981257302,0.03806464747821503,0.03787210637482796,4.556176799316072e-44,0.19510163371487965,0.28025750338341837,0.13723960276772823
RUI FP Equity_DX_SUPPLY_SI_QTY,2,4998,-0.18075091793290332,5.721114551170452e-38,-0.36463657512036657,5.1540460909963675e-157,-0.2238985602440437,2.10805644642435e-124,0.8076792276895652,-3.9771253803723326e-06,50.739747363255276,0.032670894333587275,0.03247727361587982,5.721114551168685e-38,0.18075091793290332,0.36463657512036657,0.2238985602440437
RUI FP Equity_DX_DEMAND_SUPPLY_RATIO,2,4998,0.17318334397317325,5.964141302681216e-35,0.30132569086154015,2.0292163774927643e-105,0.1983034958511126,5.7069279104712515e-98,0.7166746201567595,18.827833019294108,46.88473889407476,0.02999247062973065,0.029798313798391485,5.964141302682431e-35,0.17318334397317325,0.30132569086154015,0.1983034958511126
RUI FP Equity_DX_BROKER_SI_QTY,2,4998,-0.16879427265183009,2.9103601060638267e-33,-0.33961915049869884,3.689302423899326e-135,-0.22121649539394347,1.7282199534423807e-121,0.7274080018649953,-4.673198048566927e-06,51.07994446979002,0.028491506480060158,0.028297049215544545,2.910360106067242e-33,0.16879427265183009,0.33961915049869884,0.22121649539394347
RUI FP Equity_DX_SI_QTY,2,4998,-0.14504957227098514,6.586641392399839e-25,-0.3194562294431446,5.868937856191261e-119,-0.20182898539354657,1.800802532817261e-101,0.7324175002802127,-2.4306215049688453e-06,50.563057454800365,0.02103937841599568,0.020843429532572122,6.586641392395688e-25,0.14504957227098514,0.3194562294431446,0.20182898539354657
RUI FP Equity_DX_ACTIVE_UTILIZATION_MV,2,4998,0.13101621871436553,1.4019731297165605e-20,0.21330180230035195,1.6023198713239037e-52,0.1383446573100728,2.112696112974337e-48,0.6387001236921384,0.0923634898277741,47.754960754560074,0.01716524956621024,0.016968525236659815,1.4019731297169e-20,0.13101621871436553,0.21330180230035195,0.1383446573100728
RUI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,4998,0.13070855068546833,1.7243224572291277e-20,0.21365013580365924,1.0839257394972892e-52,0.13850625023899615,1.647527529868803e-48,0.6374302334401434,0.09324848302853889,47.75008008845603,0.017084725222295427,0.01688798477498199,1.724322457226718e-20,0.13070855068546833,0.21365013580365924,0.13850625023899615
RUI FP Equity_DX_UTILIZATION_QUANTITY,2,4998,0.10458930313561025,1.238576191113394e-13,0.18993396664726717,8.16274252889247e-42,0.12241013154559244,1.9933613444524025e-38,0.6478193189781729,0.2363310989104229,47.656013859889796,0.010938922330392509,0.010740951738384963,1.2385761911132546e-13,0.10458930313561025,0.18993396664726717,0.12241013154559244
RUI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,4998,-0.10288152307418318,3.0788911982768857e-13,-0.1128673764304406,1.2150319623110483e-15,-0.07611336882345746,7.384242933011309e-16,0.36379001375834985,-0.29196322245399037,54.79948623374423,0.01058460779006376,0.01038656627841239,3.0788911982764424e-13,0.10288152307418318,0.1128673764304406,0.07611336882345746
RUI FP Equity_DX_SUPPLY_SI_QTY_DEC,2,4998,-0.1005382667877965,1.0485039610266204e-12,-0.32794112965056155,1.2597101300368753e-125,-0.22732191324909093,8.348249765959271e-119,0.14797348086001305,-1.1229417059217718e-05,49.411623655962444,0.010107943088694116,0.009909806167775037,1.0485039610264935e-12,0.1005382667877965,0.32794112965056155,0.22732191324909093
RUI FP Equity_DX_SUPPLY_SI_QTY_INC_x,2,4998,-0.08790272226972583,4.818151281667754e-10,-0.20485195174135729,1.7007833553299194e-48,-0.14911370082287184,2.3048219354135664e-48,0.0666561514545827,-2.2252522805673437e-05,49.33403916179536,0.007726888582428648,0.007528275069334622,4.818151281665459e-10,0.08790272226972583,0.20485195174135729,0.14911370082287184
RUI FP Equity_DX_SUPPLY_SI_QTY_INC_y,2,4998,-0.08790272226972583,4.818151281667754e-10,-0.20485195174135729,1.7007833553299194e-48,-0.14911370082287184,2.3048219354135664e-48,0.0666561514545827,-2.2252522805673437e-05,49.33403916179536,0.007726888582428648,0.007528275069334622,4.818151281665459e-10,0.08790272226972583,0.20485195174135729,0.14911370082287184
