feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SRIE FP Equity_DX_BROKER_SI_CON_RATIO,2,1906,0.17124648767961978,5.1919989947366e-14,0.24139273673789938,1.1309852046607674e-26,0.1923958246687282,1.2396019069205039e-26,0.16117968248594328,2.0261919639448576,24.61703733013527,0.029325359542606066,0.02881555143312209,5.1919989947410446e-14,0.17124648767961978,0.24139273673789938,0.1923958246687282
SRIE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,1906,0.17008482635677905,7.709881688388862e-14,0.2408428660479484,1.4819391980550343e-26,0.19154443888931413,1.788401158178435e-26,0.16479238320963785,0.019557998533140393,24.614062381443112,0.028928848156815623,0.02841883179555349,7.709881688367549e-14,0.17008482635677905,0.2408428660479484,0.19154443888931413
SRIE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,1906,0.09766516236243394,1.9437224420376526e-05,0.1591771223337173,2.7613447713573752e-12,0.12828709065511912,2.130367836526051e-12,0.08470609471209323,0.031327143626510776,24.83101794392757,0.009538483939280695,0.009018283563198337,1.9437224420347578e-05,0.09766516236243394,0.1591771223337173,0.12828709065511912
SRIE FP Equity_DX_SUPPLY_SI_MV,2,1906,0.09632753030620575,2.525773444602444e-05,0.1440226834533513,2.674843028055934e-10,0.11483727369690461,3.9145129885773045e-10,0.09997797953668486,1.0791805313776084,24.8760224085693,0.009278993094892996,0.008758656431602452,2.5257734446048692e-05,0.09632753030620575,0.1440226834533513,0.11483727369690461
SRIE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,1906,0.09621095982048666,2.5836826020259874e-05,0.14397560578361618,2.711179092751764e-10,0.11492495217396265,3.6919215700053624e-10,0.1066923789228853,1.0788799344771616e-06,24.876072385351833,0.009256548789579377,0.008736200338313349,2.5836826020248042e-05,0.09621095982048666,0.14397560578361618,0.11492495217396265
SRIE FP Equity_DX_SUPPLY_SI_QTY,2,1906,0.08957654383191581,9.002277013214469e-05,0.14311314024669564,3.4687586194846535e-10,0.11396562083932177,5.376775817809722e-10,0.0947215781999382,2.7379683873691268e-05,24.88198315537393,0.008023957204871257,0.007502961384075468,9.002277013210686e-05,0.08957654383191581,0.14311314024669564,0.11396562083932177
SRIE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,1906,0.08778874784184901,0.00012426456655924485,0.12319419962917655,6.836419983000192e-08,0.09940725543181472,3.225039046002504e-08,0.23563489742321764,1.6345771602712558,24.88042742581432,0.0077068642476398885,0.007185701886425422,0.00012426456655918614,0.08778874784184901,0.12319419962917655,0.09940725543181472
SRIE FP Equity_DX_UTILIZATION_QUANTITY,2,1906,0.08479149447425166,0.00021051358734653115,0.14187333697773868,4.930473540497228e-10,0.11218265708480166,9.808663376619006e-10,0.09138131918169035,0.057674673224952094,24.882742278104356,0.007189597535177006,0.006668163500268998,0.0002105135873465971,0.08479149447425166,0.14187333697773868,0.11218265708480166
SRIE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,1906,0.07977681615396964,0.0004900269235192651,0.09093905055910242,7.013394368563425e-05,0.08782799820125826,1.5583900028528781e-07,0.7568011641753136,0.1840023437705862,24.70960949935254,0.0063643403956643585,0.005842472927384823,0.0004900269235187505,0.07977681615396964,0.09093905055910242,0.08782799820125826
SRIE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,1906,0.07914124186267074,0.0005436199950102574,0.09114723570670516,6.74884391310747e-05,0.08951418458574356,8.81297581331465e-08,0.827125507924404,1.8232051706076755e-07,24.71205534945782,0.006263336163565447,0.005741415646844605,0.000543619995010675,0.07914124186267074,0.09114723570670516,0.08951418458574356
