feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
VTR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,2,4998,0.591667287163078,0.0,0.5273079043299337,0.0,0.4401956208729577,0.0,1.7296227716562624,0.5210278250864278,21.975855062278058,0.3500701786989162,0.34994008866262694,0.0,0.591667287163078,0.5273079043299337,0.4401956208729577
VTR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,2,4998,0.589823078799356,0.0,0.5230886490823632,0.0,0.4314758361415021,0.0,1.753851574814087,5.215757176234518e-07,22.048291997981405,0.34789126428435146,0.34776073811627384,0.0,0.589823078799356,0.5230886490823632,0.4314758361415021
VTR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,2,4998,0.47788578753990885,1.3006097012223963e-283,0.4376433005862419,5.6668305802019825e-233,0.3012682924479457,3.060896658211739e-204,1.3743832060535257,1.5289169476582818e-05,22.600032831848992,0.22837482593263847,0.22822037733894995,1.3006097012224303e-283,0.47788578753990885,0.4376433005862419,0.3012682924479457
VTR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,4998,-0.12837174994973877,8.171209554557295e-20,-0.1565367881338319,8.712428967309747e-29,-0.12451708457162057,1.9180396309083576e-28,0.3293414389511866,-0.03197307365411797,27.457601512108333,0.016479306185158804,0.01628244455709338,8.171209554544334e-20,0.12837174994973877,0.1565367881338319,0.12451708457162057
VTR FP Equity_DX_ACTIVE_UTILIZATION_MV,2,4998,-0.12837080365903616,8.176312170979041e-20,-0.15567777349661077,1.740672515556868e-28,-0.12188815346432506,4.282176013894689e-28,0.351980373624853,-0.03197292973602011,27.457597570135405,0.016479063232066826,0.016282201555371856,8.176312171008374e-20,0.12837080365903616,0.15567777349661077,0.12188815346432506
VTR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,2,4998,-0.0874137896904464,6.010396924992531e-10,-0.14430068625654854,1.150739451872119e-24,-0.11037296264044485,7.945660636918473e-23,0.3491896651371398,-0.10793668308372462,26.912619537259605,0.0076411706280458125,0.007442539957634997,6.010396924996424e-10,0.0874137896904464,0.14430068625654854,0.11037296264044485
VTR FP Equity_DX_SHORT_INTEREST_VALUE,2,4998,0.08198762225057116,6.453338109382207e-09,-0.045358890480000906,0.001338637460450863,-0.021178938380475205,0.044911046228064466,0.7860520798197186,1.9253584933886246e-06,26.524834449959386,0.00672197020230203,0.006523155544616244,6.453338109388882e-09,0.08198762225057116,0.045358890480000906,0.021178938380475205
VTR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,2,4998,0.08122285647545555,8.911660390268561e-09,-0.08287339801898606,4.424377231473293e-09,-0.054735212001076186,4.479609014294862e-07,0.6028013448358849,1.9428660736301245e-06,26.53659374355432,0.006597152414032359,0.006398312772802117,8.911660390254864e-09,0.08122285647545555,0.08287339801898606,0.054735212001076186
VTR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,4998,-0.07880914291933283,2.4215854556486005e-08,-0.09061054151087353,1.3857298320302116e-10,-0.07132758472034399,9.620757033026935e-11,0.45268682898996815,-0.019056724645287664,27.239460474918214,0.006210881007680302,0.006011964050315899,2.421585455648143e-08,0.07880914291933283,0.09061054151087353,0.07132758472034399
VTR FP Equity_DX_SI_MV,2,4998,0.07760430890639936,3.945614771463551e-08,0.10346112542693392,2.2641032230181376e-13,0.08263770214694051,4.926334660094483e-14,0.4274534229724354,1.059058254664945,26.527173775339875,0.006022428760839915,0.005823474082849667,3.945614771464384e-08,0.07760430890639936,0.10346112542693392,0.08263770214694051
VTR FP Equity_DX_BROKER_SI_CON_RATIO,2,4998,-0.07527095524464547,9.95061236306593e-08,-0.09105694917555614,1.1244102656870824e-10,-0.07168212287047712,7.820748989625508e-11,0.4551963236883396,-1.848008133611882,27.211725320413425,0.0056657167034408484,0.005466690625919424,9.95061236305479e-08,0.07527095524464547,0.09105694917555614,0.07168212287047712
VTR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,2,4998,0.07401224942091039,1.6207478571796115e-07,0.08655226855853881,8.847833194693454e-10,0.0708123699773408,2.6044902207760115e-10,0.2681946743582875,5.060076941538313,26.53923733518509,0.005477813064343362,0.005278749376005476,1.6207478571790054e-07,0.07401224942091039,0.08655226855853881,0.0708123699773408
VTR FP Equity_DX_BROKER_SI_QTY,2,4998,0.0734861094629647,1.9827610879379925e-07,-0.08680135205938634,7.914970471533443e-10,-0.060454908929148475,2.7505970088932565e-08,0.5541257247597173,3.784743435024619e-05,26.548102360981567,0.005400208284003227,0.00520112906228265,1.982761087938056e-07,0.0734861094629647,0.08680135205938634,0.060454908929148475
VTR FP Equity_DX_SI_QTY,2,4998,0.07324701348760293,2.1720142542252687e-07,-0.06180021082651757,1.2303050350236366e-05,-0.039985528584739014,0.00016297589584744388,0.7137404283647011,3.733625961162989e-05,26.53825030597438,0.005365124984852754,0.005166038740854528,2.172014254222312e-07,0.07324701348760293,0.06180021082651757,0.039985528584739014
VTR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,2,4998,0.06482498482099745,4.505658315894651e-06,-0.02969546040959882,0.03579011453476927,-0.020103229063444403,0.06519367198067039,0.49667099475848286,1.2241990145747619,26.545946074164483,0.004202278657042369,0.004002959657574134,4.505658315896758e-06,0.06482498482099745,0.02969546040959882,0.020103229063444403
VTR FP Equity_DX_DSS,2,4998,0.05553855782975263,8.550095176932498e-05,0.06278522418907265,8.913891285601055e-06,0.05134735880405414,9.06916836321879e-06,0.010808353328465303,10.801085691351377,26.648914308649424,0.003084531405808777,0.0028849886779075407,8.550095176927418e-05,0.05553855782975263,0.06278522418907265,0.05134735880405414
VTR FP Equity_DX_SUPPLY_SI_MV,2,4998,0.030178985357634112,0.032883572719670386,0.05511760135553764,9.674550038001089e-05,0.04352847352665612,9.469398356210792e-05,0.31655659496517363,3.0975649518280397,26.62653747151038,0.0009107711572161614,0.000710793329185111,0.03288357271966475,0.030178985357634112,0.05511760135553764,0.04352847352665612
VTR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,4998,0.02788241680351526,0.04871468262993348,-0.11097931515519958,3.5976416636758476e-15,-0.07396209834780686,5.153689890517164e-12,0.7642857138288934,3.007344629415092e-06,26.634813376779334,0.0007774291668053435,0.0005774246490244384,0.04871468262992602,0.02788241680351526,0.11097931515519958,0.07396209834780686
VTR FP Equity_DX_BROKER_SI_MV_DEC,2,4998,0.022074784738888752,0.11866289227095704,0.00268348479547656,0.8495708931512052,0.0022060818991154643,0.8484146034087706,0.00535062098799699,2.358090871146033,26.672106707376763,0.00048729612126841015,0.00028723353041992805,0.11866289227096442,0.022074784738888752,0.00268348479547656,0.0022060818991154643
VTR FP Equity_DX_BROKER_SI_QTY_DEC,2,4998,0.020049986932806595,0.15640911753764772,-0.022853624449537226,0.1062070267607011,-0.018512330258327513,0.10785213290537427,0.007877922603511722,7.807690107997778e-05,26.671947744509428,0.0004020019760058169,0.00020192231267024408,0.15640911753766443,0.020049986932806595,0.022853624449537226,0.018512330258327513
VTR FP Equity_DX_SUPPLY_SI_QTY,2,4998,0.017877284233983333,0.20635679550442182,-0.12437951228168383,1.09177195930574e-18,-0.09263933752277759,8.809800639667783e-18,0.6570012844412754,6.2075188647964e-05,26.64342924528129,0.00031959729158237415,0.00011950113411463015,0.2063567955044355,0.017877284233983333,0.12437951228168383,0.09263933752277759
VTR FP Equity_DX_BROKER_SI_MV_ADD,2,4998,0.017607942787492042,0.21327674248091347,0.013786178045069325,0.3298393417305906,0.011283028127299598,0.3287687347510412,0.004080270218263848,1.2811846607463602,26.677277805224673,0.00031003964920739424,0.00010994157868071674,0.21327674248092124,0.017607942787492042,0.013786178045069325,0.011283028127299598
