feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
X13G FP Equity_DX_SUPPLY_SI_QTY,2,2896,-0.07804856089505663,2.6137586706990514e-05,0.064309952665028,0.0005343899650219935,0.052549121915707785,0.0005397539997117508,0.009149609005695725,-0.03629232502308352,113.92949750692526,0.006091577857789465,0.005748140255114165,2.6137586706995843e-05,0.07804856089505663,0.064309952665028,0.052549121915707785
X13G FP Equity_DX_UTILIZATION_QUANTITY,2,2896,-0.07804856089505663,2.6137586706990514e-05,0.064309952665028,0.0005343899650219935,0.052549121915707785,0.0005397539997117508,0.009149609005695725,-0.10887697506925043,113.9294975069252,0.006091577857789465,0.005748140255114165,2.6137586706996135e-05,0.07804856089505663,0.064309952665028,0.052549121915707785
X13G FP Equity_DX_DEMAND_SUPPLY_RATIO,2,2896,-0.07804856089505663,2.6137586706990514e-05,0.064309952665028,0.0005343899650219935,0.052549121915707785,0.0005397539997117508,0.009149609005695725,-5.4438487534624755,113.92949750692522,0.006091577857789465,0.005748140255114165,2.613758670700191e-05,0.07804856089505663,0.064309952665028,0.052549121915707785
X13G FP Equity_DX_ACTIVE_UTILIZATION_MV,2,2896,-0.07804856089505663,2.6137586706990514e-05,0.064309952665028,0.0005343899650219935,0.052549121915707785,0.0005397539997117508,0.009149609005695725,-0.10887697506925043,113.9294975069252,0.006091577857789465,0.005748140255114165,2.6137586706996135e-05,0.07804856089505663,0.064309952665028,0.052549121915707785
X13G FP Equity_DX_SUPPLY_SI_MV,2,2896,-0.07804856089505663,2.6137586706990514e-05,0.064309952665028,0.0005343899650219935,0.052549121915707785,0.0005397539997117508,0.009149609005695725,-272.1924376731258,113.92949750692523,0.006091577857789465,0.005748140255114165,2.6137586706995843e-05,0.07804856089505663,0.064309952665028,0.052549121915707785
X13G FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,2,2896,-0.07804856089505663,2.6137586706990514e-05,0.064309952665028,0.0005343899650219935,0.052549121915707785,0.0005397539997117508,0.009149609005695725,-0.10887697506925043,113.9294975069252,0.006091577857789465,0.005748140255114165,2.6137586706996135e-05,0.07804856089505663,0.064309952665028,0.052549121915707785
X13G FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,2,2896,-0.07802634555919415,2.6276662852005805e-05,0.06433245705344512,0.0005319833893582662,0.052495950377943565,0.0005427424241673465,0.009274363858343682,-0.0003080517611668697,113.92948894188285,0.006088110601322527,0.005744671800562706,2.627666285204843e-05,0.07802634555919415,0.06433245705344512,0.052495950377943565
X13G FP Equity_DX_BROKER_SI_MARKET_SHARE_1,2,2896,-0.06952560437637692,0.0001808242460993116,-0.05924301842803986,0.0014249034570160861,-0.047332281524605654,0.0017300786295128274,0.23620143069204103,-0.011283884939952915,114.22671872709793,0.004833809663900457,0.00448993744885684,0.00018082424609941749,0.06952560437637692,0.05924301842803986,0.047332281524605654
X13G FP Equity_DX_BROKER_SI_CON_RATIO,2,2896,-0.06947588598783877,0.00018276695513123507,-0.059253139757995024,0.001422214668744857,-0.04734024978645274,0.0017272114146210829,0.23553753646730846,-1.1289345334524867,114.22612127744299,0.004826898733795049,0.004483024130731317,0.00018276695513024554,0.06947588598783877,0.059253139757995024,0.04734024978645274
X13G FP Equity_DX_SI_QTY,2,2896,-0.04356198934186799,0.019059391631917846,-0.025507800521462842,0.16996381244064954,-0.012733516521816788,0.3868905407498143,0.4221534465464265,-3.216469080540409e-05,114.08508878443533,0.0018976469154208253,0.001552760131355524,0.019059391632012146,0.04356198934186799,0.025507800521462842,0.012733516521816788
X13G FP Equity_DX_BROKER_SI_QTY,2,2896,-0.04343610819508879,0.01940871596317836,-0.025507800521462842,0.16996381244064954,-0.012733516521816788,0.3868905407498143,0.42074292418050097,-3.2070306010118e-05,114.08451737907669,0.0018866954951353154,0.0015418049268889344,0.019408715963166342,0.04343610819508879,0.025507800521462842,0.012733516521816788
