feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
AB FP Equity_DX_SHORT_INTEREST_VALUE,3,4003,0.6017542161912062,0.0,0.6282293339779167,0.0,0.4499391460064206,0.0,1.2519111043997837,6.404453616349227e-07,6.001584748968755,0.36210813670389286,0.3619487035963457,0.0,0.6017542161912062,0.6282293339779167,0.4499391460064206
AB FP Equity_DX_SI_MV,3,4003,0.5946550028554798,0.0,0.6241795837243281,0.0,0.4453459896207558,0.0,1.2695903992615674,0.6246077461695807,6.042370146906456,0.35361457242105043,0.35345301645314764,0.0,0.5946550028554798,0.6241795837243281,0.4453459896207558
AB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4003,0.5720741873550077,0.0,0.5977774818356035,0.0,0.42348993374270716,0.0,1.2339746076018625,9.525131581472508e-07,6.423761819691203,0.3272688758378921,0.3271007350920381,0.0,0.5720741873550077,0.5977774818356035,0.42348993374270716
AB FP Equity_DX_SUPPLY_SI_MV,3,4003,0.5696743056315495,0.0,0.5959260516929826,0.0,0.422255599828781,0.0,1.2026902812345863,0.9484217769040055,6.433765608305957,0.32452881449678783,0.3243599889068095,0.0,0.5696743056315495,0.5959260516929826,0.422255599828781
AB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4003,0.5114233028380614,9.196615119227594e-266,0.5753062120953529,0.0,0.400884184110552,0.0,1.2360370483062306,6.262899354363541e-07,6.66961474813901,0.26155379468579143,0.2613692292758154,9.196615119223936e-266,0.5114233028380614,0.5753062120953529,0.400884184110552
AB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,4003,-0.3418426575962899,3.998080061087513e-110,-0.4609445796844221,8.302901560109215e-210,-0.30678616562088357,1.4914901694804323e-185,0.8610425421766914,-0.09331400472732738,12.813875974568246,0.11685640255249408,0.11663567183581136,3.998080061089845e-110,0.3418426575962899,0.4609445796844221,0.30678616562088357
AB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,4003,0.31772666412205974,1.3873035340308595e-94,0.3228362394137312,9.259831012749059e-98,0.217357250004705,5.089283129824443e-94,1.1610714216776454,1.0986361744717386,6.729853031193482,0.10095023309413231,0.10072552682897218,1.387303534030436e-94,0.31772666412205974,0.3228362394137312,0.217357250004705
AB FP Equity_DX_DSS,3,4003,0.312525692745403,2.0473854421217827e-91,0.3117159254203091,6.293551493589863e-91,0.2546661327268057,1.4645623595778626e-86,0.1736556313946076,3.251943817584527,7.136105158730112,0.09767230862599352,0.09744678308453536,2.0473854421247716e-91,0.312525692745403,0.3117159254203091,0.2546661327268057
AB FP Equity_DX_BROKER_SI_CON_RATIO,3,4003,-0.2887816588732353,9.655064330629614e-78,-0.47353053252939536,6.833282571092504e-223,-0.312463552483669,2.1793456619487587e-192,0.9533306931535299,-8.628513163418178,11.540891885673338,0.08339484650157736,0.08316575248670643,9.655064330631689e-78,0.2887816588732353,0.47353053252939536,0.312463552483669
AB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4003,0.2684673798188793,4.7896965312356753e-67,0.2931173729147829,3.8339141656474495e-80,0.19608480411988957,1.0434821962288132e-76,1.1156771133019312,1.701516688541484,7.094847395512104,0.07207473402681452,0.07184281069115517,4.789696531232809e-67,0.2684673798188793,0.2931173729147829,0.19608480411988957
