feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
AKW FP Equity_DX_BROKER_SI_CON_RATIO,3,4997,0.3202667627612553,1.4600660267851244e-119,0.06687682543785121,2.2275526030769718e-06,0.03920392666015052,7.670831490150714e-05,0.9439128184186498,26.087037818099933,18.025479524755838,0.10257079932957436,0.10239113382393461,1.460066026784739e-119,0.3202667627612553,0.06687682543785121,0.03920392666015052
AKW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,4997,0.26086901173394395,1.5488950860224454e-78,0.06464281574029711,4.803173353542758e-06,0.039029331772495165,8.254207626173988e-05,0.8426175475534485,0.19652543009733672,18.516238801397513,0.06805264128304456,0.0678660652352534,1.5488950860214746e-78,0.26086901173394395,0.06464281574029711,0.039029331772495165
AKW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,4997,-0.21654714575967884,4.1881552406260026e-54,-0.12140810379695992,7.17971455254673e-18,-0.07695668734275055,1.1322953499059448e-15,1.2788497873910711,-8.81836337377133e-06,30.14931645050819,0.04689266633666378,0.04670185405765215,4.188155240632512e-54,0.21654714575967884,0.12140810379695992,0.07695668734275055
AKW FP Equity_DX_SI_QTY,3,4997,-0.19970186107234836,4.047964285595781e-46,-0.29149865849769085,1.862461197719519e-98,-0.19509885611247252,7.712487235976369e-87,1.0156647584992746,-9.13204088851482e-05,28.26150204917138,0.039880833315759534,0.039688617266373294,4.047964285592623e-46,0.19970186107234836,0.29149865849769085,0.19509885611247252
AKW FP Equity_DX_SUPPLY_SI_QTY,3,4997,-0.19661731545284897,9.864485225106247e-45,-0.31929925072476467,8.190354457971644e-119,-0.21304763680904126,1.40747190199352e-100,0.9377087430228888,-0.00012217141210314728,28.0904729375288,0.03865836873588491,0.03846590794884508,9.864485225101205e-45,0.19661731545284897,0.31929925072476467,0.21304763680904126
AKW FP Equity_DX_BROKER_SI_QTY,3,4997,-0.19401669832496016,1.3976156420119793e-43,-0.28421716137012576,1.7331842433806114e-93,-0.19153837117779396,1.8133749667457413e-83,1.0351375119043125,-0.00010116704535006524,28.08260918124942,0.03764247922891839,0.03744981506059586,1.3976156420125345e-43,0.19401669832496016,0.28421716137012576,0.19153837117779396
AKW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,4997,0.17252193769129334,1.0951884033307825e-34,-0.20959760333739333,1.0025022322449895e-50,-0.17466637257151107,5.880519142529181e-67,0.6907467571761958,0.12483504907071269,23.56084090139216,0.029763818984758883,0.029569577507078226,1.0951884033300252e-34,0.17252193769129334,0.20959760333739333,0.17466637257151107
AKW FP Equity_DX_ACTIVE_UTILIZATION_MV,3,4997,0.17199980058401373,1.7452998649019112e-34,-0.21792067871636867,8.709029854247648e-55,-0.1855168172731592,3.45996022329884e-75,0.7072106274688452,0.12527161382594681,23.567999311118953,0.02958393140094051,0.029389653909729474,1.7452998649025225e-34,0.17199980058401373,0.21792067871636867,0.1855168172731592
AKW FP Equity_DX_SUPPLY_SI_MV,3,4997,-0.1689563974545222,2.5628221421054995e-33,-0.2747318792623434,3.1008333694664103e-87,-0.17830011967311898,5.1615518445339006e-70,0.8096771560956264,-6.042807080298553,27.84256066820906,0.028546264240810637,0.028351779008426448,2.5628221420999542e-33,0.1689563974545222,0.2747318792623434,0.17830011967311898
AKW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,4997,-0.16339107834919478,3.0636592858589337e-31,-0.2689094186796014,1.6141984172274994e-83,-0.1954378161567303,2.0701208146775028e-84,0.7020767667539052,-0.29949372385108775,29.573658022276057,0.02669664448411302,0.02650178895748323,3.0636592858708837e-31,0.16339107834919478,0.2689094186796014,0.1954378161567303
AKW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4997,-0.15266619817228194,1.932711601553222e-27,-0.1861884259171575,3.2544480922907537e-40,-0.1119633189989006,1.0320696833927317e-29,0.9592863065346924,-4.824802128455257e-06,27.605474252272295,0.023306968064378375,0.023111433923850733,1.9327116015548296e-27,0.15266619817228194,0.1861884259171575,0.1119633189989006
AKW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4997,-0.1521291912288116,2.947310648650099e-27,-0.2493140042216984,1.1196526495151713e-71,-0.15151540421172524,7.692363526015092e-52,0.8501436721769484,-5.733885827608687e-06,27.552924929046867,0.023143290823932294,0.0229477239151884,2.9473106486504068e-27,0.1521291912288116,0.2493140042216984,0.15151540421172524
AKW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4997,-0.14988428864223166,1.6916789886405912e-26,-0.2528466976208647,9.75872567334876e-74,-0.16522449513179827,6.065925994729554e-61,0.7884349646151065,-17.85257981719642,27.66768262983,0.022465299981787923,0.02226959733914169,1.6916789886406377e-26,0.14988428864223166,0.2528466976208647,0.16522449513179827
AKW FP Equity_DX_SI_MV,3,4997,-0.1470293263560388,1.5020370161730617e-25,-0.20048824554137443,1.7781430492408748e-46,-0.12151662351259775,1.953335082016925e-34,0.8496305213550284,-3.9978890806479805,27.615110496273733,0.0216176228087106,0.021421750460924538,1.5020370161735822e-25,0.1470293263560388,0.20048824554137443,0.12151662351259775
AKW FP Equity_DX_SHORT_INTEREST_VALUE,3,4997,-0.14657454446914722,2.118462566110313e-25,-0.1907407136684348,3.7360267918055335e-42,-0.11305379368304527,2.3219446561540887e-30,0.8904470447985058,-4.0408987153198975e-06,27.59874795713626,0.02148409708633814,0.021288198006675807,2.11846256611284e-25,0.14657454446914722,0.1907407136684348,0.11305379368304527
AKW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,4997,-0.14532563975081544,5.416166387538032e-25,-0.2524655039541263,1.6338717385090637e-73,-0.16737026475748382,6.0048159695391463e-64,0.9775033445704353,-6.045251784621847,27.60084431250949,0.021119541568983546,0.020923569505233663,5.416166387539904e-25,0.14532563975081544,0.2524655039541263,0.16737026475748382
AKW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,4997,-0.11225140006706849,1.7460512073575414e-15,0.09380265279402651,3.055878275496808e-11,0.11823620917921311,5.240446192416442e-35,1.6661679200231405,-0.21738983799801792,27.80365170974744,0.012600376817016756,0.01240269921477799,1.7460512073572237e-15,0.11225140006706849,0.09380265279402651,0.11823620917921311
AKW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,4997,-0.11009005610410662,5.997988381816977e-15,-0.2774593037677822,5.2343060899566164e-89,-0.1900629490473264,1.8850880048570647e-82,0.7882271128653953,-0.20446938191488778,26.336923378400197,0.012119820453005192,0.01192204664328611,5.99798838181704e-15,0.11009005610410662,0.2774593037677822,0.1900629490473264
AKW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,4997,-0.10617401216463834,5.2807891246339165e-14,0.09763196655405275,4.634203004369873e-12,0.12352525912911644,3.581683190432344e-38,1.7134152431054837,-2.0543746753023128e-07,27.642386818243665,0.011272920859137003,0.011074977499949679,5.280789124632716e-14,0.10617401216463834,0.09763196655405275,0.12352525912911644
AKW FP Equity_DX_SUPPLY_SI_QTY_DEC,3,4997,-0.1003223542342173,1.1782478268020813e-12,-0.2033352309668215,8.788192107041885e-48,-0.15675285423637741,2.213309212383123e-47,0.13454431479658302,-0.0006882436877821946,26.18972575215741,0.010064574759095946,0.009866389488777494,1.1782478268027954e-12,0.1003223542342173,0.2033352309668215,0.15675285423637741
AKW FP Equity_DX_SUPPLY_SI_QTY_INC_y,3,4997,-0.08375695175731199,3.03537396223375e-09,-0.15720758093606071,5.125180586487151e-29,-0.12423783858303175,1.747478937741139e-28,0.07473958161230154,-0.0009669458042752269,25.950049721805623,0.0070152269676766466,0.006816431217319896,3.0353739622327175e-09,0.08375695175731199,0.15720758093606071,0.12423783858303175
AKW FP Equity_DX_SUPPLY_SI_QTY_INC_x,3,4997,-0.08375695175731199,3.03537396223375e-09,-0.15720758093606071,5.125180586487151e-29,-0.12423783858303175,1.747478937741139e-28,0.07473958161230154,-0.0009669458042752269,25.950049721805623,0.0070152269676766466,0.006816431217319896,3.0353739622327175e-09,0.08375695175731199,0.15720758093606071,0.12423783858303175
AKW FP Equity_DX_BROKER_SI_QTY_DEC,3,4997,-0.07764949319767879,3.8866383411618776e-08,-0.18014609487203262,1.0254150126696383e-37,-0.13905109375331348,3.1243639956430914e-37,0.11063730277730865,-0.0004808465758171092,25.89602452926112,0.006029443793856726,0.005830450689511157,3.886638341160031e-08,0.07764949319767879,0.18014609487203262,0.13905109375331348
AKW FP Equity_DX_SUPPLY_SI_QTY_ADD,3,4997,-0.07474484500095295,1.2248273596653507e-07,-0.11586574676567431,2.1018875498124786e-16,-0.09270198387209883,1.6821145616697758e-16,0.061898086375038464,-0.0008194390569482505,25.933107802525353,0.005586791854217177,0.005387710130864698,1.224827359665485e-07,0.07474484500095295,0.11586574676567431,0.09270198387209883
AKW FP Equity_DX_BROKER_SI_QTY_INC,3,4997,-0.07171753271128817,3.876162480240251e-07,-0.17437597765881413,2.068525802953015e-35,-0.1371689573934148,1.210023460180377e-34,0.10948473668180636,-0.0006291876576351166,25.844719893569657,0.005143404498195281,0.0049442340086053305,3.8761624802393934e-07,0.07171753271128817,0.17437597765881413,0.1371689573934148
AKW FP Equity_DX_BROKER_SI_QTY_ADD,3,4997,-0.05792156068102907,4.187934914171284e-05,-0.045380221796288395,0.0013331153587712145,-0.03692503924425639,0.001241157137857926,0.023684148514398373,-0.0008607604976709741,25.733454232332086,0.003354907191725931,0.003155378644617235,4.1879349141716796e-05,0.05792156068102907,0.045380221796288395,0.03692503924425639
AKW FP Equity_DX_BROKER_SI_MV_INC_y,3,4997,-0.05439905813326011,0.0001194135874208344,-0.139165471253345,4.923645561601062e-23,-0.10895194796334264,5.091416368606855e-22,0.07258647659349271,-24.783289470905924,25.731901842657187,0.002959257525785519,0.002759649769534467,0.00011941358742083291,0.05439905813326011,0.139165471253345,0.10895194796334264
AKW FP Equity_DX_BROKER_SI_MV_INC_x,3,4997,-0.05439905813326011,0.0001194135874208344,-0.139165471253345,4.923645561601062e-23,-0.10895194796334264,5.091416368606855e-22,0.07258647659349271,-24.783289470905924,25.731901842657187,0.002959257525785519,0.002759649769534467,0.00011941358742083291,0.05439905813326011,0.139165471253345,0.10895194796334264
AKW FP Equity_DX_BROKER_SI_MV_DEC,3,4997,-0.05035640695451258,0.00036939450003570614,-0.14307959117342925,2.869854909343044e-24,-0.11059636511118552,2.859703018855454e-23,0.07656229920013491,-18.25915267062133,25.75687092308677,0.0025357677213683205,0.0023360751823736647,0.0003693945000358276,0.05035640695451258,0.14307959117342925,0.11059636511118552
