feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALAT FP Equity_DX_ACTIVE_UTILIZATION_MV,3,3717,0.2863814734580042,4.230190198894575e-71,0.3881639484393998,6.103863063198296e-134,0.3046907017448816,5.951379370972735e-123,0.21920411194356304,0.018482259727749632,12.257584013159315,0.08201434833997767,0.08176724587654294,4.2301901989597015e-71,0.2863814734580042,0.3881639484393998,0.3046907017448816
ALAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,3717,0.28587903816599314,7.581349783828107e-71,0.38808980117442177,6.923950851350602e-134,0.304674651359468,6.528283177334703e-123,0.22018955304192622,0.018458872421399746,12.258454527346462,0.08172682446271351,0.0814796446038879,7.581349783902872e-71,0.28587903816599314,0.38808980117442177,0.304674651359468
ALAT FP Equity_DX_UTILIZATION_QUANTITY,3,3717,0.19544756801800386,2.5303525506099358e-33,0.37223818122021796,1.6776612364166606e-122,0.280482502679655,3.5772844337917116e-110,0.2784717083151038,0.024572054856312683,12.428425141771976,0.03819975184415225,0.03794085541127046,2.5303525506295348e-33,0.19544756801800386,0.37223818122021796,0.280482502679655
ALAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,3717,0.12815192406846734,4.4063271954355274e-15,0.16876992919592462,3.75512972729389e-25,0.1287120283040254,1.4956975730003345e-25,0.1838917679297647,0.006927441753024357,12.318018794036837,0.01642291564245002,0.016158157342488377,4.4063271954327885e-15,0.12815192406846734,0.16876992919592462,0.1287120283040254
ALAT FP Equity_DX_BROKER_SI_CON_RATIO,3,3717,0.12236093690040613,7.120029060158867e-14,0.1655601063499879,2.9744340336232386e-24,0.12572761466158422,2.2347219409992666e-24,0.19058368309310625,0.6682747213252564,12.33793918445881,0.014972198879145138,0.014707050076690042,7.120029060152523e-14,0.12236093690040613,0.1655601063499879,0.12572761466158422
ALAT FP Equity_DX_DEMAND_SUPPLY_RATIO,3,3717,0.07546447474828936,4.107269058210395e-06,0.32954736718268457,7.18855743529067e-95,0.24583531138703232,1.5053150999251261e-86,0.2441894266760758,0.1983792492776756,12.561195983923506,0.005694886949035083,0.005427240888994489,4.1072690582110525e-06,0.07546447474828936,0.32954736718268457,0.24583531138703232
ALAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,3717,0.06783445558355429,3.487407277803071e-05,0.2148912139863998,4.3924770130439315e-40,0.15325088266435224,3.757711312038139e-38,0.15952937713759363,0.0015138580531164115,12.578885672121135,0.004601513364317356,0.004333572991064183,3.4874072778020364e-05,0.06783445558355429,0.2148912139863998,0.15325088266435224
ALAT FP Equity_DX_SUPPLY_SI_MV,3,3717,0.06021324777108483,0.00023959600381941146,0.29583610903009216,5.760126863166647e-76,0.23120452172147793,3.1366247246999005e-74,0.22597097429112245,0.20708660497664447,12.565990061157192,0.003625635207141764,0.0033574321479781233,0.00023959600382003117,0.06021324777108483,0.29583610903009216,0.23120452172147793
ALAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,3717,0.05912032887065477,0.00031054215743880865,0.3512005020164832,2.3869194017923245e-108,0.2679840828077307,6.713525787739945e-101,0.23371408819286077,2.0420685792714006e-07,12.566662878288403,0.003495213285774401,0.003226975119767883,0.00031054215743894043,0.05912032887065477,0.3512005020164832,0.2679840828077307
ALAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,3717,0.03809157076468328,0.020211499992812628,0.10316047933741565,2.8984415023685214e-10,0.07750961281554389,9.340022934284355e-10,0.18061192359524392,0.006006239875272326,12.561801782318033,0.0014509677633208762,0.0011821793293406158,0.020211499992801366,0.03809157076468328,0.10316047933741565,0.07750961281554389
ALAT FP Equity_DX_SUPPLY_SI_QTY,3,3717,0.035513342427369275,0.030379730220727024,0.34708373644508356,1.0565398924475787e-105,0.2646038197455587,4.272124065008053e-98,0.24239428408937447,1.5423860565466269e-06,12.58194148507071,0.0012611974903634637,0.0009923579742101563,0.03037973022074195,0.035513342427369275,0.34708373644508356,0.2646038197455587
ALAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,3717,-0.03412287784939363,0.03749962752242006,0.07331814746762369,7.658249220317965e-06,0.05195057303616401,1.3346090678168484e-05,0.3510164610433053,-0.10561414293791448,12.643941299186013,0.0011643707927245783,0.000895505212857195,0.03749962752244056,0.03412287784939363,0.07331814746762369,0.05195057303616401
ALAT FP Equity_DX_BROKER_SI_QTY,3,3717,-0.03266817146199986,0.04642059488436773,0.039029337468283826,0.01733069256553775,0.028428873203693784,0.01749078185360927,0.3275152376958097,-1.020035441487937e-06,12.636183586826574,0.0010672094266707122,0.0007983176930036473,0.04642059488436131,0.03266817146199986,0.039029337468283826,0.028428873203693784
ALAT FP Equity_DX_SI_MV,3,3717,0.02919893063769591,0.07508284967717804,0.0998863004443302,1.0409066824928076e-09,0.07328542495620893,7.698533554703776e-10,0.32183549982876025,0.05772333198913586,12.573731980104826,0.0008525775503848143,0.0005836280423230367,0.07508284967716974,0.02919893063769591,0.0998863004443302,0.07328542495620893
ALAT FP Equity_DX_DSS,3,3717,-0.028624927732098224,0.08099315926702556,-0.026647629398151657,0.104296127588827,-0.02176633691569165,0.10428771357370514,0.0,-4.2071195102258345,12.60431951022607,0.0008193864876679946,0.000550428045268947,0.08099315926703733,0.028624927732098224,0.026647629398151657,0.02176633691569165
ALAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,3717,0.02432989118753565,0.13806217613399555,0.017735853837116986,0.27968521262045704,0.0153990465960059,0.21355598857774383,0.34883413695466015,1.5609192252764077e-08,12.584805817557012,0.0005919436051973204,0.00032292393994970414,0.13806217613413882,0.02432989118753565,0.017735853837116986,0.0153990465960059
ALAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,3717,0.023493890449198782,0.15212301586949523,0.08241524757060605,4.866615878342299e-07,0.06588437480225402,1.7531805454896088e-07,0.3125574269109963,0.015070421263488528,12.585504293913402,0.0005519628884390615,0.00028293246122201854,0.15212301586952612,0.023493890449198782,0.08241524757060605,0.06588437480225402
ALAT FP Equity_DX_SUPPLY_SI_MV_DEC,3,3717,0.017141360349523977,0.2961218533542791,0.12188293156678134,8.907040130824134e-14,0.09853289347020422,1.1357713286387814e-13,0.017318522696254446,0.18720134903005817,12.599233104674239,0.0002938262346322551,2.4726322447765625e-05,0.2961218533542928,0.017141360349523977,0.12188293156678134,0.09853289347020422
