feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALBON FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,4969,-0.15400592233530183,9.40189187936637e-28,-0.15284959574734244,2.335418673866777e-27,-0.12434974694068812,7.557947589389407e-28,0.16457791444374048,-2.4681842085798507,106.56258376694137,0.023717824114346975,0.023521270424818996,9.401891879341878e-28,0.15400592233530183,0.15284959574734244,0.12434974694068812
ALBON FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,4969,-0.15237147971810105,3.395102694867532e-27,-0.19485196165909172,1.0326356039112802e-43,-0.1585526190758287,1.1948185072510312e-43,0.14486821942586814,-33.280094335466586,106.62727582738971,0.02321706783148403,0.023020413325309574,3.39510269487423e-27,0.15237147971810105,0.19485196165909172,0.1585526190758287
ALBON FP Equity_DX_SI_QTY,3,4969,-0.1520047870933419,4.519788908079911e-27,-0.15303592456765217,2.0178950287584245e-27,-0.12399029106250936,1.2076626386218236e-27,0.17891871680731897,-0.006746623118481797,106.61008190752794,0.0231054552992922,0.02290877832230398,4.519788908092526e-27,0.1520047870933419,0.15303592456765217,0.12399029106250936
ALBON FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4969,-0.15135034096046904,7.518495674022761e-27,-0.21458136403715547,7.547712479752603e-53,-0.17456041582481052,5.883151256868275e-52,0.09467482639356972,-81.48265093256107,106.59936894306264,0.022906925708850112,0.02271020876214358,7.518495674053661e-27,0.15135034096046904,0.21458136403715547,0.17456041582481052
ALBON FP Equity_DX_BROKER_SI_QTY,3,4969,-0.15133077512167903,7.633494611861588e-27,-0.1545674267182307,6.0287122428617e-28,-0.12527187058265588,3.652896455265289e-28,0.1799811020481188,-0.006723821923876321,106.59551027726313,0.02290100349892865,0.02270428535991087,7.633494611859218e-27,0.15133077512167903,0.1545674267182307,0.12527187058265588
ALBON FP Equity_DX_SHORT_INTEREST_VALUE,3,4969,-0.14966816334711538,2.752411499954029e-26,-0.15268065824145,2.665865787682987e-27,-0.12264188383767342,3.7481291592148656e-27,0.18894440498911025,-0.00012486214813468212,106.62343540216354,0.022400559119698182,0.02220374022682914,2.7524114999624706e-26,0.14966816334711538,0.15268065824145,0.12264188383767342
ALBON FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4969,-0.14875474259627067,5.533801070286692e-26,-0.15425222201877578,7.738390036543235e-28,-0.12407436281179408,9.846724833877644e-28,0.18588443794229503,-0.0001245754858574947,106.60068399952944,0.022127973444883042,0.02193109967267548,5.533801070278827e-26,0.14875474259627067,0.15425222201877578,0.12407436281179408
ALBON FP Equity_DX_SI_MV,3,4969,-0.14405737512133998,1.8738198434393566e-24,-0.20861869063451488,5.485504062911874e-50,-0.16940055042552793,4.365905690806567e-49,0.09829947269074646,-80.30135458129159,106.55739318018355,0.020752527326850068,0.02055537663776752,1.873819843442978e-24,0.14405737512133998,0.20861869063451488,0.16940055042552793
ALBON FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,4969,-0.14338371064412297,3.075981613417872e-24,-0.14279846487631517,4.722251933771108e-24,-0.11603252937100993,7.916639057214656e-24,0.08306627621977758,-0.17811299418112797,107.23954181239522,0.020558888478077297,0.020361698803923467,3.0759816134251013e-24,0.14338371064412297,0.14279846487631517,0.11603252937100993
ALBON FP Equity_DX_BROKER_SI_CON_RATIO,3,4969,-0.14210452555371797,7.832144416489384e-24,-0.1427982189497457,4.723100840967324e-24,-0.11603106268964386,7.929664651464661e-24,0.08380259715625682,-17.847142929945583,107.22134602406284,0.020193696182848386,0.019996432984978996,7.832144416496623e-24,0.14210452555371797,0.1427982189497457,0.11603106268964386
ALBON FP Equity_DX_DEMAND_SUPPLY_RATIO,3,4969,-0.12227411446333376,5.170520147921864e-18,-0.1398945050368303,3.8581819470347654e-23,-0.11374845579836584,2.2230776090783177e-23,0.154831714479996,-1.75796276488871,106.40006113591113,0.01495095906779198,0.01475264035610846,5.170520147901652e-18,0.12227411446333376,0.1398945050368303,0.11374845579836584
ALBON FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,4969,0.09797084944336273,4.4848790356930494e-12,0.2683483908820251,1.0395158440537076e-82,0.20740264869805344,8.64446846613459e-94,1.5457574452993148,3.317900482611991e-05,104.72246017265006,0.009598287340654266,0.009398890982156294,4.484879035689012e-12,0.09797084944336273,0.2683483908820251,0.20740264869805344
ALBON FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,4969,-0.08660018446359767,9.686088620167165e-10,-0.0281062047450374,0.04757656862773205,-0.023497242736701392,0.04218250713183613,0.074641947915423,-0.1492952746502271,106.40142588974632,0.007499591949129636,0.007299773062870107,9.686088620195362e-10,0.08660018446359767,0.0281062047450374,0.023497242736701392
ALBON FP Equity_DX_ACTIVE_UTILIZATION_MV,3,4969,-0.08660018446359767,9.686088620167165e-10,-0.0281062047450374,0.04757656862773205,-0.023497242736701392,0.04218250713183613,0.074641947915423,-0.1492952746502271,106.40142588974632,0.007499591949129636,0.007299773062870107,9.686088620195362e-10,0.08660018446359767,0.0281062047450374,0.023497242736701392
ALBON FP Equity_DX_UTILIZATION_QUANTITY,3,4969,-0.07740029174238686,4.685296855438484e-08,-0.02808770272882229,0.04772303093032101,-0.023155764662820696,0.043692319380311796,0.10901403050240477,-0.20614568002319902,106.29757141992134,0.0059908051618063896,0.005790682513359013,4.6852968554401155e-08,0.07740029174238686,0.02808770272882229,0.023155764662820696
ALBON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,4969,0.07735429402724174,4.772041043339708e-08,0.21969553164112227,2.2576349223397174e-55,0.18285082003282813,9.182583530277789e-68,0.8991707069122126,17.47243371898559,105.03600900072064,0.005983686804453159,0.005783562722875613,4.772041043351188e-08,0.07735429402724174,0.21969553164112227,0.18285082003282813
ALBON FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,4969,-0.05147726326058224,0.00028321864619055165,-0.09174581572280577,9.214427957228356e-11,-0.07458938449250288,1.1081912063403454e-10,0.023487820864648956,-0.5179479237177441,106.00728317741078,0.002649908632799236,0.002449113365763367,0.0002832186461906342,0.05147726326058224,0.09174581572280577,0.07458938449250288
ALBON FP Equity_DX_SUPPLY_SI_QTY,3,4969,-0.05053419539101667,0.00036581250156994316,-0.028088491297296195,0.047716780886793035,-0.02279293784639875,0.047237042273020925,0.10499274242163259,-0.06834060798755533,106.04674005737303,0.002553704903817011,0.002352890268202734,0.00036581250156965595,0.05053419539101667,0.028088491297296195,0.02279293784639875
ALBON FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4969,-0.05040998827457484,0.00037823318417750946,-0.027987854529736306,0.048519985753409885,-0.022330180610760055,0.051588773243884355,0.11111991832619328,-0.0007230931375074055,106.04606178648321,0.0025411669178432295,0.0023403497579715937,0.0003782331841777793,0.05040998827457484,0.027987854529736306,0.022330180610760055
ALBON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,4969,0.046974193134597775,0.0009254566870130976,0.18702651816847432,2.3808620972677076e-40,0.14670801937190822,2.4974806812406914e-47,1.4436170285946912,0.0012230647114092714,105.34278475974521,0.0022065748206466784,0.0020056902977597657,0.0009254566870140312,0.046974193134597775,0.18702651816847432,0.14670801937190822
ALBON FP Equity_DX_SUPPLY_SI_MV,3,4969,-0.0340605994270363,0.016347528104902014,-0.026578348506346414,0.06101351638734456,-0.021754702337366757,0.06035887089706132,0.018624093754523008,-508.9552125851453,105.93550718707692,0.001160124433329135,0.0009590292298730096,0.016347528104896085,0.0340605994270363,0.026578348506346414,0.021754702337366757
ALBON FP Equity_DX_BROKER_SI_QTY_DEC,3,4969,-0.030379414433102887,0.032238988202130565,-0.034745667137179026,0.014310047239848224,-0.02839204438406228,0.014261256537355313,0.0003340755012828378,-0.008428222215090793,105.86248404751434,0.0009229088212981962,0.000721765859514667,0.03223898820213337,0.030379414433102887,0.034745667137179026,0.02839204438406228
