feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALGEN FP Equity_DX_ACTIVE_UTILIZATION_MV,3,4723,0.4487676233272869,7.423746326201539e-233,0.5651497973246201,0.0,0.462236602823994,0.0,0.3380402296903382,0.011578574522651139,2.4345952242283024,0.2013923797468209,0.20122321905623552,7.4237463261101765e-233,0.4487676233272869,0.5651497973246201,0.462236602823994
ALGEN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,4723,0.4487676233272869,7.423746326201539e-233,0.5651497973246201,0.0,0.462236602823994,0.0,0.3380402296903382,0.011578574522651139,2.4345952242283024,0.2013923797468209,0.20122321905623552,7.4237463261101765e-233,0.4487676233272869,0.5651497973246201,0.462236602823994
ALGEN FP Equity_DX_UTILIZATION_QUANTITY,3,4723,0.42960738863386777,1.858283526971839e-211,0.5639041315804979,0.0,0.42953132449121323,0.0,0.5395490664472891,0.015343029394211316,2.4674910854095775,0.18456250836881127,0.18438978278278473,1.8582835269973082e-211,0.42960738863386777,0.5639041315804979,0.42953132449121323
ALGEN FP Equity_DX_SI_MV,3,4723,0.4216141837862784,6.24599917226385e-203,0.5936470579449054,0.0,0.48076043227916576,0.0,0.4415387951922678,32.65563977980027,2.5308649730675254,0.17775851996976944,0.17758435316611976,6.245999172282738e-203,0.4216141837862784,0.5936470579449054,0.48076043227916576
ALGEN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,4723,0.4192098356286752,2.0678235925377725e-200,0.5342489051888069,0.0,0.40665374925874415,4.235788575901649e-286,0.4881274780542264,0.011740250182369084,2.4509631432049916,0.17573688628782114,0.17556229126267553,2.0678235925348328e-200,0.4192098356286752,0.5342489051888069,0.40665374925874415
ALGEN FP Equity_DX_SHORT_INTEREST_VALUE,3,4723,0.418118907897542,2.8320948802931164e-199,0.5847171572849,0.0,0.4692601482027139,0.0,0.614176769334549,3.2999664869219786e-05,2.5339513923807964,0.17482342114143345,0.17464863262653008,2.832094880288912e-199,0.418118907897542,0.5847171572849,0.4692601482027139
ALGEN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4723,0.41573820474425843,8.277071041188563e-197,0.5812477966783633,0.0,0.4654722897206192,0.0,0.5704866803623929,6.95325734901839e-05,2.5338688566091196,0.17283825488397953,0.17266304587209302,8.277071041189364e-197,0.41573820474425843,0.5812477966783633,0.4654722897206192
ALGEN FP Equity_DX_SUPPLY_SI_MV,3,4723,0.4152484878657102,2.6461781620326036e-196,0.5637102946144996,0.0,0.46033043816460956,0.0,0.35220396339926063,70.26270279464359,2.5332486580923694,0.17243130667475837,0.1722560114632935,2.64617816202167e-196,0.4152484878657102,0.5637102946144996,0.46033043816460956
ALGEN FP Equity_DX_SI_QTY,3,4723,0.4110934767788157,4.6922547601911896e-192,0.5801818942384209,0.0,0.4588961967741079,0.0,0.6566247069553568,0.00012826390307164946,2.5307166207687017,0.16899784665009443,0.16882182416474178,4.692254760186584e-192,0.4110934767788157,0.5801818942384209,0.4588961967741079
ALGEN FP Equity_DX_SUPPLY_SI_QTY,3,4723,0.4105640071600503,1.616153843931636e-191,0.5754038311437316,0.0,0.45272124485076537,0.0,0.6022934293519757,0.00027392764592880766,2.526610767354111,0.16856280397531764,0.16838668933943013,1.616153843934987e-191,0.4105640071600503,0.5754038311437316,0.45272124485076537
