feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALJXR FP Equity_DX_SUPPLY_SI_MV,3,4997,0.8695271321185382,0.0,0.7275809550568376,0.0,0.5522275765365732,0.0,1.3831359297559698,4.935641294863409,1.2025384211480168,0.7560774334902893,0.7560286001436407,0.0,0.8695271321185382,0.7275809550568376,0.5522275765365732
ALJXR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4997,0.8665021673985009,0.0,0.7049354003692067,0.0,0.5203009965763191,0.0,1.743155052552309,4.933127803946357e-06,1.214764250886981,0.7508260061062997,0.7507761214228375,0.0,0.8665021673985009,0.7049354003692067,0.5203009965763191
ALJXR FP Equity_DX_SI_MV,3,4997,0.7522258737903577,0.0,0.7453848855929135,0.0,0.5810295434399722,0.0,1.530633291523075,3.264253186875596,1.0251332560985509,0.5658437651996668,0.5657568470345417,0.0,0.7522258737903577,0.7453848855929135,0.5810295434399722
ALJXR FP Equity_DX_SHORT_INTEREST_VALUE,3,4997,0.7478942867432384,0.0,0.7355636797697445,0.0,0.5685949799458457,0.0,1.784894016638968,3.2410478085815616e-06,1.0729365187441635,0.559345864143177,0.5592576450969594,0.0,0.7478942867432384,0.7355636797697445,0.5685949799458457
ALJXR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,4997,0.6828304733474281,0.0,0.5808371144865679,0.0,0.4256212262450848,0.0,1.9339601823434762,3.246753812072934,-0.015469962481245445,0.46625745533187213,0.46615059996757424,0.0,0.6828304733474281,0.5808371144865679,0.4256212262450848
ALJXR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,4997,0.6449568592292653,0.0,0.5099401508583871,0.0,0.3658786454217284,0.0,1.2334025898112895,2.031203668225767,1.0256752722573395,0.4159693502668782,0.4158524272138786,0.0,0.6449568592292653,0.5099401508583871,0.3658786454217284
ALJXR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,4997,0.3714053929311763,3.0526631714188575e-163,0.3445666926147929,2.685948067071559e-139,0.27720403142121003,2.590285230854935e-133,0.2959645046648376,2.687959315221405e-06,3.597243207772433,0.1379419658983616,0.1377693817073503,3.052663171416881e-163,0.3714053929311763,0.3445666926147929,0.27720403142121003
ALJXR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,4997,0.36749268072181623,1.3206434495119283e-159,0.3430134018050552,5.555721870312859e-138,0.27602788861212996,4.509567448985921e-132,0.29398111324732734,2.6675094737184657,3.604148657191954,0.13505087038410657,0.13487770739519456,1.320643449510778e-159,0.36749268072181623,0.3430134018050552,0.27602788861212996
ALJXR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4997,0.3485762005338908,9.95771579589985e-143,0.4750025883362727,1.0669489666827195e-279,0.33572831442835144,8.361404704788364e-275,1.8937437019414443,2.3376456237831893,1.9022190072797984,0.1215053675786435,0.12132949277735794,9.95771579590071e-143,0.3485762005338908,0.4750025883362727,0.33572831442835144
ALJXR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4997,0.32589842818837794,5.620046215370046e-124,0.645114121008375,0.0,0.48350039059466005,0.0,1.6878393805666145,2.062014788387374e-06,2.8952226363102698,0.10620978549565552,0.10603084851577482,5.620046215372034e-124,0.32589842818837794,0.645114121008375,0.48350039059466005
