feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALLEC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,1875,0.6737236027800613,2.4527038350891507e-248,0.3429264382245267,7.000088078081593e-53,0.25704675739208144,4.895438162931582e-46,0.4853887426435759,0.4050111974307352,8.083008767097764,0.45390349294294596,0.4536119304725471,2.4527038350947134e-248,0.6737236027800613,0.3429264382245267,0.25704675739208144
ALLEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,1875,0.6605281006321416,2.0128160998239475e-235,0.4851223947183306,2.7871171509138114e-111,0.37169261792064445,4.056305776852525e-112,1.2037541843960646,0.00011203631461710697,8.105635007004858,0.4362973717247046,0.4359964092963676,2.012816099817315e-235,0.6605281006321416,0.4851223947183306,0.37169261792064445
ALLEC FP Equity_DX_UTILIZATION_QUANTITY,3,1875,0.6374558336683882,2.355883023494809e-214,0.4681802141595243,9.155915994254204e-103,0.33902725386894084,8.993424379140868e-86,0.8210208590247869,0.0811589355645656,7.354367919917256,0.4063499398778597,0.40603298843091795,2.355883023491584e-214,0.6374558336683882,0.4681802141595243,0.33902725386894084
ALLEC FP Equity_DX_BROKER_SI_QTY,3,1875,0.5361353037874622,5.040076291982517e-140,0.4491574133191525,9.317292229438996e-94,0.33445073187487073,8.741677398311116e-89,1.0201300015530723,0.0017004974009176158,8.184668277341997,0.28744106396727453,0.2870606267350094,5.040076291964049e-140,0.5361353037874622,0.4491574133191525,0.33445073187487073
ALLEC FP Equity_DX_DEMAND_SUPPLY_RATIO,3,1875,0.5229522792473897,4.030906700652614e-132,0.43150896196406735,6.752074700475794e-86,0.3097011538932602,4.868259860955795e-77,1.0126890025069364,2.7857367637625465,7.992262859391593,0.2734790863700399,0.2730911947984276,4.030906700659246e-132,0.5229522792473897,0.43150896196406735,0.3097011538932602
ALLEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,1875,0.4683698400946012,7.396201850512983e-103,0.39048431206388773,2.4329082683592073e-69,0.3073899436933895,1.2494190608677226e-62,0.383744237299275,0.04912245021509648,7.427682577144162,0.2193703071102423,0.2189535267082724,7.396201850481014e-103,0.4683698400946012,0.39048431206388773,0.3073899436933895
ALLEC FP Equity_DX_ACTIVE_UTILIZATION_MV,3,1875,0.46745782603324254,2.0619826751890433e-102,0.35495624168894097,8.752374977328971e-57,0.27677592078357327,1.0782084689060247e-53,0.5076367036950615,0.04954923085371674,7.431945899882185,0.21851681911972554,0.2180995830381024,2.0619826751845087e-102,0.46745782603324254,0.35495624168894097,0.27677592078357327
ALLEC FP Equity_DX_SHORT_INTEREST_VALUE,3,1875,0.4568581472770301,2.463232845786875e-97,0.3659209406085014,1.7142906457136193e-60,0.282118206502821,3.795149857809456e-66,1.116900137081596,4.839727544472685e-05,8.303884690630847,0.20871936673340097,0.20829689976422505,2.463232845784616e-97,0.4568581472770301,0.3659209406085014,0.282118206502821
ALLEC FP Equity_DX_SI_MV,3,1875,0.4548732358242183,2.101407812676619e-96,0.35322863981286257,3.2595985410378217e-56,0.28166680430979374,2.9873415963301526e-56,0.595179104411625,47.43015269062082,8.330961933488076,0.20690966066919503,0.20648622749283052,2.101407812673838e-96,0.4548732358242183,0.35322863981286257,0.28166680430979374
ALLEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,1875,0.3347835016607843,2.461138296829524e-50,0.3820538141988103,3.22888392880589e-66,0.316790024963724,1.7922168527301805e-76,0.9801585480053512,4.5035528028273414e-05,8.641748287739185,0.11207999298425642,0.11160592997997687,2.461138296830782e-50,0.3347835016607843,0.3820538141988103,0.316790024963724
ALLEC FP Equity_DX_SUPPLY_SI_MV,3,1875,0.3260888795234214,1.0616445815490395e-47,0.33480578796736765,2.4225452969191985e-50,0.27749116314031835,3.804588362797285e-54,0.5598050453404375,43.027695571992204,8.668105205204943,0.10633395734884077,0.10585682651987605,1.0616445815493917e-47,0.3260888795234214,0.33480578796736765,0.27749116314031835
ALLEC FP Equity_DX_BROKER_SI_MV_DEC,3,1875,0.27629519812430464,3.3421135506108694e-34,0.21378556155076103,8.017502155357857e-21,0.17411223340488657,2.1596761095938512e-20,0.02945723820731727,125.5419119631152,9.057342568368197,0.07633903650654883,0.07584589130447017,3.342113550609631e-34,0.27629519812430464,0.21378556155076103,0.17411223340488657
ALLEC FP Equity_DX_BROKER_SI_MV_INC_y,3,1875,0.20893348451090504,6.123519419564105e-20,0.1417507249264082,7.046219119352821e-10,0.11583072291166596,8.519517713569979e-10,0.007041259841335856,121.23324943157706,9.141208411042584,0.04365320094986902,0.04314260468769604,6.123519419566745e-20,0.20893348451090504,0.1417507249264082,0.11583072291166596
ALLEC FP Equity_DX_BROKER_SI_MV_INC_x,3,1875,0.20893348451090504,6.123519419564105e-20,0.1417507249264082,7.046219119352821e-10,0.11583072291166596,8.519517713569979e-10,0.007041259841335856,121.23324943157706,9.141208411042584,0.04365320094986902,0.04314260468769604,6.123519419566745e-20,0.20893348451090504,0.1417507249264082,0.11583072291166596
ALLEC FP Equity_DX_SUPPLY_SI_QTY_INC_y,3,1875,0.20487044898515192,3.2339052383543116e-19,0.20447938700626384,3.7887117055110435e-19,0.16636217360136837,8.390322346231667e-19,0.025985249360851226,0.0019584686469745916,9.128496182236402,0.0419719008673779,0.041460406954333284,3.233905238355105e-19,0.20487044898515192,0.20447938700626384,0.16636217360136837
ALLEC FP Equity_DX_SUPPLY_SI_QTY_INC_x,3,1875,0.20487044898515192,3.2339052383543116e-19,0.20447938700626384,3.7887117055110435e-19,0.16636217360136837,8.390322346231667e-19,0.025985249360851226,0.0019584686469745916,9.128496182236402,0.0419719008673779,0.041460406954333284,3.233905238355105e-19,0.20487044898515192,0.20447938700626384,0.16636217360136837
ALLEC FP Equity_DX_BROKER_SI_QTY_INC,3,1875,0.19404209872573877,2.3035678050581496e-17,0.17556287304946008,1.9097057394537354e-14,0.14261972898628325,3.3730978832908916e-14,0.02259887634939184,0.002466466534926307,9.139885368441927,0.037652336077889426,0.0371385359369808,2.3035678050578686e-17,0.19404209872573877,0.17556287304946008,0.14261972898628325
