feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALMCP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,2981,0.7084562400629453,0.0,0.6075016129139204,2.9182687607108695e-300,0.4654281186228298,2.196994860233045e-275,0.9885739811545493,9.227137436574564e-06,6.746025096081305,0.5019102440841254,0.5017430437632406,0.0,0.7084562400629453,0.6075016129139204,0.4654281186228298
ALMCP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,2981,0.6824370774796106,0.0,0.6669685313735921,0.0,0.5384551733325662,0.0,1.0017430714176099,2.844026404817549e-07,7.15577613083687,0.465720364718912,0.4655410160665854,0.0,0.6824370774796106,0.6669685313735921,0.5384551733325662
ALMCP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,2981,0.6818829852527141,0.0,0.6452440465313725,0.0,0.5157861140719334,0.0,0.877577099018469,0.2833650813270994,7.156284929391153,0.4649644055771529,0.4647848031621066,0.0,0.6818829852527141,0.6452440465313725,0.5157861140719334
ALMCP FP Equity_DX_SHORT_INTEREST_VALUE,3,2981,0.6431054248587004,0.0,0.4891447468417907,3.751197689210389e-179,0.3507578033297843,1.106843640196958e-170,1.6102121244518774,2.1379083165406342e-07,6.11024378976069,0.4135845874826892,0.4133877377302497,0.0,0.6431054248587004,0.4891447468417907,0.3507578033297843
ALMCP FP Equity_DX_SI_MV,3,2981,0.6416217233571239,0.0,0.4934419104284982,9.332139632051206e-183,0.3588003097055223,4.667680629794813e-176,1.5910850659206175,0.210834553474031,6.110135363550189,0.4116784358837653,0.41148094626841913,0.0,0.6416217233571239,0.4934419104284982,0.3588003097055223
ALMCP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,2981,0.629408590372686,0.0,0.4924522963594781,6.376421381400013e-182,0.3604284801771383,5.984275615790926e-178,1.6188976720678099,2.5708785724029747e-07,6.163137857331844,0.39615517363493136,0.3959524731225563,0.0,0.629408590372686,0.4924522963594781,0.3604284801771383
ALMCP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,2981,0.6265756707282977,0.0,0.42468990036791593,7.526930808657397e-131,0.28629553110815315,1.1963173896637005e-107,1.344269177095104,2.50720380675723e-07,6.297573580752567,0.3925970711486162,0.39239317624131465,0.0,0.6265756707282977,0.42468990036791593,0.28629553110815315
ALMCP FP Equity_DX_SUPPLY_SI_MV,3,2981,0.6262680932660263,0.0,0.42565722171717085,1.6831429453015595e-131,0.28724923781122075,9.678793083085186e-108,1.3295905331522766,0.25021540662240127,6.297715566478442,0.3922117246430644,0.3920077003814475,0.0,0.6262680932660263,0.42565722171717085,0.28724923781122075
ALMCP FP Equity_DX_DSS,3,2981,0.5397642128837558,4.51500273579554e-225,0.3848614011888335,7.562795127969828e-106,0.25651676661541883,1.2302972830476898e-74,0.7531412469730303,3.7327045622314663,5.625812914000628,0.29134540551002064,0.29110752212818447,4.515002735800207e-225,0.5397642128837558,0.3848614011888335,0.25651676661541883
ALMCP FP Equity_DX_SUPPLY_SI_QTY,3,2981,0.5301804159003776,9.028831369446585e-216,0.3171908158169202,1.169155765991705e-70,0.20834666265695145,7.816019539218114e-58,1.3748409007415572,3.9753173228874676e-06,6.332172336878112,0.28109127340429696,0.2808499478834525,9.028831369414351e-216,0.5301804159003776,0.3171908158169202,0.20834666265695145
ALMCP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,2981,0.5137175407777379,1.7828266973700466e-200,0.3605937693528594,3.1629136510748136e-92,0.25945555304380863,1.6387796127686847e-93,1.6080532969954064,0.8902495892082161,6.100245220912585,0.2639057117027269,0.263658617278995,1.782826697367489e-200,0.5137175407777379,0.3605937693528594,0.25945555304380863
ALMCP FP Equity_DX_SI_QTY,3,2981,0.5068554082929101,2.4119376649208067e-194,0.3522674604919643,8.102706754266303e-88,0.25322546239374655,2.0803052614044303e-89,1.6130444277679965,3.1293765862193985e-06,6.173220209916265,0.25690240491577254,0.2566529596002022,2.411937664924401e-194,0.5068554082929101,0.3522674604919643,0.25322546239374655
ALMCP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,2981,0.5067697522806056,2.870887309604652e-194,0.3579498922707301,8.209365134121887e-91,0.25837373177167067,5.330697645121841e-93,1.6010282863754828,0.6552264137966055,6.113907394600466,0.25681558182654607,0.25656610736593055,2.8708873096061903e-194,0.5067697522806056,0.3579498922707301,0.25837373177167067
ALMCP FP Equity_DX_BROKER_SI_QTY,3,2981,0.4906118591457206,2.2358063890967175e-180,0.362133563308864,4.679918275161271e-93,0.27120256360465794,5.487678561868209e-101,1.6059737406486523,3.68321671384352e-06,6.237367657002031,0.24069999633442074,0.240445112143865,2.2358063890898527e-180,0.4906118591457206,0.362133563308864,0.27120256360465794
ALMCP FP Equity_DX_BROKER_SI_MV_INC_x,3,2981,0.4053474791159663,2.78794774986983e-118,0.3591897363047635,1.789717270753569e-91,0.27113365893639074,1.5380996618506285e-82,0.24170538424255916,6.438609400519564,7.7575711670256675,0.16430657882566846,0.16402605065474718,2.7879477498671416e-118,0.4053474791159663,0.3591897363047635,0.27113365893639074
ALMCP FP Equity_DX_BROKER_SI_MV_INC_y,3,2981,0.4053474791159663,2.78794774986983e-118,0.3591897363047635,1.789717270753569e-91,0.27113365893639074,1.5380996618506285e-82,0.24170538424255916,6.438609400519564,7.7575711670256675,0.16430657882566846,0.16402605065474718,2.7879477498671416e-118,0.4053474791159663,0.3591897363047635,0.27113365893639074
ALMCP FP Equity_DX_SUPPLY_SI_MV_DEC,3,2981,0.39564628535172686,2.772813432986526e-112,0.4645058819777671,1.8810733732287518e-159,0.3495736173850264,9.364800026120583e-138,0.28277078581618076,6.488540127442192,7.716804758409663,0.15653598311262018,0.15625284648392346,2.772813432981778e-112,0.39564628535172686,0.4645058819777671,0.3495736173850264
ALMCP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,2981,0.3888899865254397,3.182965158644271e-108,0.289668116048316,1.0231443370054786e-58,0.18838305934686547,1.604394544039808e-47,0.8942962876259783,0.2545097660703949,5.779292852591223,0.15123542161975656,0.15095050568206592,3.1829651586407015e-108,0.3888899865254397,0.289668116048316,0.18838305934686547
ALMCP FP Equity_DX_BROKER_SI_MV_DEC,3,2981,0.3774143357316831,1.52574090325469e-101,0.3691230548889384,7.005258329203971e-97,0.2707844121877288,3.0187064585101917e-84,0.2649632932596391,5.929839242744988,7.750717176201591,0.1424415808157875,0.14215371293422185,1.5257409032545585e-101,0.3774143357316831,0.3691230548889384,0.2707844121877288
ALMCP FP Equity_DX_BROKER_SI_QTY_INC,3,2981,0.2877007102950669,6.52355494766929e-58,0.2906907832566031,3.883144848271655e-59,0.21108264972713753,1.7081329614070407e-52,0.22145849660783368,8.838582312795626e-05,7.88891033337576,0.08277169870428591,0.08246380065081305,6.523554947656755e-58,0.2877007102950669,0.2906907832566031,0.21108264972713753
ALMCP FP Equity_DX_SUPPLY_SI_QTY_INC_x,3,2981,0.2861637770024819,2.744882119794365e-57,0.3710503135196906,5.942186400356719e-98,0.27657127715068264,8.688373704554109e-88,0.22480809111447853,8.856328866624702e-05,8.00699640604411,0.08188970726832567,0.08158151314522,2.7448821197957685e-57,0.2861637770024819,0.3710503135196906,0.27657127715068264
ALMCP FP Equity_DX_SUPPLY_SI_QTY_INC_y,3,2981,0.2861637770024819,2.744882119794365e-57,0.3710503135196906,5.942186400356719e-98,0.27657127715068264,8.688373704554109e-88,0.22480809111447853,8.856328866624702e-05,8.00699640604411,0.08188970726832567,0.08158151314522,2.7448821197957685e-57,0.2861637770024819,0.3710503135196906,0.27657127715068264
ALMCP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,2981,0.2860593923410514,3.0252757270106066e-57,0.3055066236626799,1.9771056169033765e-65,0.1927819527974078,8.44140394788751e-53,1.2939910758413316,0.19652917902336878,7.232049365261885,0.08182997594653119,0.08152176177262938,3.025275727012947e-57,0.2860593923410514,0.3055066236626799,0.1927819527974078
ALMCP FP Equity_DX_SUPPLY_SI_QTY_DEC,3,2981,0.27151979673447346,1.5480915091340577e-51,0.3813245704216256,8.652953642169383e-104,0.2718248202415613,1.8042021751407986e-87,0.2632221354220454,8.068069912452607e-05,7.946647752373659,0.07372300001872978,0.07341206446989412,1.5480915091339907e-51,0.27151979673447346,0.3813245704216256,0.2718248202415613
ALMCP FP Equity_DX_BROKER_SI_QTY_DEC,3,2981,0.2319451585111347,1.0581297325788663e-37,0.2578877966919222,1.7078953920382134e-46,0.1785713828045973,3.0240085671518663e-39,0.2365285083327553,6.805057292880825e-05,8.011369004159421,0.05379855655675514,0.053480932708670825,1.05812973258035e-37,0.2319451585111347,0.2578877966919222,0.1785713828045973
ALMCP FP Equity_DX_SUPPLY_SI_QTY_ADD,3,2981,0.19499154450994804,6.2505440996570775e-27,0.33690503042114883,5.012626356504268e-80,0.2694813053641761,2.538397462797694e-76,0.08273832065559605,0.00016064437534567993,8.370106498387601,0.038021702430374615,0.03769878255875003,6.250544099660495e-27,0.19499154450994804,0.33690503042114883,0.2694813053641761
ALMCP FP Equity_DX_BROKER_SI_MV_ADD,3,2981,0.18130353272321958,1.911255908753849e-23,0.18711974420845998,6.807782083156243e-25,0.15160750950276652,1.3559479372880845e-24,0.03410708130159312,10.409657413456552,8.47102484549543,0.032870970977919134,0.03254632209271535,1.9112559087535068e-23,0.18130353272321958,0.18711974420845998,0.15160750950276652
ALMCP FP Equity_DX_BROKER_SI_QTY_ADD,3,2981,0.14952906666186216,2.2711996452789573e-16,0.15519728236009536,1.5726800540698674e-17,0.12535789834308295,2.1978251300724825e-17,0.02606313424259099,0.0002230005553645763,8.457789107177094,0.02235894177676756,0.022030764180855034,2.2711996452793463e-16,0.14952906666186216,0.15519728236009536,0.12535789834308295
ALMCP FP Equity_DX_UTILIZATION_QUANTITY,3,2981,0.11183779376487406,9.192475472658644e-10,0.04744196014273332,0.009579935709118725,0.05602930439370519,1.6213252069160008e-05,1.265115642800215,0.02707451759351494,7.8717098512824775,0.012507692114194113,0.01217620762010685,9.19247547265543e-10,0.11183779376487406,0.04744196014273332,0.05602930439370519
ALMCP FP Equity_DX_BROKER_SI_MV_NEW_x,3,2981,0.06196406444755368,0.0007118314031123916,0.03958110537556093,0.030694504883038428,0.032345615725121415,0.030692536822068427,0.00802236889059249,7.544473013393406,8.582183436220621,0.003839545282860013,0.003505151038242005,0.0007118314031124098,0.06196406444755368,0.03958110537556093,0.032345615725121415
ALMCP FP Equity_DX_BROKER_SI_MV_NEW_y,3,2981,0.06196406444755368,0.0007118314031123916,0.03958110537556093,0.030694504883038428,0.032345615725121415,0.030692536822068427,0.00802236889059249,7.544473013393406,8.582183436220621,0.003839545282860013,0.003505151038242005,0.0007118314031124098,0.06196406444755368,0.03958110537556093,0.032345615725121415
ALMCP FP Equity_DX_BROKER_SI_QTY_NEW,3,2981,0.060732313195162084,0.0009080508868812957,0.01498936265623929,0.4133001134446128,0.01224940139154468,0.4130940880976878,0.00798791532523313,0.00023914526431030586,8.581777017365045,0.003688413866035245,0.0033539688891524033,0.0009080508868812958,0.060732313195162084,0.01498936265623929,0.01224940139154468
ALMCP FP Equity_DX_DEMAND_SUPPLY_RATIO,3,2981,-0.05228554967845272,0.0042973142602238884,0.05119827275248122,0.005173747598801982,0.04797287234847008,0.00016116887022491136,1.3301229585327379,-0.10120005272925955,8.720662003786146,0.0027337787051778806,0.002399013273390427,0.004297314260224557,0.05228554967845272,0.05119827275248122,0.04797287234847008
ALMCP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,2981,0.048539134582876474,0.008034501232431282,0.09019911773622241,8.108761193261325e-07,0.06347163053657079,6.308740642812863e-07,1.067535516991104,0.010202313854275521,8.195267761502727,0.002356047586054566,0.002021155356308313,0.008034501232431206,0.048539134582876474,0.09019911773622241,0.06347163053657079
ALMCP FP Equity_DX_SUPPLY_SI_MV_NEW,3,2981,0.03875878619422366,0.03433796217082596,0.02596646174286986,0.15637327814895466,0.021190006535061163,0.156648603155252,0.007798975220469684,13.492833244430406,8.580620275143474,0.0015022435072493678,0.0011670646698902498,0.034337962170824445,0.03875878619422366,0.02596646174286986,0.021190006535061163
ALMCP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,3,2981,0.03229397313733365,0.0779133232048584,0.045802481249872476,0.012383895369192715,0.03738502863333845,0.012434378409716914,0.008557027286386187,0.00020458636394488406,8.58101792078037,0.0010429007009946645,0.0007075676700114553,0.07791332320486011,0.03229397313733365,0.045802481249872476,0.03738502863333845
ALMCP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,3,2981,0.03229397313733365,0.0779133232048584,0.045802481249872476,0.012383895369192715,0.03738502863333845,0.012434378409716914,0.008557027286386187,0.00020458636394488406,8.58101792078037,0.0010429007009946645,0.0007075676700114553,0.07791332320486011,0.03229397313733365,0.045802481249872476,0.03738502863333845
ALMCP FP Equity_DX_SUPPLY_SI_MV_RMV,3,2981,0.03225174392601792,0.0783031772870984,0.041336464689943925,0.024012545203257563,0.03376321428670111,0.02406277708034092,0.008004255485457135,34.72410871929261,8.583135708540112,0.0010401749862691823,0.0007048410403095451,0.07830317728709742,0.03225174392601792,0.041336464689943925,0.03376321428670111
