feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALORD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,1826,-0.36370109308969434,3.250653501067739e-58,-0.38234517600983564,1.2302332945051862e-64,-0.31272044713884445,5.674407525234285e-60,0.22427415019767727,-0.018688320004548224,2.5348216911764716,0.13227848511463847,0.1318027605998987,3.250653501070092e-58,0.36370109308969434,0.38234517600983564,0.31272044713884445
ALORD FP Equity_DX_DEMAND_SUPPLY_RATIO,3,1826,-0.36340090325348523,4.092077297162643e-58,-0.3823522242959814,1.2231486327296806e-64,-0.31273183946450733,2.7869714976155894e-60,0.23388419597611843,-0.9510544008069162,2.5329403843070533,0.1320602164854492,0.1315843723058907,4.092077297163705e-58,0.36340090325348523,0.3823522242959814,0.31273183946450733
ALORD FP Equity_DX_ACTIVE_UTILIZATION_MV,3,1826,-0.3628134264666491,6.416283646170022e-58,-0.38190250471673415,1.767646013832221e-64,-0.3123583859088351,7.735533168359601e-60,0.22270050785142925,-0.018685219390231766,2.533765462339251,0.13163358242447099,0.13115750434465978,6.416283646175213e-58,0.3628134264666491,0.38190250471673415,0.3123583859088351
ALORD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,1826,-0.3628134264666491,6.416283646170022e-58,-0.38190250471673415,1.767646013832221e-64,-0.3123583859088351,7.735533168359601e-60,0.22270050785142925,-0.018685219390231766,2.533765462339251,0.13163358242447099,0.13115750434465978,6.416283646175213e-58,0.3628134264666491,0.38190250471673415,0.3123583859088351
ALORD FP Equity_DX_BROKER_SI_CON_RATIO,3,1826,-0.362813426466649,6.416283646170407e-58,-0.38190250471673415,1.767646013832221e-64,-0.3123583859088351,7.735533168359601e-60,0.22270050785142925,-1.8685219390231798,2.533765462339253,0.13163358242447087,0.13115750434465967,6.416283646177044e-58,0.362813426466649,0.38190250471673415,0.3123583859088351
ALORD FP Equity_DX_UTILIZATION_QUANTITY,3,1826,-0.36272653961940576,6.8570802264207e-58,-0.38164969153302253,2.173617142088363e-64,-0.31167896531736833,1.1968156870181217e-59,0.2213175931343001,-0.01869904866688617,2.5337068227259345,0.1315705425442687,0.1310944299031197,6.857080226416425e-58,0.36272653961940576,0.38164969153302253,0.31167896531736833
ALORD FP Equity_DX_SI_QTY,3,1826,-0.34105229722728064,5.745330499192731e-51,-0.38334750723765515,5.403460776671977e-65,-0.31274814362998304,2.7424279071366394e-61,0.2672295963548683,-0.00048586151516773993,2.5076237443334413,0.1163166694440052,0.11583219393383193,5.745330499184903e-51,0.34105229722728064,0.38334750723765515,0.31274814362998304
ALORD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,1826,-0.3375749242633639,6.6072498939106e-50,-0.38334750723765515,5.403460776671977e-65,-0.31274814362998304,2.7424279071366394e-61,0.2672295963548683,-12.044434923876883,2.5040752598375864,0.11395682949141583,0.11347106020933873,6.607249893917568e-50,0.3375749242633639,0.38334750723765515,0.31274814362998304
ALORD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,1826,-0.33735950966399714,7.678602291992314e-50,-0.38334750723765515,5.403460776671977e-65,-0.31274814362998304,2.7424279071366394e-61,0.2672507074373671,-5.838110708569242,2.5038050389534647,0.1138114387607323,0.11332558976882479,7.678602292002555e-50,0.33735950966399714,0.38334750723765515,0.31274814362998304
ALORD FP Equity_DX_SUPPLY_SI_QTY,3,1826,-0.3318172412331854,3.520097582667086e-48,-0.38334750723765515,5.403460776671977e-65,-0.31274814362998304,2.7424279071366394e-61,0.2665891461765677,-0.0008966353399833411,2.4998333781882542,0.11010268157960224,0.10961479927783668,3.520097582668014e-48,0.3318172412331854,0.38334750723765515,0.31274814362998304
ALORD FP Equity_DX_BROKER_SI_QTY,3,1826,-0.33007598398537974,1.152002171110067e-47,-0.38269316442046,9.24861403533079e-65,-0.31213594078250967,6.646499956982993e-61,0.24764277770463528,-0.0009018199132888684,2.4957415886645182,0.10895015520391649,0.10846164103462042,1.1520021711095999e-47,0.33007598398537974,0.38269316442046,0.31213594078250967
