feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALPM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,4099,-0.4333681246817586,2.479155796944903e-187,-0.5974689714399907,0.0,-0.4765928354394745,0.0,0.4173551418315067,-0.7971956450759834,106.05982011294431,0.18780793149018404,0.1876096908095617,2.4791557969549005e-187,0.4333681246817586,0.5974689714399907,0.4765928354394745
ALPM FP Equity_DX_BROKER_SI_CON_RATIO,3,4099,-0.42956097159622286,9.761029579242031e-184,-0.5975123756820375,0.0,-0.47666569981633494,0.0,0.4211956030456636,-81.13555592773828,105.81047016298534,0.18452262831869137,0.1843235857578709,9.76102957914862e-184,0.42956097159622286,0.5975123756820375,0.47666569981633494
ALPM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,4099,-0.41336731087123396,5.95071713871281e-169,-0.5656429633866374,0.0,-0.4620517512975289,9.033738751703196e-287,0.28936795278530836,-0.7558717739666124,104.52114590810143,0.17087253369691513,0.1706701594068729,5.950717138744622e-169,0.41336731087123396,0.5656429633866374,0.4620517512975289
ALPM FP Equity_DX_ACTIVE_UTILIZATION_MV,3,4099,-0.41313117954340006,9.642747254402619e-169,-0.5619012057321503,0.0,-0.44643522398234914,7.07770852927343e-281,0.2962723182173521,-0.772221496538359,104.5087524967971,0.17067737151092022,0.1704749495854896,9.642747254455622e-169,0.41313117954340006,0.5619012057321503,0.44643522398234914
ALPM FP Equity_DX_DEMAND_SUPPLY_RATIO,3,4099,-0.38415436946164633,2.8852595523289163e-144,-0.6040630936877059,0.0,-0.478150675298959,0.0,0.40083197446172814,-38.04869204111302,102.75343204151609,0.1475745795764749,0.1473665186976798,2.8852595523303195e-144,0.38415436946164633,0.6040630936877059,0.478150675298959
ALPM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,4099,0.38289562590916,2.942526359057111e-143,0.3561450254307525,7.495094082227146e-123,0.2868739279430809,2.8198827594331475e-121,0.5710479515074662,16.699108774459887,84.04339567173072,0.14660906034036714,0.1464007637966377,2.9425263590593574e-143,0.38289562590916,0.3561450254307525,0.2868739279430809
ALPM FP Equity_DX_UTILIZATION_QUANTITY,3,4099,-0.38192247954038144,1.7594980131947046e-142,-0.5627404182525112,0.0,-0.4506335789760062,2.2235506123107413e-281,0.308920652030066,-0.7539064110825731,102.62911723257605,0.14586478037827322,0.14565630216992032,1.7594980131863606e-142,0.38192247954038144,0.5627404182525112,0.4506335789760062
ALPM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4099,-0.30494157827718676,6.017200721521474e-89,-0.5327881965809915,2.128480962606649e-299,-0.42029968182484406,9.444378932430301e-249,0.30981876762169547,-1085.7771223906916,98.75550011168664,0.09298936616218145,0.09276798206800574,6.017200721517307e-89,0.30494157827718676,0.5327881965809915,0.42029968182484406
ALPM FP Equity_DX_SI_QTY,3,4099,-0.30486997932699034,6.642341304261852e-89,-0.5961946909656801,0.0,-0.4582849179573704,2.551917442512396e-307,0.4797663433425867,-0.018982505836536635,98.71481584128271,0.09294570429483962,0.0927243095436302,6.642341304288056e-89,0.30486997932699034,0.5961946909656801,0.4582849179573704
ALPM FP Equity_DX_BROKER_SI_QTY,3,4099,-0.30325298309617754,6.145587190932705e-88,-0.5899840613512769,0.0,-0.4540672400306062,3.6032653390975833e-301,0.4655925128627556,-0.03678312566406019,98.64637209057737,0.09196237175673039,0.09174073699269736,6.145587190937382e-88,0.30325298309617754,0.5899840613512769,0.4540672400306062
