feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALTA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,4992,0.25800355187183904,9.973475531120778e-77,0.370689206543586,2.064079472803966e-162,0.24535091168075296,2.975368816704982e-144,0.9830747421776587,0.3796011303164577,127.39898824663902,0.0665658327784846,0.06637877182312957,9.973475531148237e-77,0.25800355187183904,0.370689206543586,0.24535091168075296
ALTA FP Equity_DX_BROKER_SI_CON_RATIO,3,4992,0.250140109886719,4.372503296712311e-72,0.3750530150953638,1.6367484187116113e-166,0.25263124764516126,1.2119658475417721e-152,1.074986539271301,38.11864193641236,130.09780073116644,0.06257007457413988,0.06238221286563772,4.3725032967201306e-72,0.250140109886719,0.3750530150953638,0.25263124764516126
ALTA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,4992,0.23167771268525084,8.08250760518856e-62,-0.11539497430533828,2.8759538757018187e-16,-0.07701256858034562,1.1818149249410793e-15,0.7346049020731491,0.01682557267559791,142.67058988798848,0.05367456255506964,0.05348491817882817,8.08250760522211e-62,0.23167771268525084,0.11539497430533828,0.07701256858034562
ALTA FP Equity_DX_DSS,3,4992,0.19639172757710222,1.3725058241260846e-44,0.11311946582520072,1.0916332952330348e-15,0.09144048156962785,2.1463147885923427e-15,0.08940146400182525,29.76895000358101,142.47981588523157,0.03856971066071846,0.038377039260049206,1.3725058241183847e-44,0.19639172757710222,0.11311946582520072,0.09144048156962785
ALTA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,4992,-0.19480939342335735,6.893082829166059e-44,-0.18822029088574302,4.921288359439502e-41,-0.11348997006662397,1.6232933545975376e-31,1.547734567163217,-4.978229495522727e-05,152.52780772974566,0.03795069976597609,0.037757904315027346,6.893082829177785e-44,0.19480939342335735,0.18822029088574302,0.11348997006662397
ALTA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,4992,0.18816877396751822,5.175813417186165e-41,-0.09873482519247095,2.7223451063346356e-12,-0.06203294717296593,1.9293320103669043e-10,0.8826115756345265,1.6835080379549465,141.85030930104884,0.03540748749643907,0.03521418238371288,5.175813417199853e-41,0.18816877396751822,0.09873482519247095,0.06203294717296593
ALTA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4992,0.15902324953240873,1.2418787106283746e-29,-0.13041220463617237,2.2161128716966578e-20,-0.08780383922297269,1.3663658207721947e-18,0.7690233995205062,8.90701317207168,141.89355454605504,0.025288393891846672,0.025093060904650688,1.2418787106316837e-29,0.15902324953240873,0.13041220463617237,0.08780383922297269
ALTA FP Equity_DX_DEMAND_SUPPLY_RATIO,3,4992,0.1581432342523862,2.550877090355819e-29,-0.14962856851223993,2.181855441411121e-26,-0.10443379212828041,2.128054972361469e-27,1.0150109253831454,23.70215208092087,141.63194558911994,0.025009282539805056,0.024813893618470306,2.550877090346806e-29,0.1581432342523862,0.14962856851223993,0.10443379212828041
ALTA FP Equity_DX_SI_MV,3,4992,0.1546226764578326,4.358643613071644e-28,-0.032148857660289645,0.023118755671279672,-0.009809271552058263,0.3090520578764785,1.0151401737532817,0.4915306758033168,141.57613420167627,0.023908172074983747,0.02371256249022924,4.358643613079581e-28,0.1546226764578326,0.032148857660289645,0.009809271552058263
ALTA FP Equity_DX_SUPPLY_SI_QTY,3,4992,-0.14899470092757472,3.5515684157682374e-26,-0.0828308979394185,4.6022889227144176e-09,-0.045580129868272985,2.2910908663190854e-06,1.0561119566007076,-0.00014468398898121848,147.53353904785536,0.022199420904497336,0.022003468884638555,3.551568415764477e-26,0.14899470092757472,0.0828308979394185,0.045580129868272985
