feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
BOL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,4997,-0.6840003517000546,0.0,-0.630207074583916,0.0,-0.3464763216382319,9.606466497611819e-291,1.470558335364001,-9.30304303543686e-07,169.84234081182638,0.4678564811257988,0.467749945886785,0.0,0.6840003517000546,0.630207074583916,0.3464763216382319
BOL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,4997,-0.5868085563626233,0.0,-0.5316846587489524,0.0,-0.22561996199562215,1.743720284879677e-124,1.6751308230013384,-1.8034578332612637e-07,161.06988176755277,0.3443442818203858,0.3442130194143438,0.0,0.5868085563626233,0.5316846587489524,0.22561996199562215
BOL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,4997,-0.5855036327000013,0.0,-0.5313837266027249,0.0,-0.22631573526497129,5.598679687256442e-125,1.657763931304908,-0.1802227194615891,161.50269551859708,0.342814503904898,0.3426829352370111,0.0,0.5855036327000013,0.5313837266027249,0.22631573526497129
BOL FP Equity_DX_BROKER_SI_QTY,3,4997,-0.3753233575266283,6.205571358984908e-167,-0.7329982367630711,0.0,-0.48710015411377416,0.0,1.0746577440238534,-2.8199563477278485e-06,112.95022507078403,0.14086762270506115,0.14069562423112825,6.2055713589840146e-167,0.3753233575266283,0.7329982367630711,0.48710015411377416
BOL FP Equity_DX_SI_QTY,3,4997,-0.3404598386333188,7.78607852587244e-136,-0.7382930635799629,0.0,-0.49545365076850084,0.0,1.0584926859209922,-1.7522932095095697e-06,108.60945366667016,0.11591290172222546,0.11573590730815586,7.786078525872827e-136,0.3404598386333188,0.7382930635799629,0.49545365076850084
BOL FP Equity_DX_SUPPLY_SI_QTY,3,4997,-0.3211171714099563,3.190048627814394e-120,-0.7198796391230416,0.0,-0.4660513859555736,0.0,1.10786237542061,-2.1859688682693434e-06,106.39140279732702,0.10311623777433088,0.102936681465577,3.190048627813851e-120,0.3211171714099563,0.7198796391230416,0.4660513859555736
BOL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4997,-0.24705145601260708,2.2443522069681777e-70,-0.550895897060382,0.0,-0.34679306045255726,1.3409990359675074e-295,1.1518231190841233,-4.607338219507939e-07,106.60248254139363,0.06103442191794883,0.06084644082123569,2.2443522069685416e-70,0.24705145601260708,0.550895897060382,0.34679306045255726
BOL FP Equity_DX_SHORT_INTEREST_VALUE,3,4997,-0.23583005539795637,4.097134289885521e-64,-0.5687726396383938,0.0,-0.3581263972348449,0.0,1.176236239330163,-3.042075238447924e-07,104.22190835517976,0.055615815029003146,0.05542674912610612,4.0971342898854283e-64,0.23583005539795637,0.5687726396383938,0.3581263972348449
BOL FP Equity_DX_SI_MV,3,4997,-0.2287421339760419,2.51759576886603e-60,-0.566948943834063,0.0,-0.3611046478587056,0.0,1.1719663642946019,-0.2850840779559998,103.62268156545771,0.052322963855913285,0.05213323872355213,2.5175957688646305e-60,0.2287421339760419,0.566948943834063,0.3611046478587056
BOL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4997,-0.22693540533653794,2.2196005863721182e-59,-0.5810096747957209,0.0,-0.3478380518814407,2.2773190691603146e-297,1.2292938392990216,-3.760950962604943e-07,102.44379699535165,0.05149967819525836,0.05130978824094312,2.219600586372996e-59,0.22693540533653794,0.5810096747957209,0.3478380518814407
