feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
COV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,4997,-0.32631543060618595,2.624726486349152e-124,-0.281925397103938,5.918762613207838e-92,-0.1718187385853879,4.604972504242734e-74,1.342180219278322,-1.529823804902586e-06,84.16345131972656,0.1064817602517002,0.10630287772122005,2.6247264863470183e-124,0.32631543060618595,0.281925397103938,0.1718187385853879
COV FP Equity_DX_SI_MV,3,4997,0.21739869582421512,1.5838867670818142e-54,0.17114485306931815,3.7313111401530674e-34,0.12336521558939939,4.7911143447231164e-39,0.5017316302662502,0.06865638926637616,67.09902050824438,0.0472621929460697,0.0470714546463592,1.5838867670813538e-54,0.21739869582421512,0.17114485306931815,0.12336521558939939
COV FP Equity_DX_DEMAND_SUPPLY_RATIO,3,4997,0.18885093095469224,2.4200979454805436e-41,0.10835348875802807,1.588977125458366e-14,0.07367350915091159,5.9419764357289834e-15,0.6578369252045961,15.69911442129517,68.98242047162647,0.03566467412245411,0.03547161399715337,2.4200979454783153e-41,0.18885093095469224,0.10835348875802807,0.07367350915091159
COV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,4997,0.18212808745866876,1.5884634244558342e-38,0.023279832907801012,0.09987701879169851,0.014566717733416274,0.12280433915992534,0.4925447649720365,0.4169149181231547,67.71929367761625,0.033170640241352634,0.03297708080996953,1.5884634244576816e-38,0.18212808745866876,0.023279832907801012,0.014566717733416274
COV FP Equity_DX_ACTIVE_UTILIZATION_MV,3,4997,0.1528428383739503,1.6816721158899186e-27,0.06620777932709102,2.8110860396471102e-06,0.04517348078653918,1.7055717338005631e-06,0.670559544052197,0.1677013720646008,69.53091430023846,0.023360933242205673,0.02316540990551741,1.6816721158882918e-27,0.1528428383739503,0.06620777932709102,0.04517348078653918
COV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,4997,0.15208974489828547,3.0399127050819375e-27,0.06385917806180083,6.2528879182163935e-06,0.043258087909034806,4.592549409475482e-06,0.6695995919777511,0.1706983656088377,69.52213711312505,0.02313129050322571,0.022935721192015146,3.0399127050778336e-27,0.15208974489828547,0.06385917806180083,0.043258087909034806
COV FP Equity_DX_SUPPLY_SI_QTY,3,4997,-0.14646304694277532,2.304419886614812e-25,-0.242189718553412,1.269985652029523e-67,-0.16708656810919115,3.863309670842778e-70,0.526177104583816,-6.127528408034413e-06,76.3063564937638,0.02145142411976153,0.021255518498964676,2.304419886614203e-25,0.14646304694277532,0.242189718553412,0.16708656810919115
COV FP Equity_DX_SHORT_INTEREST_VALUE,3,4997,0.13719034633221863,2.004186072117063e-22,0.16460954248839335,1.0904115591773134e-31,0.12010368063881213,4.216732112547425e-37,0.5292172224499483,5.528856438528697e-08,68.91644064406097,0.018821191126754178,0.01862475893278559,2.004186072116117e-22,0.13719034633221863,0.16460954248839335,0.12010368063881213
COV FP Equity_DX_SUPPLY_SI_MV,3,4997,0.1257638018862497,4.521863904568958e-19,0.08357993333737453,3.27672828430534e-09,0.060941247108007475,1.067341255217119e-10,0.4897769204096667,0.06688820593406115,68.83860751210854,0.01581653386488424,0.015619500137930342,4.521863904568374e-19,0.1257638018862497,0.08357993333737453,0.060941247108007475
COV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4997,0.1244778442735357,1.0333931880201644e-18,0.10561380059772106,7.162582788789803e-14,0.07489226425274571,2.092591975346844e-15,0.5594932108518327,8.021319066452186e-08,69.16841407238833,0.01549473371498633,0.015297635563577994,1.033393188020631e-18,0.1244778442735357,0.10561380059772106,0.07489226425274571
COV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4997,0.12051152788345,1.2531321290952087e-17,0.024935608902620688,0.07798184900532139,0.015270045842188277,0.10627414826709307,0.5636560385021312,1.6885010232379434,69.32140420882763,0.014523028352803391,0.014325735665786987,1.2531321290958589e-17,0.12051152788345,0.024935608902620688,0.015270045842188277
COV FP Equity_DX_UTILIZATION_QUANTITY,3,4997,0.11344825703562451,8.725878172348345e-16,0.04824609003204337,0.0006457722136215266,0.03246709586240264,0.0005829597513401178,0.6902416130027333,0.17772615635912087,69.84347027665545,0.012870507024421163,0.012672883502304,8.725878172350649e-16,0.11344825703562451,0.04824609003204337,0.03246709586240264
COV FP Equity_DX_DSS,3,4997,0.10921478589592623,9.81971588466684e-15,0.07173920914732566,3.844935665009796e-07,0.05771994472168103,3.447204885737832e-07,0.10085691828053411,4.188749284000346,69.55200289064241,0.011927869458293383,0.011730057219946688,9.819715884690573e-15,0.10921478589592623,0.07173920914732566,0.05771994472168103
COV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,4997,0.09386581701121484,2.964040411041471e-11,0.044540400350510476,0.0016365531452507173,0.03147163050572139,0.0008663487017969134,0.5917198516362943,0.7664042027618805,70.00421296227317,0.008810791603182766,0.008612355325225418,2.964040411039812e-11,0.09386581701121484,0.044540400350510476,0.03147163050572139
COV FP Equity_DX_SUPPLY_SI_MV_NEW,3,4997,0.0812124194747207,8.981337181346663e-09,0.07019874101824969,6.792719266491553e-07,0.05714885980207328,6.597410589622165e-07,0.008076659990584822,2.8046430078613773,71.98708848945986,0.006595457076937539,0.0063965772885645755,8.981337181344138e-09,0.0812124194747207,0.07019874101824969,0.05714885980207328
COV FP Equity_DX_SUPPLY_SI_QTY_DEC,3,4997,-0.07538692533372363,9.53756273318733e-08,-0.19760345086725994,3.574498544807703e-45,-0.13463358693999644,1.640713661154865e-45,0.051371796248204316,-1.8316601017662978e-05,72.7521328411631,0.0056831885112723635,0.005484126086549912,9.537562733189474e-08,0.07538692533372363,0.19760345086725994,0.13463358693999644
COV FP Equity_DX_SUPPLY_SI_MV_RMV,3,4997,0.06579212946789822,3.244681653218985e-06,0.03273815195559073,0.020652166727046905,0.026601302195377725,0.020571958283484366,0.016130517956459922,2.433317578066145,72.00353594994078,0.0043286042999204355,0.00412927068716773,3.244681653220356e-06,0.06579212946789822,0.03273815195559073,0.026601302195377725
COV FP Equity_DX_SUPPLY_SI_QTY_INC_x,3,4997,-0.05513890066498568,9.629968240199803e-05,-0.1471821045104174,1.3378430420535689e-25,-0.10070132876374993,1.7553145621773897e-25,0.06836751960786103,-2.4146602213184402e-05,72.51682237295641,0.0030402983665432926,0.0028407068346847364,9.629968240199158e-05,0.05513890066498568,0.1471821045104174,0.10070132876374993
COV FP Equity_DX_SUPPLY_SI_QTY_INC_y,3,4997,-0.05513890066498568,9.629968240199803e-05,-0.1471821045104174,1.3378430420535689e-25,-0.10070132876374993,1.7553145621773897e-25,0.06836751960786103,-2.4146602213184402e-05,72.51682237295641,0.0030402983665432926,0.0028407068346847364,9.629968240199158e-05,0.05513890066498568,0.1471821045104174,0.10070132876374993
