feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CWE FP Equity_DX_ACTIVE_UTILIZATION_MV,3,4123,0.09940828255693097,1.5848114803747505e-10,0.09672648300861042,4.859412709824947e-10,0.0789961731145718,5.160235975222457e-10,0.01287568083434898,0.9418660087156321,267.9051582540043,0.00988200664091854,0.0096417450555365,1.5848114803740066e-10,0.09940828255693097,0.09672648300861042,0.0789961731145718
CWE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,4123,0.09940828255693097,1.5848114803747505e-10,0.09672648300861042,4.859412709824947e-10,0.0789961731145718,5.160235975222457e-10,0.01287568083434898,0.9418660087156321,267.9051582540043,0.00988200664091854,0.0096417450555365,1.5848114803740066e-10,0.09940828255693097,0.09672648300861042,0.0789961731145718
CWE FP Equity_DX_BROKER_SI_CON_RATIO,3,4123,-0.0762452854788399,9.515317481423027e-07,-0.05473383077451371,0.0004379992402070658,-0.048785130707120164,8.331555573032037e-05,0.1510329779669788,-15.435948788934825,270.85667534005717,0.005813343557749762,0.005572094672420369,9.515317481409851e-07,0.0762452854788399,0.05473383077451371,0.048785130707120164
CWE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,4123,-0.0752869754083456,1.300845007723527e-06,-0.05443784763024666,0.00047048725940201073,-0.048353534495253855,9.40948700314351e-05,0.15855694936338205,-0.15089082154873348,270.8410005381547,0.005668128666136751,0.0054268445430272205,1.3008450077257296e-06,0.0752869754083456,0.05443784763024666,0.048353534495253855
CWE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,4123,0.038340607291101204,0.013815242829597115,0.4265866792795697,5.225846511301046e-182,0.30986389418608073,5.570136653747499e-173,0.9546488984011425,2.455424769405487e-06,267.57259034033154,0.0014700021674503017,0.0012276993288594662,0.013815242829601126,0.038340607291101204,0.4265866792795697,0.30986389418608073
CWE FP Equity_DX_UTILIZATION_QUANTITY,3,4123,0.03708935312177277,0.01723636694785717,0.0965774525513434,5.167076937371976e-10,0.078651435261777,5.926668660461624e-10,0.01614112911609178,0.7387965761385554,268.2836509169248,0.0013756201149914826,0.0011332943736943601,0.017236366947852376,0.03708935312177277,0.0965774525513434,0.078651435261777
CWE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,4123,0.03327531398336482,0.032632872676646746,0.49259771105575184,4.890324847632408e-251,0.38272637322732483,2.067890130342892e-230,0.7196671271083253,2.12306738731816,267.7131270871517,0.001107246520691274,0.0008648556559789355,0.03263287267662467,0.03327531398336482,0.49259771105575184,0.38272637322732483
CWE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,4123,-0.03312800355895863,0.03341115277154253,-0.04392978934516788,0.004783476548230746,-0.03501454345760808,0.0039018555476113908,0.20459775339255204,-1.258404974447312,268.9325713749554,0.001097464619802313,0.0008550713814182709,0.03341115277152818,0.03312800355895863,0.04392978934516788,0.03501454345760808
CWE FP Equity_DX_DSS,3,4123,-0.020914745103259864,0.17937309012198063,-0.03272165812883274,0.03564074708330404,-0.026724592770346986,0.035656577542153935,0.0015234843064630965,-15.482894626526704,268.46868387958244,0.0004374265627341556,0.000194873159813147,0.17937309012199534,0.020914745103259864,0.03272165812883274,0.026724592770346986
CWE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,4123,0.018929833638920198,0.22427604638376913,0.33178778171760925,1.6114728828512906e-106,0.23711044479190344,3.2480550431948437e-99,0.8673968028159083,0.00033050907131226397,268.0110977851372,0.00035833860159717457,0.00011576600722718045,0.22427604638381665,0.018929833638920198,0.33178778171760925,0.23711044479190344
