feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
DPT FP Equity_DX_SHORT_INTEREST_VALUE,3,4951,0.5161488437816979,0.0,0.6046962712410023,0.0,0.4331931856022892,0.0,1.2836907411441354,4.710020397274928e-07,0.1684040093581515,0.2664096289371831,0.26626139891676237,0.0,0.5161488437816979,0.6046962712410023,0.4331931856022892
DPT FP Equity_DX_SI_MV,3,4951,0.5136106405639792,0.0,0.6586456296905555,0.0,0.5009845793807902,0.0,0.817591539125408,0.4441865340516389,0.16878128290981312,0.2637958901005405,0.26364713194537803,0.0,0.5136106405639792,0.6586456296905555,0.5009845793807902
DPT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4951,0.5028547892864059,1.20767467e-315,0.6066193253143931,0.0,0.4413724690025358,0.0,1.249920898545113,6.375490108965636e-07,0.17223670018978382,0.2528629391082736,0.2527119718298555,0.0,0.5028547892864059,0.6066193253143931,0.4413724690025358
DPT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4951,0.4482896930506629,2.012099295022729e-243,0.5573430332213388,0.0,0.39791759884766476,0.0,1.2371670729575324,6.745184480942385e-07,0.17577480125577621,0.20096364889545804,0.20080219479339612,2.0120992950193888e-243,0.4482896930506629,0.5573430332213388,0.39791759884766476
DPT FP Equity_DX_SUPPLY_SI_MV,3,4951,0.4461561065005997,7.401572046898941e-241,0.5666250645851401,0.0,0.4383345297026069,0.0,0.5475165844195873,0.6578629822834182,0.17605677837898184,0.1990552713677759,0.19889343165699958,7.401572046929695e-241,0.4461561065005997,0.5666250645851401,0.4383345297026069
DPT FP Equity_DX_BROKER_SI_QTY,3,4951,0.4460109519145228,1.1046113501127492e-240,0.5545169497628862,0.0,0.39781375946016834,0.0,1.2207654577473233,1.9603131963144714e-07,0.17295418138553945,0.19892576922769833,0.19876390334958716,1.1046113501062201e-240,0.4460109519145228,0.5545169497628862,0.39781375946016834
DPT FP Equity_DX_ACTIVE_UTILIZATION_MV,3,4951,0.4440220474011805,2.613863363673023e-238,0.47806944038232385,3.291847822231595e-281,0.3523884414928462,2.039447378870258e-219,0.5990585048682848,0.001098862412228755,0.14975207357861484,0.19715557857833654,0.19699335501369286,2.6138633636727054e-238,0.4440220474011805,0.47806944038232385,0.3523884414928462
DPT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,4951,0.44183783473631116,1.0146294666471387e-235,0.4749547267083624,4.440588046186445e-277,0.34984388233850794,3.296284477737672e-216,0.6058383823169069,0.0010941331421670472,0.1496363575689838,0.19522067220447115,0.1950580576706673,1.014629466640044e-235,0.44183783473631116,0.4749547267083624,0.34984388233850794
DPT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,4951,0.43312299326187775,1.4100668412984015e-225,0.5472711836116244,0.0,0.3831586673724029,2.653044628454855e-303,1.0555290731378202,0.17019533860917824,0.17030474958499747,0.18759552729212836,0.18743137201374738,1.4100668412920884e-225,0.43312299326187775,0.5472711836116244,0.3831586673724029
DPT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4951,0.42654890857077454,4.036017194841633e-218,0.5976513779350164,0.0,0.44085253081968784,0.0,0.7651206979801803,0.5424233429052573,0.1716720615296835,0.18194397140291863,0.1817786741653763,4.036017194828099e-218,0.42654890857077454,0.5976513779350164,0.44085253081968784
