feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,2347,-0.20169480855394784,5.749742034806548e-23,-0.07752302670687646,0.00017037156366007375,-0.06373793873473803,0.00013134195153053878,0.22734091994238614,-0.38496905692356254,49.254816740111096,0.04068079579761419,0.04027170445253858,5.749742034808422e-23,0.20169480855394784,0.07752302670687646,0.06373793873473803
EEMU FP Equity_DX_BROKER_SI_CON_RATIO,3,2347,-0.2015121438012107,6.296904312425414e-23,-0.07788577654532214,0.00015874748154153504,-0.06409568875990342,0.00012045452243753904,0.2425986740057502,-38.51306506283102,49.24536664194096,0.04060714409935995,0.040198021346310675,6.296904312425379e-23,0.2015121438012107,0.07788577654532214,0.06409568875990342
EEMU FP Equity_DX_ACTIVE_UTILIZATION_MV,3,2347,-0.12631064433350603,8.222368700471154e-10,0.1550627780070252,4.224891136324353e-14,0.12414616559678028,1.1805125711162521e-13,0.19406256205033978,-0.3238582803471523,46.30287840442788,0.015954378871945285,0.01553474321261561,8.222368700469448e-10,0.12631064433350603,0.1550627780070252,0.12414616559678028
EEMU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,2347,-0.12631064433350603,8.222368700471154e-10,0.1550627780070252,4.224891136324353e-14,0.12414616559678028,1.1805125711162521e-13,0.19406256205033978,-0.3238582803471523,46.30287840442788,0.015954378871945285,0.01553474321261561,8.222368700469448e-10,0.12631064433350603,0.1550627780070252,0.12414616559678028
EEMU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,2347,-0.10983838729132542,9.579447570077555e-08,0.2488157123042956,1.8848233975722547e-34,0.1925052904844114,6.514938564622374e-32,0.3813808788516684,-1.6067016213174748e-05,45.758869227486976,0.012064471322759451,0.011643176854240433,9.57944757007434e-08,0.10983838729132542,0.2488157123042956,0.1925052904844114
EEMU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,2347,-0.10977207045345622,9.751993416803845e-08,0.24967306759594377,1.1009159435230943e-34,0.1968847305151861,1.344039809211712e-33,0.35528056285326204,-1.1196574911159394e-06,45.7578699946563,0.012049907451638697,0.01162860677251365,9.751993416807887e-08,0.10977207045345622,0.24967306759594377,0.1968847305151861
EEMU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,2347,-0.10974056456948549,9.835016482040949e-08,0.1542691367956676,5.702232491717805e-14,0.12337087460360575,1.0492995443223742e-13,0.1824536477434855,-1.1200695644644705,45.75706155571268,0.012042991512028922,0.011621687883675902,9.835016482038778e-08,0.10974056456948549,0.1542691367956676,0.12337087460360575
EEMU FP Equity_DX_UTILIZATION_QUANTITY,3,2347,-0.09888880234753586,1.58690729872008e-06,0.15527976516461608,3.891272498620353e-14,0.12399556584537129,7.09971245615095e-14,0.2040742010923775,-0.3635263552565328,45.48735545823514,0.009778995229730136,0.009356726144540306,1.5869072987201472e-06,0.09888880234753586,0.15527976516461608,0.12399556584537129
EEMU FP Equity_DX_DEMAND_SUPPLY_RATIO,3,2347,-0.0970087838813588,2.4981949392020792e-06,0.15480975814883668,4.6495138658370547e-14,0.12287016319890721,1.1814429987046454e-13,0.18911082701670967,-28.39721038770297,45.429372659477174,0.009410704150140115,0.008988278011184958,2.4981949392017552e-06,0.0970087838813588,0.15480975814883668,0.12287016319890721
EEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,2347,-0.07623429825193644,0.00021846505546156824,0.0046373836790432965,0.8223344228521848,0.0038629223003372242,0.8178003914984233,0.05015263845054241,-0.657898149979494,44.92144223445298,0.005811668229965261,0.005387707320894886,0.00021846505546157518,0.07623429825193644,0.0046373836790432965,0.0038629223003372242
