feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ES FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,4997,0.4695427855632914,1.7083452782899135e-272,0.31316337819975293,3.9688844300116615e-114,0.25453253107978885,9.165824167153015e-147,1.3816324173495138,2.347852780553773,53.33956117469568,0.22047042747453494,0.2203143654980534,1.7083452782864884e-272,0.4695427855632914,0.31316337819975293,0.25453253107978885
ES FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,4997,0.390857391295411,4.406581260797277e-182,0.29338559172251333,9.084182831441474e-100,0.22993201508993996,2.23993788615126e-120,1.3687570695156612,2.1743787767241183e-06,56.47393205130597,0.15276950033025438,0.15259988461460483,4.406581260794116e-182,0.390857391295411,0.29338559172251333,0.22993201508993996
ES FP Equity_DX_SUPPLY_SI_MV,3,4997,0.3426346949877657,1.159758597487302e-137,0.3838405366705912,3.8813095269381e-175,0.2634083026360267,1.2276947859114576e-165,1.0322805366678223,8.45449475846517,62.62783567148442,0.1173985342093593,0.11722183721921109,1.159758597489143e-137,0.3426346949877657,0.3838405366705912,0.2634083026360267
ES FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4997,0.2887417246793694,1.4748996615976921e-96,0.34291456761627204,6.732853728372299e-138,0.23278856022313602,1.0975314496206386e-133,1.1377985277405176,7.572142554602652e-06,64.10720255632663,0.08337178357081687,0.08318827441837862,1.4748996615971127e-96,0.2887417246793694,0.34291456761627204,0.23278856022313602
ES FP Equity_DX_SI_MV,3,4997,0.2706229148416128,1.3297398925382017e-84,0.3321474693365737,5.492113416156094e-129,0.23385556775145486,3.7869701131828096e-134,1.3060614552720722,5.086333787284815,60.712510774758414,0.07323676203737106,0.0730512238515928,1.3297398925383333e-84,0.2706229148416128,0.3321474693365737,0.23385556775145486
ES FP Equity_DX_SHORT_INTEREST_VALUE,3,4997,0.193640890772833,2.0436491909024763e-43,0.2866866417586013,3.717649027332619e-95,0.20105365824465932,1.3659472631118273e-100,1.3161527502745778,4.0063000953197915e-06,63.587790465036385,0.03749679457929633,0.03730410124487782,2.0436491909026245e-43,0.193640890772833,0.2866866417586013,0.20105365824465932
ES FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4997,0.14993755103504564,1.6234803930164122e-26,0.2542041209437627,1.5461627274166241e-74,0.17331141388232893,4.1008017156607444e-75,1.454691529033488,3.6556230401101807e-06,65.35273938953914,0.022481269210386845,0.022285569764783353,1.62348039301645e-26,0.14993755103504564,0.2542041209437627,0.17331141388232893
ES FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,4997,-0.14004386671784913,2.6200088536912238e-23,0.006508483112552509,0.6455370817824035,-0.0044476967017301715,0.6379482250779966,0.9843818397389312,-0.6462935462338467,75.42701121631477,0.019612284605286967,0.01941601078839117,2.6200088536910301e-23,0.14004386671784913,0.006508483112552509,0.0044476967017301715
ES FP Equity_DX_SUPPLY_SI_MV_DEC,3,4997,0.13861959876450455,7.272209553138539e-23,0.15085386679643306,7.979508947044434e-27,0.11860971564674862,3.637621721581068e-27,0.05301289466654158,24.49260760240067,69.56814428062383,0.019215393161632566,0.019019039886990274,7.272209553140669e-23,0.13861959876450455,0.15085386679643306,0.11860971564674862
ES FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,4997,0.13753578390705243,1.5701973252601224e-22,0.14843303654791937,5.1610454550475994e-26,0.10199289407633648,1.0558288071192307e-26,1.1238504581823427,0.5090605765235093,61.568750131344714,0.018916091854927708,0.018719678660103933,1.5701973252610623e-22,0.13753578390705243,0.14843303654791937,0.10199289407633648
ES FP Equity_DX_DEMAND_SUPPLY_RATIO,3,4997,-0.13568751816167218,5.752600313403104e-22,-0.025944474987664726,0.06667614339365963,-0.01531889644383327,0.10498866138598124,1.3637932888739615,-23.525302504322873,75.66328582622579,0.018411102584874217,0.018214588291097455,5.752600313402277e-22,0.13568751816167218,0.025944474987664726,0.01531889644383327
ES FP Equity_DX_SUPPLY_SI_QTY,3,4997,0.1223518504999145,3.976908713103295e-18,0.13156149627855823,9.789405113121248e-21,0.08198022289482264,5.289574948190108e-18,1.2464984841484368,0.0002955694975968551,67.4123572505875,0.014969975320753504,0.014772772112609522,3.9769087131037975e-18,0.1223518504999145,0.13156149627855823,0.08198022289482264
ES FP Equity_DX_BROKER_SI_QTY,3,4997,-0.11552658498597007,2.5711340107346104e-16,0.04415683680984179,0.0017952633781902108,0.012417796811570262,0.19002618727859955,1.5950324115209638,-0.00018958460180392627,75.4947575126111,0.013346391838520932,0.01314886358863876,2.5711340107331974e-16,0.11552658498597007,0.04415683680984179,0.012417796811570262
ES FP Equity_DX_BROKER_SI_MV_INC_y,3,4997,0.1088498666110038,1.2046412508517409e-14,0.13411949394956774,1.7068265266881174e-21,0.10696645206719342,1.7444192188918393e-21,0.054123900476810594,27.91122017828407,69.95395591631278,0.011848293461233728,0.011650465291756507,1.2046412508511428e-14,0.1088498666110038,0.13411949394956774,0.10696645206719342
ES FP Equity_DX_BROKER_SI_MV_INC_x,3,4997,0.1088498666110038,1.2046412508517409e-14,0.13411949394956774,1.7068265266881174e-21,0.10696645206719342,1.7444192188918393e-21,0.054123900476810594,27.91122017828407,69.95395591631278,0.011848293461233728,0.011650465291756507,1.2046412508511428e-14,0.1088498666110038,0.13411949394956774,0.10696645206719342
ES FP Equity_DX_BROKER_SI_MV_DEC,3,4997,0.09615244279091159,9.688933128337564e-12,0.14876489051087124,4.003078029298767e-26,0.11792033452710629,1.1817265010007228e-26,0.05776066484236653,15.65471897885717,69.90992038973843,0.00924529225465942,0.009046942963819582,9.688933128335116e-12,0.09615244279091159,0.14876489051087124,0.11792033452710629
