feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MFE FP Equity_DX_SI_QTY,3,4968,-0.27799245933193445,7.545978542544806e-89,-0.38296302678260874,2.7898103248970635e-173,-0.2745026578280264,5.7130815915259586e-154,0.5435176429757349,-6.897104057238551e-05,45.57443240965388,0.07727980744541696,0.07709399991570398,7.545978542561768e-89,0.27799245933193445,0.38296302678260874,0.2745026578280264
MFE FP Equity_DX_SHORT_INTEREST_VALUE,3,4968,-0.27538477127980365,3.688914201977691e-87,-0.36845859534347564,1.4058153087779074e-159,-0.2554070845275434,9.69224838963638e-135,0.5474981107065342,-2.1058338180236994e-06,45.63624762740527,0.07583677225282992,0.07565067414011395,3.6889142019757667e-87,0.27538477127980365,0.36845859534347564,0.2554070845275434
MFE FP Equity_DX_SI_MV,3,4968,-0.2749358049567699,7.175680187604358e-87,-0.3530727561526403,8.509680365802325e-146,-0.24755180631051008,6.210983844130875e-126,0.5856241163421179,-2.098462589866848,45.63391661024349,0.0755896968472265,0.07540354898110635,7.175680187623978e-87,0.2749358049567699,0.3530727561526403,0.24755180631051008
MFE FP Equity_DX_BROKER_SI_QTY,3,4968,-0.2715439707921062,1.0502818790318911e-84,-0.38040886956387326,8.120116820242658e-171,-0.2768805455247338,2.7182478598295272e-155,0.5548309047153284,-7.43242243868209e-05,45.51379299226684,0.07373612807354413,0.07354960695555646,1.0502818790351233e-84,0.2715439707921062,0.38040886956387326,0.2768805455247338
MFE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4968,-0.2706572009136959,3.8223298450201497e-84,-0.3676631420364446,7.572464247584172e-159,-0.25953050232169067,6.430405106125995e-138,0.5540180498921363,-2.3147591307229714e-06,45.59005647761687,0.07325532040643645,0.07306870246854003,3.8223298450058504e-84,0.2706572009136959,0.3676631420364446,0.25953050232169067
MFE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4968,-0.2704295227198329,5.321442135751294e-84,-0.45328510077017137,2.369372628051094e-250,-0.3429762518485637,8.605009318668207e-229,0.4835670433716781,-7.557902755073917,45.67112447733015,0.07313212675847669,0.07294548401316026,5.321442135729817e-84,0.2704295227198329,0.45328510077017137,0.3429762518485637
MFE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,4968,-0.25635464276951697,2.1928618336124677e-75,-0.29248494958474336,1.4128145156401708e-98,-0.22288484143861134,9.652270280883668e-100,0.6131504599720707,-0.00010524214155472124,45.37336589187983,0.06571770286948642,0.06552956708673763,2.192861833608186e-75,0.25635464276951697,0.29248494958474336,0.22288484143861134
MFE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,4968,-0.2416293057595267,6.26987687272775e-67,-0.28623998496729885,2.587628516445305e-94,-0.20688288476550135,1.3976680225158527e-87,0.6277720219845819,-2.897896199144359e-06,45.32880630319631,0.05838472140183071,0.05819510898165381,6.269876872720927e-67,0.2416293057595267,0.28623998496729885,0.20688288476550135
MFE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,4968,-0.24011347569129485,4.3244642513959643e-66,-0.3485402403130429,7.014859921632146e-142,-0.2620023877464958,2.1175866855402865e-130,0.5610230553142774,-2.8797656503828786,45.32760837893171,0.05765448120855443,0.05746472174041273,4.3244642513778476e-66,0.24011347569129485,0.3485402403130429,0.2620023877464958
MFE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,4968,-0.1949931198041194,9.128489336937326e-44,-0.3140542296640678,3.80574938215247e-114,-0.2198008425309306,7.361369844700381e-100,0.43443525319650034,-1.735917753743119,45.36799577304479,0.03802231677094381,0.03782860398736965,9.12848933695614e-44,0.1949931198041194,0.3140542296640678,0.2198008425309306
