feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MTA FP Equity_DX_SHORT_INTEREST_VALUE,3,4927,0.14644900960410204,5.008675921072082e-25,0.3886497427246061,2.1857485593699153e-177,0.29558750553623286,8.714560495926766e-173,0.6530314163388846,1.0207088434001538e-06,118.09971467603715,0.021447312414022424,0.021248621512989674,5.008675921060253e-25,0.14644900960410204,0.3886497427246061,0.29558750553623286
MTA FP Equity_DX_SI_MV,3,4927,0.14643608459731766,5.0570557411076265e-25,0.3819834907126617,6.296874902597495e-171,0.29025454143980367,1.5537453406929918e-165,0.6221471502255609,1.0204767673449175,118.09995169206772,0.021443526872192975,0.021244835202522294,5.057055741114715e-25,0.14643608459731766,0.3819834907126617,0.29025454143980367
MTA FP Equity_DX_SI_QTY,3,4927,0.1460421132701754,6.775948840201991e-25,0.3872849351344956,4.72442891181536e-176,0.2938316477737298,1.936487428824155e-170,0.6464822845699465,0.00012737456539477096,118.09817046189188,0.021328298848418914,0.021129583782195094,6.775948840206325e-25,0.1460421132701754,0.3872849351344956,0.2938316477737298
MTA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4927,0.14301712484125942,6.2369498038634576e-24,0.3922205710110198,6.56572295740286e-181,0.29865386045565645,1.6840670267447704e-175,0.7109447238494808,1.3648757419972323e-06,118.161546802649,0.020453897997860238,0.020255005388316594,6.236949803842354e-24,0.14301712484125942,0.3922205710110198,0.29865386045565645
MTA FP Equity_DX_BROKER_SI_QTY,3,4927,0.14267638350003475,7.984827330860387e-24,0.39069584572788013,2.1215014229660256e-179,0.2966376597920139,9.593222024794546e-173,0.6807846341865953,0.00017056789909601194,118.15911423300253,0.0203565504086487,0.020157638033097003,7.984827330931543e-24,0.14267638350003475,0.39069584572788013,0.2966376597920139
MTA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4927,0.1425615797604447,8.676732445699199e-24,0.3904188269682787,3.981195529028009e-179,0.3011379333801692,5.714899553158832e-176,0.49298624610287334,7.9192863735466625,118.20347625050833,0.020323804023793524,0.02012488499922971,8.676732445618442e-24,0.1425615797604447,0.3904188269682787,0.3011379333801692
MTA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,4927,0.1353002081023533,1.448400725347616e-21,0.3283164574543457,3.6463901879749547e-124,0.2391604287594103,7.291139985333428e-108,0.4677241455921788,0.043028741226661976,117.57931894495044,0.018306146312539795,0.01810681761128341,1.4484007253496439e-21,0.1353002081023533,0.3283164574543457,0.2391604287594103
MTA FP Equity_DX_SUPPLY_SI_MV,3,4927,0.13115342204352087,2.3830657915008098e-20,0.34211014419754743,2.5203340061718357e-135,0.265313161953252,1.115590182815973e-133,0.5821878535887959,2.190878464171509,118.2638982151301,0.017201220113725935,0.01700166706197226,2.3830657915200044e-20,0.13115342204352087,0.34211014419754743,0.265313161953252
MTA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4927,0.13114643056509884,2.3941657689536767e-20,0.3458209299647925,1.9969994402884572e-138,0.2690043205492568,1.721869723816696e-138,0.6231020842728596,2.1912081973704468e-06,118.26382336478578,0.017199386249966087,0.016999832825854266,2.3941657689526267e-20,0.13114643056509884,0.3458209299647925,0.2690043205492568
MTA FP Equity_DX_SUPPLY_SI_QTY,3,4927,0.13046625085931138,3.7581706015175693e-20,0.34502513830961073,9.310723161436303e-138,0.2679589910405563,3.628392782387559e-137,0.6109729937213095,0.00027178727450476425,118.26656918097248,0.017021442613284976,0.016821853058485492,3.7581706015525244e-20,0.13046625085931138,0.34502513830961073,0.2679589910405563
MTA FP Equity_DX_BROKER_SI_CON_RATIO,3,4927,0.12818956777641075,1.6708406240999835e-19,0.3278523014497234,8.462155471113581e-124,0.23878800312977772,2.017833006645996e-107,0.4513406754389173,4.167673935279142,117.67486680269558,0.016432565286702894,0.016232856162903153,1.670840624104852e-19,0.12818956777641075,0.3278523014497234,0.23878800312977772
MTA FP Equity_DX_DEMAND_SUPPLY_RATIO,3,4927,0.12755736632596323,2.5166267295681438e-19,0.4015100907593811,2.8004304205584534e-190,0.31104297320456936,5.607822995538874e-190,0.6160885111931149,8.747366585383183,118.4012123215846,0.016270881704015805,0.016071139751062224,2.5166267295525813e-19,0.12755736632596323,0.4015100907593811,0.31104297320456936
MTA FP Equity_DX_UTILIZATION_QUANTITY,3,4927,0.12198016196695102,8.54444442432036e-18,0.35351278465877056,5.4527585898171924e-145,0.2781700687957517,7.571752597648576e-147,0.5710299420422582,0.21786833617287074,118.44213863393342,0.01487915991348343,0.014679135377425157,8.544444424287114e-18,0.12198016196695102,0.35351278465877056,0.2781700687957517
MTA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,4927,0.11724241266547643,1.507025776763447e-16,0.302547866163037,8.086197417592986e-105,0.23805728287819342,2.7072836912051427e-102,0.3240716221953779,0.1075444962860275,118.26602229759854,0.013745783327622108,0.013545528664338224,1.5070257767476907e-16,0.11724241266547643,0.302547866163037,0.23805728287819342
MTA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,4927,0.11092774067814294,5.790113738385164e-15,0.3031468508722642,3.017944895928745e-105,0.22769032030031963,9.428774214711841e-96,0.430748178935342,0.04005747161545818,118.09398747607075,0.01230496365195699,0.012104416436454768,5.790113738344504e-15,0.11092774067814294,0.3031468508722642,0.22769032030031963
MTA FP Equity_DX_ACTIVE_UTILIZATION_MV,3,4927,0.11078454521486177,6.274894961313414e-15,0.3031657918377114,2.92522716202062e-105,0.22772413442724007,8.803976924679208e-96,0.4312001240394565,0.040026004159267554,118.09537884923824,0.012273215458463937,0.012072661796628026,6.274894961218537e-15,0.11078454521486177,0.3031657918377114,0.22772413442724007
MTA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,4927,0.1039771543264575,2.5468876010201915e-13,0.3536945362403922,3.795656683715795e-145,0.2580912179828775,1.1416739732933872e-131,0.4381477669647502,0.192471019645389,118.46089697237505,0.010811248621827807,0.010610398113933606,2.546887601022746e-13,0.1039771543264575,0.3536945362403922,0.2580912179828775
MTA FP Equity_DX_BROKER_SI_MV_DEC,3,4927,0.05585988723705281,8.744642467367574e-05,0.1027747135819403,4.782226498518721e-13,0.08303924903195552,3.3662940544690326e-13,0.03172911950899726,1.9893403349325514,118.81397350597463,0.0031203270021363805,0.002917914885791517,8.744642467345049e-05,0.05585988723705281,0.1027747135819403,0.08303924903195552
MTA FP Equity_DX_BROKER_SI_QTY_DEC,3,4927,0.0554364174372309,9.891730283456305e-05,0.10633058515072862,7.267415458192134e-14,0.08574924842468597,5.532217232432177e-14,0.029363841416284453,0.0002457250372620889,118.81443957587766,0.003073196378274412,0.0028707746922597144,9.891730283479198e-05,0.0554364174372309,0.10633058515072862,0.08574924842468597
MTA FP Equity_DX_SUPPLY_SI_MV_DEC,3,4927,0.052714693992994645,0.0002140618572902894,0.09748773112504847,7.006662482841264e-12,0.07916936644027579,4.654079449022817e-12,0.022584460384324823,2.6170398869395473,118.83527004664751,0.0027788389627747545,0.0025763575087569546,0.00021406185729010054,0.052714693992994645,0.09748773112504847,0.07916936644027579
