feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
PLEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,2889,-0.39436104921893766,4.038806724060456e-108,-0.3611453326459588,1.0046962351301807e-89,-0.29653975106983915,3.196966872322508e-86,0.1555765432580103,-0.040731105626620766,14.47955653830219,0.15552063714106112,0.15522812610439374,4.038806724093786e-108,0.39436104921893766,0.3611453326459588,0.29653975106983915
PLEM FP Equity_DX_BROKER_SI_CON_RATIO,3,2889,-0.39424275669860226,4.738384583307849e-108,-0.3611161622952632,1.0405394204649806e-89,-0.2964102701961645,5.3114823396285694e-86,0.15415054403361594,-4.0736787688049265,14.479337103286122,0.1554273512093135,0.1551348078602347,4.738384583337958e-108,0.39424275669860226,0.3611161622952632,0.2964102701961645
PLEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,2889,-0.3270804316546636,5.281659243771107e-73,-0.36499084011546473,9.574482713767106e-92,-0.2956150761161415,1.9109695615463117e-87,0.19399139169732815,-0.2530136072505345,14.365735080660139,0.10698160877140106,0.10667228477028279,5.2816592437405426e-73,0.3270804316546636,0.36499084011546473,0.2956150761161415
PLEM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,2889,-0.3269859617606462,5.838081814364088e-73,-0.3676835738969042,3.5432800771649684e-93,-0.29866576996805005,6.377667436037363e-89,0.20319351527262874,-0.6842583823060415,14.375930855240851,0.10691981918853466,0.10661047378472055,5.83808181439315e-73,0.3269859617606462,0.3676835738969042,0.29866576996805005
PLEM FP Equity_DX_BROKER_SI_QTY,3,2889,-0.28769966063521557,3.5293634926111253e-56,-0.36440855276170964,1.944960399684535e-91,-0.2950642262428102,9.250087079276245e-87,0.21945052358664086,-5.3216465125915465e-05,14.351002902466831,0.08277109472961808,0.0824533846827632,3.529363492606176e-56,0.28769966063521557,0.36440855276170964,0.2950642262428102
PLEM FP Equity_DX_SI_QTY,3,2889,-0.28769928487150076,3.530569204803207e-56,-0.3626160073829958,1.707795805303061e-90,-0.2935643890444218,6.2259895542845045e-86,0.2196631242452034,-5.321643698718955e-05,14.351005628278532,0.08277087851557285,0.08245316839382566,3.530569204805556e-56,0.28769928487150076,0.3626160073829958,0.2935643890444218
PLEM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,2889,-0.26575597084599484,6.7312268025445e-48,-0.3642607329869566,2.3278023601648234e-91,-0.2937569782366583,2.2734287381187253e-86,0.2327038755745452,-4.41677322087267e-06,14.33830115338877,0.07062623604029705,0.07030431925333502,6.731226802520757e-48,0.26575597084599484,0.3642607329869566,0.2937569782366583
PLEM FP Equity_DX_SHORT_INTEREST_VALUE,3,2889,-0.26575545115363924,6.734128346813137e-48,-0.3624688193845793,2.040053408624557e-90,-0.2922679364193709,1.5189426386351358e-85,0.2331610144534202,-4.416768986421686e-06,14.338304416574417,0.07062595981787423,0.07030404293523418,6.734128346859558e-48,0.26575545115363924,0.3624688193845793,0.2922679364193709
PLEM FP Equity_DX_SI_MV,3,2889,-0.2655966965458336,7.681335910678587e-48,-0.36649664456963055,1.5211818339384297e-92,-0.2961032129382793,1.6790671656745083e-87,0.2290220983937108,-4.4087213478777985,14.338180840299925,0.07054160521605957,0.070219659114645,7.681335910734996e-48,0.2655966965458336,0.36649664456963055,0.2961032129382793
PLEM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,2889,-0.1473946456554365,1.6863431733110572e-15,-0.16740362568643555,1.3293492195812393e-19,-0.13550726146277786,3.601597708978736e-19,0.0564513027266379,-0.05066809211653334,14.263849866410647,0.021725181567891272,0.02138632641775895,1.6863431733057734e-15,0.1473946456554365,0.16740362568643555,0.13550726146277786
