feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,4997,0.8753008936814207,0.0,0.6012094543700842,0.0,0.5154208894897616,0.0,2.0298120766299887,0.003996307135923478,44.16076863261284,0.7661516544794936,0.7661048379939039,0.0,0.8753008936814207,0.6012094543700842,0.5154208894897616
SU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,4997,0.8719280558869917,0.0,0.5917968372744599,0.0,0.505300107244543,0.0,2.0236154384671203,3.8910910034533376e-09,47.02143639552591,0.7602585346428693,0.7602105383535085,0.0,0.8719280558869917,0.5917968372744599,0.505300107244543
SU FP Equity_DX_BROKER_SI_CON_RATIO,3,4997,0.41966130970379856,2.020040168347701e-212,0.237217642585954,7.1746557690102494e-65,0.1649699224361335,2.1087019150739167e-68,0.4788645452591398,268.28155226681076,47.60347901273759,0.17611561486230753,0.17595067304346113,2.020040168346391e-212,0.41966130970379856,0.237217642585954,0.1649699224361335
SU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,4997,0.413882805722744,4.3057285044363903e-206,0.253866763086609,2.446609188569293e-74,0.17210994021127796,2.675100150860115e-74,0.3974259862560441,1.9238193872004323,38.19447077309193,0.17129897687293083,0.17113307076219475,4.305728504435005e-206,0.413882805722744,0.253866763086609,0.17210994021127796
SU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,4997,0.4138143588635208,5.10818660788044e-206,0.5165681756518218,0.0,0.4002363993303006,0.0,1.592614457209799,3.8728635994244295e-07,48.65601831229395,0.17124232360162694,0.17107640614889452,5.108186607882854e-206,0.4138143588635208,0.5165681756518218,0.4002363993303006
SU FP Equity_DX_DSS,3,4997,-0.2754593204179188,1.048774571537631e-87,-0.18301683055351584,6.83533091389747e-39,-0.14448457208665202,3.972272891964283e-40,0.2795398913921112,-16.602812603458,110.2077648175856,0.07587783720510177,0.07569282776310082,1.0487745715280235e-87,0.2754593204179188,0.18301683055351584,0.14448457208665202
SU FP Equity_DX_DEMAND_SUPPLY_RATIO,3,4997,-0.22983125604717325,6.716732095925257e-61,-0.29608445881176687,1.1603595382790593e-101,-0.2131534119146031,6.59727391865931e-113,0.8852637325951624,-63.97934849376711,103.78491202606851,0.05282240625622159,0.05263278111232894,6.716732095927527e-61,0.22983125604717325,0.29608445881176687,0.2131534119146031
SU FP Equity_DX_UTILIZATION_QUANTITY,3,4997,-0.21530636418892993,1.7144124114820874e-53,-0.18000425954431276,1.170848422715586e-37,-0.13763218985418368,3.8940207544793545e-48,0.8927266369662092,-1.056698931975643,103.62277793098023,0.04635683046025618,0.04616591090679478,1.7144124114822098e-53,0.21530636418892993,0.18000425954431276,0.13763218985418368
SU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4997,0.20781456627867628,7.059774813252014e-50,0.4087810964365846,1.3146676602472993e-200,0.2740028037161962,2.2752788353301258e-185,0.6491804232065164,1.6802406463925965e-08,85.74962661099943,0.04318689395759456,0.042995339782210706,7.059774813252433e-50,0.20781456627867628,0.4087810964365846,0.2740028037161962
SU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,4997,-0.2033115756229221,9.012248890752732e-48,-0.22856146709322683,3.132445867641182e-60,-0.16170514411073883,1.1408964556210797e-65,0.7868851971185498,-3.1223022657423045,103.99215059350409,0.0413355967822755,0.04114367197682656,9.012248890763327e-48,0.2033115756229221,0.22856146709322683,0.16170514411073883
SU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4997,-0.19923673844567721,6.5741831917255395e-46,-0.21469565246434685,3.4196403959921525e-53,-0.15280168455798523,7.961029875302216e-59,0.7767036697648617,-3.1910228140949974,103.76673810296728,0.03969527794647121,0.039503024748862914,6.574183191725806e-46,0.19923673844567721,0.21469565246434685,0.15280168455798523
SU FP Equity_DX_SI_QTY,3,4997,-0.19853277290322394,1.3664439790335462e-45,-0.26304955927981466,7.177800083195211e-80,-0.1829646942264408,9.540336868756584e-84,0.664341133993779,-9.217674942037626e-07,104.78092061982103,0.03941526191664324,0.039222952659769716,1.366443979033598e-45,0.19853277290322394,0.26304955927981466,0.1829646942264408
SU FP Equity_DX_ACTIVE_UTILIZATION_MV,3,4997,-0.17939467238045842,2.067837620254186e-37,-0.17932617750196572,2.204025294364313e-37,-0.13711457959783258,8.673217870909726e-48,0.8876748909813523,-0.6263800963668825,100.71634533699518,0.032182448478492276,0.031988691210920406,2.0678376202531612e-37,0.17939467238045842,0.17932617750196572,0.13711457959783258
SU FP Equity_DX_BROKER_SI_QTY,3,4997,-0.1790124825353115,2.9507746828729075e-37,-0.2592685329118893,1.4491687561016305e-77,-0.17709230590056835,1.4141135429254585e-78,0.6126882478949902,-1.1916847443073873e-06,103.19176049002913,0.032045468903455276,0.03185168421254503,2.950774682873362e-37,0.1790124825353115,0.2592685329118893,0.17709230590056835
SU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,4997,-0.17880088502787064,3.591537447776614e-37,-0.17876089655030208,3.727323927012477e-37,-0.13670372721008073,1.6359256248322173e-47,0.8942401469267431,-0.6265726420236165,100.69675683487071,0.03196975648674982,0.031775956638198655,3.5915374477751413e-37,0.17880088502787064,0.17876089655030208,0.13670372721008073
SU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4997,0.17674448854499114,2.3941832629886644e-36,0.35978821425840235,1.361061107011288e-152,0.23197187370944106,1.946200493514493e-133,0.5260065810515213,1.5513672598558466e-08,86.35503361038123,0.031238614231030803,0.03104466800765371,2.3941832629897238e-36,0.17674448854499114,0.35978821425840235,0.23197187370944106
SU FP Equity_DX_SUPPLY_SI_MV,3,4997,0.16610002563208426,3.048308096252956e-32,0.3436513603516793,1.6043420943388545e-138,0.22335149164575832,7.55204001374661e-124,0.6952632788667916,0.012681740044322262,87.14890467711442,0.027589218514979086,0.02739454168184896,3.048308096253476e-32,0.16610002563208426,0.3436513603516793,0.22335149164575832
SU FP Equity_DX_SHORT_INTEREST_VALUE,3,4997,0.1656981060083695,4.3036280874560023e-32,0.386452601207599,1.0557062810601685e-177,0.25205210475313566,3.56252174366548e-157,0.5547380978245053,1.0197390467829173e-08,86.33191895384034,0.02745586233476094,0.02726115880369684,4.303628087455779e-32,0.1656981060083695,0.386452601207599,0.25205210475313566
SU FP Equity_DX_SUPPLY_SI_MV_DEC,3,4997,0.1304523208876794,2.0657466586850093e-20,0.27321317992854743,2.9493704259700247e-86,0.18338162819392306,8.170846842238627e-84,0.11046256578060998,0.08300755512071388,92.22409083215551,0.017017808024982095,0.016821014793355515,2.065746658684933e-20,0.1304523208876794,0.27321317992854743,0.18338162819392306
SU FP Equity_DX_SUPPLY_SI_QTY,3,4997,-0.12717280077032275,1.8103145583195462e-19,-0.11712067951615672,9.921200650511308e-17,-0.07821722999314072,1.143923896015134e-16,0.7150128286206012,-9.238493251240353e-07,100.94212584545132,0.016172921255768302,0.01597595887764136,1.8103145583196695e-19,0.12717280077032275,0.11712067951615672,0.07821722999314072
SU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,4997,0.12170225344618495,5.975241552926619e-18,0.11348584547594463,8.536829155816237e-16,0.07511564674690807,1.7520534613449878e-15,0.2775488548107097,1.23020891877393,72.58296972966839,0.01481143849387978,0.014614203546631344,5.975241552927186e-18,0.12170225344618495,0.11348584547594463,0.07511564674690807
SU FP Equity_DX_SI_MV,3,4997,0.10931373691934387,9.289243886796926e-15,0.29956990154885443,3.876816754724901e-104,0.18936853475499069,1.415016662096216e-89,0.5961665597488492,0.005944693394813418,89.14679220779422,0.011949493079271845,0.011751685169978376,9.289243886796835e-15,0.10931373691934387,0.29956990154885443,0.18936853475499069
SU FP Equity_DX_BROKER_SI_MV_DEC,3,4997,0.08181021094146931,6.980942709223797e-09,0.21996649174424598,8.229097302945576e-56,0.1474383383787262,5.780303072195164e-54,0.06946793544334184,0.048902438564601254,93.30522267484707,0.006692910614287784,0.006494050336132484,6.980942709223671e-09,0.08181021094146931,0.21996649174424598,0.1474383383787262
SU FP Equity_DX_BROKER_SI_QTY_INC,3,4997,-0.05970464024649686,2.4085732770485932e-05,0.04067654125983778,0.0040291098591360925,0.029575734860132215,0.002038521032031413,0.054084029052176685,-3.3075133059514467e-06,95.71691947988462,0.0035646440669638846,0.0033651575092195074,2.4085732770487247e-05,0.05970464024649686,0.04067654125983778,0.029575734860132215
SU FP Equity_DX_BROKER_SI_MV_ADD,3,4997,0.05944694425667135,2.61151345362063e-05,0.09581595718551736,1.14406979715503e-11,0.07352578135041628,1.1827583086564784e-11,0.008413493332637856,0.1479158475036432,94.22994258091452,0.0035339391814559473,0.003334446476587427,2.6115134536203826e-05,0.05944694425667135,0.09581595718551736,0.07352578135041628
SU FP Equity_DX_BROKER_SI_MV_INC_y,3,4997,0.05723541981939095,5.160257553634774e-05,0.19423317157845443,1.1224794537217561e-43,0.13377970330613548,6.08219993856305e-44,0.07198879516677748,0.03832714853664121,93.76533139790881,0.0032758932819021425,0.003076348916192795,5.1602575536345536e-05,0.05723541981939095,0.19423317157845443,0.13377970330613548
SU FP Equity_DX_BROKER_SI_MV_INC_x,3,4997,0.05723541981939095,5.160257553634774e-05,0.19423317157845443,1.1224794537217561e-43,0.13377970330613548,6.08219993856305e-44,0.07198879516677748,0.03832714853664121,93.76533139790881,0.0032758932819021425,0.003076348916192795,5.1602575536345536e-05,0.05723541981939095,0.19423317157845443,0.13377970330613548
SU FP Equity_DX_BROKER_SI_QTY_DEC,3,4997,-0.04373148672051858,0.0019877195620330314,0.028754797132763833,0.042095695443562516,0.020421895681374234,0.031662858294138986,0.045415414545704635,-2.1620913802435496e-06,95.47406390600639,0.0019124429307868507,0.0017126256020443265,0.0019877195620331073,0.04373148672051858,0.028754797132763833,0.020421895681374234
SU FP Equity_DX_SUPPLY_SI_QTY_ADD,3,4997,-0.026931212326869475,0.056959448069382974,0.07978265663545679,1.629060022459987e-08,0.05558765430427751,7.742587475387128e-09,0.06449877195543818,-2.036433221815197e-06,95.1457698527982,0.0007252901973952008,0.0005252352004377903,0.0569594480693832,0.026931212326869475,0.07978265663545679,0.05558765430427751
SU FP Equity_DX_SUPPLY_SI_QTY_INC_y,3,4997,-0.02429779273326552,0.08590214688765388,0.03923428841122707,0.005540150125776845,0.028461671874199217,0.0027513777717765005,0.07269685364376688,-3.495752859834017e-06,95.23559605921318,0.0005903827317088606,0.0003903007262497926,0.08590214688764482,0.02429779273326552,0.03923428841122707,0.028461671874199217
SU FP Equity_DX_SUPPLY_SI_QTY_INC_x,3,4997,-0.02429779273326552,0.08590214688765388,0.03923428841122707,0.005540150125776845,0.028461671874199217,0.0027513777717765005,0.07269685364376688,-3.495752859834017e-06,95.23559605921318,0.0005903827317088606,0.0003903007262497926,0.08590214688764482,0.02429779273326552,0.03923428841122707,0.028461671874199217
