feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
TRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,4997,0.9063834055716151,0.0,0.8169169122957239,0.0,0.6957140438770134,0.0,1.7708419481608177,4.6857482270974615e-07,22.602769347881868,0.8215308778955991,0.8214951483416242,0.0,0.9063834055716151,0.8169169122957239,0.6957140438770134
TRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3,4997,0.9056993247632794,0.0,0.8173473502245249,0.0,0.6960052085447255,0.0,1.7659661319294342,0.469283999483119,22.338223150889824,0.8202912668766605,0.8202552891523115,0.0,0.9056993247632794,0.8173473502245249,0.6960052085447255
TRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3,4997,0.7399490460368547,0.0,0.726549240119001,0.0,0.5455106108586087,0.0,1.5380862596777773,5.521640154967318e-05,13.481010068806727,0.5475245907308511,0.5474340050633297,0.0,0.7399490460368547,0.726549240119001,0.5455106108586087
TRI FP Equity_DX_ACTIVE_UTILIZATION_MV,3,4997,-0.40343730517890214,5.781981876421653e-195,-0.3800972575333228,1.6779768128402159e-171,-0.27627431698128363,4.067338185481679e-182,1.0578926812431275,-0.5708846950134747,81.4225780838108,0.1627616592100145,0.16259404392657306,5.78198187643203e-195,0.40343730517890214,0.3800972575333228,0.27627431698128363
TRI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3,4997,-0.4033969095088982,6.3729913501463095e-195,-0.38024640343100224,1.204573658971223e-171,-0.27640226015684727,2.8255487825991347e-182,1.0669374626357961,-0.5707984989734479,81.41769261905793,0.16272906660133024,0.16256144479284207,6.37299135016337e-195,0.4033969095088982,0.38024640343100224,0.27640226015684727
TRI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,4997,0.34611072231076634,1.2996777071153732e-140,0.48966640614177814,1.042488739893838e-299,0.3068977425101204,1.2471424499722457e-231,1.157380961956445,1.6286770986205883e-06,57.51016491485892,0.11979263209848057,0.11961641440720905,1.2996777071145357e-140,0.34611072231076634,0.48966640614177814,0.3068977425101204
TRI FP Equity_DX_SUPPLY_SI_MV,3,4997,0.34217504372704305,2.829519523193244e-137,0.47770635973371,2.5801155661703907e-283,0.29870151904636183,3.262071439455235e-218,1.1516483197180696,1.6136922062901662,57.477120134150084,0.11708376054960379,0.11690700054170589,2.8295195231912444e-137,0.34217504372704305,0.47770635973371,0.29870151904636183
TRI FP Equity_DX_SHORT_INTEREST_VALUE,3,4997,0.31563422999915763,5.311717871580414e-116,0.40315663788233197,1.1366374778846993e-194,0.23727839476943544,1.6813967975112004e-139,1.1789004847829,1.2141812082148679e-06,56.90625852571879,0.0996249671471614,0.099444711885329,5.311717871581206e-116,0.31563422999915763,0.40315663788233197,0.23727839476943544
TRI FP Equity_DX_SI_MV,3,4997,0.30687069221949614,1.9473726176245169e-109,0.3841437711054301,1.9604568333673132e-175,0.22267880575379914,1.0264829941418171e-122,1.2073614527537773,1.176085658638554,56.923935719416505,0.09416962174327281,0.0939882743201984,1.9473726176245731e-109,0.30687069221949614,0.3841437711054301,0.22267880575379914
TRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,4997,0.29944617776478794,4.752933562728501e-104,0.3600348937474488,8.171906374055693e-153,0.20789466494043835,1.7559279783833056e-107,1.1819886845956038,1.2930807225127236e-06,58.3771446123672,0.08966801337794106,0.08948576473197067,4.7529335627297254e-104,0.29944617776478794,0.3600348937474488,0.20789466494043835
TRI FP Equity_DX_SUPPLY_SI_MV_DEC,3,4997,0.2624548605210664,1.6637109867437688e-79,0.4716692212901347,2.7683243420063795e-275,0.34655837668886913,2.181358540226435e-242,0.21660439449448043,19.851091835468356,61.8713022566363,0.06888255381113251,0.06869614391199563,1.6637109867447402e-79,0.2624548605210664,0.4716692212901347,0.34655837668886913
TRI FP Equity_DX_DEMAND_SUPPLY_RATIO,3,4997,-0.2603998139501436,2.9882379395732477e-78,-0.3486265303857361,9.01097279121159e-143,-0.2460285877063959,1.1904016491067945e-149,1.2857554642324995,-70.42013950632717,75.2121680614333,0.06780806310526966,0.06762143809287835,2.988237939574025e-78,0.2603998139501436,0.3486265303857361,0.2460285877063959
TRI FP Equity_DX_BROKER_SI_MV_INC_y,3,4997,0.2204699898818448,4.58750954647672e-56,0.344125344019338,6.363355797241391e-139,0.2630691051580899,6.020626232096517e-135,0.15734716435864904,18.864610631500508,63.02044386130621,0.04860701643850074,0.04841654737272272,4.587509546471206e-56,0.2204699898818448,0.344125344019338,0.2630691051580899
TRI FP Equity_DX_BROKER_SI_MV_INC_x,3,4997,0.2204699898818448,4.58750954647672e-56,0.344125344019338,6.363355797241391e-139,0.2630691051580899,6.020626232096517e-135,0.15734716435864904,18.864610631500508,63.02044386130621,0.04860701643850074,0.04841654737272272,4.587509546471206e-56,0.2204699898818448,0.344125344019338,0.2630691051580899
TRI FP Equity_DX_BROKER_SI_MV_DEC,3,4997,0.21694358335413444,2.664693379744168e-54,0.34507820043226944,9.867375926347557e-140,0.2561573385868624,2.5285118122063897e-131,0.15780951156684786,16.351333299088463,62.996018683458324,0.047064518358532426,0.04687374048432991,2.664693379742266e-54,0.21694358335413444,0.34507820043226944,0.2561573385868624
TRI FP Equity_DX_UTILIZATION_QUANTITY,3,4997,-0.15070743763685115,8.94129317344595e-27,-0.15722992952608522,5.0330718521476837e-29,-0.11433070565335111,1.1914389561317995e-33,1.2703149462002048,-0.8741125322026899,71.98211270796452,0.02271273175906552,0.022517078652310563,8.94129317344922e-27,0.15070743763685115,0.15722992952608522,0.11433070565335111
TRI FP Equity_DX_SUPPLY_SI_QTY_DEC,3,4997,0.12197773434234499,5.0290912915346534e-18,0.37494172276862225,1.4277391502455608e-166,0.26664354891719955,1.3642068824862863e-148,0.1603580472846846,0.0008118446522763679,64.21081443022295,0.014878567675291832,0.014681346167318976,5.0290912915357165e-18,0.12197773434234499,0.37494172276862225,0.26664354891719955
TRI FP Equity_DX_SUPPLY_SI_QTY,3,4997,0.10903186781033332,1.0879945058738748e-14,0.050407980181604015,0.0003642897150114815,0.01395733151945421,0.13973728126679474,1.3001742361260744,5.683043291988551e-05,62.204387312915415,0.01188794819820993,0.011690127967619035,1.087994505873953e-14,0.10903186781033332,0.050407980181604015,0.01395733151945421
TRI FP Equity_DX_BROKER_SI_QTY_INC,3,4997,0.10703809118299162,3.289792363170787e-14,0.2672642095855319,1.7437634014922892e-82,0.19708860498707814,1.9715308391475336e-78,0.137407640524438,0.0009084161039611821,64.52060868283537,0.011457152964098771,0.011259246488215746,3.2897923631710005e-14,0.10703809118299162,0.2672642095855319,0.19708860498707814
TRI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,3,4997,-0.09565903788589088,1.2360248201544475e-11,-0.06660939184702494,2.4453012269971544e-06,-0.03979988720523631,2.516608071484654e-05,0.7247445745792298,-0.5108580445310245,77.73690577183832,0.009150651529254317,0.00895228329132225,1.2360248201542985e-11,0.09565903788589088,0.06660939184702494,0.03979988720523631
TRI FP Equity_DX_SUPPLY_SI_QTY_INC_y,3,4997,0.09249739672632341,5.7151931027041834e-11,0.3217768303899804,9.770393300692616e-121,0.23893994405673163,9.033874232981922e-113,0.17752623486474128,0.0008623870083484075,64.9730744028513,0.008555768401147135,0.008357281067493783,5.7151931027050035e-11,0.09249739672632341,0.3217768303899804,0.23893994405673163
TRI FP Equity_DX_SUPPLY_SI_QTY_INC_x,3,4997,0.09249739672632341,5.7151931027041834e-11,0.3217768303899804,9.770393300692616e-121,0.23893994405673163,9.033874232981922e-113,0.17752623486474128,0.0008623870083484075,64.9730744028513,0.008555768401147135,0.008357281067493783,5.7151931027050035e-11,0.09249739672632341,0.3217768303899804,0.23893994405673163
TRI FP Equity_DX_SUPPLY_SI_QTY_ADD,3,4997,0.08449629011790744,2.2013951175152913e-09,0.33928680979469666,7.423746807514187e-135,0.25730721274596496,1.2592903673436269e-124,0.12111132202216979,0.0007663203726185405,65.4607843696397,0.007139623043689758,0.00694085219745233,2.2013951175153e-09,0.08449629011790744,0.33928680979469666,0.25730721274596496
TRI FP Equity_DX_BROKER_SI_MV_ADD,3,4997,0.06943528766340487,8.967252009979336e-07,0.13805025787326966,1.090448376921287e-22,0.10945055089820552,2.716031758074622e-22,0.03116970133103658,11.139141374417578,65.88629458832762,0.004821259172899772,0.004622024189751217,8.967252009978249e-07,0.06943528766340487,0.13805025787326966,0.10945055089820552
TRI FP Equity_DX_SI_QTY,3,4997,-0.056624638481754586,6.202346103184848e-05,-0.13051198159800342,1.984737811211247e-20,-0.11121040712853247,5.003939760770927e-32,1.3288652725155767,-1.8461153920189604e-05,68.60225060898101,0.0032063496831894467,0.0030067913948377267,6.202346103184753e-05,0.056624638481754586,0.13051198159800342,0.11121040712853247
TRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,3,4997,-0.054083799237392705,0.00013077330462916002,-0.10275277177975027,3.3135659055928616e-13,-0.06699979052345527,1.3072180673733805e-12,0.8183561329547837,-0.14411025705338698,73.37931001591832,0.002925057339950743,0.002725442736815631,0.00013077330462915417,0.054083799237392705,0.10275277177975027,0.06699979052345527
TRI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,3,4997,-0.05095602351681582,0.000313968406583679,-0.15550433217774834,2.0256140975364693e-28,-0.12343077642222659,7.950189468191664e-39,1.2884176106548888,-1.4220586206750208,68.44120922024118,0.002596516332646348,0.0023968359555357477,0.00031396840658365685,0.05095602351681582,0.15550433217774834,0.12343077642222659
TRI FP Equity_DX_BROKER_SI_QTY_DEC,3,4997,0.04654641398368556,0.0009972491833646867,0.24445243460527552,6.765181445963365e-69,0.17599185863516997,2.9918400445766292e-65,0.12115142064719553,0.0002651892645461374,65.60656406285095,0.0021665686547408525,0.001966802202019058,0.0009972491833646945,0.04654641398368556,0.24445243460527552,0.17599185863516997
TRI FP Equity_DX_BROKER_SI_CON_RATIO,3,4997,-0.044935265648518484,0.0014867373822361888,-0.09329415543767752,3.903930449101641e-11,-0.05365433607877322,1.343627523407575e-08,0.9522487512629931,-11.456481105316724,70.57158034471423,0.0020191780989030628,0.0018193821385624753,0.0014867373822362111,0.044935265648518484,0.09329415543767752,0.05365433607877322
TRI FP Equity_DX_DSS,3,4997,-0.03738373553122345,0.008219960118004991,0.01355306869710718,0.3381316269409761,0.011070433937719143,0.3380812838030466,0.15478668891391023,-4.727895455138788,67.42283648293989,0.0013975436822685205,0.001197623270593362,0.008219960118001761,0.03738373553122345,0.01355306869710718,0.011070433937719143
TRI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3,4997,-0.03270405758306666,0.02078472561793561,-0.11413575811596473,5.838824247143566e-16,-0.10126856734640982,2.0054786272808249e-26,1.2039374623142511,-2.151776468519879,67.62983112276056,0.0010695553823966142,0.0008695693073981214,0.02078472561793521,0.03270405758306666,0.11413575811596473,0.10126856734640982
TRI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,3,4997,-0.026427083954753038,0.06176552881320341,-0.014077677531122467,0.31976360753439603,-0.011474913676311569,0.3201704425726257,0.005586156569153955,-0.0006363330571661219,66.35937143267064,0.0006983907663514755,0.0004983303841225029,0.06176552881321183,0.026427083954753038,0.014077677531122467,0.011474913676311569
