feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
WPEA FP Equity_DX_SUPPLY_SI_MV,3,363,0.15046288959809737,0.004063497958027357,0.23035979656737723,9.268337419865936e-06,0.17189272664626273,9.10270487334732e-06,0.2943645677572424,0.5897833800641705,5.280661037258088,0.022639081146208606,0.019931710179854623,0.004063497958027025,0.15046288959809737,0.23035979656737723,0.17189272664626273
WPEA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3,363,0.14948670748557263,0.004312688664395329,0.22869403205151748,1.0793477193970887e-05,0.17089542506922714,9.156307633911145e-06,0.3014329859402638,5.863358479767238e-07,5.281101932716122,0.02234627571487724,0.019638093653145616,0.004312688664395531,0.14948670748557263,0.22869403205151748,0.17089542506922714
WPEA FP Equity_DX_SI_MV,3,363,0.14702140115900453,0.00500455860667597,0.22658292671830618,1.3070797579079862e-05,0.16844668704852525,1.3059270740177346e-05,0.27489788833902784,0.29109372226227287,5.282997014758247,0.021615292398756925,0.018905085452493142,0.005004558606676386,0.14702140115900453,0.22658292671830618,0.16844668704852525
WPEA FP Equity_DX_SHORT_INTEREST_VALUE,3,363,0.14620162555003402,0.005255857665277707,0.22625877751487483,1.3458545426698637e-05,0.16818045880214755,1.2501506735471114e-05,0.2908346357853637,2.8927724640190006e-07,5.28333030663061,0.02137491531347213,0.018664042502706146,0.005255857665278033,0.14620162555003402,0.22625877751487483,0.16818045880214755
WPEA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3,363,0.13924123970160276,0.007890827642548165,0.20893694899410972,6.035613462085137e-05,0.15689475158499197,5.1040039298388016e-05,0.32500069549128874,5.449198593290705e-07,5.288122997365806,0.019388122833638777,0.01667174644259628,0.007890827642548394,0.13924123970160276,0.20893694899410972,0.15689475158499197
WPEA FP Equity_DX_SUPPLY_SI_QTY,3,363,0.1364260309813359,0.009255255914869797,0.20325495770852173,9.621024204903585e-05,0.14963094270706567,0.00010607394131217274,0.26792585007737424,2.9864359314724385e-06,5.286289762793329,0.0186120619293203,0.015893535785080237,0.009255255914870582,0.1364260309813359,0.20325495770852173,0.14963094270706567
WPEA FP Equity_DX_SI_QTY,3,363,0.133285896773235,0.011021057322210991,0.20179701329910077,0.00010821672147057786,0.14791745157650185,0.00012563444056022755,0.24416617742720037,1.4705547382528187e-06,5.288471431848543,0.017765130278645236,0.015044258063350635,0.01102105732221063,0.133285896773235,0.20179701329910077,0.14791745157650185
WPEA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3,363,0.12928869490370354,0.013696001425434742,0.17991757107716946,0.0005727216902682825,0.12727931611717327,0.0010299144094502368,0.2720717474423733,0.673161877897789,5.293019762446954,0.01671556662990281,0.013991787036079839,0.013696001425435122,0.12928869490370354,0.17991757107716946,0.12727931611717327
WPEA FP Equity_DX_BROKER_SI_QTY,3,363,0.12680217247106262,0.015634465968817495,0.18482234787112164,0.0004005272233155536,0.13663688526247297,0.0004306110374331697,0.29286234223129526,2.7679675215652427e-06,5.292921214892998,0.01607879094338094,0.013353247427988713,0.015634465968814834,0.12680217247106262,0.18482234787112164,0.13663688526247297
WPEA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3,363,0.07199725916077183,0.17106873556943397,0.0676504004644098,0.1984635162121225,0.053724625980376126,0.19034059406044124,0.09947040493091452,4.915666551247181e-07,5.3354703922930735,0.005183605326663399,0.002427881241695684,0.1710687355694216,0.07199725916077183,0.0676504004644098,0.053724625980376126
