feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
AEJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,4993,0.2946192412520657,1.493734321767732e-100,0.12571712934828486,4.813018631105125e-19,0.08766000870817824,9.839197070599181e-20,0.5472258521288116,0.6735274278388405,42.06019282168108,0.08680049731594286,0.08661752807076473,1.4937343217698555e-100,0.2946192412520657,0.12571712934828486,0.08766000870817824
AEJ FP Equity_DX_DSS,4,4993,-0.24587050191763615,1.2014948593698767e-69,-0.32254720003502946,3.0460399634580777e-121,-0.26181673558751156,1.981078341014064e-114,0.09934645879897408,-12.1772997737013,45.18727394664342,0.060452303713230515,0.06026405532687773,1.2014948593654374e-69,0.24587050191763615,0.32254720003502946,0.26181673558751156
AEJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,4993,0.18285770061835852,8.514931551048767e-39,0.2161735560258513,7.054462401668977e-54,0.1644752586669597,9.431847316909182e-54,0.36912132173142664,0.0627130379155642,41.737741235638836,0.03343693867543329,0.03324327747300404,8.514931551055189e-39,0.18285770061835852,0.2161735560258513,0.1644752586669597
AEJ FP Equity_DX_ACTIVE_UTILIZATION_MV,4,4993,0.18244318142655405,1.261624168187009e-38,0.21608218118034858,7.826182521294914e-54,0.16437377286791155,1.076880215296258e-53,0.36644783422841876,0.06257888066119686,41.74434775152048,0.033285514449042375,0.03309182290715673,1.2616241681868316e-38,0.18244318142655405,0.21608218118034858,0.16437377286791155
AEJ FP Equity_DX_BROKER_SI_CON_RATIO,4,4993,-0.17406347652419668,2.9182829428455105e-35,-0.1778016052567444,9.659635037530611e-37,-0.1271539539567311,3.880762164963723e-38,0.5773920301000097,-7.211944987071999,48.25455630636079,0.030298093859689512,0.030103803756275305,2.918282942843052e-35,0.17406347652419668,0.1778016052567444,0.1271539539567311
AEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,4993,-0.17263433647844725,1.0526653203983406e-34,-0.18094683031563197,5.17488129213399e-38,-0.12955118275408609,1.4448214681437128e-39,0.551273817996456,-0.07053823746680005,48.474624079417346,0.029802614131353877,0.029608224753299606,1.0526653203978232e-34,0.17263433647844725,0.18094683031563197,0.12955118275408609
AEJ FP Equity_DX_UTILIZATION_QUANTITY,4,4993,0.1725090024026045,1.1773976398749129e-34,0.225655317988101,1.1391884435719475e-58,0.16495745734550557,6.993015379520868e-60,0.7739971540454396,0.11814058847783744,42.69725449740473,0.02975935590994172,0.029564957864642194,1.177397639876731e-34,0.1725090024026045,0.225655317988101,0.16495745734550557
AEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,4993,0.11743546891930493,8.442261249651498e-17,0.06568283506353734,3.3994492499945156e-06,0.04773301032073043,2.1353235892672783e-06,0.5456265616996823,0.10631476392895704,42.80773184222161,0.013791089360296827,0.01359349190274528,8.442261249648112e-17,0.11743546891930493,0.06568283506353734,0.04773301032073043
AEJ FP Equity_DX_BROKER_SI_QTY,4,4993,-0.10698953955557239,3.458828519271448e-14,-0.14614401580092565,3.0611358184781636e-25,-0.09084992286143422,6.3695815233490244e-21,0.710091009604997,-1.5790736854801818e-05,44.96512921922896,0.011446761574313458,0.011248694405724846,3.458828519271379e-14,0.10698953955557239,0.14614401580092565,0.09084992286143422
AEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,4993,-0.09484133074173638,1.8798734557920064e-11,0.18800253213145593,5.980636679760784e-41,0.12600219484391392,1.5341251918631907e-33,0.7035966680174979,-1.1560331883120012e-05,44.84450576179374,0.008994878016863495,0.008796319587293655,1.8798734557896732e-11,0.09484133074173638,0.18800253213145593,0.12600219484391392
AEJ FP Equity_DX_SI_QTY,4,4993,-0.09419026125913214,2.579795257394991e-11,-0.11760473004883122,7.623074332581021e-17,-0.07297191794843177,3.7464312071742746e-14,0.6883150118204693,-1.3340677957653266e-05,44.92696176230234,0.008871805316063686,0.008673222227567612,2.579795257396952e-11,0.09419026125913214,0.11760473004883122,0.07297191794843177
AEJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4993,0.08089101132145443,1.0416544582868e-08,0.22685176301978754,2.728348753379736e-59,0.16246522627617302,3.139396822434436e-58,0.6786027424498013,6.818464797035202e-07,43.72460854342136,0.00654335571260789,0.006344306094437702,1.0416544582874422e-08,0.08089101132145443,0.22685176301978754,0.16246522627617302
AEJ FP Equity_DX_SUPPLY_SI_MV,4,4993,0.0778499085972431,3.630404063951766e-08,0.22416264788809145,6.697454774957798e-58,0.16029478867495925,2.3706940978318952e-56,0.6711867137647829,0.654390265592285,43.74367103201723,0.006060608268598888,0.005861461926837452,3.630404063952225e-08,0.0778499085972431,0.22416264788809145,0.16029478867495925
AEJ FP Equity_DX_DEMAND_SUPPLY_RATIO,4,4993,-0.06481840138519908,4.5656274518928825e-06,-0.05332800535528418,0.0001632750180974022,-0.029159044879990402,0.0026253094590398605,0.48422913048903293,-0.2852219225475669,44.46696092568635,0.00420142515813271,0.004001906309236358,4.5656274518925065e-06,0.06481840138519908,0.05332800535528418,0.029159044879990402
AEJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,4993,-0.050963619397556496,0.0003150646449230531,-0.09247552377690552,5.877357303011252e-11,-0.05840182054579178,2.3382555620198396e-09,0.6118790306954569,-0.4973672561386872,44.577996376484826,0.0025972905020987813,0.002397450247741406,0.00031506464492297266,0.050963619397556496,0.09247552377690552,0.05840182054579178
AEJ FP Equity_DX_BROKER_SI_QTY_DEC,4,4993,-0.044629072322002215,0.0016087027578817552,-0.027763977851326234,0.04979487022631247,-0.02110836462612633,0.057975662488878,0.022330283030669973,-3.5405217345571496e-05,44.40574565379521,0.0019917540963225733,0.0017917925162977966,0.001608702757881691,0.044629072322002215,0.027763977851326234,0.02110836462612633
