feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALATA FP Equity_DX_DSS,4,4996,0.5865560558390256,0.0,0.37619745895002793,9.892285581463852e-168,0.31098250207385775,8.858985329656401e-162,0.3572285590969335,1.9104331059380144,0.6085543101579437,0.3440480066414322,0.34391665862514087,0.0,0.5865560558390256,0.37619745895002793,0.31098250207385775
ALATA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,4996,0.553745341510315,0.0,0.4108099091437012,9.756477741455642e-203,0.2620782639371719,1.6914638862580532e-162,1.4488506365768101,0.173968513380399,0.9921534375724124,0.3066339032443759,0.3064950634172321,0.0,0.553745341510315,0.4108099091437012,0.2620782639371719
ALATA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4996,0.5504340076499503,0.0,0.4580189685090434,1.1651856008011347e-257,0.3218930917410762,2.0180707264952042e-243,1.3278331307071034,1.2602860400503105e-07,1.0640934047864326,0.3029775967775856,0.30283802481058064,0.0,0.5504340076499503,0.4580189685090434,0.3218930917410762
ALATA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,4996,0.5467170272014266,0.0,0.3624843014770216,5.39934844093121e-155,0.22868280346362713,1.1725127876861866e-124,1.4887035247531402,0.17179465111041256,0.9710195188329286,0.2988995078319665,0.2987591192672552,0.0,0.5467170272014266,0.3624843014770216,0.22868280346362713
ALATA FP Equity_DX_SHORT_INTEREST_VALUE,4,4996,0.5454530209441079,0.0,0.49825053015266757,0.0,0.34540694280830136,1.1976137698909922e-283,1.4254443303781006,1.0748867033320664e-07,1.0418813191996663,0.29751899805705273,0.297378333058666,0.0,0.5454530209441079,0.49825053015266757,0.34540694280830136
ALATA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,4996,0.44249417791927204,1.2561166420679595e-238,0.2848598663706862,6.677762427013846e-94,0.1974197674194119,5.199969787034658e-93,0.9903962456660431,0.03128635288698815,1.120816254216628,0.19580109749245345,0.19564006447232773,1.2561166420685102e-238,0.44249417791927204,0.2848598663706862,0.1974197674194119
ALATA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,4996,0.38630432788498803,1.6030035083949523e-177,0.45925230053980276,3.247960195214046e-259,0.3063709250731511,2.309698561955304e-221,1.4086179211716487,4.064945001235059e-07,1.0573280129155442,0.1492310337426731,0.14906067551955382,1.6030035083930426e-177,0.38630432788498803,0.45925230053980276,0.3063709250731511
ALATA FP Equity_DX_UTILIZATION_QUANTITY,4,4996,0.3206332290967014,8.008926041864022e-120,0.33534066177723154,1.4451472904554352e-131,0.21430328593953327,3.6954645036324166e-110,1.6998580027781243,0.02848774539153581,0.5471049658678125,0.10280566760097753,0.10262601314915543,8.008926041858476e-120,0.3206332290967014,0.33534066177723154,0.21430328593953327
ALATA FP Equity_DX_SUPPLY_SI_MV,4,4996,0.31427915309915305,5.991205045031104e-115,0.44259171836776484,9.605346389871559e-239,0.3113410828294744,8.22218479700247e-218,1.1970550616047815,1.1486866157629805,0.8205224628382219,0.09877138607271985,0.09859092379520129,5.991205045032594e-115,0.31427915309915305,0.44259171836776484,0.3113410828294744
ALATA FP Equity_DX_SI_MV,4,4996,0.24796101201934367,6.967940706069907e-71,0.4107078049597289,1.2555268078952473e-202,0.2621068691599622,1.0890392728811166e-161,1.3354839328016048,0.5867279231128795,0.8672020819859066,0.0614846634816566,0.06129673490005494,6.967940706077944e-71,0.24796101201934367,0.4107078049597289,0.2621068691599622
