feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALBIO FP Equity_DX_SI_MV,4,3639,0.7550952655399933,0.0,0.5680512509719465,4.6027204411274e-310,0.4500309748450411,4.3207787176925476e-288,0.7863250396949821,7.683616205350296,5.6545539132840545,0.5701688600409129,0.5700506771594285,0.0,0.7550952655399933,0.5680512509719465,0.4500309748450411
ALBIO FP Equity_DX_SHORT_INTEREST_VALUE,4,3639,0.754989033294093,0.0,0.5361888773573193,4.817905989598628e-270,0.41680913898774685,4.455936937013285e-251,0.8177444665610061,7.709536431240055e-06,5.662003139348755,0.5700084403943491,0.5698902134051806,0.0,0.754989033294093,0.5361888773573193,0.41680913898774685
ALBIO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,3639,0.7398814192394313,0.0,0.5381176814719183,2.4050768437021193e-272,0.41722912496517783,1.4078263597374272e-251,0.8546475175737349,9.839385070575282e-06,5.719505623344985,0.5474245145357552,0.547300078053637,0.0,0.7398814192394313,0.5381176814719183,0.41722912496517783
ALBIO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,3639,0.7221765839172924,0.0,0.5114083095121886,9.261647396980888e-242,0.3883050802440591,2.686171580093594e-217,0.8712149051663336,14.93346218569006,5.367685100003617,0.5215390183584495,0.521407464610404,0.0,0.7221765839172924,0.5114083095121886,0.3883050802440591
ALBIO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,3639,0.7135192837252535,0.0,0.5075705776860436,1.3840878690936556e-237,0.38034619398779385,8.009078083528777e-209,0.879981312487979,8.729863532274752,5.30771019419832,0.5091097682477992,0.5089747970540263,0.0,0.7135192837252535,0.5075705776860436,0.38034619398779385
ALBIO FP Equity_DX_SI_QTY,4,3639,0.7047183520797572,0.0,0.4976069605636772,5.408686404679441e-227,0.3806368422488264,1.8505623201874963e-209,0.8958491948011535,0.00014044409223547933,5.392295767808831,0.49662795575800855,0.49648955266638306,0.0,0.7047183520797572,0.4976069605636772,0.3806368422488264
ALBIO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,3639,0.6894082581285147,0.0,0.5352251409527016,6.719550984614152e-269,0.4150358835490113,1.003678446611444e-248,0.8599452779646142,1.2954628458663097e-05,6.015146126693684,0.47528374637579307,0.47513947465359774,0.0,0.6894082581285147,0.5352251409527016,0.4150358835490113
ALBIO FP Equity_DX_SUPPLY_SI_MV,4,3639,0.6884558435440685,0.0,0.5698885186952877,1.65978256585e-312,0.4514714499213193,9.258558730990693e-289,0.8073292139502026,12.920667846179395,6.017601523329016,0.47397144850997497,0.4738268159690099,0.0,0.6884558435440685,0.5698885186952877,0.4514714499213193
ALBIO FP Equity_DX_BROKER_SI_QTY,4,3639,0.6875991981243114,0.0,0.5010244070755702,1.3793274783750176e-230,0.3821500750785963,5.397719755300463e-211,0.8859212043228588,0.00017631563189960122,5.491536080018547,0.4727926572611959,0.4726477006093568,0.0,0.6875991981243114,0.5010244070755702,0.3821500750785963
ALBIO FP Equity_DX_SUPPLY_SI_QTY,4,3639,0.6504311259447421,0.0,0.46562796810186285,2.8252200319552413e-195,0.3637693332456209,3.254436066916392e-191,0.888129141237382,0.0002519219828006941,5.681982572916247,0.42306064959774514,0.42290201903673275,0.0,0.6504311259447421,0.46562796810186285,0.3637693332456209
