feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALCOX FP Equity_DX_SHORT_INTEREST_VALUE,4,4996,0.7426279466012298,0.0,0.7400891411491102,0.0,0.5579243369851559,0.0,1.425184033535356,5.568045743240816e-07,2.8003359111477755,0.5514962670731591,0.5514064585563536,0.0,0.7426279466012298,0.7400891411491102,0.5579243369851559
ALCOX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4996,0.733562342428312,0.0,0.7654623955133573,0.0,0.5868405560423521,0.0,1.4393718112025211,1.2536703396932834e-06,2.375427814082665,0.5381137102289123,0.5380212219850654,0.0,0.733562342428312,0.7654623955133573,0.5868405560423521
ALCOX FP Equity_DX_SUPPLY_SI_MV,4,4996,0.7261071299183908,0.0,0.7643480688709238,0.0,0.5870712705426446,0.0,1.3919885667848573,1.2599034083516298,2.383048773994114,0.527231564118323,0.5271368968304011,0.0,0.7261071299183908,0.7643480688709238,0.5870712705426446
ALCOX FP Equity_DX_SI_MV,4,4996,0.7233474577149662,0.0,0.7399900259436619,0.0,0.557773119880014,0.0,1.405834977829639,0.5520470290150332,2.8272667175658945,0.5232315445827049,0.5231360763297179,0.0,0.7233474577149662,0.7399900259436619,0.557773119880014
ALCOX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,4996,0.6931663308024872,0.0,0.6936640510734919,0.0,0.5171209098508932,0.0,1.3671798604747378,6.315689227606354e-07,3.254988406842956,0.48047956215818355,0.4803755332359084,0.0,0.6931663308024872,0.6936640510734919,0.5171209098508932
ALCOX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4996,0.5957007354506304,0.0,0.24125858283808008,4.335982426973021e-67,0.18960112590280637,6.457346629141399e-69,0.535813454399078,4.936858471812981e-07,4.272754330656074,0.35485936621642167,0.354730183069889,0.0,0.5957007354506304,0.24125858283808008,0.18960112590280637
ALCOX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4996,0.5934045151534831,0.0,0.24126479128742803,4.3015697574290716e-67,0.18955393394138598,7.317358863452607e-69,0.5472527499175339,0.49295368003505036,4.2776329616658435,0.35212891860454076,0.351999188712391,0.0,0.5934045151534831,0.24126479128742803,0.18955393394138598
ALCOX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,4996,0.5489041947551236,0.0,0.5411075399917211,0.0,0.3838271403883035,0.0,1.2944092224931554,2.5422463142553546,1.7860145134865917,0.30129581501977065,0.3011559062923016,0.0,0.5489041947551236,0.5411075399917211,0.3838271403883035
ALCOX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,4996,0.5428965342285517,0.0,0.5296303323898274,0.0,0.37551830027286426,0.0,1.2895804367892216,2.3967442180494967,1.7739455712508334,0.2947366468773729,0.29459542474018363,0.0,0.5428965342285517,0.5296303323898274,0.37551830027286426
ALCOX FP Equity_DX_DSS,4,4996,0.3877155461357495,6.458704931349943e-179,0.42022792181537655,5.2518844771806985e-213,0.3435160748929729,1.8303124189928287e-194,0.24628599043506028,3.653039513991316,2.9793342883436855,0.1503233447153428,0.1501532052168877,6.458704931328597e-179,0.3877155461357495,0.42022792181537655,0.3435160748929729
ALCOX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,4996,0.3340576613785143,1.623379913977267e-130,0.18605637271852793,3.764485773292395e-40,0.1447136341262698,6.978051914642133e-41,0.58275979396132,3.8135118940770115e-06,4.360514836569308,0.11159452112568147,0.11141662655642348,1.6233799139832235e-130,0.3340576613785143,0.18605637271852793,0.1447136341262698
ALCOX FP Equity_DX_BROKER_SI_CON_RATIO,4,4996,-0.3327712966665758,1.8140167264730427e-129,-0.3598637305659719,1.2480536711952624e-152,-0.2406707596975435,2.2030697943004632e-143,0.9748796710180789,-8.708281514659038,8.280757464297121,0.11073673588515431,0.11055866955273241,1.814016726473684e-129,0.3327712966665758,0.3598637305659719,0.2406707596975435
ALCOX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,4996,-0.31289834368073477,6.621812872121854e-114,-0.18933821529680675,1.5254523599644936e-41,-0.1466016996702502,6.435448046094514e-42,0.4504140334917843,-0.057263726580395524,10.021639384408182,0.0979053734781471,0.09772473779001689,6.621812872113928e-114,0.31289834368073477,0.18933821529680675,0.1466016996702502
ALCOX FP Equity_DX_BROKER_SI_MV_INC_x,4,4996,0.276929054951739,1.2090417964520031e-88,0.23869594755244453,1.1402477891480434e-65,0.18631984521286094,1.2203884932308218e-65,0.07171084642304315,5.087860556800143,4.829982258382549,0.07668970147646315,0.07650481755605387,1.2090417964513655e-88,0.276929054951739,0.23869594755244453,0.18631984521286094
ALCOX FP Equity_DX_BROKER_SI_MV_INC_y,4,4996,0.276929054951739,1.2090417964520031e-88,0.23869594755244453,1.1402477891480434e-65,0.18631984521286094,1.2203884932308218e-65,0.07171084642304315,5.087860556800143,4.829982258382549,0.07668970147646315,0.07650481755605387,1.2090417964513655e-88,0.276929054951739,0.23869594755244453,0.18631984521286094
ALCOX FP Equity_DX_SI_QTY,4,4996,0.26943302175754497,7.832566913116277e-84,0.2915310285044014,1.8492613157285893e-98,0.18883407705218902,5.173395893772382e-89,1.3723482705852597,2.374349034501566e-06,3.536328215760602,0.0725941532134019,0.07240844919922751,7.832566913120213e-84,0.26943302175754497,0.2915310285044014,0.18883407705218902
