feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALDVI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,2012,-0.7085974457150799,1.0433913236322119e-306,-0.6926914749646577,1.3889661653307467e-287,-0.5587523794521582,1.7556990872831555e-212,0.421509244780909,-0.05933780989704808,10.267712885754761,0.5021103400739355,0.5018626337754648,1.0433913236198096e-306,0.7085974457150799,0.6926914749646577,0.5587523794521582
ALDVI FP Equity_DX_ACTIVE_UTILIZATION_MV,4,2012,-0.7085966922262993,1.0456438401687878e-306,-0.6927241494248412,1.2725850471942631e-287,-0.5587502245481792,1.6882620967699838e-212,0.42114041511259015,-0.059337890183468356,10.267724160354367,0.5021092722340528,0.5018615654043184,1.0456438401575824e-306,0.7085966922262993,0.6927241494248412,0.5587502245481792
ALDVI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,2012,0.7045856125155922,9.180137178051183e-302,0.6966752197377521,2.959175401424517e-292,0.6095989769987529,4.206029672171087e-297,1.0808466574257993,9.32005539408241e-06,4.520253603895105,0.49644088536397224,0.4961903584412677,9.180137177977512e-302,0.7045856125155922,0.6966752197377521,0.6095989769987529
ALDVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,2012,0.7041048250609554,3.5464335917836903e-301,0.6953556187612753,1.0643959185148306e-290,0.6073559004261322,9.667629058729228e-293,1.020065877051121,9.222893998117497,4.5260364915532705,0.4957636046741186,0.49551274079584695,3.5464335917574733e-301,0.7041048250609554,0.6953556187612753,0.6073559004261322
ALDVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,2012,0.6455900862096987,1.2493707303200326e-237,0.6295917961158672,1.300542647523498e-222,0.5081162921305679,3.467479075757449e-173,0.40222550847134597,9.106632318326598e-05,4.638132706649118,0.41678655941224685,0.41649640347165584,1.2493707303140947e-237,0.6455900862096987,0.6295917961158672,0.5081162921305679
ALDVI FP Equity_DX_SUPPLY_SI_QTY,4,2012,-0.6144960323765266,3.144686169124426e-209,-0.7322283732264854,0.0,-0.545363436446504,4.717029892740517e-266,1.2668361269095527,-0.0002898542225907392,8.466702820475025,0.3776053738064934,0.3772957247387354,3.1446861691167213e-209,0.6144960323765266,0.7322283732264854,0.545363436446504
ALDVI FP Equity_DX_SI_QTY,4,2012,-0.5991623993787102,2.3317803184688604e-196,-0.6385658931383545,6.313611301725774e-231,-0.4471196486359651,5.804143699438155e-180,1.134411354071033,-0.00023962567785756287,8.904599884943494,0.35899558082925254,0.3586766731580232,2.3317803184693894e-196,0.5991623993787102,0.6385658931383545,0.4471196486359651
ALDVI FP Equity_DX_BROKER_SI_QTY,4,2012,-0.593474187357319,9.26435668260188e-192,-0.6473445164608692,2.48087562783753e-239,-0.45345747842146844,1.9442570648353417e-184,1.1905481325831988,-0.0002642086569302457,8.794057033512821,0.35221161105943055,0.351889328278863,9.264356682554977e-192,0.593474187357319,0.6473445164608692,0.45345747842146844
ALDVI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,2012,-0.575218873139241,1.3294417418277303e-177,-0.5628209726011252,1.741191016150729e-168,-0.3812227662366238,5.3961630458470835e-129,0.7932235713217359,-0.15197933307121003,9.23977456372337,0.33087675201557876,0.330543854877278,1.3294417418202736e-177,0.575218873139241,0.5628209726011252,0.3812227662366238
ALDVI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,2012,-0.5573240028634955,1.4487013419744666e-164,-0.6900149612445918,1.7323332353914055e-284,-0.47615985823328355,5.669985197095131e-203,0.9678286903190765,-4.495047275375814,8.429853958854324,0.31061004416778903,0.3102670640902605,1.4487013419733854e-164,0.5573240028634955,0.6900149612445918,0.47615985823328355
