feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALESE FP Equity_DX_ACTIVE_UTILIZATION_MV,4,1017,0.31086044291114673,3.1836572042789756e-24,0.4204577487188699,7.869985714647803e-45,0.34330984892723004,7.365915111435544e-41,0.193712975163008,0.009971536443250188,6.8644140500275395,0.09663421496691482,0.095744199415158,3.183657204278514e-24,0.31086044291114673,0.4204577487188699,0.34330984892723004
ALESE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,1017,0.31086044291114673,3.1836572042789756e-24,0.4204577487188699,7.869985714647803e-45,0.34330984892723004,7.365915111435544e-41,0.193712975163008,0.009971536443250188,6.8644140500275395,0.09663421496691482,0.095744199415158,3.183657204278514e-24,0.31086044291114673,0.4204577487188699,0.34330984892723004
ALESE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,1017,-0.25961783748184425,3.968535980446051e-17,-0.35410321327257227,2.0777767955976973e-31,-0.28942652446371747,4.985694410413018e-32,0.2760036827244303,-9.74307307318576e-06,7.669676948189872,0.0674014215387495,0.06648260520529004,3.9685359804449154e-17,0.25961783748184425,0.35410321327257227,0.28942652446371747
ALESE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,1017,0.24852993581191396,8.802628461298952e-16,0.30674068829747625,1.344346625816783e-23,0.223006147354595,1.2810165532696757e-21,0.5072637088233765,0.026340790087879054,7.269702576627429,0.061767128994674736,0.06084276163407831,8.802628461294577e-16,0.24852993581191396,0.30674068829747625,0.223006147354595
ALESE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,1017,0.22411546512373517,4.811535099864104e-13,0.45799576704953376,7.060040432401439e-54,0.33239604865668104,6.049566730816866e-52,0.718976972778183,2.2993904886524098e-05,7.308311403955094,0.05022774170762834,0.04929200549256185,4.811535099863866e-13,0.22411546512373517,0.45799576704953376,0.33239604865668104
ALESE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,1017,0.20335508991865428,5.924963965100668e-11,0.4163571733171777,6.561298443193613e-44,0.2965616676564061,2.851278175198084e-41,0.5885955261530209,0.8283406738953931,7.302737436105018,0.0413532925958241,0.04040881308114008,5.924963965099125e-11,0.20335508991865428,0.4163571733171777,0.2965616676564061
ALESE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,1017,-0.20079294754941632,1.0372783845952739e-10,-0.328131666887954,5.897579256877681e-27,-0.25634124336403136,3.886223845591046e-26,0.3957928033742524,-1.0825732421509306,7.633292036738687,0.040317807785582804,0.03937230808881975,1.0372783845956767e-10,0.20079294754941632,0.328131666887954,0.25634124336403136
ALESE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,1017,-0.19826172428248487,1.7906928460670811e-10,-0.31826533152366254,2.256020350264144e-25,-0.23730009349972137,2.287029660704514e-23,0.44658211035345685,-1.0702293685501311e-06,7.631883087557335,0.03930771131546462,0.038361216449765534,1.79069284606652e-10,0.19826172428248487,0.31826533152366254,0.23730009349972137
ALESE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,1017,0.17249152465564702,3.1015147500028934e-08,0.2647589744448789,8.959630054695788e-18,0.1845831274599109,3.7807965043761525e-16,0.5553095469093381,0.006197778724897612,7.206782079193005,0.02975332607802983,0.028797418024904653,3.1015147500026916e-08,0.17249152465564702,0.2647589744448789,0.1845831274599109
ALESE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,1017,0.16503483357210366,1.2039567239569712e-07,0.45161688758330115,2.932523740152029e-52,0.324712230434754,7.93010969082836e-50,0.7488984415106903,2.0528360784551157e-05,7.366263594365092,0.02723649629217184,0.02627810860378965,1.2039567239571989e-07,0.16503483357210366,0.45161688758330115,0.324712230434754
