feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALFLE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4996,0.5851411770343686,0.0,0.5595873121260887,0.0,0.47235499760016336,0.0,1.1214738668048532,1.0851342963748785e-05,30.289363727978884,0.3423901970611669,0.3422585170846072,0.0,0.5851411770343686,0.5595873121260887,0.47235499760016336
ALFLE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4996,0.576152891888508,0.0,0.5599133318733058,0.0,0.472484396929634,0.0,1.0614186608991019,10.15535635572019,30.177680487192177,0.33195215483149043,0.3318183847383449,0.0,0.576152891888508,0.5599133318733058,0.472484396929634
ALFLE FP Equity_DX_UTILIZATION_QUANTITY,4,4996,-0.45630881822009894,1.6282046596165752e-255,-0.46985532815099235,7.549123693104375e-273,-0.33829679143696983,6.639388975000881e-244,0.9581164249203828,-0.17472955077082616,40.1987023608651,0.20821773758542284,0.20805919087688962,1.6282046595968892e-255,0.45630881822009894,0.46985532815099235,0.33829679143696983
ALFLE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,4996,0.4507837855478859,1.1467168304927927e-248,0.4900114926536908,3.9353367551227533e-300,0.37184142675979504,3.5337303744248624e-285,1.1018894871120462,0.0003928577171132652,31.064636805084646,0.20320602131288223,0.20304647105683749,1.1467168304955852e-248,0.4507837855478859,0.4900114926536908,0.37184142675979504
ALFLE FP Equity_DX_DEMAND_SUPPLY_RATIO,4,4996,-0.43940059148369137,5.9531656939124606e-235,-0.4549246780559361,8.691740597461507e-254,-0.3182965780510407,9.945116516839758e-225,1.0988982785465664,-8.027511712325,39.64502649680867,0.193072879796218,0.19291130047699412,5.953165693939137e-235,0.43940059148369137,0.4549246780559361,0.3182965780510407
ALFLE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,4996,-0.3954186900197897,1.1880190246060229e-186,-0.41745056611083126,6.066268516993135e-210,-0.3144427789669606,1.7940129507656954e-179,0.4250151063991814,-0.11412133458585504,42.49893224807731,0.15635594041696588,0.15618700888721349,1.188019024604307e-186,0.3954186900197897,0.41745056611083126,0.3144427789669606
ALFLE FP Equity_DX_ACTIVE_UTILIZATION_MV,4,4996,-0.39541675489809097,1.1934182255026296e-186,-0.40048832607209356,7.417580203545687e-192,-0.3004219089018201,1.7535605612650449e-165,0.4249383643509135,-0.11412022523349581,42.49889783992747,0.1563544100541372,0.15618547821794448,1.1934182255152588e-186,0.39541675489809097,0.40048832607209356,0.3004219089018201
ALFLE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,4996,-0.1600497450867295,5.063497780199283e-30,-0.15402003640223738,6.705882807654923e-28,-0.11904334543448815,3.1114666920210012e-30,0.6349026492361376,-0.05026987467469456,39.51733037651056,0.025615920902326783,0.025420809953368373,5.063497780188553e-30,0.1600497450867295,0.15402003640223738,0.11904334543448815
ALFLE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,4996,0.14801098278152838,7.20377662675035e-26,-0.08978584149864272,2.0501969001268225e-10,-0.047757526818441684,1.582128925667285e-06,1.151319621214415,1.3843959650882984e-05,36.05319511625509,0.021907251023953633,0.021711397449869496,7.20377662675391e-26,0.14801098278152838,0.08978584149864272,0.047757526818441684
ALFLE FP Equity_DX_BROKER_SI_CON_RATIO,4,4996,-0.1473535277638291,1.1877904696897148e-25,-0.1539841288680083,6.8998620440963335e-28,-0.11923996657558478,2.6081191273501296e-30,0.6436342633142007,-4.66004518942157,39.22085915025274,0.02171306214444524,0.021517169685923876,1.1877904696908896e-25,0.1473535277638291,0.1539841288680083,0.11923996657558478
