feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALNOV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,3291,-0.3167568307653832,1.3411533519218211e-77,-0.32389661071600556,3.002154632485511e-81,-0.23151961560590534,5.4550736949611543e-76,0.8159298537383961,-0.8781813854990881,3.244219059703076,0.10033488983652927,0.10006135225362756,1.3411533519237696e-77,0.3167568307653832,0.32389661071600556,0.23151961560590534
ALNOV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,3291,-0.2648960406795022,5.731658478770257e-54,-0.33327289852073727,3.400715193494042e-86,-0.25420938935917936,6.308582955975718e-91,0.6764224000840477,-0.022180202408022258,3.357301020894951,0.07016991236767633,0.06988720331093179,5.731658478781714e-54,0.2648960406795022,0.33327289852073727,0.25420938935917936
ALNOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,3291,0.2625447144933517,5.176830746027444e-53,0.260530675055214,3.349868696676143e-52,0.21114992652018602,1.6409619740051646e-51,0.15091912500162796,1.359540241447591,2.5662380390793222,0.06892972710839573,0.06864664098103423,5.176830746039785e-53,0.2625447144933517,0.260530675055214,0.21114992652018602
ALNOV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,3291,0.257635196222496,4.7695780675293755e-51,0.24761402045235395,3.6165077712332694e-47,0.20046831811666424,1.1460000610087997e-46,0.1672392323805021,1.3911756472741164e-06,2.5735605895306173,0.06637589433260427,0.06609203172826628,4.769578067537876e-51,0.257635196222496,0.24761402045235395,0.20046831811666424
ALNOV FP Equity_DX_BROKER_SI_CON_RATIO,4,3291,-0.2524521557080535,5.09102873836944e-49,-0.3318154758850362,2.0503168295939006e-85,-0.2571465624806895,5.423181585188891e-93,0.7143093993993093,-2.28676014899665,3.2531037945502783,0.06373209092164356,0.06344742448531682,5.0910287383642214e-49,0.2524521557080535,0.3318154758850362,0.2571465624806895
ALNOV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,3291,0.24407322192257094,7.724391606588925e-46,0.023283234204049316,0.1817557909018957,0.04098240484773315,0.0013148219028444672,0.679234837614966,9.936747448349242e-07,2.4100049767252836,0.05957173765966439,0.059285806293796095,7.724391606606774e-46,0.24407322192257094,0.023283234204049316,0.04098240484773315
ALNOV FP Equity_DX_SUPPLY_SI_MV,4,3291,0.2428516999681665,2.1957586367755317e-45,0.02174164812161596,0.21242248273211373,0.03969025221902314,0.0018992891546332495,0.6822193568462263,0.9801758123430883,2.4127383544757914,0.058976948177427935,0.05869083596951585,2.1957586367726367e-45,0.2428516999681665,0.02174164812161596,0.03969025221902314
ALNOV FP Equity_DX_UTILIZATION_QUANTITY,4,3291,-0.24269028104087978,2.5197174396368372e-45,-0.1623024458810394,7.288288480530907e-21,-0.11567532734355782,1.218743278812668e-19,0.6698724852830988,-0.023687069612147584,3.1987306896937495,0.05889857251170105,0.05861243647415515,2.519717439638583e-45,0.24269028104087978,0.1623024458810394,0.11567532734355782
ALNOV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,3291,0.2377844011922668,1.5729815739933745e-43,-0.0653190678892711,0.00017700689213515693,-0.008712558638821975,0.4861479161670047,0.9438999696706922,7.048709160176652e-07,2.4139360169064688,0.05654142145036478,0.05625456873569468,1.572981573994616e-43,0.2377844011922668,0.0653190678892711,0.008712558638821975
ALNOV FP Equity_DX_SHORT_INTEREST_VALUE,4,3291,0.23081794842834497,4.747369509682297e-41,-0.06413476814731799,0.00023174999401128266,-0.008085865511454814,0.5179908574645242,0.9597665071100372,5.153310975300822e-07,2.4134503585768585,0.05327692531666994,0.052989080052248005,4.747369509682261e-41,0.23081794842834497,0.06413476814731799,0.008085865511454814
ALNOV FP Equity_DX_SI_MV,4,3291,0.2259663543911044,2.2669692393093337e-39,-0.012647042646608502,0.4682807085413975,0.015907098066910937,0.20845468222203078,0.8066019518633865,0.4968225660139064,2.4178901365990377,0.05106079331680646,0.05077227425122921,2.2669692393133445e-39,0.2259663543911044,0.012647042646608502,0.015907098066910937
ALNOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,3291,0.20885267694868742,9.288367803489405e-34,0.24370318856005158,1.0606624533263875e-45,0.19406486682124613,7.9274777168831e-44,0.18264358060202723,7.1686181336186406e-06,2.5761009277085702,0.04361944066863277,0.04332865910605088,9.288367803488466e-34,0.20885267694868742,0.24370318856005158,0.19406486682124613
ALNOV FP Equity_DX_ACTIVE_UTILIZATION_MV,4,3291,-0.20459598441990318,1.9489989256957687e-32,-0.170588174017685,6.53668479294776e-23,-0.1388107824353183,7.735592989471676e-24,0.4476906469795052,-0.011991156847837848,3.2028116994727927,0.04185951684074962,0.04156820018427054,1.948998925695858e-32,0.20459598441990318,0.170588174017685,0.1388107824353183
ALNOV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,3291,-0.20186540113992074,1.3255202413382714e-31,-0.17059343845183872,6.516631570784434e-23,-0.1388584342866504,7.479942932820895e-24,0.4464128126223159,-0.011818835554264755,3.1974479086941905,0.04074964017738125,0.04045798606980355,1.3255202413409164e-31,0.20186540113992074,0.17059343845183872,0.1388584342866504
ALNOV FP Equity_DX_BROKER_SI_MV_DEC,4,3291,0.1732880912688703,1.3346972416001632e-23,0.029196561243265046,0.09400355662138846,0.025056716458025506,0.06734390002525946,0.09691574819406923,4.781144379717588,2.6171661706901315,0.030028762575607715,0.029733848851854372,1.334697241600777e-23,0.1732880912688703,0.029196561243265046,0.025056716458025506
ALNOV FP Equity_DX_SUPPLY_SI_MV_DEC,4,3291,0.16156393186520726,1.096438536442954e-20,0.005311851129293447,0.7606612114105651,0.005233501043658627,0.7039091646924045,0.08869432983489545,4.703415181055517,2.6372681308456327,0.026102904079745026,0.025806796723125802,1.0964385364434129e-20,0.16156393186520726,0.005311851129293447,0.005233501043658627
ALNOV FP Equity_DX_SUPPLY_SI_QTY,4,3291,-0.15406455762420407,6.221140980168648e-19,-0.11475404212374973,4.044388008965726e-11,-0.0754898093622496,3.283747044022547e-09,0.6551064624422658,-1.992313898788761e-06,3.0024554413769136,0.023735887915941833,0.023439060882775364,6.221140980164239e-19,0.15406455762420407,0.11475404212374973,0.0754898093622496
ALNOV FP Equity_DX_BROKER_SI_MV_INC_y,4,3291,0.13482718603119515,8.023143686751367e-15,0.0685617562631339,8.273484468514522e-05,0.056209932458323786,4.992463977539234e-05,0.0695701611535604,3.897716707900611,2.6548346747797935,0.018178370093090757,0.017879853331185247,8.023143686754614e-15,0.13482718603119515,0.0685617562631339,0.056209932458323786
ALNOV FP Equity_DX_BROKER_SI_MV_INC_x,4,3291,0.13482718603119515,8.023143686751367e-15,0.0685617562631339,8.273484468514522e-05,0.056209932458323786,4.992463977539234e-05,0.0695701611535604,3.897716707900611,2.6548346747797935,0.018178370093090757,0.017879853331185247,8.023143686754614e-15,0.13482718603119515,0.0685617562631339,0.056209932458323786
ALNOV FP Equity_DX_DEMAND_SUPPLY_RATIO,4,3291,-0.1223830769009177,1.8598612145911207e-12,-0.11307615338457204,7.755117767417386e-11,-0.07179163670346593,1.7689100514007613e-08,0.6363798935380838,-0.5623534872843875,2.933673138735581,0.014977617511735541,0.014678127580908917,1.8598612145916566e-12,0.1223830769009177,0.11307615338457204,0.07179163670346593
ALNOV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,3291,-0.12085946372991839,3.4944470939275414e-12,-0.1884058922569093,1.1276406967474872e-27,-0.11286510848810664,2.3559315997554647e-19,0.823744213760198,-0.5840239485786151,2.939026084462167,0.014607009973083396,0.014307407361339064,3.4944470939270567e-12,0.12085946372991839,0.1884058922569093,0.11286510848810664
ALNOV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,3291,-0.1181769334917202,1.0407493171919094e-11,-0.1875524720273879,1.9572862170262184e-27,-0.11218681189903613,3.850057060552871e-19,0.8381244404347648,-0.5980427696320181,2.9344860768255683,0.013965787609506175,0.013665990038089104,1.0407493171917643e-11,0.1181769334917202,0.1875524720273879,0.11218681189903613
ALNOV FP Equity_DX_BROKER_SI_MV_ADD,4,3291,0.11783197532353552,1.1954506372002444e-11,0.04161475484142266,0.01696567277591149,0.03365143781315307,0.01685553537811705,0.02093783690438289,7.005746902525297,2.6755272756116275,0.013884374408646316,0.013584552084051738,1.1954506371994657e-11,0.11783197532353552,0.04161475484142266,0.03365143781315307
ALNOV FP Equity_DX_SI_QTY,4,3291,-0.11560192626482066,2.9001399752060913e-11,-0.18726847346451164,2.3501427440802517e-27,-0.11172734423146317,4.8986652325165705e-19,0.8523610914927104,-8.266537901965717e-07,2.9282139687357294,0.013363805356137126,0.013063824755758846,2.9001399752091648e-11,0.11560192626482066,0.18726847346451164,0.11172734423146317
