feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALPUL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,2744,0.2770383853348089,1.5525794843842974e-49,0.24196477712279968,7.491620210689419e-38,0.18407099879809977,5.155735019321631e-38,0.5643607200424108,4.102131448005624e-06,28.00940794848794,0.07675026694891784,0.07641356026290369,1.552579484387978e-49,0.2770383853348089,0.24196477712279968,0.18407099879809977
ALPUL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,2744,0.2750630083568807,7.889823318460794e-49,0.24177465215402724,8.571893561989835e-38,0.18398957441146774,6.427469909662532e-38,0.5599410466092629,4.062560849656505,28.02524259870392,0.0756596585663376,0.07532255413838962,7.889823318459285e-49,0.2750630083568807,0.24177465215402724,0.18398957441146774
ALPUL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,2744,0.23720678343744875,2.1050420351788585e-36,0.23265356094402978,4.784255817890195e-35,0.1586426812894821,8.622710397772496e-32,0.6784567632197329,0.22260268138588712,27.04458464140792,0.056267058108740664,0.05592288125174172,2.105042035174879e-36,0.23720678343744875,0.23265356094402978,0.1586426812894821
ALPUL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,2744,0.22929474599187746,4.591589476678004e-34,0.2720426460598347,9.232170271040376e-48,0.1765658932641633,4.809201840441103e-41,0.863421114049101,1.0198785910579141e-05,27.972751521583334,0.0525760805394796,0.05223055759292228,4.591589476677727e-34,0.22929474599187746,0.2720426460598347,0.1765658932641633
ALPUL FP Equity_DX_SUPPLY_SI_MV,4,2744,0.229197625369914,4.899239085139296e-34,0.2843626619550012,3.327381713398442e-52,0.18882093098928743,1.7233290391368163e-45,0.7730502802543406,10.190702554493315,27.97217550077564,0.052531551475207494,0.052186012289020534,4.899239085138416e-34,0.229197625369914,0.2843626619550012,0.18882093098928743
ALPUL FP Equity_DX_SI_MV,4,2744,0.21771995888277387,8.452933647693039e-31,0.34451830894584184,2.594157131732149e-77,0.23355102303457803,4.332011036426011e-71,0.7610169565233118,7.072126322654177,28.04462892912509,0.04740198049591682,0.04705457056903717,8.452933647695225e-31,0.21771995888277387,0.34451830894584184,0.23355102303457803
ALPUL FP Equity_DX_SHORT_INTEREST_VALUE,4,2744,0.21667460964540525,1.6324076287142398e-30,0.34229331367036175,2.8075684659836703e-76,0.22768148840684077,2.2423679837489192e-69,0.8493790093257201,7.082589031511706e-06,28.051289159311573,0.04694788646498871,0.046600310931241506,1.6324076287141375e-30,0.21667460964540525,0.34229331367036175,0.22768148840684077
ALPUL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,2744,0.1449285060236659,2.371908571688989e-14,0.10376955413483469,5.0934223102197595e-08,0.06489992858819,9.541514537467697e-07,0.7764604692939092,0.05610319740474452,26.376945797226863,0.021004271858251822,0.020647234758273125,2.3719085716897372e-14,0.1449285060236659,0.10376955413483469,0.06489992858819
ALPUL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,2744,0.12186895942347717,1.505038031511772e-10,0.3056538298239945,1.9820913912408527e-60,0.1943010052074827,8.266037731328226e-51,0.6073637825279663,0.7584839371350434,28.966563834307717,0.014852043270961457,0.014492762469820342,1.5050380315114461e-10,0.12186895942347717,0.3056538298239945,0.1943010052074827
ALPUL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,2744,0.11120736250591394,5.192942102795027e-09,0.2830012569258199,1.0576134001271778e-51,0.18965455941971945,1.2134093586582692e-48,0.9213214061724635,5.781307384980729e-06,28.939500070899186,0.012367077475521904,0.012006890414061555,5.1929421027957575e-09,0.11120736250591394,0.2830012569258199,0.18965455941971945
ALPUL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,2744,0.10666229266326568,2.1342613032532054e-08,0.18345007520601408,3.4027346486052014e-22,0.1390472336149171,2.3021313418150943e-22,0.6241945607041144,5.258357930896996e-05,29.19093309331706,0.01137684467618405,0.011016296479494203,2.1342613032538215e-08,0.10666229266326568,0.18345007520601408,0.1390472336149171
ALPUL FP Equity_DX_BROKER_SI_CON_RATIO,4,2744,0.10646040256363576,2.2695405449633294e-08,0.10434521480561787,4.29173638704642e-08,0.0639803248739804,1.3553148756590884e-06,0.8060919379075804,4.123421694160629,27.57816156964423,0.01133381731401173,0.010973253425359042,2.2695405449634763e-08,0.10646040256363576,0.10434521480561787,0.0639803248739804
ALPUL FP Equity_DX_SUPPLY_SI_MV_DEC,4,2744,0.10142980032845032,1.0121249329699499e-07,0.06229934564997398,0.0010941608581948052,0.048760738633420654,0.001264443385000309,0.06000086818607442,26.947256459673564,29.64941958694041,0.010288004394669481,0.009927059100867441,1.0121249329694733e-07,0.10142980032845032,0.06229934564997398,0.048760738633420654
ALPUL FP Equity_DX_BROKER_SI_MV_DEC,4,2744,0.07922872671572932,3.2543559942818976e-05,0.043622691026245816,0.022304450780983476,0.03434897912943544,0.023613014115585796,0.043825554054674365,21.192390614581353,29.730097495710975,0.006277191136995985,0.00591478311042315,3.2543559942812654e-05,0.07922872671572932,0.043622691026245816,0.03434897912943544
ALPUL FP Equity_DX_BROKER_SI_QTY,4,2744,-0.07124793619966546,0.0001875347051282374,0.13391224301835022,1.877396828172791e-12,0.07565917840323963,5.8650902247586495e-09,0.9682247104441077,-0.0001077919045223625,30.56000419198544,0.005076268412711804,0.004713422412862434,0.00018753470512824737,0.07124793619966546,0.13391224301835022,0.07565917840323963
ALPUL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,2744,0.06468369368364435,0.0006980446914211541,0.2071709686589484,5.536480775598431e-28,0.13376839156141354,1.661856909580665e-24,0.8280860515878326,2.1540668204918436,29.350891003984977,0.004183980228559592,0.00382080881361746,0.0006980446914211131,0.06468369368364435,0.2071709686589484,0.13376839156141354
ALPUL FP Equity_DX_BROKER_SI_MV_ADD,4,2744,0.060534130300911315,0.00151165712017263,0.0506089780430611,0.008012286167430788,0.040801197471528446,0.008131715859112274,0.025638547795754585,18.74354779645406,29.82100410017631,0.0036643809312877362,0.0033010200198841932,0.0015116571201727084,0.060534130300911315,0.0506089780430611,0.040801197471528446
ALPUL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,2744,0.05608283698450323,0.0032951420201798873,0.19284474900511758,2.129923905758743e-24,0.1285485569558998,2.6940557577221937e-22,0.7359965325624009,3.5141223353624245,29.42412436674581,0.0031452846042306914,0.0027817343797975624,0.0032951420201801783,0.05608283698450323,0.19284474900511758,0.1285485569558998
ALPUL FP Equity_DX_BROKER_SI_QTY_NEW,4,2744,0.055638765482276094,0.0035515638246196774,0.032565023562335,0.08809462898577332,0.02661607324252394,0.08809200899423567,0.0,0.13363373435411366,29.909879693765944,0.0030956722243917767,0.002732103906457617,0.003551563824619767,0.055638765482276094,0.032565023562335,0.02661607324252394
ALPUL FP Equity_DX_BROKER_SI_MV_NEW_y,4,2744,0.055638765482276094,0.0035515638246196774,0.032565023562335,0.08809462898577332,0.02661607324252394,0.08809200899423567,0.0,2004.5060153117383,29.909879693765927,0.0030956722243919987,0.002732103906457839,0.0035515638246197217,0.055638765482276094,0.032565023562335,0.02661607324252394
ALPUL FP Equity_DX_BROKER_SI_MV_NEW_x,4,2744,0.055638765482276094,0.0035515638246196774,0.032565023562335,0.08809462898577332,0.02661607324252394,0.08809200899423567,0.0,2004.5060153117383,29.909879693765927,0.0030956722243919987,0.002732103906457839,0.0035515638246197217,0.055638765482276094,0.032565023562335,0.02661607324252394
ALPUL FP Equity_DX_DSS,4,2744,0.04219389053335081,0.0270893180047232,0.07356631553602398,0.00011473529678178019,0.060127284684483834,0.00011670942061253942,0.030276264891971882,4.296542233677489,29.84463423691047,0.001780324398340638,0.0014162763766041309,0.027089318004728438,0.04219389053335081,0.07356631553602398,0.060127284684483834
ALPUL FP Equity_DX_SUPPLY_SI_QTY,4,2744,0.03939838827565988,0.03904857397663165,0.13974455136147895,1.937516067226177e-13,0.08872826920836761,1.8073158955155792e-11,0.9337361689580876,5.847875628384294e-05,29.566313466145832,0.0015522329987197603,0.0011881017926653747,0.03904857397663258,0.03939838827565988,0.13974455136147895,0.08872826920836761
ALPUL FP Equity_DX_BROKER_SI_MV_INC_x,4,2744,0.037895986761337375,0.047153188552123915,-0.01534263630033908,0.42175655910126575,-0.01272036471182823,0.4101593427744582,0.020186962249990614,12.663550498921772,29.877047631512774,0.0014361058126153292,0.001071932255289565,0.04715318855212666,0.037895986761337375,0.01534263630033908,0.01272036471182823
