feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALQGC FP Equity_DX_ACTIVE_UTILIZATION_MV,4,3035,-0.5181887518331018,3.2321527512184824e-208,-0.5095926947715614,2.6533122209757205e-200,-0.4161771359064193,3.375213630095735e-175,0.37203414385094824,-0.027923779757624275,4.929688265230711,0.2685195825263489,0.2682784086333474,3.232152751195273e-208,0.5181887518331018,0.5095926947715614,0.4161771359064193
ALQGC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,3035,-0.5180511020123956,4.345327630772033e-208,-0.5095923169027572,2.65540819779861e-200,-0.416183519282657,3.384976337233828e-175,0.3708582710527877,-0.027917606925179847,4.929707540277335,0.26837694429625814,0.2681357233744963,4.34532763082415e-208,0.5180511020123956,0.5095923169027572,0.416183519282657
ALQGC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,3035,0.29186350799095057,1.1394051284684219e-60,0.27043456153121764,5.10166735890894e-52,0.27087632537904965,1.3351477728907833e-107,1.4400310840161734,2.107507083390012e-06,2.7912024134233824,0.0851843072967845,0.08488268656064768,1.1394051284696127e-60,0.29186350799095057,0.27043456153121764,0.27087632537904965
ALQGC FP Equity_DX_SHORT_INTEREST_VALUE,4,3035,0.28326283565791166,4.179375481494024e-57,0.25281884946988564,1.794944560069778e-45,0.2558661023839172,3.2260367289875744e-96,1.4183834385488363,1.8583117588269654e-06,2.7820985217191727,0.08023783406496054,0.07993458244414453,4.179375481493869e-57,0.28326283565791166,0.25281884946988564,0.2558661023839172
ALQGC FP Equity_DX_SI_MV,4,3035,0.2805273122076603,5.3545467146705505e-56,0.3043322468767947,4.622980654478657e-66,0.28358898511436437,1.5160978996645003e-113,1.189637476744768,1.8118719521662225,2.7920816759886353,0.07869557289445506,0.07839181278001217,5.354546714672073e-56,0.2805273122076603,0.3043322468767947,0.28358898511436437
ALQGC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,3035,-0.26472354378206375,7.674591371902409e-50,-0.19093855906595217,2.6093424562797116e-26,-0.1265991685041969,7.2855370468917155e-25,1.1155158895357369,-0.02587561380316411,4.625936045277481,0.07007855463253343,0.06977195343063192,7.67459137190877e-50,0.26472354378206375,0.19093855906595217,0.1265991685041969
ALQGC FP Equity_DX_BROKER_SI_CON_RATIO,4,3035,-0.2480021468941235,9.065307990071746e-44,-0.18743055790320107,2.1432699097267144e-25,-0.12160278215204752,4.594180727500727e-23,1.1826156150722684,-2.7505565208127103,4.436806643738992,0.061505064864093684,0.06119563692636354,9.065307990081715e-44,0.2480021468941235,0.18743055790320107,0.12160278215204752
ALQGC FP Equity_DX_UTILIZATION_QUANTITY,4,3035,-0.24146403477967218,1.6249289422399133e-41,-0.32366621557367325,5.834567219128329e-75,-0.2029450310523141,1.6310219451512014e-55,1.2805075972689157,-0.020140507647029758,3.927272751390839,0.058304880092079125,0.0579943970324327,1.6249289422402513e-41,0.24146403477967218,0.32366621557367325,0.2029450310523141
ALQGC FP Equity_DX_SUPPLY_SI_QTY,4,3035,-0.24016259468114434,4.48115530344058e-41,-0.35804706547905063,1.778165680891326e-92,-0.23238545201069824,6.909510272038178e-72,1.2868628739855645,-1.143791082817586e-05,3.8651800936471825,0.05767807188398,0.05736738216155479,4.4811553034461923e-41,0.24016259468114434,0.35804706547905063,0.23238545201069824
ALQGC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,3035,-0.2292750015487765,1.7134162197654868e-37,-0.15206598523815845,3.6690664269195493e-17,-0.09362028966689424,3.114888370667821e-14,1.00399398109103,-0.04636751092590422,4.327847563226994,0.0525670263351905,0.0522546514675134,1.7134162197639568e-37,0.2292750015487765,0.15206598523815845,0.09362028966689424
ALQGC FP Equity_DX_DSS,4,3035,0.216750533684472,1.3483695278002705e-33,0.25623442639517907,1.0563894494593629e-46,0.20962936200479595,3.12098270057935e-45,0.21168598111119197,1.3130327442642684,3.039771301247781,0.04698079385250409,0.04666657716732525,1.3483695277976795e-33,0.216750533684472,0.25623442639517907,0.20962936200479595
ALQGC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,3035,0.1434338541483791,2.0263658271852056e-15,-0.20556584916343482,2.5627211952598335e-30,-0.06513966454283415,4.7163937621272303e-07,1.2008899664414754,1.5905304932208526e-06,3.2056880935516885,0.020573270515858444,0.0202503470969716,2.026365827186026e-15,0.1434338541483791,0.20556584916343482,0.06513966454283415
ALQGC FP Equity_DX_SI_QTY,4,3035,-0.14327644572805143,2.1753419087311243e-15,-0.15194211078826073,3.893041715767708e-17,-0.09171935882900181,9.54624753130037e-14,1.5185189821312601,-4.359557980851064e-06,3.8286895069662203,0.020528139900463427,0.02020520160171657,2.1753419087313156e-15,0.14327644572805143,0.15194211078826073,0.09171935882900181
ALQGC FP Equity_DX_SUPPLY_SI_MV,4,3035,0.1412121994873777,5.475169897837265e-15,-0.0777463588431606,1.8042021643099775e-05,0.0025486624451138183,0.8482153499675086,0.9068287036081766,1.5633189464281587,3.2080130013289505,0.019940885284063015,0.01961775336361604,5.475169897834324e-15,0.1412121994873777,0.0777463588431606,0.0025486624451138183
ALQGC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,3035,0.13124114651913635,3.910558049022999e-13,0.11855791238359227,5.6816150901691334e-11,0.11406827484541691,2.5930714952897138e-20,1.4084583546728715,0.627034368668187,3.022181847208229,0.017224238539657044,0.016900210922954018,3.9105580490238455e-13,0.13124114651913635,0.11855791238359227,0.11406827484541691
ALQGC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,3035,0.11632884665634279,1.2942448856390312e-10,0.10331410704459884,1.1662606187090187e-08,0.10103370296516775,2.850415628068451e-16,1.3883987307666739,0.5289266024656583,3.052198253999413,0.01353240056439542,0.013207155724489272,1.2942448856387257e-10,0.11632884665634279,0.10331410704459884,0.10103370296516775
ALQGC FP Equity_DX_BROKER_SI_QTY,4,3035,-0.09300225271409282,2.857850617667033e-07,-0.11514367103774564,1.992508785779708e-10,-0.0679622591775802,3.441961788300438e-08,1.4668313137144384,-3.2366072107067475e-06,3.6600907366637756,0.008649419009895132,0.008322564218932405,2.8578506176663835e-07,0.09300225271409282,0.11514367103774564,0.0679622591775802
ALQGC FP Equity_DX_BROKER_SI_MV_DEC,4,3035,0.07469643015300678,3.802745905977681e-05,0.10986911435233937,1.28976070719835e-09,0.08925555735292587,8.39596334783408e-10,0.042374335054219614,9.082420182710294,3.3406246303377123,0.00557955667760246,0.005251689732886922,3.802745905977653e-05,0.07469643015300678,0.10986911435233937,0.08925555735292587
ALQGC FP Equity_DX_BROKER_SI_MV_INC_y,4,3035,0.07188861809499635,7.373462424388397e-05,0.11654380030271017,1.1962688085244704e-10,0.09460398212871361,9.248007859753813e-11,0.044102040421741595,7.113113925260719,3.353623104284796,0.005167973411608351,0.004839970765189605,7.37346242438836e-05,0.07188861809499635,0.11654380030271017,0.09460398212871361
ALQGC FP Equity_DX_BROKER_SI_MV_INC_x,4,3035,0.07188861809499635,7.373462424388397e-05,0.11654380030271017,1.1962688085244704e-10,0.09460398212871361,9.248007859753813e-11,0.044102040421741595,7.113113925260719,3.353623104284796,0.005167973411608351,0.004839970765189605,7.37346242438836e-05,0.07188861809499635,0.11654380030271017,0.09460398212871361
ALQGC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,3035,0.06307944960553813,0.000506810187241376,0.08486494774150484,2.843634050922812e-06,0.0692069064147578,2.9452475295645717e-06,0.03268055586976493,2.189601784105329,3.3618749911950543,0.0039790169625375515,0.0036506223093766277,0.0005068101872413781,0.06307944960553813,0.08486494774150484,0.0692069064147578
ALQGC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,3035,0.06291458515344037,0.0005242983732142369,0.07051676332370327,0.00010104547880995272,0.058132982170904776,8.23140378173402e-05,0.042176091580270025,2.2299255024621657e-06,3.361863235620193,0.0039582450250298384,0.0036298435232248183,0.0005242983732141292,0.06291458515344037,0.07051676332370327,0.058132982170904776
