feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALSPW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,3212,-0.21640331467779073,2.3923637599649036e-35,-0.1254099339219048,9.823554061297008e-13,-0.10257051232134996,1.1907441371410424e-12,0.19749090171393613,-0.02409306192239736,2.6983930716723536,0.04683039460353533,0.046533457031760705,2.3923637599645123e-35,0.21640331467779073,0.1254099339219048,0.10257051232134996
ALSPW FP Equity_DX_ACTIVE_UTILIZATION_MV,4,3212,-0.21640331467779073,2.3923637599649036e-35,-0.1254099339219048,9.823554061297008e-13,-0.10257051232134996,1.1907441371410424e-12,0.19749090171393613,-0.02409306192239736,2.6983930716723536,0.04683039460353533,0.046533457031760705,2.3923637599645123e-35,0.21640331467779073,0.1254099339219048,0.10257051232134996
ALSPW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,3212,-0.20542869217712206,6.003342807655904e-32,-0.12466136716108217,1.3406930396119797e-12,-0.10033782588897089,1.3320650820150758e-12,0.21164890811579662,-0.029937155679156724,2.678552809140386,0.04220094756960291,0.041902567802490576,6.003342807655032e-32,0.20542869217712206,0.12466136716108217,0.10033782588897089
ALSPW FP Equity_DX_BROKER_SI_CON_RATIO,4,3212,-0.19807462564028527,8.91630629714714e-30,-0.1246960296064345,1.3215789912924926e-12,-0.10018509925578152,1.4402158909839482e-12,0.20217887356018815,-3.129686242139637,2.665092564236021,0.03923355732253919,0.038934253134789154,8.9163062971451e-30,0.19807462564028527,0.1246960296064345,0.10018509925578152
ALSPW FP Equity_DX_UTILIZATION_QUANTITY,4,3212,-0.19457218461379724,9.012230686049825e-29,-0.12562818308419785,8.9689025909722e-13,-0.10104923776550506,8.323363594224494e-13,0.21352867795045793,-0.033430433803834064,2.6569581965198603,0.03785833502538638,0.03755860241947517,9.012230686050811e-29,0.19457218461379724,0.12562818308419785,0.10104923776550506
ALSPW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,3212,-0.1808917476990226,4.980872858313661e-25,-0.1256613384129376,8.845618770608937e-13,-0.10079036816767863,9.442438095128109e-13,0.18239462992089006,-0.0003955585424635435,2.632477933957464,0.032721824385606446,0.03242049162061744,4.980872858314763e-25,0.1808917476990226,0.1256613384129376,0.10079036816767863
ALSPW FP Equity_DX_DEMAND_SUPPLY_RATIO,4,3212,-0.17687530497570422,5.515776492901134e-24,-0.126145492137474,7.223883467003335e-13,-0.10303707896179669,2.9517911828382466e-13,0.2035129253213659,-1.8416672262019174,2.6248137156347475,0.031284873510248334,0.030983093097011527,5.51577649289818e-24,0.17687530497570422,0.126145492137474,0.10303707896179669
ALSPW FP Equity_DX_SUPPLY_SI_QTY,4,3212,-0.168137094203845,8.493896499575935e-22,-0.1274405274414039,4.186404846357441e-13,-0.10646169072503217,4.848242701544201e-14,0.2500651137705059,-4.8636173583919347e-05,2.606756068222973,0.028270082447312883,0.027967362846829102,8.493896499579636e-22,0.168137094203845,0.1274405274414039,0.10646169072503217
ALSPW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,3212,-0.16679443716201964,1.798949592586958e-21,-0.10556026335757356,2.0098533283472255e-09,-0.08549381674199458,1.8183690362467865e-09,0.09032924343169713,-0.077050033898388,2.6111033719063284,0.027820384268194887,0.027517524574820373,1.798949592586851e-21,0.16679443716201964,0.10556026335757356,0.08549381674199458
ALSPW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,3212,-0.16550452960253512,3.677710483021599e-21,-0.12434944898721799,1.5253514748954285e-12,-0.09848190120620107,3.5362909040742484e-12,0.2072417972320837,-26.012625361367327,2.6085877830577093,0.027391749318957048,0.02708875609444572,3.677710483023467e-21,0.16550452960253512,0.12434944898721799,0.09848190120620107
ALSPW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,3212,-0.1621452555105791,2.304937470149862e-20,-0.12403385162892253,1.7375183178671383e-12,-0.09738601888863346,5.497849866499679e-12,0.25685961931800394,-3.5547177558703282,2.611580119523367,0.026291083884590782,0.025987747773651315,2.3049374701481324e-20,0.1621452555105791,0.12403385162892253,0.09738601888863346
ALSPW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,3212,-0.1621452555105791,2.304937470149862e-20,-0.12403385162892253,1.7375183178671383e-12,-0.09738601888863346,5.497849866499679e-12,0.25685961931800394,-3.5547177558703282,2.611580119523367,0.026291083884590782,0.025987747773651315,2.3049374701481324e-20,0.1621452555105791,0.12403385162892253,0.09738601888863346
ALSPW FP Equity_DX_SHORT_INTEREST_VALUE,4,3212,-0.1583564011572541,1.743604931913519e-19,-0.12595514369157323,7.823336949473105e-13,-0.10217799728724536,4.597707318665522e-13,0.1844977308637059,-0.00018994479154763692,2.596507929063063,0.025076749787477648,0.024773035379311636,1.7436049319130203e-19,0.1583564011572541,0.12595514369157323,0.10217799728724536
ALSPW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,3212,-0.14954345318797443,1.5961933131629287e-17,-0.1267081931778263,5.703215998830972e-13,-0.10187735653425697,6.017812061439114e-13,0.1490201433518843,-0.000226684614850372,2.5841571722721484,0.02236324439138393,0.02205868465443417,1.5961933131631952e-17,0.14954345318797443,0.1267081931778263,0.10187735653425697
ALSPW FP Equity_DX_SI_MV,4,3212,-0.14813500042350877,3.205931311161207e-17,-0.09259577743099594,1.4636485418679954e-07,-0.07600344530604093,1.2515069725700903e-07,0.10272484643634283,-162.3690724771998,2.584429174931821,0.021943978350472904,0.021639288001049306,3.205931311160095e-17,0.14813500042350877,0.09259577743099594,0.07600344530604093
ALSPW FP Equity_DX_SI_QTY,4,3212,-0.14627925706920922,7.953384898496382e-17,-0.12761489163192893,3.8882711317275766e-13,-0.10737342715586559,2.942397069937055e-14,0.2346563936778645,-2.1688105171405188e-05,2.577241698424305,0.02139762104871945,0.021092760494528906,7.95338489849792e-17,0.14627925706920922,0.12761489163192893,0.10737342715586559
ALSPW FP Equity_DX_BROKER_SI_QTY,4,3212,-0.14118084172511056,9.092036574649805e-16,-0.1280029894801832,3.2975062383553663e-13,-0.10588141740745126,7.448958214215639e-14,0.20069384741770313,-2.6344491300994327e-05,2.57090259035623,0.019932030070209827,0.019626712945621017,9.092036574646111e-16,0.14118084172511056,0.1280029894801832,0.10588141740745126
ALSPW FP Equity_DX_DSS,4,3212,-0.13378648291633102,2.6660416509216174e-14,-0.07028297107728368,6.701759507321057e-05,-0.055540828594314647,0.00010642534808613786,0.10787343825125006,-1.0491761415598455,2.574733057932621,0.017898823011122333,0.017592872488695788,2.6660416509217295e-14,0.13378648291633102,0.07028297107728368,0.055540828594314647
ALSPW FP Equity_DX_SUPPLY_SI_MV,4,3212,-0.13162918012548075,6.901859270553184e-14,-0.08387167363438008,1.936657874163617e-06,-0.06859712197348364,2.007717475932943e-06,0.07650917630029164,-236.51481432444257,2.561973633440514,0.017326241060506953,0.017020112163640966,6.901859270553945e-14,0.13162918012548075,0.08387167363438008,0.06859712197348364
ALSPW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,3212,-0.1016905499346258,7.64988382249574e-09,-0.06305973872475076,0.0003488276880582897,-0.0511618153290926,0.0003655511305319277,0.027067785071671624,-0.0006088195467856883,2.531586488895159,0.010340967946006918,0.010032662951597549,7.649883822497918e-09,0.1016905499346258,0.06305973872475076,0.0511618153290926
ALSPW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,3212,-0.0962281397853456,4.64883669970852e-08,-0.06332967572483375,0.00032892339312277257,-0.052861855107839854,0.00023161969492537372,0.03863935018838882,-8.299263098245734e-05,2.5261042112133705,0.009259854886547902,0.00895121309679281,4.6488366997078895e-08,0.0962281397853456,0.06332967572483375,0.052861855107839854
ALSPW FP Equity_DX_SUPPLY_SI_QTY_INC_y,4,3212,-0.07000216819285318,7.167206851042508e-05,-0.059494680369689905,0.0007421695069529773,-0.04853967615995514,0.0007359725889302838,0.017033608596073613,-0.0001677054161729138,2.507601512502255,0.004900303551700125,0.004590303646264449,7.167206851043855e-05,0.07000216819285318,0.059494680369689905,0.04853967615995514
ALSPW FP Equity_DX_SUPPLY_SI_QTY_INC_x,4,3212,-0.07000216819285318,7.167206851042508e-05,-0.059494680369689905,0.0007421695069529773,-0.04853967615995514,0.0007359725889302838,0.017033608596073613,-0.0001677054161729138,2.507601512502255,0.004900303551700125,0.004590303646264449,7.167206851043855e-05,0.07000216819285318,0.059494680369689905,0.04853967615995514
ALSPW FP Equity_DX_SUPPLY_SI_QTY_DEC,4,3212,-0.06951659372550022,8.044988256999719e-05,-0.05467256681131027,0.0019374735066400685,-0.04480297551303063,0.001812781838240217,0.015297276238640078,-0.00012198456667465554,2.5075658157309317,0.004832556803197274,0.004522535792855553,8.044988256998169e-05,0.06951659372550022,0.05467256681131027,0.04480297551303063
ALSPW FP Equity_DX_BROKER_SI_QTY_DEC,4,3212,-0.05806394458920745,0.00099391911226471,-0.05954600387973915,0.0007343488962880393,-0.04859065290670915,0.0007147728885797872,0.02079850749097445,-6.692990491688193e-05,2.501213568764529,0.003371421661258034,0.003060945468629117,0.0009939191122647164,0.05806394458920745,0.05954600387973915,0.04859065290670915
ALSPW FP Equity_DX_BROKER_SI_QTY_ADD,4,3212,-0.047655328583632243,0.00690636375756788,-0.039056562608637824,0.026863574439205316,-0.03198745799015598,0.026430475539862636,0.007967357884300474,-0.00012705700397603426,2.496600092820488,0.00227103034241416,0.0019602113487512396,0.00690636375756826,0.047655328583632243,0.039056562608637824,0.03198745799015598
ALSPW FP Equity_DX_BROKER_SI_QTY_INC,4,3212,-0.04261526254874159,0.015719827027787958,-0.05129580082522226,0.0036380978269596686,-0.04194407516932158,0.003571630959603278,0.012721748974989566,-5.435029274599041e-05,2.4944710677054807,0.0018160606020983794,0.001505099873313931,0.01571982702778772,0.04261526254874159,0.05129580082522226,0.04194407516932158
ALSPW FP Equity_DX_SUPPLY_SI_QTY_ADD,4,3212,-0.03659279698778599,0.03810104041648083,-0.03223259774324214,0.06777043841640132,-0.026344593019020337,0.0677322516189161,0.00472537041556409,-0.00012045299494245933,2.4926031944350195,0.0013390327913893607,0.0010279234558102646,0.0381010404164795,0.03659279698778599,0.03223259774324214,0.026344593019020337
ALSPW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,3212,-0.03588560787125958,0.04198562767288428,-0.021270298820960324,0.22814506763123593,-0.01739659195301623,0.22808902245682894,0.010029678749357451,-226.8378448814009,2.4925159488139768,0.0012877768522906452,0.0009766515491292926,0.04198562767288211,0.03588560787125958,0.021270298820960324,0.01739659195301623
ALSPW FP Equity_DX_BROKER_SI_MV_DEC,4,3212,-0.023024226223842856,0.19204553180392145,-0.010025422288473761,0.5700492255109778,-0.008199611212673033,0.5699688099884541,0.007375862906407127,-205.69527743142174,2.4894277743142155,0.0005301149932069871,0.00021875365831380833,0.19204553180392442,0.023024226223842856,0.010025422288473761,0.008199611212673033
ALSPW FP Equity_DX_SUPPLY_SI_MV_DEC,4,3212,-0.01893764120409651,0.28328907458972574,-0.006622668922757899,0.7075157971610615,-0.005416560898317417,0.7074536669416865,0.006123555251010826,-195.32905578061568,2.488690557806177,0.00035863425437554497,4.7219498691464246e-05,0.2832890745897278,0.01893764120409651,0.006622668922757899,0.005416560898317417
ALSPW FP Equity_DX_BROKER_SI_MV_INC_x,4,3212,-0.01338014300144363,0.4484199688992581,-0.010753498385748668,0.54237223769993,-0.008795091458702983,0.5422895788241928,0.005742016201577105,-238.96101526004432,2.4876101526004404,0.00017902822673909746,-0.00013244248097854516,0.44841996889925395,0.01338014300144363,0.010753498385748668,0.008795091458702983
ALSPW FP Equity_DX_BROKER_SI_MV_INC_y,4,3212,-0.01338014300144363,0.4484199688992581,-0.010753498385748668,0.54237223769993,-0.008795091458702983,0.5422895788241928,0.005742016201577105,-238.96101526004432,2.4876101526004404,0.00017902822673909746,-0.00013244248097854516,0.44841996889925395,0.01338014300144363,0.010753498385748668,0.008795091458702983
ALSPW FP Equity_DX_BROKER_SI_MV_ADD,4,3212,-0.010971694375725344,0.5342101369365135,-0.0025599035980233553,0.8846910961886503,-0.0020936987631779667,0.8846645305597134,0.005644370739759763,-195.94762379321168,2.4874762379321127,0.00012037807747489193,-0.00019111090131729291,0.5342101369365138,0.010971694375725344,0.0025599035980233553,0.0020936987631779667
