feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALWIT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,2420,0.21519066487584376,9.521428667883637e-27,-0.02080914274408682,0.30618664319867966,-0.01956436494793095,0.23016518055526503,0.21983190632710992,2.7961420678015628e-05,5.957033593870429,0.04630702224970773,0.04591260828041488,9.521428667875445e-27,0.21519066487584376,0.02080914274408682,0.01956436494793095
ALWIT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,2420,0.21411584310022586,1.717197003108212e-26,0.04477646694462897,0.027617478032762353,0.03392176664465076,0.038577374180824756,0.14789233409697977,27.66091871652543,5.958648587784705,0.04584559426652035,0.04545098946679604,1.7171970031099896e-26,0.21411584310022586,0.04477646694462897,0.03392176664465076
ALWIT FP Equity_DX_SUPPLY_SI_QTY,4,2420,-0.17685075071141834,1.874731168171505e-18,-0.2647030346362689,4.392595225184986e-40,-0.2123262474425991,2.1959608686156275e-45,0.7284940580221795,-0.0003633572848289106,6.347968563914315,0.03127618802719234,0.03087555783200102,1.874731168175337e-18,0.17685075071141834,0.2647030346362689,0.2123262474425991
ALWIT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,2420,-0.15906521528369477,3.5155483811647796e-15,-0.19792573837958832,8.443864516082489e-23,-0.1514001934667578,1.7828994447845927e-24,0.48658965336019167,-0.8777487531321162,6.342996070167629,0.025301742713248143,0.024898641697000623,3.5155483811705177e-15,0.15906521528369477,0.19792573837958832,0.1514001934667578
ALWIT FP Equity_DX_ACTIVE_UTILIZATION_MV,4,2420,-0.15220343642017167,5.174261511240883e-14,-0.18415365049785842,6.68165078220443e-20,-0.1505466281406748,1.337318656159968e-19,0.15533497405989616,-0.00789307858848975,6.415180874722018,0.02316588605810932,0.022761901726454314,5.174261511251713e-14,0.15220343642017167,0.18415365049785842,0.1505466281406748
ALWIT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,2420,-0.15220343642017167,5.174261511240883e-14,-0.18415365049785842,6.68165078220443e-20,-0.1505466281406748,1.337318656159968e-19,0.15533497405989616,-0.00789307858848975,6.415180874722018,0.02316588605810932,0.022761901726454314,5.174261511251713e-14,0.15220343642017167,0.18415365049785842,0.1505466281406748
ALWIT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,2420,-0.12111856149181333,2.2702877741296316e-09,-0.07445671120280993,0.000246390496741365,-0.06682138047898192,1.081202771313538e-05,0.6312089586585685,-0.020840947349706963,6.236349750987404,0.014669705937846222,0.014262207884057077,2.2702877741300315e-09,0.12111856149181333,0.07445671120280993,0.06682138047898192
ALWIT FP Equity_DX_BROKER_SI_CON_RATIO,4,2420,-0.12003649594116902,3.153673362092861e-09,-0.15888723640290792,3.775266162607525e-15,-0.11135120707349185,8.20053210844614e-14,0.6354660469085021,-0.7582282553646091,6.332325906331214,0.014408760357834338,0.01400115438610483,3.1536733620981395e-09,0.12003649594116902,0.15888723640290792,0.11135120707349185
ALWIT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,2420,0.11786162180071963,6.052220725171787e-09,-0.022617936990952343,0.2660423680955479,-0.02206664152370922,0.17694943383411943,0.19300902267189168,0.00014546124937849184,5.99116183895398,0.013891361893495824,0.013483541943906774,6.052220725173894e-09,0.11786162180071963,0.022617936990952343,0.02206664152370922
ALWIT FP Equity_DX_SI_MV,4,2420,0.11610346638206664,1.016426166782697e-08,0.04149995535830352,0.04121580133997045,0.052302447708157236,0.0008532370984806232,0.36910072159489915,17.141987942776645,5.913710371483118,0.013480014905931648,0.013072024837654572,1.0164261667832226e-08,0.11610346638206664,0.04149995535830352,0.052302447708157236
