feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
AM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,4996,-0.6255520525589207,0.0,-0.16522191508101514,6.559208584674871e-32,-0.07028253278295202,8.232405257698795e-13,1.482440873656918,-8.718017691804327e-05,878.0701566819866,0.39131537046067866,0.39119348727494785,0.0,0.6255520525589207,0.16522191508101514,0.07028253278295202
AM FP Equity_DX_SUPPLY_SI_QTY,4,4996,-0.3494983299893622,1.699348270883111e-143,-0.12557307873744145,5.15563932018556e-19,-0.0831593749638448,8.897325009994035e-18,1.1466168015482334,-0.0024748918374908288,781.0293015801793,0.12214908266535307,0.12197330154454111,1.6993482708891873e-143,0.3494983299893622,0.12557307873744145,0.0831593749638448
AM FP Equity_DX_SI_QTY,4,4996,-0.3438671805928171,1.121725494348446e-138,-0.17091651684369213,4.63643094349205e-34,-0.12437354820669465,1.9993830389318996e-39,1.24385734450382,-0.0019238837122927735,782.3814307591725,0.11824463788885309,0.11806807494089322,1.1217254943491286e-138,0.3438671805928171,0.17091651684369213,0.12437354820669465
AM FP Equity_DX_BROKER_SI_QTY,4,4996,-0.3314004004530637,2.3453266567814715e-128,-0.16372195184562738,2.3479873384512036e-31,-0.11764066681688146,2.170343896702406e-35,1.249363378605906,-0.0024352743262022513,777.3768699056363,0.10982622542045117,0.10964797676715121,2.3453266567772574e-128,0.3314004004530637,0.16372195184562738,0.11764066681688146
AM FP Equity_DX_SUPPLY_SI_QTY_DEC,4,4996,-0.2508321318316915,1.5209650449071655e-72,-0.10777136271408706,2.2081893407710007e-14,-0.06467860327439588,7.096127444735404e-10,0.2725795370285149,-0.010394947925857448,750.5866735412627,0.06291675835923094,0.06272911654072055,1.5209650449029768e-72,0.2508321318316915,0.10777136271408706,0.06467860327439588
AM FP Equity_DX_BROKER_SI_QTY_DEC,4,4996,-0.22811245066867758,5.533809170521493e-60,-0.09358371154530068,3.411572364218028e-11,-0.05714829566941386,6.80817399296023e-08,0.22619091217074327,-0.009255137908215132,745.7929792979347,0.05203529015006991,0.05184546942322765,5.533809170519154e-60,0.22811245066867758,0.09358371154530068,0.05714829566941386
AM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,4996,0.2256627782148124,1.0436591852999001e-58,0.06813001641981782,1.4356672324003095e-06,0.0219737755469535,0.020105761693448417,1.283971985798897,5.9588918637194305e-06,680.3979689085127,0.05092368947162762,0.05073364615754494,1.0436591852995563e-58,0.2256627782148124,0.06813001641981782,0.0219737755469535
AM FP Equity_DX_SI_MV,4,4996,0.219417516029583,1.5925158045206333e-55,0.06677879877917556,2.310484491141636e-06,0.01687231348482995,0.07539041956950969,1.139779158988127,3.972665545470984,682.3234364141329,0.04814404634059255,0.047953446429967905,1.5925158045209547e-55,0.219417516029583,0.06677879877917556,0.01687231348482995
AM FP Equity_DX_SHORT_INTEREST_VALUE,4,4996,0.21922735319329978,1.983741901785606e-55,0.07147302076334637,4.2570721677533974e-07,0.02270867820089769,0.01626574514539277,1.1761396002046087,4.014356920758644e-06,682.4391426669595,0.04806063238814007,0.04787001577468153,1.9837419017888256e-55,0.21922735319329978,0.07147302076334637,0.02270867820089769
AM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,4,4996,0.21001485901917177,6.477635139775617e-51,0.10681547609894511,3.739482637456732e-14,0.0369520258659228,0.00021853694117102807,0.832285407453301,436.50639448773876,680.4280962367927,0.04410624100884286,0.0439148325669142,6.477635139809893e-51,0.21001485901917177,0.10681547609894511,0.0369520258659228
