feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
BLUE FP Equity_DX_ACTIVE_UTILIZATION_MV,4,1269,0.28595889145105413,2.626737469403076e-25,0.3818409542095,2.563167948041795e-45,0.29999987670984857,5.096865756922856e-44,0.31294612235013064,0.018811024557531104,13.86971732397092,0.08177248759991562,0.08104776186005769,2.6267374694050467e-25,0.28595889145105413,0.3818409542095,0.29999987670984857
BLUE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,1269,0.28595889145105413,2.626737469403076e-25,0.3818409542095,2.563167948041795e-45,0.29999987670984857,5.096865756922856e-44,0.31294612235013064,0.018811024557531104,13.86971732397092,0.08177248759991562,0.08104776186005769,2.6267374694050467e-25,0.28595889145105413,0.3818409542095,0.29999987670984857
BLUE FP Equity_DX_BROKER_SI_CON_RATIO,4,1269,0.2198020547668952,2.3877459610740698e-15,0.3303025835580314,1.110481222752432e-33,0.2641974069876726,3.6344421824405057e-32,0.15988371789197875,1.1171573326819348,13.83222219234308,0.04831294327974922,0.047561809059764926,2.3877459610748693e-15,0.2198020547668952,0.3303025835580314,0.2641974069876726
BLUE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,1269,0.21811262385006758,3.9357893186090025e-15,0.3277001869253445,3.777501409128684e-33,0.2621007867711708,1.0944776582498983e-31,0.16135720085998528,0.010977282497761247,13.832891150248578,0.04757311668276065,0.04682139854281031,3.935789318608265e-15,0.21811262385006758,0.3277001869253445,0.2621007867711708
BLUE FP Equity_DX_UTILIZATION_QUANTITY,4,1269,0.16072750753836662,8.540530384822648e-09,0.3171919404544098,4.699013488782764e-31,0.23951733197419692,1.6805388504574186e-29,0.3411645880813001,0.016288648287136002,14.039896765516666,0.02583333167949542,0.02506445506677213,8.54053038482756e-09,0.16072750753836662,0.3171919404544098,0.23951733197419692
BLUE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,4,1269,-0.09323710698368703,0.0008830423709822195,-0.2239314838836656,6.916907251482842e-16,-0.1397421978550034,3.761808743558184e-13,1.0645466514969106,-9.589274178834281e-07,14.374487670297821,0.008693158118687538,0.007910753350036215,0.000883042370982409,0.09323710698368703,0.2239314838836656,0.1397421978550034
BLUE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,1269,-0.07936000659211188,0.004673457475708994,-0.22178758525134595,1.3201097726065188e-15,-0.12137282166182403,4.6317709112933466e-10,1.108226282565436,-0.05764273176517525,14.344590604264354,0.0062980106462996455,0.005513715469224967,0.004673457475708166,0.07936000659211188,0.22178758525134595,0.12137282166182403
BLUE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,1269,-0.0791245713961056,0.004797852992550965,-0.20430769269130142,2.0039689948081034e-13,-0.11498808928354132,1.5842730715907878e-09,1.118331913024512,-5.745803389150177e-08,14.344232987793447,0.006260697798617487,0.005476373171781401,0.00479785299255411,0.0791245713961056,0.20430769269130142,0.11498808928354132
BLUE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,1269,0.04368283162859271,0.1198690259791453,0.06575093728645982,0.019156356046130724,0.05305939152936947,0.019074503717301614,0.033852634755165756,0.0163015488001244,14.156926890325833,0.0019081897790917957,0.001120429865736794,0.11986902597914689,0.04368283162859271,0.06575093728645982,0.05305939152936947
BLUE FP Equity_DX_SUPPLY_SI_MV,4,1269,0.03732605864776,0.18390740415169324,0.22469278263137288,5.489553225528264e-16,0.16795984425669772,5.780003099882123e-15,0.3367796151484652,0.16354184684541476,14.147461125348295,0.0013932346541758456,0.0006050683042581051,0.18390740415172493,0.03732605864776,0.22469278263137288,0.16795984425669772
BLUE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,4,1269,0.037122045925150345,0.1863173996561665,0.2585924442630499,7.789992248825222e-21,0.1913572319957413,1.6230191885502857e-19,0.3645874300089591,1.628778515555561e-07,14.147603892187169,0.0013780462936688886,0.0005898679560949471,0.18631739965620284,0.037122045925150345,0.2585924442630499,0.1913572319957413
BLUE FP Equity_DX_SHORT_INTEREST_VALUE,4,1269,0.036510069578032316,0.19368639499189003,0.2580950523819832,9.29217058483851e-21,0.19080110097637454,1.7798519914100272e-19,0.33219135069582806,8.322754642769223e-08,14.149262679912725,0.0013329851805926607,0.0005447712778150482,0.193686394991845,0.036510069578032316,0.2580950523819832,0.19080110097637454
BLUE FP Equity_DX_SI_MV,4,1269,0.036464310445011784,0.1942458642708736,0.22392533878549098,6.929799557258917e-16,0.16731294098509494,6.266281813887614e-15,0.32964973744781845,0.08299386374455056,14.149315499022823,0.0013296459362300839,0.0005414293979004725,0.1942458642708862,0.036464310445011784,0.22392533878549098,0.16731294098509494
BLUE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,1269,0.03547875750436942,0.20658456813962406,0.2513126457870066,9.906866725773387e-20,0.18711899208122412,1.1610571363588639e-18,0.3574286702755096,1.5670090335504023e-07,14.14932527986723,0.0012587422340538668,0.00047046973384401447,0.20658456813957823,0.03547875750436942,0.2513126457870066,0.18711899208122412
BLUE FP Equity_DX_SUPPLY_SI_QTY,4,1269,0.033024388114164145,0.2397587712548248,0.25476573686255466,2.995463886404202e-20,0.18723324916523632,1.295555912178359e-18,0.36968657849021547,2.096259766549147e-06,14.150739664830603,0.0010906102103149795,0.0003022050092181816,0.2397587712548603,0.033024388114164145,0.25476573686255466,0.18723324916523632
BLUE FP Equity_DX_SI_QTY,4,1269,0.032774835929539954,0.24333085801958154,0.25286556438689006,5.79824722767598e-20,0.18556051925682937,2.1748825011550537e-18,0.3171183242632152,1.0808508744018782e-06,14.152010547214228,0.001074189870208242,0.0002857717090956058,0.24333085801953364,0.032774835929539954,0.25286556438689006,0.18556051925682937
