feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
BSD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,4,4874,0.43522876225092383,1.739482411166919e-224,0.5192816932794464,0.0,0.4133265602753854,5.495398242929595e-297,0.5781382328885862,0.015755530131547155,1.6934118895562067,0.18942407549047102,0.18925770112172935,1.7394824111706806e-224,0.43522876225092383,0.5192816932794464,0.4133265602753854
BSD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,4,4874,0.42334851301428483,3.0356438949326784e-211,0.48587842049803354,3.012154143081741e-287,0.39990131223084646,4.141697382135432e-258,0.3143584362456373,0.013975982214931426,1.7225972716267226,0.17922396347140623,0.1790554954836131,3.035643894915284e-211,0.42334851301428483,0.48587842049803354,0.39990131223084646
BSD FP Equity_DX_ACTIVE_UTILIZATION_MV,4,4874,0.4224535911654667,2.8731669430651466e-210,0.48736486758755226,2.966067744482347e-289,0.40053135813110785,3.517303306808715e-258,0.30184241120102073,0.013914678914822192,1.7217045640346733,0.1784670366885991,0.17829841333816576,2.873166943059724e-210,0.4224535911654667,0.48736486758755226,0.40053135813110785
BSD FP Equity_DX_BROKER_SI_CON_RATIO,4,4874,0.4223693253522837,3.5491055476665865e-210,0.5191199481752353,0.0,0.41346496814077477,3.576229803531446e-297,0.5887922370779757,1.5893882891516216,1.7110282027160353,0.17839584699854294,0.17822720903610423,3.5491055476626745e-210,0.4223693253522837,0.5191199481752353,0.41346496814077477
BSD FP Equity_DX_BROKER_SI_MARKET_SHARE_2,4,4874,0.24735164683913594,7.426061330178239e-69,0.3686314260258284,9.421802788352781e-157,0.2865225049985534,1.0239674287125048e-139,0.3918062902750101,0.03218983824913445,1.889298102750267,0.0611828371940325,0.06099014073204445,7.426061330146279e-69,0.24735164683913594,0.3686314260258284,0.2865225049985534
BSD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,4,4874,0.19361521019294808,2.225966698354787e-42,0.41715923493780027,1.4886029092172828e-204,0.31424170410990615,1.4055424964979059e-168,0.44449618987804307,5.624845607779052,1.925292591814548,0.03748684961805959,0.03728928944762,2.225966698358442e-42,0.19361521019294808,0.41715923493780027,0.31424170410990615
BSD FP Equity_DX_DEMAND_SUPPLY_RATIO,4,4874,0.193219543618554,3.285614916412732e-42,0.49558365700216706,1.5701195482016316e-300,0.3741651618483855,1.100050263728929e-248,0.7050189368083983,1.0460421782108773,1.9148233536283383,0.03733379203616183,0.037136200449962464,3.285614916413331e-42,0.193219543618554,0.49558365700216706,0.3741651618483855
BSD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,4,4874,0.1842865562045409,1.7237614845021412e-38,0.5121220706463665,0.0,0.386297857137828,1.1184641606734357e-265,0.6102889629579722,0.3259621952796181,1.9282638507495018,0.03396153479772923,0.03376325104050393,1.723761484502748e-38,0.1842865562045409,0.5121220706463665,0.386297857137828
BSD FP Equity_DX_SHORT_INTEREST_VALUE,4,4874,0.18090083018832873,3.9592994644873696e-37,0.513854126515148,0.0,0.38858849873630047,1.1386488659650495e-269,0.7370723954607579,1.3207061745859222e-05,1.930097812272702,0.032725110362826326,0.03252657282390248,3.959299464482523e-37,0.18090083018832873,0.513854126515148,0.38858849873630047
BSD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,4,4874,0.16796140295636985,3.5903955723860973e-32,0.22098484657600406,5.546727679612472e-55,0.18613557931425007,1.3497713867326897e-69,1.042036140237892,1.5103275496374165e-06,1.9069224066121242,0.028211032883071918,0.02801156880936162,3.5903955723858953e-32,0.16796140295636985,0.22098484657600406,0.18613557931425007
BSD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,4,4874,0.16592398212389173,1.998393461335125e-31,0.4564899854913259,1.5169294094878374e-249,0.356197924881432,1.525249632111601e-223,0.6730225993813845,1.974175126240748e-05,1.9426661008297263,0.027530767843849335,0.027331164142667896,1.998393461334227e-31,0.16592398212389173,0.4564899854913259,0.356197924881432
BSD FP Equity_DX_UTILIZATION_QUANTITY,4,4874,0.16179060658889155,6.0823699170000135e-30,0.4705197807675804,4.387139101969851e-267,0.35712448374865546,7.803948131914356e-225,0.6352252735071953,0.01141996652037489,1.9314055393729008,0.02617620038040147,0.025976318648131547,6.082369916994397e-30,0.16179060658889155,0.4705197807675804,0.35712448374865546
BSD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,4,4874,0.14680268247681613,6.892628231405755e-25,0.21846635074088605,9.533569925743969e-54,0.1779994851742502,4.76477101207919e-61,0.7803891719548006,1.1451370234367357,1.9230432562919004,0.021551027582388804,0.021350196512516573,6.8926282314192325e-25,0.14680268247681613,0.21846635074088605,0.1779994851742502
